语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：率
2022/7/10 23:01:01

序号	语句	书名	朝代
1	正月朔旦，受命于神宗， [率] 百官若帝之初。		《尚书》__周
2	惟时有苗弗 [率] ，汝徂征。”		《尚书》__周
3	柔远能迩，惇德允元，而难任人，蛮夷 [率] 服。”		《尚书》__周
4	又相 [率] 强不食而为饥。		《墨子》__春秋战国
5	 [率] 以尊天事鬼其利人多。		《墨子》__春秋战国
6	兼恶天下之百姓 [率] 以诟天侮鬼。		《墨子》__春秋战国
7	 [率] 作兴事，慎乃宪，钦哉！		《尚书》__周
8	惟公懋德，克勤小物，弼亮四世，正色 [率] 下，罔不祗师言。		《尚书》__周
9	弗 [率] 训典，殊厥井疆，俾克畏慕。		《尚书》__周
10	敢弗于従 [率] 宁人有指疆土？		《尚书》__周
11	兹 [率] 厥典，奉若天命。		《尚书》__周
12	’予一人惟听用德，肆予敢求于天邑商，予惟 [率] 肆矜尔。		《尚书》__周
13	成王将崩，命召公、毕公 [率] 诸侯相康王，作《顾命》。		《尚书》__周
14	曰：“皇后凭玉几，道扬末命，命汝嗣训，临君周邦， [率] 循大卞，燮和天下，用答扬文、武之光训。”		《尚书》__周
15	既正尸，子坐于东方，卿大夫父兄子姓 立于东方；有司、庶士哭于堂下，北面；夫人坐于西方，内命妇姑姊妹子姓立于 西方，外命妇 [率] 外宗哭于堂上北面。		《礼记》__春秋战国
16	孤以下密迩于天子，无所逃罪，讯让日至，曰：昔吴伯父不失，春秋必 [率] 诸侯以顾在余一人。		《国语》__春秋战国
17	越王句践乃 [率] 中军☆江以袭吴，入其郛，焚其姑苏，徙其大舟。		《国语》__春秋战国
18	于是越王句践乃命范蠡、舌庸， [率] 师沿海☆淮以绝吴路。		《国语》__春秋战国
19	往慎乃司，兹 [率] 厥常，懋昭周公之训，惟民其乂。		《尚书》__周
20	进厥良，以 [率] 其或不良。		《尚书》__周
21	 [率] 惟兹有陈，保乂有殷，故殷礼陟配天，多历年所。		《尚书》__周
22	不怠丕冒，海隅出日，罔不 [率] 俾。”		《尚书》__周
23	王若曰：“小子胡，惟尔 [率] 德改行，克慎厥猷，肆予命尔侯于东土。		《尚书》__周
24	尔尚盖前人之愆，惟忠惟孝；尔乃迈迹自身，克勤无怠，以垂宪乃后； [率] 乃祖文王之遗训，无若尔考之违王命。		《尚书》__周
25	 [率] 自中，无作聪明乱旧章。		《尚书》__周
26	令 型人得收亡国，聚散民，立社稷主，置宗庙；令 [率] 天下西面以与秦为难。		《韩非子》__春秋战国
27	令魏氏反收亡国，聚散 民，立社稷主，置宗庙；令 [率] 天下西面以与秦为难。		《韩非子》__春秋战国
28	昔者纣为天子，将 [率] 天下甲兵百万，左饮于淇溪，右饮于洹裕，淇水竭而洹 水不流，以与周武王为难。		《韩非子》__春秋战国
29	知伯 [率] 三国之众以攻赵襄主于晋阳，决水而灌之三月， 城且拔矣，襄主钻龟筮占兆，以视利害，何国可降。		《韩非子》__春秋战国
30	盘庚迁于殷，民不适有居， [率] 吁众慼出，矢言曰：“我王来，即爰宅于兹，重我民，无尽刘。		《尚书》__周
31	乃话民之弗 [率] ，诞告用亶。		《尚书》__周
32	王出，在应门之内，太保 [率] 西方诸侯入应门左，毕公 [率] 东方诸侯入应门右，皆布乘黄朱。		《尚书》__周
33	钦厥止， [率] 乃祖攸行，惟朕以怿，万世有辞。”		《尚书》__周
34	’夏王 [率] 遏众力， [率] 割夏邑。		《尚书》__周
35	有众 [率] 怠弗协，曰：‘时日曷丧？		《尚书》__周
36	不虞天性，不迪 [率] 典。		《尚书》__周
37	于其子孙弗 [率] ，皇天降灾，假手于我有命，造攻自鸣条，朕哉自亳。		《尚书》__周
38	昔者智伯瑶 [率] 赵、韩、魏而伐范、中行，灭之。		《韩非子》__春秋战国
39	 [率] 乃祖考之攸行，昭乃辟之有乂。”		《尚书》__周
40	’今知伯 [率] 二君而伐赵，赵将亡矣。		《韩非子》__春秋战国
41	华夏蛮貊，罔不 [率] 俾。		《尚书》__周
42	甲子昧爽，受 [率] 其旅若林，会于牧野。		《尚书》__周
43	亦越武王， [率] 惟敉功，不敢替厥义德， [率] 惟谋従容德，以并受此丕丕基。”		《尚书》__周
44	刁莅事三年，桓公南游堂阜，竖刁 [率] 易牙、卫公子开方及大臣为乱。		《韩非子》__春秋战国
45	穆穆在上，明明在下，灼于四方，罔不惟德之勤，故乃明于刑之中， [率] 乂于民棐彝。		《尚书》__周
46	大 [率] 此上四爻，皆因涣以济涣者也。		《周易》__周
47	赵襄子 [率] 徒十万，狩于中山，藉仍燔林，扇赫百里，有一人从石壁中出，随 烟烬上下，众谓鬼物。		《列子》__春秋战国
48	钦哉，往敷乃训，慎乃服命， [率] 由典常，以蕃王室。		《尚书》__周
49	六卿分职，各 [率] 其属，以倡九牧，阜成兆民。		《尚书》__周
50	退而属其二三大夫曰：“夫人 [率] 其君与之行古人之道，二三子独 [率] 我而入夷狄之俗，何为？”		《榖梁传》__春秋战国
51	不 [率] 大戛，矧惟外庶子、训人惟厥正人越小臣、诸节。		《尚书》__周
52	汝乃其速由兹义 [率] 杀。		《尚书》__周
53	亦惟先正克左右昭事厥辟，越小大谋猷罔不 [率] 従，肆先祖怀在位。		《尚书》__周
54	是以不誘於譽，不恐於誹， [率] 道而行，端然正己，不為物傾側∶夫是之謂誠君子。		《荀子》__春秋战国
55	而狂惑戇陋之人，乃始 [率] 其群徒，辯其談說，明其辟稱，老身長子，不知惡也。		《荀子》__春秋战国
56	荆灵王闻之， [率] 诸侯以攻吴，围朱方，拔之。		《吕氏春秋》__春秋战国
57	詩曰∶「平平左右，亦是 [率] 從。」		《荀子》__春秋战国
58	请与若等戮 力一志， [率] 徒属，必灭其家为等伦。”		《列子》__春秋战国
59	杨子之邻人亡羊，既 [率] 其党，又请杨子之竖追之。		《列子》__春秋战国
