语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：王
2022/11/4 21:50:58

序号	语句	书名	朝代
1	成 [王] 归自奄，在宗周，诰庶邦，作《多方》。		《尚书》__周
2	惟五月丁亥， [王] 业自奄，至于宗周。		《尚书》__周
3	周公曰：“ [王] 若曰：猷！		《尚书》__周
4	 [王] 若曰：“诰告尔多方，非天庸释有夏，非天庸释有殷。		《尚书》__周
5	乃惟尔商后 [王] 逸厥逸，图厥政不蠲烝，天惟降时丧。		《尚书》__周
6	惟我周 [王] 灵承于旅，克堪用德，惟典神天。		《尚书》__周
7	尔曷不夹介乂我周 [王] 享天之命？		《尚书》__周
8	今尔尚宅尔宅，畋尔田，尔曷不惠 [王] 熙天之命？		《尚书》__周
9	 [王] 曰：“呜呼！		《尚书》__周
10	尔乃自时洛邑，尚永力畋尔田，天惟畀矜尔，我有周惟其大介赉尔，迪简在 [王] 庭。		《尚书》__周
11	 [王] 曰：“呜呼！		《尚书》__周
12	内文明而外柔顺，以蒙大难，文 [王] 以之。		《周易》__周
13	尔乃惟逸惟颇，大远 [王] 命，则惟尔多方探天之威，我则致天之罚，离逖尔土。”		《尚书》__周
14	 [王] 曰：“我不惟多诰，我惟祗告尔命。”		《尚书》__周
15	羲和废厥职，酒荒于厥邑，胤后承 [王] 命徂征。		《尚书》__周
16	成汤起于夏台，文 [王] 兴于羑里，正		《周易》__周
17	导岍及岐，至于荆山，逾于河；壶口、雷首至于太岳；厎柱、析城至于 [王] 屋；太行、恒山至于碣石，入于海。		《尚书》__周
18	九五， [王] 假有家，勿恤，吉。		《周易》__周
19	五，刚健中正，下应六二之柔顺中正， [王] 者以是至于其家，则勿用忧恤而吉可必矣。		《周易》__周
20	《象》曰：“ [王] 假有家”，交相爱也。		《周易》__周
21	无怠无荒，四夷来 [王] 。”		《尚书》__周
22	六二， [王] 臣蹇蹇，匪躬之故。		《周易》__周
23	《象》曰：“ [王] 臣蹇蹇”，终无尤也。		《周易》__周
24	六二，或益之十朋之龟，弗克违，永贞吉， [王] 用享于帝，吉。		《周易》__周
25	：扬于 [王] 庭，孚号有厉。		《周易》__周
26	康 [王] 命作册毕，分居里，成周郊，作《毕命》。		《尚书》__周
