语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：理
2022/7/10 23:06:36

序号	语句	书名	朝代
1	人生八岁，则自王公以下，至于庶人之子弟，皆入小学，而教之以洒扫、应对、进退之节，礼乐、射御、书数之文；及其十有五年，则自天子之元子、众子，以至公、卿、大夫、元士之适子，与凡民之俊秀，皆入大学，而教之以穷 [理] 、正心、修己、治人之道。		《大学中庸》__春秋战国
2	明德者，人之所得乎天，而虚灵不昧，以具众 [理] 而应万事者也。		《大学中庸》__春秋战国
3	穷至事物之 [理] ，欲其极处无不到也。		《大学中庸》__春秋战国
4	极言其 [理] 		《周易》__周
5	闲尝窃取程子之意以补之曰：“所谓致知在格物者，言欲致吾之知，在即物而穷其 [理] 也。		《大学中庸》__春秋战国
6	盖人心之灵莫不有知，而天下之物莫不有 [理] ，惟于 [理] 有未穷，故其知有不尽也。		《大学中庸》__春秋战国
7	是以大学始教，必使学者即凡天下之物，莫不因其已知之 [理] 而益穷之，以求至乎其极。		《大学中庸》__春秋战国
8	夫治身与治国，一 [理] 之术也。		《吕氏春秋》__春秋战国
9	察乘物之 [理] ，则四极可有。		《吕氏春秋》__春秋战国
10	尧、舜之臣不独义，汤、禹之臣不独忠，得其数也；桀、纣之臣不独鄙，幽、厉之臣不独辟，失其 [理] 也。		《吕氏春秋》__春秋战国
11	实不可以富贫众寡定危 [理] 乱乎。		《墨子》__春秋战国
12	凡耳之闻也藉於静，目之见也藉於昭，心之知也藉於 [理] 。		《吕氏春秋》__春秋战国
13	且夫耳目知巧固不足恃，惟修其数行其 [理] 为可。		《吕氏春秋》__春秋战国
14	凡应之 [理] ，清净公素，而正始卒。		《吕氏春秋》__春秋战国
15	秀，皆入大学，而教之以穷 [理] 、正心、修己、治人之道。		《大学中庸》__春秋战国
16	凡朝也者，相与召 [理] 义也，相与植法则也。		《吕氏春秋》__春秋战国
17	上服性命之情，则 [理] 义之士至矣，法则之用植矣，枉辟邪挠之人退矣，贪得伪诈之曹远矣。		《吕氏春秋》__春秋战国
18	知在格物者，言欲致吾之知，在即物而穷其 [理] 也。		《大学中庸》__春秋战国
19	 [理] ，惟于 [理] 有未穷，故其知有不尽也。		《大学中庸》__春秋战国
20	知之 [理] 而益穷之，以求至乎其极。		《大学中庸》__春秋战国
21	周鼎著象，为其 [理] 之通也。		《吕氏春秋》__春秋战国
22	 [理] 通，君道也。		《吕氏春秋》__春秋战国
23	极言其 [理] 而赞之。		《周易》__周
24	故辩而不当 [理] 则伪，知而不当 [理] 则诈。		《吕氏春秋》__春秋战国
25	 [理] 也者，是非之宗也。		《吕氏春秋》__春秋战国
26	仁人以其取舍是非之 [理] 相告。		《墨子》__春秋战国
27	察而以达 [理] 明义，则察为福矣；察而以饰非惑愚，则察为祸矣。		《吕氏春秋》__春秋战国
28	明同异之处察名实之 [理] 。		《墨子》__春秋战国
29	上取象于天，下取法于地，中取则于人，人之所 以群居和一之 [理] 尽矣故三年之丧，人道之至文者也，夫是之谓至隆。		《礼记》__春秋战国
30	故兴王有道，而持之异 [理] 。		《商君书》__春秋战国
31	一曰：世之所不足者， [理] 义也；所有馀者，妄苟也。		《吕氏春秋》__春秋战国
32	然而以 [理] 义斫削，神农、黄帝犹有可非，微独舜、汤。		《吕氏春秋》__春秋战国
33	渍，取牛肉必新杀者，薄切之，必绝其 [理] ，湛诸美酒， 期朝，而食之以醢若醯意。		《礼记》__春秋战国
34	王乃使玉人 [理] 其璞而得宝焉，遂命曰：“和氏之璧。”		《韩非子》__春秋战国
35	三十而有室，始 [理] 男事，博学无方，孙友视志。		《礼记》__春秋战国
36	若夫豫让为智伯臣也，上不能说人主使之明法术度数之 [理] 以避祸难之患，下不能领御其众以安其国；及襄子之杀智伯也，豫让乃自黔劓，败其形容，以为智伯报襄子之仇。		《韩非子》__春秋战国
37	故度量虽正，未必听也；义 [理] 虽全，未必用也。		《韩非子》__春秋战国
38	方其荒于酒也，不知世道之争危，人  [理] 之悔吝，室内之有亡，九族之亲疏，存亡之哀乐也。		《列子》__春秋战国
39	其所行也，其所为也，众意所惊，而诚 [理] 所取。		《列子》__春秋战国
40	曰：“ [理] 无 不死。”		《列子》__春秋战国
41	曰：“ [理] 无久生。		《列子》__春秋战国
42	圣人见本然之政，知必然之 [理] ，故其制民也，如以高下制水，如以燥湿制火。		《商君书》__春秋战国
43	黄鹄之飞，一举千里，有必飞之备也；丽丽、巨巨，日走千里，有必走之势也；虎、豹、熊、罴，鸷而无敌，有必胜之 [理] 也。		《商君书》__春秋战国
44	疏贱者知，亲习者不知， [理] 无自然。		《吕氏春秋》__春秋战国
45	禹趋就下风而问曰：“尧 [理] 天下，吾子立为诸侯。		《吕氏春秋》__春秋战国
46	夫香美脆味，厚酒肥肉，甘口而疾形；曼 [理] 皓齿，说情而捐精。		《韩非子》__春秋战国
47	行之不已，是谓履 [理] 也。		《韩非子》__春秋战国
48	因天之道，反形之 [理] ，督参鞠之，终则有始。		《韩非子》__春秋战国
49	夫道者，弘大而无形；德者，核 [理] 而普至。		《韩非子》__春秋战国
50	故游吾园者，不思高林旷泽；寝吾庭者，不愿深山幽谷， [理] 使然也。”		《列子》__春秋战国
51	察其 [理] 而得失荣辱定矣。		《吕氏春秋》__春秋战国
52	又以 [理] 言。		《周易》__周
53	伸志行 [理] ，贵乐弗为变，以事其主。		《吕氏春秋》__春秋战国
54	故禮恭，而後可與言道之方；辭順，而後可與言道之 [理] ；色從而後可與言道之致。		《荀子》__春秋战国
55	君子小人之反也∶君子大心則敬天而道，小心則畏義而節；知則明通而類，愚則端愨而法；見由則恭而止，見閉則敬而齊；喜則和而 [理] ，憂則靜而 [理] ；通則文而明，窮則約而詳。		《荀子》__春秋战国
56	誠心行義則 [理] ， [理] 則明，明則能變矣。		《荀子》__春秋战国
57	故若简子者，能厚以 [理] 督责於其臣矣。		《吕氏春秋》__春秋战国
58	以 [理] 督责於其臣，则人主可与为善，而不可与为非；可与为直，而不可与为枉。		《吕氏春秋》__春秋战国
59	论道经邦，燮 [理] 阴阳。		《尚书》__周
60	而汝以命厚自矜，北公子以德 厚自愧，皆不识夫固然之 [理] 矣。”		《列子》__春秋战国
61	言尽 [理] 而得失利害定矣，岂为一人言哉！		《吕氏春秋》__春秋战国
62	使之 [理] 国，上且钩乎君，下且逆乎民。		《列子》__春秋战国
63	目辨白黑美惡，耳辨聲音清濁，口辨酸咸甘苦，鼻辨芬芳腥臊，骨體膚 [理] 辨寒暑疾養，是又人之所常生而有也，是無待而然者也，是禹桀之所同也。		《荀子》__春秋战国
