语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：璞
2022/7/10 23:14:47

序号	语句	书名	朝代
1	楚人和氏得玉 [璞] 楚山中，奉而献之厉王。		《韩非子》__春秋战国
2	和又奉其 [璞] 而献之武王。		《韩非子》__春秋战国
3	和乃抱其 [璞] 而哭於楚山之下，三日三夜，泪尽而继之以血。		《韩非子》__春秋战国
4	王乃使玉人理其 [璞] 而得宝焉，遂命曰：“和氏之璧。”		《韩非子》__春秋战国
5	和虽献 [璞] 而未美，未为主之害也，然犹两足斩而宝乃论，论宝若此其难也！		《韩非子》__春秋战国
6	然则有道者之不戮也，特帝王之 [璞] 未献耳。		《韩非子》__春秋战国
7	郭 [璞] 《洞林》：“占得此者，或致羽虫之孽。”		《周易》__周
8	今有 [璞] 玉于此，虽万镒，必使玉人雕琢之。		《孟子》__春秋战国
9	和抱 [璞] 而泣血兮，安得良工而剖之？		《楚辞》__春秋战国
10	郭 [璞] 《洞林》读至“汇”字绝句，下卦放此。		《周易》__周
11	鄙人有得玉 [璞] 者，喜其状，以为宝而藏之。		《淮南子》__汉
12	夫玉 [璞] 不厌厚，角<角乔>不厌薄，漆不厌黑，粉不厌白。		《淮南子》__汉
13	韩子云‘卞和得玉 [璞] 於楚之荆山’，即此也。”		《史记》__汉
14	襄州荆山县西荆山即卞和得玉 [璞] 者。		《史记》__汉
15	尔雅云“晋有大陆”，郭 [璞] 以为此泽也。		《史记》__汉
16	郭 [璞] 注云‘今在陇西首阳县西南。		《史记》__汉
17	郭 [璞] 云：“篝，笼也。”		《史记》__汉
18	郭 [璞] 云“蔽膝也”。		《史记》__汉
19	郭 [璞] 注三苍，以为刭，刺也。		《史记》__汉
20	○索隐郭 [璞] 注三苍云：“庾，仓无屋也。”		《史记》__汉
21	郭 [璞] 云汉武获一角兽若麃，谓之麟是也。		《史记》__汉
22	蝟辱於鹊，◇集解郭 [璞] 曰：“蝟能制虎，见鹊仰地。”		《史记》__汉
23	◇集解郭 [璞] 曰：“腾蛇，龙属也。		《史记》__汉
24	郭 [璞] 云“古帝王藏策之府”。		《史记》__汉
25	○索隐按：郭 [璞] 注尔雅云“騊駼马，青色，音淘涂”。		《史记》__汉
