语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：生
2022/11/6 16:18:35

序号	语句	书名	朝代
1	就让你在悦来店呆等，不致遭骡夫的毒手，你又怎 [生] 的到得淮安？		《儿女英雄》__清
2	不想将上那座高岭，又出桩岔事，连那不通人性的哑吧畜 [生] 也欺负起人来，忽然的一惊，就跑到此地。		《儿女英雄》__清
3	听我告诉你∶你方才口口声声骂的那个欺负你的畜 [生] ，正是你的救命恩人；你心心念念感激的那两个骡夫，倒是你的勾魂使者！”		《儿女英雄》__清
4	况且他虽说是个乡村女子，外面 [生] 得一副月貌花容，心里藏着一副兰心蕙性。		《儿女英雄》__清
5	不想这句话一逼，人急智 [生] ，又逼出他一个见识来了。		《儿女英雄》__清
6	不但授者心安，受者心安，连那银子都算不枉 [生] 在天地间了。		《儿女英雄》__清
7	张金凤从旁看着，心里暗暗的说道∶“看他俏 [生]  [生] 的这两条腿儿，雪白粉嫩，同我一般，怎么会有这样的武艺，这样的气力？		《儿女英雄》__清
8	我原无心要他的性命，怎奈他一个个自来送死，也是他们恶贯满盈，莫如叫他早把这口气还了太空，早变个披毛戴角的畜 [生] ，倒也是法门的方便。		《儿女英雄》__清
9	难道这果真是一个两条腿的畜 [生] 、一个四条腿的畜 [生] 作得来的不成？		《儿女英雄》__清
10	你可好 [生] 的看着那包袱，等我把这门户给你关好，向各处打一照再来。”		《儿女英雄》__清
11	那老两口儿听了，连连的作揖下拜，说道∶“果然如此，我们来 [生] 来世就变个驴变个马报姑娘的好处！		《儿女英雄》__清
12	他就一路胡思乱想道：“这雌儿竟 [生] 得齐整，好块羊肉，落在狗口里。		《风流悟》__清
13	我张金凤 [生] 必衔环，死当结草！		《儿女英雄》__清
14	心 [生] 一计，见场上的鸡，就扯一只来藏在柴堆里，口里浪道：“单吃粮，不管事。		《风流悟》__清
15	杀了一晚，讲了万言，讲得来满口 [生] 烟，杀得来浑身是汗。		《儿女英雄》__清
16	他那形容合自己 [生] 的一模一样，倒像照着了镜子一般，不觉心里暗惊道∶“奇怪，都道是‘人心不同，各如其面’，怎 [生] 有这等相像的！”		《儿女英雄》__清
17	况且死 [生] 有命，譬如昨日的事，可是怕得来的？		《儿女英雄》__清
18	那王二道：“不要说起，脚上 [生] 了个肿毒，两日腐烂，熬不得这样痛。”		《风流悟》__清
19	自此之后，魏二竟从容起来，常氏又连 [生] 二子，又随婆婆吃了长斋，买檀香塑了一尊观音菩萨，朝夕礼拜。		《风流悟》__清
20	老妇人接口道：“老身母家姓李，嫁与施家，先夫亡过十年，只 [生] 一个小女。		《风流悟》__清
21	只见他眉宇开展，气度幽娴，腮靥桃花，唇含樱颗；一双尖 [生]  [生] 的手儿，一对小可可的脚儿；虽然是个家常装束，却是满面春风，周身大雅。		《儿女英雄》__清
22	可惜这样人家，子嗣只 [生] 得一位小姐，叫名秀英，已是十八岁了，尚未吃茶。”		《风流悟》__清
23	刘万户只因这小姐 [生] 得聪明伶俐，善能吟诗作赋，爱惜他如掌上之珍，不肯嫁与平常人家，必要嫁与读书有功名之人，赘在家里，与他撑持门户。		《风流悟》__清
24	我从幼儿的毛病儿，见个 [生] 眼儿的娘儿们，就没说话先红脸，再要听见说媳妇儿，那更了不得了。		《儿女英雄》__清
25	谁想安公子虽是个年少后 [生] ，却 [生] 来的老成端正，一口咬定了几句圣经贤传，断不放松。		《儿女英雄》__清
26	列公莫认作十三妹 [生] 做蛮来，也莫怪道说书的胡谄硬扭。		《儿女英雄》__清
27	侯不多时，只听得墙头上果有秋千索放过来，施十娘扶了文 [生] ，文 [生] 吊住索子，扒上墙头，慌慌张张攀着一枯树枝，正欲跨到石上，不料那枯枝一断，从空倒跌在石峰上，立时丧命。		《风流悟》__清
28	施十娘见文 [生] 跨过了墙，只道落了好处，竟自闭门而睡，不题。		《风流悟》__清
29	小姐见文 [生] 已上墙头，正欲相迎，忽然跌下，竟不动了。		《风流悟》__清
30	一则恐明早父母看见尸首，查究起来，谴责难逃，二则文 [生] 因我而亡，我岂有独 [生] 之理？		《风流悟》__清
31	可怜嫩蕊娇花女，顿作亡 [生] 殒命人。		《风流悟》__清
32	那时施十娘起五更，就立在后门首等文 [生] 下来。		《风流悟》__清
33	按这段评话的面子听起来，似乎纯是十三妹一味的少不更事， [生] 做蛮来。		《儿女英雄》__清
34	施妈妈道：“并不关我事，这都是小姐自看上了文 [生] ，赋诗相约，自家做出来的。”		《风流悟》__清
35	只在主‘过不去’的上头，不免又 [生] 出一段疑惑来。		《儿女英雄》__清
