语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：男
2023/1/20 14:48:17

序号	语句	书名	朝代
1	冬，楚子、蔡侯、陈侯、许 [男] 伐郑。		《榖梁传》__春秋战国
2	八月壬午，许 [男] 宁卒于楚。		《榖梁传》__春秋战国
3	《彖》曰：“家人”，女正位乎内， [男] 正位乎外； [男] 女正，天地之大义也。		《周易》__周
4	五百里侯服：百里采，二百里 [男] 邦，三百里诸侯。		《尚书》__周
5	桀奔 [男] 巢，纣☆于京，厉流于彘，幽每于戏，皆是术也。		《国语》__春秋战国
6	自伯、子、 [男] 有大夫无卿，帅赋以从诸侯。		《国语》__春秋战国
7	 [男] 工作刻镂以为身服。		《墨子》__春秋战国
8	故圣人作诲 [男] 耕稼树艺。		《墨子》__春秋战国
9	 [男] 则玉帛、禽鸟，以章物也。		《国语》__春秋战国
10	是以天下之 [男] 多寡无妻。		《墨子》__春秋战国
11	仲尼闻之曰：“女知莫如妇， [男] 知莫如夫。		《国语》__春秋战国
12	 [男] 主必使同姓，妇主必使异姓。		《礼记》__春秋战国
13	四年春，王正月，公会齐侯、宋公、陈侯、卫侯、郑伯、许 [男] 、曹伯侵蔡。		《榖梁传》__春秋战国
14	夏，许 [男] 新臣卒。		《榖梁传》__春秋战国
15	公及齐侯、宋公、陈侯、卫侯、郑伯、许 [男] 、曹伯会王世子于首戴。		《榖梁传》__春秋战国
16	八年春，王正月，公会王人、齐侯、宋公、卫侯、许 [男] 、曹伯、陈世子款，盟于洮。		《榖梁传》__春秋战国
17	夏，公会宰周公、齐侯、宋子、卫侯、郑伯、许 [男] 、曹伯于葵丘。		《榖梁传》__春秋战国
18	夏，齐侯、许 [男] 伐北戎。		《榖梁传》__春秋战国
19	其无女主，则 [男] 主拜女宾于寝门内；其无 [男] 主，则 女主拜 [男] 宾于阼阶下。		《礼记》__春秋战国
20	公会齐侯、宋公、陈侯、卫侯、郑伯、许 [男] 、曹伯于咸。		《榖梁传》__春秋战国
21	三月，公会齐侯、宋公、陈侯、卫侯、郑伯、许 [男] 、曹伯，盟于牡丘。		《榖梁传》__春秋战国
22	越在外服，侯甸 [男] 卫邦伯，越在内服，百僚庶尹惟亚惟服宗工越百姓里居，罔敢湎于酒。		《尚书》__周
23	冬，十有二月，公会齐侯、宋公、陈侯、卫侯、郑伯、许 [男] 、邢侯、曹伯于淮。		《榖梁传》__春秋战国
24	予惟曰：“汝劼毖殷献臣、侯、甸、 [男] 、卫，矧太史友、内史友、越献臣百宗工，矧惟尔事服休，服采，矧惟若畴，圻父薄违，农夫若保，宏父定辟，矧汝，刚制于酒。		《尚书》__周
25	秋，宋公、楚子、陈侯、蔡侯、郑伯、许 [男] 、曹伯会于雩。		《榖梁传》__春秋战国
26	夏，宋公、卫侯、许 [男] 、滕子伐郑。		《榖梁传》__春秋战国
27	壮 [男] 之军，使盛食、厉兵，陈而待敌。		《商君书》__春秋战国
28	壮 [男] 过壮女之军，则 [男] 贵女，而奸民有从谋，而国亡；喜与，其恐有蚤闻，勇民不战。		《商君书》__春秋战国
29	壮 [男] 壮女过老弱之军，则老使壮悲，弱使强怜；悲怜在心，则使勇民更虑，而怯民不战。		《商君书》__春秋战国
30	三军：壮 [男] 为一军，壮女为一军， [男] 女之老弱者为一军，此之谓三军也。		《商君书》__春秋战国
31	冬，楚人、陈侯、蔡侯、郑伯、许 [男] 围宋。		《榖梁传》__春秋战国
32	 [男] 不言内，女不言外。		《礼记》__春秋战国
33	 [男] 子居外，女子居内，深宫固门，阍寺 守之， [男] 不入，女不出。		《礼记》__春秋战国
34	王若曰：“庶邦侯、甸、 [男] 、卫，惟予一人钊报诰。		《尚书》__周
35	三日，始负子， [男] 射女否。		《礼记》__春秋战国
36	三月之 末，择日剪发为{髟}， [男] 角女羁，否则 [男] 左女右。		《礼记》__春秋战国
37	夫告宰名，宰辩告诸 [男] 名，书曰某年某月某日生而藏之，宰告闾史， 闾史书为二，其一藏诸闾府，其一献诸州史，州史献诸州伯，州伯命藏诸州府。		《礼记》__春秋战国
38	能言， [男] 唯女俞。		《礼记》__春秋战国
39	 [男] ひ革，女ひ丝。		《礼记》__春秋战国
40	三十而有室，始理 [男] 事，博学无方，孙友视志。		《礼记》__春秋战国
41	凡 [男] 拜，尚左手。		《礼记》__春秋战国
42	昔者周公朝诸侯于明堂之位：天子负斧依南乡而立；三公，中阶之前，北面 东上；诸侯之位，阼阶之东，西面北上；诸伯之国，西阶之西，东面北上；诸子 之国，门东，北面东上；诸 [男] 之国，门西，北面东上；九夷之国，东门之外，西 面北上；八蛮之国，南门之外，北面东上；六戎之国，西门之外，东面南上；五 狄之国，北门之外，南面东上；九采之国，应门之外，北面东上。		《礼记》__春秋战国
43	冬，十月甲申，许 [男] 业卒。		《榖梁传》__春秋战国
44	兑以少女而从震之长 [男] ，而其情又为以说而动，皆		《周易》__周
45	神农之世， [男] 耕而食，妇织而衣；刑政不用而治，甲兵不起而王。		《商君书》__春秋战国
46	女事尽于内， [男] 事尽于外，则入多矣。		《商君书》__春秋战国
47	三月，公会刘子、晋侯、宋公、蔡侯、卫侯、陈子、郑伯、许 [男] 、曹伯、莒子、邾子、顿子、胡子、滕子、薛伯、杞伯、小邾子、齐国夏于召陵，侵楚。		《榖梁传》__春秋战国
48	越七日甲子，周公乃朝用书命庶殷侯甸 [男] 邦伯。		《尚书》__周
49	六年春，王正月癸亥，郑游速帅师灭许，以许 [男] 斯归。		《榖梁传》__春秋战国
50	侯、甸、 [男] 邦、采、卫百工、播民，和见士于周。		《尚书》__周
51	乾道成 [男] ，坤道成女。		《周易》__周
52	楚子、陈侯、随侯、许 [男] 围蔡。		《榖梁传》__春秋战国
53	 [男] 欲结精，心当像地似女，勿为事先。“		《老子想尔注》__春秋战国
54	 [男] 荼亦名根。“		《老子想尔注》__春秋战国
