语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：畜
2022/7/10 23:09:39

序号	语句	书名	朝代
1	令民家有三年 [畜] 蔬食。		《墨子》__春秋战国
2	无声之乐，气志既从；无体之礼， 上下和同；无服之丧，以 [畜] 万邦。		《礼记》__春秋战国
3	鸟兽成，水窗口远，水虞使用禁☆☆☆，设阱鄂，以实庙庖， [畜] 功用也。		《国语》__春秋战国
4	孟献子曰：“ [畜] 马乘不察于鸡豚，伐冰之家不 [畜] 牛羊，百乘之家不 [畜] 聚敛之臣，与其有聚敛之臣，宁有盗臣。”		《大学中庸》__春秋战国
5	 [畜] ，许六反。		《大学中庸》__春秋战国
6	 [畜] 马乘，士初试为大夫者也。		《大学中庸》__春秋战国
7	君子宁亡己之财，而不忍伤民之力；故宁有盗臣，而不 [畜] 聚敛之臣。		《大学中庸》__春秋战国
8	故以大 [畜] 小吉，以小 [畜] 大灭，以重使轻从，以轻使重凶。		《吕氏春秋》__春秋战国
9	位尊者其教受，威立者其奸止，此 [畜] 人之道也。		《吕氏春秋》__春秋战国
10	孟献子曰：“ [畜] 马乘不察于鸡豚，伐冰之家不 [畜] 牛羊，百乘之家不 [畜] 聚敛之臣，与其有		《大学中庸》__春秋战国
11	吾以为不若 [畜] 士之安也。		《墨子》__春秋战国
12	劝之以高位重 [畜] ，备刑戮以辱其不励者，令各轻其死。		《国语》__春秋战国
13	难得而易禄也，易禄而难 [畜] 也，非时不见，不亦难得乎？		《礼记》__春秋战国
14	非义不合，不 亦难 [畜] 乎？		《礼记》__春秋战国
15	予迓续乃命于天，予岂汝威，用奉 [畜] 汝众。		《尚书》__周
16	子妇无私 货，无私 [畜] ，无私器，不敢私假，不敢私与。		《礼记》__春秋战国
17	古我先后既劳乃祖乃父，汝共作我 [畜] 民，汝有戕则在乃心！		《尚书》__周
18	故明主之 [畜] 臣，臣不得越官而有功，不得陈言而不当。		《韩非子》__春秋战国
19	大 [畜] 于艮，亦以辉		《周易》__周
20	《周书》曰：“民，善之则 [畜] 也，不善则雠也。”		《吕氏春秋》__春秋战国
21	昔太古尝无君矣，其民聚生群处，知母不知父，无亲戚兄弟夫妻男女之别，无上下长幼之道，无进退揖让之礼，无衣服履带宫室 [畜] 积之便，无器械舟车城郭险阻之备。		《吕氏春秋》__春秋战国
22	无地固，城 郭恶，无 [畜] 积，财物寡，无守战之备而轻攻伐者，可亡也。		《韩非子》__春秋战国
23	此其恳田足以食其民，都邑遂路足以处其民，山林、薮泽、溪谷足以供其利，薮泽堤防足以 [畜] 。		《商君书》__春秋战国
24	故兵出，粮给而财有余；兵休，民作而 [畜] 长足。		《商君书》__春秋战国
25	夫国庸民以言，则民不 [畜] 于农。		《商君书》__春秋战国
26	犬马非其土性不 [畜] ，珍禽奇兽不育于国，不宝远物，则远人格；所宝惟贤，则迩人安。		《尚书》__周
27	逖，当作“惕”，与《小 [畜] 》六四同。		《周易》__周
28	憂忘其身，內忘其親，上忘其君，是刑法之所不舍也，聖王之所不 [畜] 也。		《荀子》__春秋战国
