语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：疼
2023/1/20 16:09:02

序号	语句	书名	朝代
1	天地湛然，则雲起露吐，万物滋润；迅雷风趣，则汉燥物 [疼] ，道气隐藏，常不周处。		《老子想尔注》__春秋战国
2	问其病由，云曾以手持一麦穗，即见一赤物长二尺许，似蛇，入其手指中，因惊倒地，即觉手臂 [疼] 肿。		《北史》__魏晋六朝
3	而两脚 [疼] 痹，犹自挛弱。		《北史》__魏晋六朝
4	但时制行及，归慕无赊，是以腆冒愆非，简息干黩耗歇难支，质用有限，自去夏侵暑，入此秋变，头齿眩 [疼] ，根痼渐剧，手足冷痹，左胛尤甚。		《宋书》__魏晋六朝
5	’其夜，盗者父病头痛，壮热烦 [疼] ，然亦来诣辂卜。		《三国志》__魏晋六朝
6	茶之为用，味至寒，为饮最宜精行俭德之人，若热渴、凝闷、脑 [疼] 、目涩、四支烦、百节不舒，聊四五啜，与醍醐、甘露抗衡也。		《茶经》__隋唐五代
7	和尚若也不信，使君现患生脑 [疼] 次无人医疗。		《敦煌变文》__隋唐五代
8	发言相问，是某●（体）患生脑 [疼] ，检尽药方，医疗不得。		《敦煌变文》__隋唐五代
9	耳聋眼暗腰 [疼] ，犹自忧家忧计，		《敦煌变文》__隋唐五代
10	茶吃只是● [疼] ，多吃令人患肚，一日打却十杯，肠胀又同衙鼓。		《敦煌变文》__隋唐五代
11	老病手 [疼] 无那尔，却资年少写风骚。		《全唐诗》__隋唐五代
12	价数千金贵，形相两眼 [疼] 。		《全唐诗》__隋唐五代
13	眼 [疼] 长不校，肺病且还无。		《全唐诗》__隋唐五代
14	丝细缲多女手 [疼] ，扎扎千声不盈尺。		《全唐诗》__隋唐五代
15	头痛牙 [疼] 三日卧，妻看煎药婢来扶。		《全唐诗》__隋唐五代
16	从肺生患者，身体胀满，四肢烦 [疼] ，心闷鼻塞等，肺主鼻故。		《小止观》__隋唐五代
17	今世愔襶子，触热到人家，主人闻客来，嚬噈奈此何，摇扇胛中 [疼] ，流汗正滂沱，传诫语高明，热行宜见诃。		《艺文类聚》__隋唐五代
18	而两脚 [疼] 痹，犹自挛弱。		《周书卷四十七》__隋唐五代
19	秀秀道∶“崔大夫，我脚 [疼] 了，走不得。”		《话本)》__宋
20	却说那小娘子，清早出了邻舍人家，挨上路去，行不上一二里，早是脚 [疼] 走不动，坐在路旁。		《话本)》__宋
21	丝细缫多女手 [疼] ，札札千声不盈尺。		《乐府诗集》__宋
22	忽地倚人陪笑道，真个是、脚儿 [疼] 。		《全宋词》__宋
23	离气不至，日月无光，五穀不成，人病目 [疼] ，冬中无冰，应在十一月内。		《太平御览》__宋
24	摇扇臂中 [疼] ，流汗正滂沱。		《太平御览》__宋
25	摇扇臂中 [疼] ，流汗正滂沱。		《太平御览》__宋
26	师扪膺曰：“学人今日脾 [疼] 。”		《五灯会元》__宋
27	腰痛脊急，腿痹臀顽，腕 [疼] 胫瘦，阴萎精竭血干骨枯，皆血尸之作也。		《云笈七签》__宋
28	秋宜食酸，酸走骨，多食酸则筋缩、骨中 [疼] 。		《云笈七签》__宋
29	则行步劲速，进退坚强，腰窍玉房及膀胱股胫无 [疼] 滞之疾。		《云笈七签》__宋
30	勿跂床悬脚，久成血卑，足重腰 [疼] 。		《云笈七签》__宋
