语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：疾
2022/7/10 22:57:11

序号	语句	书名	朝代
1	九三，明夷于南狩，得其大首，不可 [疾] 贞。		《周易》__周
2	然不可以亟也，故有不可 [疾] 贞之戒。		《周易》__周
3	然则秃者不免，伛者不袒，跛者不踊，非不悲也：身有锢 [疾] ，不可以备礼也。		《礼记》__春秋战国
4	一曰：凡人主必审分，然後治可以至，奸伪邪辟之涂可以息，恶气苛 [疾] 无自至。		《吕氏春秋》__春秋战国
5	’民 [疾] 君之侈也，是以遂于逆命。		《国语》__春秋战国
6	今嘉其梦侈必展，是天夺之鉴而益其 [疾] 也。		《国语》__春秋战国
7	民 [疾] 其态，天又诳之；大国来诛，出令而逆；宗国既卑，诸侯远己。		《国语》__春秋战国
8	譬之如 [疾] ，余恐易焉。		《国语》__春秋战国
9	六四，损其 [疾] ，使遄有喜，无咎。		《周易》__周
10	人之有技，媢 [疾] 以恶之，人之彦圣，而违之俾不通，寔不能容，以不能保我子孙黎民，亦曰殆哉。”		《大学中庸》__春秋战国
11	以初九之阳刚益己，而损其阴柔之 [疾] ，唯速则善。		《周易》__周
12	《象》曰：“损其 [疾] ”，亦可喜也。		《周易》__周
13	言有此媢 [疾] 之人，妨贤而病国，则仁人必深恶而痛绝之。		《大学中庸》__春秋战国
14	生财有大道，生之者众，食之者寡，为之者 [疾] ，用之者舒，则财恒足矣。		《大学中庸》__春秋战国
15	吕氏曰：“国无游民，则生者众矣；朝无幸位，则食者寡矣；不夺农时，则为之 [疾] 矣；量入为出，则用之舒矣。		《大学中庸》__春秋战国
16	为人臣下者，有谏而无讪，有亡而无 [疾] ；颂而无讠阎，谏而无骄；怠则张而 相之，废则埽而更之。		《礼记》__春秋战国
17	于是乎有鳏寡孤 [疾] ，有军旅之出则征之，无则已。		《国语》__春秋战国
18	天亦惟用勤毖我民，若有 [疾] ，予曷敢不于前宁人攸受休毕！”		《尚书》__周
19	“令夫农，群萃而州处，察其四时，权节其用，耒、耜、☆、芟，及寒，击☆除田，以待时耕；及耕，深改良而 [疾] ☆之，以待时雨。		《国语》__春秋战国
20	人之有技，媢 [疾] 以恶之，人之彦圣，而违之俾不通，寔不能容，以不能保我子孙黎民，亦曰		《大学中庸》__春秋战国
21	生财有大道，生之者众，食之者寡，为之者 [疾] ，用之者舒，则财恒足矣。		《大学中庸》__春秋战国
22	 [疾] 大渐，惟几，病日臻。		《尚书》__周
23	今天降 [疾] ，殆弗兴弗悟。		《尚书》__周
24	养有 [疾] 者不丧服，遂以主其丧。		《礼记》__春秋战国
25	胜书说周公旦曰：“延小人众，徐言则不闻， [疾] 言则人知之。		《吕氏春秋》__春秋战国
26	徐言乎， [疾] 言乎？”		《吕氏春秋》__春秋战国
27	令孤子、寡妇、 [疾] 疹、贫不必者，纳宦其子。		《国语》__春秋战国
28	今其来也，刚强而力 [疾] ，王姑待之。”		《国语》__春秋战国
29	晋襄公使人於周曰：“弊邑寡君寝 [疾] ，卜以守龟，曰：‘三涂为祟。		《吕氏春秋》__春秋战国
30	六极：一曰凶、短、折，二曰 [疾] ，三曰忧，四曰贫，五曰恶，六曰弱。		《尚书》__周
31	武王有 [疾] ，周公作《金滕》。		《尚书》__周
32	尽其阳节、盈吾阴节而夺之，宜为人客，刚强而力 [疾] ；阳节不尽，轻而不可取。		《国语》__春秋战国
33	既克商二年，王有 [疾] ，弗豫。		《尚书》__周
34	可不可无辩，而以赏罚，其罚愈 [疾] ，其乱愈 [疾] 。		《吕氏春秋》__春秋战国
35	史乃册，祝曰：“惟尔元孙某，遘厉虐 [疾] 。		《尚书》__周
36	不能食粥、羹之以菜可 也；有 [疾] 、食肉饮酒可也。		《礼记》__春秋战国
37	惟荒腆于酒，不惟自息乃逸，厥心 [疾] 很，不克畏死。		《尚书》__周
38	然则是子亦贵有狂 [疾] 也。		《墨子》__春秋战国
39	尔无忿 [疾] 于顽，无求备于一夫。		《尚书》__周
40	君于大夫 [疾] ，三问之；在殡，三往焉。		《礼记》__春秋战国
41	士 [疾] ，一问之，在殡，一 往焉。		《礼记》__春秋战国
42	王亲命之曰：“我有大事，子有眩瞀之 [疾] ，其归若已。		《国语》__春秋战国
43	明日徇于军，曰：“有眩瞀之 [疾] 者，以告。”		《国语》__春秋战国
44	击我则 [疾] 击彼则不 [疾] 于我。		《墨子》__春秋战国
45	王曰：“越国之中， [疾] 者吾问之，死者吾葬之，老其老，慈其幼，长其孤，问其病，求以报吴。		《国语》__春秋战国
46	九二，鼎有实，我仇有 [疾] ，不我能即，吉。		《周易》__周
47	我仇有 [疾] ”，终无尤也。		《周易》__周
48	以适父母舅姑之所，及所，下气怡声，问衣燠寒， [疾] 痛苛痒，而敬抑搔之。		《礼记》__春秋战国
49	子妇未孝未敬，勿庸 [疾]  怨，姑教之；若不可教，而后怒之；不可怒，子放妇出，而不表礼焉。		《礼记》__春秋战国
50	父母怒不说，而挞之流血，不敢 [疾] 怨，起敬起孝。		《礼记》__春秋战国
51	 [疾] 驱而从之，亦死而不反。		《吕氏春秋》__春秋战国
52	失于政，陈于兹，高后丕乃崇降罪 [疾] ，曰‘曷虐朕民？		《尚书》__周
53	’汝万民乃不生生，暨予一人猷同心，先后丕降与汝罪 [疾] ，曰：‘曷不暨朕幼孙有比？		《尚书》__周
54	故曰德之速， [疾] 乎以邮传命。”		《吕氏春秋》__春秋战国
55	凡民之所 [疾] 战不避死者，以求爵禄也。		《商君书》__春秋战国
56	楚国之民，齐 [疾] 而均，速若飘风；宛钜铁☆，利若蜂虿；胁鲛犀兕，坚若金石；江、汉以为池，汝、颖以为限；隐以邓林，缘以方城。		《商君书》__春秋战国
57	故明主察法，境内之民无辟淫之心，游处之士迫于战阵，万民 [疾] 于耕战。		《商君书》__春秋战国
58	于是犯之者其诛重而必，告之者其赏厚而信，故奸莫不得而被刑者众，民 [疾] 怨而众过日闻。		《韩非子》__春秋战国
59	国有无功得赏者，则民不外务当敌斩首，内不急力田 [疾] 作，皆欲行货财，事富贵，为私善，立名誉，以取尊官厚俸。		《韩非子》__春秋战国
60	威太甚则爱利之心息，爱利之心息，而徒 [疾] 行威，身必咎矣。		《吕氏春秋》__春秋战国
61	痛 [疾] 哀苦，亡失忧 惧，又几居其半矣。		《列子》__春秋战国
62	战既罢，共王欲战，令人召司马子反，司马子反辞以心 [疾] 。		《韩非子》__春秋战国
63	会有一欲，则北至大夏，南至北户，西至三危，东至扶木，不敢乱矣；犯白刃，冒流矢，趣水火，不敢却也；晨寤兴，务耕 [疾] 庸，巽为烦辱，不敢休矣。		《吕氏春秋》__春秋战国
64	启乃心，沃朕心，若药弗瞑眩，厥 [疾] 弗瘳；若跣弗视地，厥足用伤。		《尚书》__周
65	六二，丰其蔀，日中见斗，往得疑 [疾] ，有孚发若，吉。		《周易》__周
66	陷队之士，知 [疾] 斗，不得，斩首；队五人，则陷队之士，人赐爵一级；死，则一人后；不能死之，千人环，规谏，黥劓于城下。		《商君书》__春秋战国
67	宁戚饭牛居车下，望桓公而悲，击牛角 [疾] 歌。		《吕氏春秋》__春秋战国
68	百姓曰：“我 [疾] 农，先实公仓，收余以食亲；为上忘生而战，以尊主安国也。		《商君书》__春秋战国
69	农民不饥，行不饰，则公作必 [疾] ，而私作不荒，则农事必胜。		《商君书》__春秋战国
70	然则往速来 [疾] ，则业不败农。		《商君书》__春秋战国
71	惠笃叙，无有遘自 [疾] ，万年厌于乃德，殷乃引考。		《尚书》__周
72	窳惰之农勉 [疾] ，商欲农，则草必垦矣。		《商君书》__春秋战国
73	愚农不知，不好学问，则务 [疾] 农。		《商君书》__春秋战国
74	下不非上，中不苦官，则壮民 [疾] 农不变。		《商君书》__春秋战国
75	壮民 [疾] 农不变，则少民学之不休。		《商君书》__春秋战国
76	农无得粜，则窳惰之农勉 [疾] 。		《商君书》__春秋战国
77	夫醉者之坠于车也，虽 [疾] 不死。		《列子》__春秋战国
78	九四，商兑未宁，介 [疾] 有喜。		《周易》__周
79	变褊而心急，轻 [疾] 而易动发，心 悁忿而不訾前后者，可亡也。		《韩非子》__春秋战国
80	然质本阳刚，故能介然守正，而 [疾] 恶柔邪也。		《周易》__周
81	夫香美脆味，厚酒肥肉，甘口而 [疾] 形；曼理皓齿，说情而捐精。		《韩非子》__春秋战国
82	 [疾] 不必生，徐不必死。		《吕氏春秋》__春秋战国
83	 [疾] 其以火攻也。		《榖梁传》__春秋战国
84	人之有技，冒 [疾] 以恶之；人之彦圣而违之，俾不达是不能容，以不能保我子孙黎民，亦曰殆哉！		《尚书》__周
85	登高而招，臂非加長也，而見者遠；順風而呼，聲非加 [疾] 也，而聞者彰。		《荀子》__春秋战国
86	孔子曰：听远音者，闻其 [疾] 而不闻其舒；望远者，察其貌而不察其形。		《榖梁传》__春秋战国
87	曰：“未也，犹  [疾] 视而盛气。		《列子》__春秋战国
88	康王蹀足謦欬， [疾] 言曰：“寡人之所说者，勇有力也，不说 为仁义者也。		《列子》__春秋战国
89	魏武侯谋事而当，攘臂 [疾] 言於庭曰：“大夫之虑，莫如寡人矣！”		《吕氏春秋》__春秋战国
90	王其 [疾] 敬德！		《尚书》__周
91	不下比以暗上，不上同以 [疾] 下，分爭於中，不以私害之，若是則可謂公士矣。		《荀子》__春秋战国
92	肆惟王其 [疾] 敬德？		《尚书》__周
93	及管夷吾有病，小白问之，曰：“仲父之病 [疾] 矣，可不讳。		《列子》__春秋战国
94	群臣多谏於太子者，曰：“雪甚如此而行葬，民必甚 [疾] 之，官费又恐不给，请弛期更日。”		《吕氏春秋》__春秋战国
95	若有 [疾] ，惟民其毕弃咎。		《尚书》__周
96	材性知能，君子小人一也；好榮惡辱，好利惡害， 是君子小人之所同也；若其所以求之之道則異矣∶小人也者， [疾] 為誕而欲人之信己也， [疾] 為詐而欲人之親己也，禽獸之行而欲人之善己也；慮之難知也，行之難安也，持之難立也，成則必不得其所好，必遇其所惡焉。		《荀子》__春秋战国
97	季梁得 [疾] ，七日大渐。		《列子》__春秋战国
98	目辨白黑美惡，耳辨聲音清濁，口辨酸咸甘苦，鼻辨芬芳腥臊，骨體膚理辨寒暑 [疾] 養，是又人之所常生而有也，是無待而然者也，是禹桀之所同也。		《荀子》__春秋战国
99	子弗祗服厥父事，大伤厥考心；于父不能字厥子，乃 [疾] 厥子。		《尚书》__周
100	一曰矫氏，二曰俞氏，三曰卢氏，诊其所 [疾] 。		《列子》__春秋战国
101	卢氏曰：“汝 [疾] 不由天，亦不由人，亦不由鬼。		《列子》__春秋战国
102	俄而季梁之  [疾] 自瘳。		《列子》__春秋战国
103	故贤者之致功名也，比乎良医，而君人者不知 [疾] 求，岂不过哉！		《吕氏春秋》__春秋战国
104	郑公子去 [疾] 帅师伐许。		《榖梁传》__春秋战国
105	拔矢而走，伏尸插矢而 [疾] 言曰：“群臣乱王！”		《吕氏春秋》__春秋战国
106	鲍叔因 [疾] 驱先入，故公子小白得以为君。		《吕氏春秋》__春秋战国
107	君雖不知，無怨 [疾] 之心；功雖甚大，無伐德之色；省求多功，愛敬不倦∶如是則常無不順矣。		《荀子》__春秋战国
108	为尊者讳耻，为贤者讳过，为亲者讳 [疾] 。		《榖梁传》__春秋战国
109	此人以父 子有 [疾] 皆免。		《列子》__春秋战国
110	及围解而 [疾] 俱复。		《列子》__春秋战国
111	孙叔敖 [疾] 将死，戒其子曰：“王亟封我矣，吾不受也，为我死，王则封汝。		《列子》__春秋战国
112	五 [疾] ，上收而養之，材而事之，官施而衣食之，兼覆無遺。		《荀子》__春秋战国
113	故近者不隱其能，遠者不 [疾] 其勞，無幽閑隱僻之國，莫不趨使而安樂之。		《荀子》__春秋战国
114	积死迟怒，伤死以 [疾] ，五藏以伤，道不能治，故道诫之重，教之丁宁。		《老子想尔注》__春秋战国
115	君臣上下之間者，彼將厲厲焉日日相離 [疾] 也，我將頓頓焉日日相親愛也，以是待其敝。		《荀子》__春秋战国
116	食其皮汁，已愤厥之 [疾] 。		《列子》__春秋战国
117	越之於吴也，譬若心腹之 [疾] 也，虽无作，其伤深而在内也。		《吕氏春秋》__春秋战国
118	故國君長民者，欲趨時遂功，則和調累解，速乎急 [疾] ；忠信均辨，說乎慶賞矣；必先修正其在我者，然後徐責其在人者，威乎刑罰。		《荀子》__春秋战国
119	書曰∶「乃大明服，惟民其力懋，和而有 [疾] 。」		《荀子》__春秋战国
120	唯深也，故能通天下之志；唯几也，故能成天下之务；唯神也，故不 [疾] 而		《周易》__周
121	鲁公扈赵齐婴二人有 [疾] ，同请扁鹊求治。		《列子》__春秋战国
122	谓公扈齐婴曰： “汝曩之所 [疾] ，自外而干府藏者，固药石之所已。		《列子》__春秋战国
123	今有偕生之 [疾] ，与体偕长，今 为汝攻之，何如？”		《列子》__春秋战国
124	愿言思伯，甘心首 [疾] 。		《诗经》__周
125	今欲复此 [疾] ，要在帝王当专心信道诫也。		《老子想尔注》__春秋战国
126	其所触也，窃窃然有声，经物而物不 [疾]  也。		《列子》__春秋战国
127	其触物也，騞然而 过，随过随合，觉 [疾] 而不血刃焉。		《列子》__春秋战国
128	黑卵既醒，怒其妻曰：“醉而露我，使人嗌 [疾] 而腰 急。”		《列子》__春秋战国
129	遇我于门，三招我，亦使我体 [疾] 而支强，彼其 厌我哉！”		《列子》__春秋战国
130	变化之极，徐 [疾] 之间， 可尽模哉？”		《列子》__春秋战国
131	庄王善之，於是 [疾] 收士，日夜不懈，遂霸天下。		《吕氏春秋》__春秋战国
132	是以以浮虚为 [疾] 者，则梦扬；以沈实为 [疾] 者，则梦溺。		《列子》__春秋战国
133	於是还 [疾] 耕。		《吕氏春秋》__春秋战国
134	将阴梦火，将 [疾] 梦食。		《列子》__春秋战国
135	 [疾] 耕则家富，家富则有以求良狗，狗良则数得兽矣，田猎之获常过人矣。		《吕氏春秋》__春秋战国
136	韓之張崐去 [疾] ，趙之奉陽，齊之孟嘗，可謂篡臣也。		《荀子》__春秋战国
137	彼善为国者乘时 [疾] 徐而已矣谓之国会，		《管子》__春秋战国
138	彼善为国者乘时徐 [疾] 而已矣谓之国会，		《管子》__春秋战国
139	故無德之為道也，崐傷 [疾] 、墮功、滅苦，故君子不為也。		《荀子》__春秋战国
140	尹氏闻其友言，宽其役夫之 程，减己思虑之事， [疾] 并少间。		《列子》__春秋战国
141	用其終為始，則政令不行，而上下怨 [疾] ，亂所以自作也。		《荀子》__春秋战国
142	儒生欣然告 其子曰：“ [疾] 可已也。		《列子》__春秋战国
143	莫知其所施为也，而积年之 [疾] 一朝都除。		《列子》__春秋战国
144	秦人逄氏有子，少而惠，及壮而有迷罔之 [疾] 。		《列子》__春秋战国
145	同 [疾] 者多，固莫有觉者。		《列子》__春秋战国
146	故制號政令欲嚴以威慶賞刑罰欲必以信，處舍收藏欲周以固，徙舉進退欲安以重，欲 [疾] 以速；窺敵觀變欲潛以深，欲伍以參；遇敵決戰必道吾所明，無道吾所疑∶夫是之謂六術。		《荀子》__春秋战国
147	诸与天灾变怪，日月运珥，倍臣纵横，刺贯之咎，过罪所致；五星顺轨，客逆不曜， [疾] 疫之气，都悉止矣。“		《老子想尔注》__春秋战国
148	便辟左右不论功能而有爵禄则有百姓 [疾] 怨非上贱爵轻禄，		《管子》__春秋战国
149	堂上不糞，則郊草不瞻曠蕓；白刃捍乎胸，則目不見流矢；拔戟加乎首，則十指不辭斷；非不以此為務也， [疾] 養緩急之有相先者也。		《荀子》__春秋战国
150	故水旱不能使之饑，寒暑不能使之 [疾] ，祆怪不能使之兇。		《荀子》__春秋战国
151	故水旱未至而饑，寒暑未薄而 [疾] ，祆怪未至而兇──受時與治世同，而殃禍與治世異，不可以怨天，其道然也。		《荀子》__春秋战国
152	桓公不救裸体纫胸称 [疾] ，		《管子》__春秋战国
153	子曰：“古者民有三 [疾] ，今也或是之亡也。		《论语》__春秋战国
154	孺悲欲见孔子，孔子辞以 [疾] 。		《论语》__春秋战国
155	吾有 [疾] ，子能已乎？”		《列子》__春秋战国
156	凡此众 [疾] ，爵赏不能劝，刑罚不能威，盛衰、利害不能 易，哀乐不能移。		《列子》__春秋战国
157	此奚 [疾] 哉？		《列子》__春秋战国
158	今以圣智为 [疾]  者，或由此乎！		《列子》__春秋战国
159	动万物者，莫 [疾] 乎雷；桡万物者，莫 [疾] 乎风；燥万物者，莫熯乎		《周易》__周
160	伯牛有 [疾] ，子问之，自牖执其手，曰：“亡之，命矣夫！		《论语》__春秋战国
161	斯人也而有斯 [疾] 也！		《论语》__春秋战国
162	斯人也而有斯 [疾] 也！”		《论语》__春秋战国
163	一曰老老二曰慈幼三曰恤孤四曰养 [疾] 五曰合独六曰间病七曰通窍八曰振困九曰接绝，		《管子》__春秋战国
164	上收而之 [疾] 官而衣食之，		《管子》__春秋战国
165	霸王之君与而登山神见且走马前 [疾] 道也，		《管子》__春秋战国
166	使乌获 [疾] 引牛尾，尾绝力勯，而牛不可行，逆也。		《吕氏春秋》__春秋战国
167	夫牧民者不知其 [疾] 则民 [疾] ，		《管子》__春秋战国
168	凡听角如雉短木以鸣音 [疾] 以清，		《管子》__春秋战国
169	故傷於濕而痹，痹而擊鼓烹豚，則必有敝鼓喪豚之費矣，而未有俞 [疾] 之福也。		《荀子》__春秋战国
170	 [疾] ，君视之，东首，加朝服，拖绅。		《论语》__春秋战国
171	车中不内顾，不 [疾] 言，不亲指。		《论语》__春秋战国
172	妇人 [疾] ，问之不问其 [疾] 。		《礼记》__春秋战国
173	辟之以号令引之以徐 [疾] 也粟乎其归我若流水，		《管子》__春秋战国
174	孔子曰：“非敢为佞也， [疾] 固也。”		《论语》__春秋战国
175	今人之性，生而有好利焉，順是， 故爭奪生而辭讓亡焉；生而有 [疾] 惡焉，順是，故殘賊生而忠信亡焉；生而有耳目之欲，有好聲色焉，順是，故淫亂生而禮義文理亡焉。		《荀子》__春秋战国
176	旻天 [疾] 威，弗虑弗图。		《诗经》__周
177	人之有技，冒 [疾] 以恶之；人之彦圣，而违之俾不通： 实不能容，以不能保我子孙黎民，亦曰殆哉！”		《礼记》__春秋战国
178	鼠思泣血，无言不 [疾] 。		《诗经》__周
179	生财有大道，生之者众，食之者寡，为之者 [疾] ，用之者舒，则财恒足矣。		《礼记》__春秋战国
180	旻天 [疾] 威，敷于下土。		《诗经》__周
181	季春行冬令，则寒气时发，草木皆肃，国有大恐；行夏令，则民多 [疾] 疫，时雨不降，山陵不收；行秋令，则天多沈阴，淫雨早降，兵革并起。		《吕氏春秋》__春秋战国
182	故凡养生，莫若知本，知本则 [疾] 无由至矣。		《吕氏春秋》__春秋战国
183	凡食，无强厚味，无以烈味重酒，是以谓之 [疾] 首。		《吕氏春秋》__春秋战国
184	王霸之不求于人而求之终始四时之高下令之徐 [疾] 而已矣，		《管子》__春秋战国
185	君毋 以小谋大，毋以远言近，毋以内图外，则大臣不怨，迩臣不 [疾] ，而远臣不蔽矣。		《礼记》__春秋战国
186	叶公之顾命曰：毋以小谋败大作，毋以嬖御人 [疾] 庄后，毋以嬖御士 [疾] 庄士、大夫 卿士。		《礼记》__春秋战国
187	心之忧矣，疢如 [疾] 首。		《诗经》__周
188	譬彼坏木， [疾] 用无枝。		《诗经》__周
189	越之水浊重而洎故其民愚 [疾] 而妒，		《管子》__春秋战国
190	隱諱 [疾] 賢，良由奸詐鮮無災。		《荀子》__春秋战国
191	唯深也，故能通天下之志；唯几也，故能成天下之务；唯神也，故不 [疾] 而速，不行而至。		《周易》__周
192	孔子曰：“求，君子 [疾] 夫舍曰欲之而必为之辞。		《论语》__春秋战国
193	圣人生於 [疾] 学。		《吕氏春秋》__春秋战国
194	不 [疾] 学而能为魁士名人者，未之尝有也。		《吕氏春秋》__春秋战国
195	 [疾] 学在於尊师。		《吕氏春秋》__春秋战国
196	动万物者莫 [疾] 乎雷，挠万物者莫 [疾] 乎风，躁万物者莫乎火，说万物者莫说乎泽，润万物者莫润乎水，终万物始万物者莫盛乎艮。		《周易》__周
197	 [疾] 讽诵，谨司闻，观欢愉，问书意，顺耳目，不逆志，退思虑，求所谓，时辨说，以论道，不苟辨，必中法，得之无矜，失之无惭，必反其本。		《吕氏春秋》__春秋战国
