语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：病
2022/7/10 22:54:19

序号	语句	书名	朝代
1	言有此媢疾之人，妨贤而 [病] 国，则仁人必深恶而痛绝之。		《大学中庸》__春秋战国
2	齐孝公来伐鲁，臧文仲欲以辞告， [病] 焉，问于展禽。		《国语》__春秋战国
3	今国 [病] 矣，君盍以名器请籴于齐？”		《国语》__春秋战国
4	铸名器，藏宝财，固民之殄 [病] 是待。		《国语》__春秋战国
5	申向曰：“向则不肖，虽然公子年二十而相，见老者而使之战，请问孰 [病] 哉？”		《吕氏春秋》__春秋战国
6	疾大渐，惟几， [病] 日臻。		《尚书》__周
7	 [病] 郑也，著郑伯子罪也。		《榖梁传》__春秋战国
8	使人知之不必同说在 [病] 。		《墨子》__春秋战国
9	以 [病] 缯子也。		《榖梁传》__春秋战国
10	人之所得于 [病] 者多方。		《墨子》__春秋战国
11	王曰：“越国之中，疾者吾问之，死者吾葬之，老其老，慈其幼，长其孤，问其 [病] ，求以报吴。		《国语》__春秋战国
12	然而兵甲顿，士民 [病] ，蓄积索，田畴荒，囷仓虚，四邻诸候不 服，霸王之名不成。		《韩非子》__春秋战国
13	前 者穰候之治秦也，用一国之兵而欲以成两国之功，是故兵终身暴露于外，士民疲  [病] 于内，霸王之名不成。		《韩非子》__春秋战国
14	内者，吾甲兵顿，士民 [病] ，蓄积 索，田畴荒，囷仓虚。		《韩非子》__春秋战国
15	儒有今人与居，古人与稽；今世行之，后世以为楷；适弗逢世，上弗援，下 弗推，谗谄之民，有比党而危之者，身可危也，而志不可夺也，虽危起居，竟信 其志，犹将不忘百姓之 [病] 也。		《礼记》__春秋战国
16	臣斯甚以为不然：秦之有韩，若人之有腹心之 [病] 也。		《韩非子》__春秋战国
17	夫韩虽臣于秦，未尝不为秦 [病] ，今若有卒报之事，韩不可信也。		《韩非子》__春秋战国
18	夫韩不服秦之义而服于强也，今专于齐，赵，则韩必为腹心之 [病] 而发矣。		《韩非子》__春秋战国
19	与死人同 [病] 者，不可生也；与亡国同事者，不可存也。		《韩非子》__春秋战国
20	卑以尊致， [病] 文公也。		《榖梁传》__春秋战国
21	平公之身遂癃 [病] 。		《韩非子》__春秋战国
22	及其 [病] 也，无药石之 储；及其死也；无瘗埋之资。		《列子》__春秋战国
23	城中巢居而处，悬釜而炊，财食将尽，士大夫羸 [病] 。		《韩非子》__春秋战国
24	襄子谓张孟谈曰：“粮食匮，财力尽，士大夫羸 [病] ，吾恐不能守矣！		《韩非子》__春秋战国
25	桓公从而问之曰：“仲父家居有 [病] ，即不幸而不起此 [病] ，政安迁之？”		《韩非子》__春秋战国
26	弥子瑕母 [病] ，人间往夜告弥子，弥子矫驾君车以出。		《韩非子》__春秋战国
27	于是不服，为天子 [病] 矣。		《榖梁传》__春秋战国
28	罚惩非死，人极于 [病] 。		《尚书》__周
29	若此则 [病] 无所居，而恶无由生矣。		《吕氏春秋》__春秋战国
30	 [病] 之留、恶之生也，精气郁也。		《吕氏春秋》__春秋战国
31	宋公服以 [病] 告而还师，可谓不穷矣。		《吕氏春秋》__春秋战国
32	及管夷吾有 [病] ，小白问之，曰：“仲父之 [病] 疾矣，可不讳。		《列子》__春秋战国
33	矫氏谓季梁 曰：“汝寒温不节，虚实失度， [病] 由饥饱色欲。		《列子》__春秋战国
34	 [病] 非一朝一夕之故，其所由来渐矣，弗可已也。”		《列子》__春秋战国
35	得与亡孰 [病] 。		《老子》__春秋战国
36	未可直至也， 遠舉則 [病] 繆，近世則 [病] 傭。		《荀子》__春秋战国
37	71.知不知上，不知知 [病] 。		《老子》__春秋战国
38	夫唯 [病]  [病] ，是以不 [病] 。		《老子》__春秋战国
39	圣人不 [病] ，以其 [病]  [病] 。		《老子》__春秋战国
40	夫唯 [病] 		《老子》__春秋战国
41	 [病] ，是以不 [病] 。		《老子》__春秋战国
42	发一藏则故克所胜，成 [病] 煞人。		《老子想尔注》__春秋战国
43	夫齐之於吴也，疥癣之 [病] 也，不苦其已也，且其无伤也。		《吕氏春秋》__春秋战国
44	以师而易取，郑 [病] 矣。		《榖梁传》__春秋战国
45	以师而易取，宋 [病] 矣。		《榖梁传》__春秋战国
46	土气温适，不织不衣；百年而死，不夭不 [病] 。		《列子》__春秋战国
47	元元不旋，子不念供养，民不念田，但逐耶学，倾侧师门，尽气诵 [病] ，到於穷年。		《老子想尔注》__春秋战国
48	管仲有 [病] 桓公往问之曰仲父之 [病]  [病] 矣，		《管子》__春秋战国
49	尹氏 [病] 之，以访其友。		《列子》__春秋战国
50	宋阳里华子中年 [病] 忘，朝取而夕忘，夕与而朝忘；在途则忘行，在室而忘坐； 今不识先，后不识今。		《列子》__春秋战国
51	強本而節用，則天不能貧；養備而動時，則天不能 [病] ；修道而不貳，則天不能禍。		《荀子》__春秋战国
52	然先言子所 [病] 之正。”		《列子》__春秋战国
53	王公則 [病] 不足於上，庶人則凍喂羸瘠於下。		《荀子》__春秋战国
54	說莫 [病] 是矣。		《荀子》__春秋战国
55	民 [病] 则多诈夫诈密而后动者胜诈则不信于民夫不信于民则乱内动则危于身，		《管子》__春秋战国
56	管仲又请曰间 [病] 臣愿赏而无罚，		《管子》__春秋战国
57	 [病] 间，曰：“久矣哉，由之行诈也！		《论语》__春秋战国
58	一曰老老二曰慈幼三曰恤孤四曰养疾五曰合独六曰间 [病] 七曰通窍八曰振困九曰接绝，		《管子》__春秋战国
59	管仲有 [病] ，桓公往问之，曰：“仲父之 [病] 矣。		《吕氏春秋》__春秋战国
60	今 [病] 在於朝夕之中，臣奚能言？”		《吕氏春秋》__春秋战国
61	虽然，我适有幽忧之 [病] ，方将治之，未暇在天下也。”		《吕氏春秋》__春秋战国
62	性傷謂之 [病] ，節遇謂之命。		《荀子》__春秋战国
63	修己以安百姓，尧、舜其犹 [病] 诸。”		《论语》__春秋战国
64	出其财物以振贫 [病] 分其故资，		《管子》__春秋战国
65	 [病] 者，感衰气而不神也。		《鬼谷子》__春秋战国
66	故曰：辞言有五：曰 [病] 、曰恐、曰忧、曰怒、曰喜。		《鬼谷子》__春秋战国
67	夫弗能兑而反说，是拯溺而垂之以石也，是救 [病] 而饮之以堇也。		《吕氏春秋》__春秋战国
68	丑不能，恶不知， [病] 矣。		《吕氏春秋》__春秋战国
69	靡笄之役，☆献子伤，曰：“余 [病] 喙。”		《国语》__春秋战国
70	吾子忍之，不可以言 [病] 。		《国语》__春秋战国
71	 [病] 未若死，祗以解志。”		《国语》__春秋战国
72	对曰：“ [病] 不得其众也。”		《礼记》__春秋战国
73	在陈绝粮，从者 [病] ，莫能兴。		《论语》__春秋战国
74	子曰：“君子 [病] 无能焉，不 [病] 人之不己知也。”		《论语》__春秋战国
75	曾子 [病] ，曾元持足。		《荀子》__春秋战国
76	孔子對曰∶「所謂賢人者，行中規繩而不傷於本，言足法於天下而不傷於身，富有天下而無怨財，布施天下而不 [病] 貧。		《荀子》__春秋战国
77	人 [病] 舍其田而芸人之田所求于人者重，而所以自任者轻。”		《孟子》__春秋战国
78	公曰：“舅所 [病] 也？”		《国语》__春秋战国
79	景公 [病] 水，卧十数日，夜梦与二日斗，不胜。		《晏子春秋》__春秋战国
80	一阴不胜二阳，故 [病] 将已。		《晏子春秋》__春秋战国
81	占梦者对曰；“公之所 [病] ，阴也，日者，阳也。		《晏子春秋》__春秋战国
82	一阴不胜二阳，公 [病] 将已。”		《晏子春秋》__春秋战国
83	居三日，(p.382)公 [病] 大愈，公且赐占梦者。		《晏子春秋》__春秋战国
84	公所 [病] 者，阴也，日者，阳也。		《晏子春秋》__春秋战国
85	吕甥曰：“以韩之 [病] ，兵甲尽矣。		《国语》__春秋战国
86	景公 [病] 疽在背，高子国子请。		《晏子春秋》__春秋战国
87	王笑曰；“圣人非所与熙也，寡人反取 [病] 焉。”		《晏子春秋》__春秋战国
88	阳城胥渠处广门之官，夜款门而谒曰：“主君之臣胥渠有疾，医教之曰；‘得白骡之肝， [病] 则止；不得则死。		《吕氏春秋》__春秋战国
89	时出行路，从车载食，以视孤寡老弱之渍 [病] 、困穷、颜色愁悴、不赡者，必身自食之。		《吕氏春秋》__春秋战国
90	人 [病] 不求耳。		《孟子》__春秋战国
91	王 [病] 之，曰：“子复语。		《国语》__春秋战国
92	无若宋人然：宋人有闵其苗之不长而揠之者，芒芒然归，谓其人曰：‘今日 [病] 矣！		《孟子》__春秋战国
93	视不明，听不 聪，行不正，不知哀，君子 [病] 之。		《礼记》__春秋战国
94	孔子曰：“身有疡则浴，首有创则沐， [病] 则饮酒食肉。		《礼记》__春秋战国
95	毁瘠为 [病] ，君子弗为 也。		《礼记》__春秋战国
96	晏子 [病] ，将死，凿楹纳书焉，谓其妻曰：“楹语也，子壮而示之。”		《晏子春秋》__春秋战国
97	晏子 [病] ，将死，其妻曰：“夫子无欲言乎？”		《晏子春秋》__春秋战国
98	魏公叔座疾，惠王往问之，曰：“公叔之 [病] ，嗟！		《吕氏春秋》__春秋战国
99	民人苦 [病] ，夫妇皆诅。		《晏子春秋》__春秋战国
100	今之欲王者，犹七年之 [病] 求三年之艾也。		《孟子》__春秋战国
101	岁十一月，徒杠成；十二月，舆梁成，民未 [病] 涉也。		《孟子》__春秋战国
102	晏子 [病] 将死凿楹纳书命子壮示之第三十                                 428		《晏子春秋》__春秋战国
103	晏子 [病] 将死妻问所欲言云毋变尔俗第二十九                             427		《晏子春秋》__春秋战国
104	景公 [病] 疡晏子抚而对之乃知群臣之野第七                               386		《晏子春秋》__春秋战国
