语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：痛
2023/1/20 16:08:57

序号	语句	书名	朝代
1	国之将亡，其君贪冒、辟邪、淫佚、荒怠、粗秽、暴虐；其政腥臊，馨香不登，其刑矫诬，百姓携贰，明神不蠲而民有远志，民神怨 [痛] ，无所依怀，故神亦往焉，观其苛慝而降之祸。		《国语》__春秋战国
2	言有此媢疾之人，妨贤而病国，则仁人必深恶而 [痛] 绝之。		《大学中庸》__春秋战国
3	创钜者其日久， [痛] 甚者其愈迟，三年者，称情而立文， 所以为至 [痛] 极也。		《礼记》__春秋战国
4	斩衰苴杖，居倚庐，食粥，寝苫枕块，所以为至 [痛] 饰也。		《礼记》__春秋战国
5	以适父母舅姑之所，及所，下气怡声，问衣燠寒，疾 [痛] 苛痒，而敬抑搔之。		《礼记》__春秋战国
6	故文王说纣而纣囚之；翼候炙；鬼候腊，比干剖心；梅伯酸；夷吾束缚；而曹羁奔陈；伯里子道乞；传说转鬻；孙子膑脚于魏；吴起收泣于岸门， [痛] 西河之为秦，卒枝解于楚；公叔痤言国器反为悖，公孙鞅奔秦；关龙逢斩；苌弘分胣；尹子罕于棘；司马子期死而浮于江；田明辜射；宓子贱、西门豹不斗而死人手；董安于死而陈于市；宰予不免于田常；范雎折协于魏。		《韩非子》__春秋战国
7	 [痛] 疾哀苦，亡失忧 惧，又几居其半矣。		《列子》__春秋战国
8	申曰：“臣闻君子耻之，小人 [痛] 之。		《吕氏春秋》__春秋战国
9	耻之不变， [痛] 之何益？”		《吕氏春秋》__春秋战国
10	其于人也，为加忧，为心病，为耳 [痛] ，为血卦，为		《周易》__周
11	創巨者其日久， [痛] 甚者其愈遲，三年之喪，稱情而立文，所以為至 [痛] 極也。		《荀子》__春秋战国
12	齊衰、苴杖、居廬、食粥、席薪、枕塊、所以為至 [痛] 飾也。		《荀子》__春秋战国
13	其于人也，为加忧，为心病，为耳 [痛] ，为血卦，为赤。		《周易》__周
14	其藏於民心，捷於肌肤也，深 [痛] 执固，不可摇荡，物莫之能动。		《吕氏春秋》__春秋战国
15	孟子曰：“今有无名之指屈而不信，非疾 [痛] 害事也，如有能信之者，同不远秦楚之路，为指之不若人也。		《孟子》__春秋战国
16	民参其力，二入于公，而衣食其一；公积朽蠹，而老少冻馁；国都之市，屦贱而踊贵，民人 [痛] 疾，或燠休之。		《晏子春秋》__春秋战国
17	虽异处而相通，隐志相及， [痛] 疾相救，忧思相感，生则相欢，死则相哀，此之谓骨肉之亲。		《吕氏春秋》__春秋战国
18	孝子之重其亲也，慈亲之爱其子也， [痛] 於肌骨，性也。		《吕氏春秋》__春秋战国
19	又有左史倚相，能道训典，以叙百物，以朝夕献善败于寡君，使寡君无忘先王之业；又能上下说于鬼神，顺道其欲恶，使神无有怨 [痛] 于楚国。		《国语》__春秋战国
20	其适遇淫君，外内颇邪，上下怨疾，动作辟违，从欲厌私，高台深池，撞钟舞女，斩刈民力，输掠其聚，以成其违，不恤後人，暴虐淫纵，肆行非度，无所还忌，不思谤☆，不惮鬼神，神怒民 [痛] ，无悛于心。		《晏子春秋》__春秋战国
21	恻怛之心， [痛] 疾之意，伤肾干肝焦 肺，水浆不入口，三日不举火，故邻里为之糜粥以饮食之。		《礼记》__春秋战国
22	 [痛] 疾在心，故口不甘味，身不安美也。		《礼记》__春秋战国
23	恻怛之心， [痛] 疾之 意，悲哀志懑气盛，故袒而踊之，所以动体安心下气也。		《礼记》__春秋战国
24	妇人不宜袒，故发胸击 心爵踊，殷殷田田，如坏墙然，悲哀 [痛] 疾之至也。		《礼记》__春秋战国
25	民物多变，民何乡非利，利维生 [痛] ， [痛] 维生乐，乐维生礼，礼维生义，义维生仁。		《逸周书》__春秋战国
26	且夫饰民之欲，而严其听，禁其心，圣人所难也，而况夺其财而饥之，劳其力而疲之，常致其苦而严听其狱， [痛] 诛其罪，非婴所知也。”		《晏子春秋》__春秋战国
27	 [痛] 凤兮远逝，畜鴳兮近处。		《楚辞》__春秋战国
28	背膺牉以交 [痛] 兮，心郁结而纡轸。		《楚辞》__春秋战国
29	然发之之道，当 [痛] 惩而暂舍之，以观其后。		《周易》__周
30	 [痛] 忠言之逆耳兮，恨申子之沉江。		《楚辞》__春秋战国
31	暴虐淫従，肆行非度，无所还忌，不思谤讟不惮鬼神，神怒民 [痛] ，无悛于心。		《左传》__春秋战国
