语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：白
2022/7/10 23:14:08

序号	语句	书名	朝代
1	厥土惟 [白] 壤，厥赋惟上上错，厥田惟中中。		《尚书》__周
2	厥土 [白] 坟，海滨广斥。		《尚书》__周
3	假，更 [白] 反。		《周易》__周
4	西征攘 [白] 狄之地，至于西河，方舟设☆，乘桴济河，至于石枕。		《国语》__春秋战国
5	桓公惧，出见客曰：“天威不违颜咫尺，小 [白] 余敢承天子之命曰‘尔无下拜’，恐陨越于下，以为天子羞。”		《国语》__春秋战国
6	孔子闲居第二十九 (注疏本P1616  [白] 文本P891)		《礼记》__春秋战国
7	投壶第四十 (注疏本P1665  [白] 文本P 934)		《礼记》__春秋战国
8	 [白] 之顾益黑，求之愈不得者，其此义邪！		《吕氏春秋》__春秋战国
9	虢公梦在庙，有神人面 [白] 毛虎爪，执钺立于西阿，公惧而走。		《国语》__春秋战国
10	故博闻之人、强识之士阙矣，事耳目、深思虑之务败矣，坚 [白] 之察、无厚之辩外矣。		《吕氏春秋》__春秋战国
11	深衣第三十九 (注疏本P1664  [白] 文本P 933)		《礼记》__春秋战国
12	射义第四十六 (注疏本P1686  [白] 文本P 953)		《礼记》__春秋战国
13	则以此不人不知 [白] 黑之辩矣。		《墨子》__春秋战国
14	此譬犹盲者之与人同命 [白] 墨之名。		《墨子》__春秋战国
15	少仪第十七 (注疏本P1510  [白] 文本P 816)		《礼记》__春秋战国
16	赙马与其币，大 [白] 兵车，不入庙门。		《礼记》__春秋战国
17	丧服小记第十五 (注疏本P1494  [白] 文本P 806)		《礼记》__春秋战国
18	目不失其明，而见 [白] 黑之殊。		《吕氏春秋》__春秋战国
19	假，更 [白] 反。		《周易》__周
20	今也智其色之若 [白] 也。		《墨子》__春秋战国
21	举拟实也坚 [白] 不相外也。		《墨子》__春秋战国
22	招 [白] 与视丽与夫与履。		《墨子》__春秋战国
23	丧大记第二十二 (注疏本P1571  [白] 文本P 855)		《礼记》__春秋战国
24	 [白] 公问於孔子曰：“人可与微言乎？”		《吕氏春秋》__春秋战国
25	 [白] 公曰：“若以石投水，奚若？”		《吕氏春秋》__春秋战国
26	 [白] 公曰： “若以水投水，奚若？”		《吕氏春秋》__春秋战国
