语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：皮
2023/1/20 15:14:02

序号	语句	书名	朝代
1	岛夷 [皮] 服，夹右碣石入于河。		《尚书》__周
2	厥贡璆、铁、银、镂、砮磬、熊、罴、狐、狸、织 [皮] ，西倾因桓是来，浮于潜，逾于沔，入于渭，乱于河。		《尚书》__周
3	织 [皮] 昆仑、析支、渠搜，西戎即叙。		《尚书》__周
4	管子对曰：“审吾疆埸，而反其侵地；正其封疆，无受其资；而重为之 [皮] 币，以骤聘眺于诸侯，以安四邻，则四邻之国亲我矣。		《国语》__春秋战国
5	 [皮] 币玩好，使民鬻之四方，以监其上下之所好，择其淫乱者而先征之。”		《国语》__春秋战国
6	矢以柘若棘，毋去其 [皮] 。		《礼记》__春秋战国
7	郑子 [皮] 曰：“有执戈之前，吾惑之。”		《国语》__春秋战国
8	外有以为 [皮] 币与四邻诸候交接。		《墨子》__春秋战国
9	诸侯吊，必 [皮] 弁锡衰。		《礼记》__春秋战国
10	大夫种对曰：“臣闻之贾人，夏则资 [皮] ，冬则资☆，旱则资舟，水则资车，以待乏也。		《国语》__春秋战国
11	王曰：“越国南则楚，西则晋，北则齐，春秋 [皮] 币、玉帛、子女以宾服焉，未尝敢绝，求以报吴。		《国语》__春秋战国
12	炮之， 涂皆乾，擘之，濯手以摩之，去其< [皮] >，为稻粉蚤溲之以为酏，以付豚煎诸 膏，膏必灭之，钜镬汤以小鼎芗脯于其中，使其汤毋灭鼎，三日三夜毋绝火，而 后调以醯醢。		《礼记》__春秋战国
13	捣珍：取牛羊麋鹿之肉必灰，每物与牛若一捶，反侧之，去其饵，孰出 之，去其< [皮] >，柔其肉。		《礼记》__春秋战国
14	为熬：捶之，去其< [皮] >，编萑布牛肉焉，屑桂与姜，以洒诸上而盐之， 干而食之。		《礼记》__春秋战国
15	升歌清庙，下管象，朱干玉戚，冕而舞 大武， [皮] 弁素积，裼而舞大夏。		《礼记》__春秋战国
16	黄帝即位十有五年，喜天五戴己，养正命，娱耳目，供鼻口，焦然肌色<  [皮]  干>黣，昏然五情爽惑。		《列子》__春秋战国
17	事以 [皮] 帛而不受，事以珠玉而不肯，狄人之所求者，地也。		《吕氏春秋》__春秋战国
18	西海則有 [皮] 革、文旄焉，然而中國得而用之。		《荀子》__春秋战国
19	食其 [皮] 汁，已愤厥之疾。		《列子》__春秋战国
20	都 [皮] 里悉是，非独一处。		《老子想尔注》__春秋战国
21	吾君长来猪君长虎豹之 [皮] ，		《管子》__春秋战国
22	王谛料之，内则肝、胆、心、肺、脾、肾、肠、胃，外 则筋骨、支节、 [皮] 毛、齿发，皆假物也，而无不毕具者。		《列子》__春秋战国
23	黑卵悍志绝众，九抗百夫，节骨 [皮] 肉，非人类也。		《列子》__春秋战国
24	械器不奉而诸候之 [皮] 币不衣于天下，		《管子》__春秋战国
25	相鼠有 [皮] ，人而无仪！		《诗经》__周
26	外诸候之 [皮] 币不衣于天下，		《管子》__春秋战国
27	羔羊之 [皮] ，素丝五紽。		《诗经》__周
28	食棘之枣，衣狐之 [皮] ，先王固用非其有而己有之。		《吕氏春秋》__春秋战国
29	来，不释 [皮] 冠而见二子。		《吕氏春秋》__春秋战国
30	亦如人自世至老，貌色智态，亡日 不异； [皮] 肤爪发，随世随落，非婴孩时有停而不易也。		《列子》__春秋战国
31	于是以虎豹 [皮] 文锦使诸候，		《管子》__春秋战国
32	诸候以缦帛 [皮] 四介以为币齐以文锦虎貌 [皮] 报，		《管子》__春秋战国
33	君 [皮] 弁素积，朔月， 月半，君巡牲，所以致力，孝之至也。		《礼记》__春秋战国
34	及大昕之朝，君 [皮] 弁素积，卜三宫之夫人世 妇之吉者，使入蚕于蚕室，奉种浴于川，桑于公桑，风戾以食之。		《礼记》__春秋战国
35	是月也，祀不用牺牲，用圭璧，更 [皮] 币。		《吕氏春秋》__春秋战国
36	发臧任君赐赏君子修游驰以发地气出 [皮] 币，		《管子》__春秋战国
37	中央曰土土德实辅四时入出以风雨节土益力土生 [皮] 肌肤其德和平用均中正无私实辅四时春赢育夏养长秋聚收冬闭藏大塞乃极国家乃昌四方乃服此谓岁德，		《管子》__春秋战国
38	是月也，命工师令百工审五库之量，金铁、 [皮] 革筋、角齿、羽箭干、脂胶丹漆，无或不良。		《吕氏春秋》__春秋战国
39	子曰：“射不主 [皮] ，为力不同科，古之道也。”		《论语》__春秋战国
40	倒载干戈，包之以虎 [皮] 。		《礼记》__春秋战国
41	於是谨其礼秩、 [皮] 革，以交诸侯；饬其辞令、币帛、以礼豪士；颁其爵列、等级、田畴，以赏群臣。		《吕氏春秋》__春秋战国
42	五年，无终子嘉父使孟乐因魏庄子纳虎豹之 [皮] 以和诸戎。		《国语》__春秋战国
43	虎豹之 [皮] ，示服猛也。		《礼记》__春秋战国
44	祭之日，王 [皮] 弁 以听祭报，示民严上也。		《礼记》__春秋战国
45	 [皮] 弁素服而祭。		《礼记》__春秋战国
46	三王共 [皮] 弁素积。		《礼记》__春秋战国
47	曰：“如琴张、曾皙、牧 [皮] 者，孔子之所谓狂矣。”		《孟子》__春秋战国
48	大学始教， [皮] 弁祭菜，示敬道也。		《礼记》__春秋战国
49	 [皮] 弁以日视朝，遂以食，日中而， 奏而食。		《礼记》__春秋战国
50	诸侯玄端以祭，裨冕以朝， [皮] 弁以听朔于大庙，朝服以日视朝于内朝。		《礼记》__春秋战国
51	占者 [皮] 弁。		《礼记》__春秋战国
52	子羔之袭也，茧衣裳与税衣礻冉为一，素端一， [皮] 弁一，爵升一，玄冕一。		《礼记》__春秋战国
53	受 [皮] 弁服于中庭， 自西阶受朝服，自堂受玄端，将命，子拜稽颡，皆如初。		《礼记》__春秋战国
54	对曰：“晋卿不若楚，其大夫则贤，其大夫皆卿材也，若杞梓、 [皮] 革焉，楚实遗之，虽楚有材，不能用也。”		《国语》__春秋战国
55	献其貔 [皮] ，赤豹黄罴。		《诗经》__周
56	龟珠齿 [皮] 革羽毛所以备赋，以戒不虞者也。		《国语》__春秋战国
57	是月也，祀不用牺牲，用圭璧，更 [皮] 币。		《逸周书》__春秋战国
58	是月也，命工师令百工审五库之量，金铁 [皮] 革筋角齿羽箭干脂胶丹漆，无或不良。		《逸周书》__春秋战国
59	事之以 [皮] 币，不得免焉；事之以犬马，不得免焉；事之以珠玉，不得免焉。		《孟子》__春秋战国
60	陈币当外台，天玄<曷毛>宗马十二，王元缭璧綦十二，参方玄缭璧、豹虎 [皮] 十二，四方玄缭璧琰十二。		《逸周书》__春秋战国
61	伊殷受命，于是为四方令曰：“臣请正东，符娄、仇州、伊虑、沤深、十蛮、越沤，剪发文身，请令以鱼 [皮] 之鞞，乌鰂之酱，鲛鼥利剑为献。		《逸周书》__春秋战国
62	百里奚之未遇时也，亡虢而虏晋，饭牛於秦，传鬻以五羊之 [皮] 。		《吕氏春秋》__春秋战国
63	缪公曰：“买之五羊之 [皮] 而属事焉，无乃天下笑乎？”		《吕氏春秋》__春秋战国
64	故天下诸侯罢马以为币，缕綦以为奉，鹿 [皮] 四个；诸侯之处垂橐而入，捆载而归。		《国语》__春秋战国
65	今束鸡豚妄投之，其折骨决 [皮] ，可立得也。		《晏子春秋》__春秋战国
66	官陈币， [皮] 北首，西上，加其奉于左 [皮] 上；马则北面，奠币于其前。		《仪礼》__春秋战国
67	以禽作六挚，以等诸臣：孤执 [皮] 帛，卿执羔，大夫执雁，士执雉，庶人执鹜，工商执鸡。		《周礼》__春秋战国
68	陈 [皮] ，北首，西上，又拭璧，展之，会诸其币，加于左 [皮] 上。		《仪礼》__春秋战国
69	乘 [皮] 设。		《仪礼》__春秋战国
70	劳者揖 [皮] 出，乃退。		《仪礼》__春秋战国
71	宾 [皮] 弁聘，至于朝。		《仪礼》__春秋战国
72	公 [皮] 弁，迎宾于大门内。		《仪礼》__春秋战国
73	庭实， [皮] 则摄之，毛在内；内摄之，入设也。		《仪礼》__春秋战国
74	宾入门左，揖让如初，升致命，张 [皮] 。		《仪礼》__春秋战国
75	士受 [皮] 者自后右客；宾出，当之坐摄之。		《仪礼》__春秋战国
76	公侧授宰币， [皮] 如入，右首而东。		《仪礼》__春秋战国
77	未誓，则以 [皮] 帛继子男。		《周礼》__春秋战国
78	公之孤四命，以 [皮] 帛，眡小国之君。		《周礼》__春秋战国
79	凡兵事，韦弁服；眡朝，则 [皮] 弁服。		《周礼》__春秋战国
80	上介奉币，俪 [皮] ，二人赞；皆入门右，东上，奠币，皆再拜稽首。		《仪礼》__春秋战国
81	摈者执上币，士执众币；有司二人举 [皮] ，従其币。		《仪礼》__春秋战国
82	委 [皮] 南面；执币者西面北上。		《仪礼》__春秋战国
83	上介奉币， [皮] 先，入门左，奠 [皮] 。		《仪礼》__春秋战国
84	士之服，自 [皮] 弁而下，如大夫之服。		《周礼》__春秋战国
85	介振币，自 [皮] 西进，北面授币，退复位，再拜稽首送币。		《仪礼》__春秋战国
86	宰自公左受币，有司二人坐举 [皮] 以东。		《仪礼》__春秋战国
87	宾 [皮] 弁迎大夫于外门外，再拜，大夫不答拜。		《仪礼》__春秋战国
88	万章问曰：“或曰，‘百里奚自鬻于秦养牲者五羊之 [皮] 食牛以要秦缪公。		《孟子》__春秋战国
89	庭实设四 [皮] 。		《仪礼》__春秋战国
90	 [皮] ，二人赞。		《仪礼》__春秋战国
91	君使卿 [皮] 弁，还玉于馆。		《仪礼》__春秋战国
92	宾 [皮] 弁，袭，迎于外门外，不拜；帅大夫以入。		《仪礼》__春秋战国
93	礼玉、束帛、乘 [皮] ，皆如还玉礼。		《仪礼》__春秋战国
94	束帛各加其庭实， [皮] 左。		《仪礼》__春秋战国
95	曰：“以 [皮] 冠，庶人以旃，士以旗，大夫以旌。		《孟子》__春秋战国
96	又赍 [皮] 马。		《仪礼》__春秋战国
97	凡庭实，随入，左先， [皮] 马相间，可也。		《仪礼》__春秋战国
98	宾于馆堂楹间，释四 [皮] 束帛。		《仪礼》__春秋战国
99	穆公以五羊之 [皮] 笼百里奚。		《庄子》__春秋战国
100	退而以乡射之礼五物询众庶：一曰和，二曰容，三曰主 [皮] ，四曰和容，五曰兴舞，此谓使民兴贤，出使长之；使民兴能，入使治之。		《周礼》__春秋战国
101	凡屠者，敛其 [皮] 、角、筋、骨，入于玉府。		《周礼》__春秋战国
102	子产归，未至，闻子 [皮] 卒，哭，且曰：“吾已，无为为善矣，唯夫子知我。”		《左传》__春秋战国
103	凡攻木之工七，攻金之工六，攻 [皮] 之工五，设色之工五，刮摩之工五，搏埴之工二。		《周礼》__春秋战国
104	攻木之工：轮、舆、弓、庐、匠、车、梓；攻金这工：筑、冶、凫、、段、桃；攻 [皮] 之工：函、鲍、韗、韦、裘；设色之工：画、缋、锺、筐、荒；刮摩之工：玉、ω、雕、矢、磬；搏埴之工：陶、瓬。		《周礼》__春秋战国
105	至于郊，王使人 [皮] 弁用璧劳。		《仪礼》__春秋战国
