语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：益
2022/7/10 23:10:03

序号	语句	书名	朝代
1	八月己酉，入邾，以邾子 [益] 来。		《春秋》__周
2	孝子之心亦 [益] 衰矣家室之计，衣服之具，亦可以成矣，亲戚之远 者，亦可以至矣。		《礼记》__春秋战国
3	若不胜狄，虽济其罪，可也；若胜狄，则善用众矣，求必 [益] 广，乃可厚图也。		《国语》__春秋战国
4	今矜狄之善，其志 [益] 广。		《国语》__春秋战国
5	谗言 [益] 起，狐突杜门不出。		《国语》__春秋战国
6	作《大禹》、《皋陶谟》、《 [益] 稷》。		《尚书》__周
7	 [益] 曰：“都，帝德广运，乃圣乃神，乃武乃文。		《尚书》__周
8	 [益] 曰：“吁！		《尚书》__周
9	皆言其治之有绪，而 [益] 致其精也。		《大学中庸》__春秋战国
10	是以大学始教，必使学者即凡天下之物，莫不因其已知之理而 [益] 穷之，以求至乎其极。		《大学中庸》__春秋战国
11	 [益] 赞于禹曰：“惟德动天，无远弗届。		《尚书》__周
12	人之视己，如见其肺肝然，则何 [益] 矣。		《大学中庸》__春秋战国
13	然欲揜其恶而卒不可揜，欲诈为善而卒不可诈，则亦何 [益] 之有哉！		《大学中庸》__春秋战国
14	已在卦极，往无所之， [益] 以蹇耳。		《周易》__周
15	白之顾 [益] 黑，求之愈不得者，其此义邪！		《吕氏春秋》__春秋战国
16	以 [益] 衣裳宫室甲盾五兵舟车之数。		《墨子》__春秋战国
17	为卦损下卦上画之阳， [益] 上卦上画之阴，损兑		《周易》__周
18	泽之深， [益] 艮山之高，损下 [益] 上，损内 [益] 外，剥民奉君之象，所以为损也。		《周易》__周
19	《彖》曰：“损”，损下 [益] 上，其道上行。		《周易》__周
20	佥曰：“ [益] 哉！”		《尚书》__周
21	 [益] ，汝作朕虞。”		《尚书》__周
22	 [益] 拜稽首，让于朱虎、熊罴。		《尚书》__周
23	今嘉其梦侈必展，是天夺之鉴而 [益] 其疾也。		《国语》__春秋战国
24	二簋应有时，损刚 [益] 柔有时，损 [益] 盈虚，与时偕		《周易》__周
25	!初九，当损下 [益] 上之时，上应六		《周易》__周
26	四之阴，辍所为之事，而速往以 [益] 之，无咎之道也。		《周易》__周
27	然居下而 [益] 上，亦当斟酌其浅深也。		《周易》__周
28	因上文引文王诗之意而申言之，其丁宁反复之意 [益] 深切矣。		《大学中庸》__春秋战国
29	言不变其所守，乃所以 [益] 上也。		《周易》__周
30	下卦本乾，而损上爻以 [益] 坤，三人行而损一人也。		《周易》__周
31	以初九之阳刚 [益] 己，而损其阴柔之疾，唯速则善。		《周易》__周
32	数有庆而 [益] 地；数有让 而削地。		《礼记》__春秋战国
33	六五，或 [益] 之十朋之龟，弗克违，元吉。		《周易》__周
34	且夫君也者，将牧民而正其邪者也，若君纵私回而弃民事，民旁有慝无由省之， [益] 邪多矣。		《国语》__春秋战国
35	柔顺虚中，以居尊位，当损之时，受天下之 [益] 者也。		《周易》__周
36	或以此 [益] 之而不能辞，其吉可知。		《周易》__周
37	上九，当损下 [益] 上之时，居卦之上，受 [益] 之极，		《周易》__周
38	而欲自损以 [益] 人也。		《周易》__周
39	然居上而 [益] 下，有所谓惠而不费者，不待损己，然后可以 [益] 人也。		《周易》__周
40	 [益] ：利有攸往，利涉大川。		《周易》__周
41	 [益] ，增 [益] 也。		《周易》__周
42	章内三言得失，而语 [益] 加切，盖至此而天理存亡之几决矣。		《大学中庸》__春秋战国
43	为卦损上卦初画之阳， [益] 下卦初画之阴，自上卦而下于下卦之		《周易》__周
44	下，故为 [益] 。		《周易》__周
45	不得与于祭者有让，削以地，得与于祭者 有庆， [益] 以地。		《礼记》__春秋战国
46	《彖》曰：“ [益] ”，损上 [益] 下，民说无疆；自上下下，其道大光。“		《周易》__周
47	晋叔向见叔孙穆子曰：“诸侯谓秦不恭而讨之，及泾而止，于秦何 [益] ？”		《国语》__春秋战国
48	 [益] 动而巽，日进无疆。		《周易》__周
49	天施地生，其 [益] 无方。		《周易》__周
50	凡 [益] 之道，与时偕行。		《周易》__周
51	又以此极言赞 [益] 之大。		《周易》__周
52	《象》曰：风雷， [益] ，君子以见善则迁，有过则改。		《周易》__周
53	迁善改过， [益] 之大者，而其		《周易》__周
54	大桡作甲子，黔如作虏首，容成作历，羲和作占日，尚仪作占月，后 [益] 作占岁，胡曹作衣，夷羿作弓，祝融作市，仪狄作酒，高元作室，虞姁作舟，伯 [益] 作井，赤冀作臼，乘雅作驾，寒哀作御，王冰作服牛，史皇作图，巫彭作医，巫咸作筮。		《吕氏春秋》__春秋战国
55	相 [益] 亦犹是也。		《周易》__周
56	初虽居下，然当 [益] 下之时，受上之 [益] 者也，不可徒然无所报效。		《周易》__周
57	虞书· [益] 稷		《尚书》__周
58	六二，或 [益] 之十朋之龟，弗克违，永贞吉，王用享于帝，吉。		《周易》__周
59	六二，当 [益] 下之时，虚中处下，故其象		《周易》__周
60	予乘四载，随山刊木，暨 [益] 奏庶鲜食。		《尚书》__周
61	以其居下而受上之 [益] ，故又为卜郊之吉占。		《周易》__周
62	《象》曰：或 [益] 之，自外来也。		《周易》__周
63	六三， [益] 之用凶事，无咎。		《周易》__周
64	然当 [益] 下		《周易》__周
65	盖警戒震动，乃所以 [益] 之也。		《周易》__周
66	《象》曰： [益] 用凶事，固有之也。		《周易》__周
67	 [益] 用凶事，欲其困心衡虑而固有之也。		《周易》__周
68	此言以 [益] 下为心，而合于中		《周易》__周
69	盖古者迁国以 [益] 下，必有所依，然后能立。		《周易》__周
70	《象》曰：告公从，以 [益] 志也。		《周易》__周
71	上九，莫 [益] 之，或击之，立心勿恒，凶。		《周易》__周
72	若为小而祟，以怒大国，使加己乱，乱在前矣，辞其何 [益] ？”		《国语》__春秋战国
73	以阳居 [益] 之极，求 [益] 不已，故莫 [益] 而或击之。		《周易》__周
74	《象》曰：“莫 [益] 之”，偏辞也。“		《周易》__周
75	莫 [益] 之者，犹从其求 [益] 之偏辞而言也。		《周易》__周
76	知之理而 [益] 穷之，以求至乎其极。		《大学中庸》__春秋战国
77	然，则何 [益] 矣。		《大学中庸》__春秋战国
78	任士损已而 [益] 所为也。		《墨子》__春秋战国
79	以当务晦默，不可尚口， [益] 取困穷。		《周易》__周
80	凡陈之道，设右以为牝， [益] 左以为牡，蚤晏无失，必顺天道，周旋无究。		《国语》__春秋战国
81	则耕者不可以不 [益] 急矣。		《墨子》__春秋战国
82	为人臣者事公子侧室以音声子女，收大臣延吏以辞言，处约言事，事成则进爵 [益] 禄，以劝其心，犯其主，此之谓“父兄”。		《韩非子》__春秋战国
83	其于左右也，使其身必责其言，不使 [益] 辞。		《韩非子》__春秋战国
84	夫上设刑而民不服，赏匮而奸 [益] 多。		《商君书》__春秋战国
85	故主上愈卑，私门 [益] 尊。		《韩非子》__春秋战国
86	不得所以用之，国虽大，势虽便，卒虽众，何 [益] ？		《吕氏春秋》__春秋战国
87	渐远于水，进于磐而 [益] 安矣。		《周易》__周
88	“名奚 [益] 于子孙？”		《列子》__春秋战国
89	贤者不能 [益] ，不肖者不能损。		《商君书》__春秋战国
90	夫以法相治，以数相举者，不能相 [益] ；訾言者，不能相损。		《商君书》__春秋战国
91	虽然，马齿亦 [益] 长矣。”		《韩非子》__春秋战国
92	夫实圹什虚，出天宝，而百万事本，其所 [益] 多也，岂徒不失其所以攻乎？		《商君书》__春秋战国
93	其陷队也，尽其几者；几者不足，乃以欲级 [益] 之。		《商君书》__春秋战国
94	其志足，天下 [益] 之；不足，天下说之。		《商君书》__春秋战国
95	诸候以为 [益] 侈，国之不服者十三。		《韩非子》__春秋战国
96	宜阳 [益] 急，韩君令使者趣卒于楚，冠盖相望而卒无至者。		《韩非子》__春秋战国
97	农事不伤，农民 [益] 农，则草必垦矣。		《商君书》__春秋战国
98	故贫者 [益] 之以刑，则富；富者损之以赏，则贫。		《商君书》__春秋战国
99	两泽相丽，互相滋 [益] 。		《周易》__周
100	其上世之士，衣不暖肤，食不满肠，苦其志意，劳其四肢，伤其五脏，而 [益] 裕广耳，非性之常也，而为之者，名也。		《商君书》__春秋战国
101	主不蚤止，狗 [益] 无已。		《韩非子》__春秋战国
102	宋在三大万乘之间，子罕之时，无所相侵，边境四 [益] ，相平公、元公、景公以终其身，其唯仁且节与？		《吕氏春秋》__春秋战国
103	欲为其地，必适其赐；不适其赐，乱人求 [益] 。		《韩非子》__春秋战国
104	廷无人者，非朝廷之衰也；家务相 [益] ，不务厚国；大臣务相尊，而不务尊君；小臣奉禄养交，不以官为事。		《韩非子》__春秋战国
105	凡行之堕也於乐，今乐而 [益] 饬；行之坏也於贵，今主欲留而不许。		《吕氏春秋》__春秋战国
106	李悝可谓能谏其君矣，壹称而令武侯 [益] 知君人之道。		《吕氏春秋》__春秋战国
107	齐宣王为大室，大 [益] 百亩，堂上三百户。		《吕氏春秋》__春秋战国
108	“今王为大室，其大 [益] 百亩，堂上三百户。		《吕氏春秋》__春秋战国
109	掛於患而思謹，則無 [益] 矣。		《荀子》__春秋战国
110	循法則、度量、刑辟、圖籍、不知其義，謹守其數，慎不敢損 [益] 也；父子相傳，以持王公，是三代雖亡，治法猶存，是官人百吏之所以取祿職也。		《荀子》__春秋战国
111	是若不行，則湯武在上曷 [益] ？		《荀子》__春秋战国
112	火不明，虽振其树，何 [益] ？		《吕氏春秋》__春秋战国
113	恶，唯孤、寡不谷，而王公以为称，故物或损之而 [益] ，或 [益] 之而损。		《老子》__春秋战国
114	教，无为之 [益] 天下希及之。		《老子》__春秋战国
115	今君王以所不足 [益] 所有馀，臣不得而为也。”		《吕氏春秋》__春秋战国
116	秦昭王問孫卿子曰∶「儒無 [益] 於人之國。」		《荀子》__春秋战国
117	夫其為人下也如彼，其為人上也如此，何謂其無 [益] 於之國也！」		《荀子》__春秋战国
118	凡事行，有 [益] 於理者，立之；無 [益] 於理者，廢之。		《荀子》__春秋战国
119	凡知說，有 [益] 於理者，為之；無 [益] 於理者，舍之。		《荀子》__春秋战国
120	既乐天理，而又知天命，故能无忧，而其知 [益] 深。		《周易》__周
121	 [益] 笃。		《周易》__周
122	孙叔敖曰：“吾爵 [益]  高，吾志 [益] 下；吾官 [益] 大，吾心 [益] 小；吾禄 [益] 厚，吾施 [益] 博。		《列子》__春秋战国
123	有能 [益] 人之寿者，则人莫不愿之；今寿国有道，而君人者而不求，过矣。		《吕氏春秋》__春秋战国
124	得陶、化 [益] 、真窥、横革、之交五人佐禹，故功绩铭乎金石，著於盘盂。		《吕氏春秋》__春秋战国
125	三節者不當，則其餘雖曲當，猶將無 [益] 也。		《荀子》__春秋战国
126	地來而民去，累多而功少，雖守者 [益] ，所以守者損，是以大者之所以反削也。		《荀子》__春秋战国
127	重黎又欲 [益] 求人，舜曰：‘夫乐，天地之精也，得失之节也，故唯圣人为能和。		《吕氏春秋》__春秋战国
128	而非贤者也，将以要利矣；要利之人，犯危何 [益] ？		《吕氏春秋》__春秋战国
129	耻之不变，痛之何 [益] ？”		《吕氏春秋》__春秋战国
130	八月己酉，入邾，以邾子 [益] 来。		《榖梁传》__春秋战国
131	 [益] 之名，恶也。		《榖梁传》__春秋战国
