语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：目
2023/1/20 15:19:15

序号	语句	书名	朝代
1	其不 [目] 而曰仲孙，疏之也。		《春秋》__周
2	顾，谓常 [目] 在之也。		《大学中庸》__春秋战国
3	常 [目] 在之，则无时不明矣。		《大学中庸》__春秋战国
4	五者乃其 [目] 之大者也。		《大学中庸》__春秋战国
5	故夜战声相闻，足以不乖；昼战 [目] 相见，足以相识。		《国语》__春秋战国
6	以吾获之 [目] 之也。		《榖梁传》__春秋战国
7	将死，曰：“以悬吾 [目] 于东门，以见越之入，吴国之亡也。”		《国语》__春秋战国
8	月正元日，舜格于文祖，询于四岳，辟四门，明四 [目] ，达四聪。“		《尚书》__周
9	君臣不定，耳虽闻不可以听， [目] 虽见不可以视，心虽知不可以举，势使之也。		《吕氏春秋》__春秋战国
10	凡耳之闻也藉於静， [目] 之见也藉於昭，心之知也藉於理。		《吕氏春秋》__春秋战国
11	亡国之主，其耳非不可以闻也，其 [目] 非不可以见也，其心非不可以知也，君臣扰乱，上下不分别，虽闻曷闻？		《吕氏春秋》__春秋战国
12	以其 [目] 之明也；何以知其狂？		《吕氏春秋》__春秋战国
13	十里之间，而耳不能闻；帷墙之外，而 [目] 不能见；三亩之宫，而心不能知。		《吕氏春秋》__春秋战国
14	孔子叹曰：“所信者 [目] 也，而 [目] 犹不可信；所恃者心也，而心犹不足恃。		《吕氏春秋》__春秋战国
15	相国曰：“意者君耳而未之 [目] 邪！		《吕氏春秋》__春秋战国
16	襄子曰： “吾举登也，已耳而 [目] 之矣。		《吕氏春秋》__春秋战国
17	登所举，吾又耳而 [目] 之，是耳 [目] 人终无已也。”		《吕氏春秋》__春秋战国
18	 [目] 不失其明，而见白黑之殊。		《吕氏春秋》__春秋战国
19	 [目] 晋侯，斥杀，恶晋侯也。		《榖梁传》__春秋战国
20	而 [目] 以火见而火不见。		《墨子》__春秋战国
21	六兒退飞过宋都，先数，聚辞也， [目] 治也。		《榖梁传》__春秋战国
22	以公之与之盟 [目] 之也。		《榖梁传》__春秋战国
23	下巽，巽也，上离为 [目] ，而五为耳，又内巽顺而外聪明之象。		《周易》__周
24	以公之会 [目] 之也。		《榖梁传》__春秋战国
25	以吾用其师 [目] 其事也，非道用师也。		《榖梁传》__春秋战国
