语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：直
2022/7/10 23:10:31

序号	语句	书名	朝代
1	君赂不入乎喜而杀喜，是君不 [直] 乎喜也。		《榖梁传》__春秋战国
2	心有不存，则无以检其身，是以君子必察乎此而敬以 [直] 之，然后此心常存而身无不修也。		《大学中庸》__春秋战国
3	然或但知诚意，而不能密察此心之存否，则又无以 [直] 内而修身也。		《大学中庸》__春秋战国
4	皋陶曰：“宽而栗，柔而立，愿而恭，乱而敬，扰而毅， [直] 而温，简而廉，刚而塞，强而义。		《尚书》__周
5	大抵此爻为卜田之吉占，亦为去邪媚而得中 [直] 之象。		《周易》__周
6	马各 [直] 其。		《礼记》__春秋战国
7	制十有二幅以应十有二月，袂圜以应规，曲袷如矩以应方，负绳及踝以应 [直] ， 下齐如权衡以应平。		《礼记》__春秋战国
8	故规者，行举手以为容；负绳抱方者，以 [直] 其政，方其义也。		《礼记》__春秋战国
9	故《易》曰：“坤六二之动， [直] 以方也。”		《礼记》__春秋战国
10	夙夜惟寅， [直] 哉惟清。”		《尚书》__周
11	故规矩取其无私，绳取其 [直] ，权衡取其平，故先王贵之。		《礼记》__春秋战国
12	命汝典乐，教胄子， [直] 而温，宽而栗，刚而无虐，简而无傲。		《尚书》__周
13	故射者，进退周还必中礼，内志正，外体 [直] ，然后持弓矢审固，持弓矢审固， 然后可以言中，此可以观德行矣。		《礼记》__春秋战国
14	其弼 [直] ，惟动丕应。		《尚书》__周
15	性之 [直] 者则有之矣。		《礼记》__春秋战国
16	丧 俟事不 [直] 吊。		《礼记》__春秋战国
17	其礼，大牢则以牛左肩臂折九个，少牢则以羊左肩七个， [直]  豕则以豕左肩五个。		《礼记》__春秋战国
18	乃徐有说”，以中 [直] 也。“		《周易》__周
19	其为人也，公 [直] 无私，王使为政。		《吕氏春秋》__春秋战国
20	智术之士，必远见而明察，不明察，不能烛私；能法之士，必强毅而劲 [直] ，不劲 [直] ，不能矫奸。		《韩非子》__春秋战国
21	此三人者，皆明於霸王之术，察於治强之数，而不以牵於世俗之言；适当世明主之意，则有 [直] 任布衣之士，立为卿相之处；处位治国，则有尊主广地之实：此之谓足贵之臣。		《韩非子》__春秋战国
22	 [直] 败一人之辞也。		《榖梁传》__春秋战国
23	敢有侮圣言，逆忠 [直] ，远耆德，比顽童，时谓乱风。		《尚书》__周
24	于是放万机，舍宫寝，去 [直] 待，彻钟县。		《列子》__春秋战国
25	夫旷日离久，而周泽既渥，深计而不疑，引争而不罪，则明割利害以致其功， [直] 指是非以饰其身，以此相持，此说之成也。		《韩非子》__春秋战国
26	崔杼不说， [直] 兵造胸，句兵钩颈，谓晏子曰：“子变子言，则齐国吾与子共之；子不变子言，则今是已！”		《吕氏春秋》__春秋战国
