语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：相
2022/11/6 8:42:56

序号	语句	书名	朝代
1	安公子一见慌了，只慌得手足无措，却又不好上前 [相] 拦。		《儿女英雄》__清
2	那女子见来势凶恶，先就单刀直入取那和尚，那和尚也举棍 [相] 迎。		《儿女英雄》__清
3	那妇人听见吃一惊，即将陶氏拿回的绒背褡欣然穿在身上， [相] 了又 [相] ，昏乱起来，不识人事。		《风流悟》__清
4	兽心人面， [相] 由心变。		《风流悟》__清
5	当下县官见他如此，便回避了众人，问他道∶“方才我要叫仵作 [相] 验，你却摇手，这是怎么个意思？”		《儿女英雄》__清
6	为难了一会，说∶“有了，好在咱们带着仵作呢，且 [相] 验 [相] 验就明白了。”		《儿女英雄》__清
7	老妇人道：“任凭 [相] 公坐不妨，只没有好茶 [相] 款。”		《风流悟》__清
8	施十娘道：“ [相] 公差矣！		《风流悟》__清
9	安公子随即出来，到了柜房里，只看那掌柜的是个极善 [相] 的半老老头儿，正在柜房坐着，面前桌上摊着一本账，旁边搁着一面算盘，归着账目呢。		《儿女英雄》__清
10	写完封好了，急急走到店中，付与施十娘道：“愿老娘寄一寄去，千万讨小姐一个回信，事成重重 [相] 谢。”		《风流悟》__清
11	究竟这二位淑女 [相] 夫，一个作了英主，一个作了贤 [相] ，丑又何防！		《儿女英雄》__清
12	小姐见文生已上墙头，正欲 [相] 迎，忽然跌下，竟不动了。		《风流悟》__清
13	又思量道：“这老势利如此可恶，而我妻贤淑，生死亦当 [相] 从。”		《风流悟》__清
14	又对张金凤说道∶“妹妹、妹夫，当着他二位老人家在此，你我今日这番 [相] 逢，并我今日这番 [相] 救，是我天生的好事惯了，你们倒都不必在意。		《儿女英雄》__清
15	出了东关厢，十三妹见人烟渐渐希少，向安公子道∶“护送你们的那个人，我合他约在前面二十里外柳林里 [相] 候。		《儿女英雄》__清
16	及至到了乡下，只见不过是两人口角，彼此揪扭，因伤致死的一桩寻常命案，照例 [相] 验，填了尸格回来。		《儿女英雄》__清
17	这赵十一郎错认是厌弃他的意思，便要 [相] 辞归去。		《风流悟》__清
18	我闻得主人家要卖屋，故来 [相] 求经帐，学做个中人，怎么认错起来？”		《风流悟》__清
19	这是 [相] 因而至的事情，可有甚么法儿呢！”		《儿女英雄》__清
20	两只金莲长尺二，一双玉笋像擂捶，尊 [相] 正合着 [相] 书上四句道：		《风流悟》__清
21	韵士大笑道：“这甚使得，只是作事不可 [相] 背便好。”		《风流悟》__清
22	那妇人见孟瑚看得着 [相] ，含着笑，低声对丫环道：“这个人恰像前日二郎庙里，跟着我们船走的，为什么倒在这里？”		《风流悟》__清
23	春云道：“不必 [相] 闻他。”		《风流悟》__清
24	那师老爷说道∶“岂但白替想想，我承老爷的 [相] 待，我们又从幼就在一处，同亲弟兄一样，如今托我在家照料，我虽不能为力，难道连一句话也不肯说不成？		《儿女英雄》__清
25	那张进宝、华忠二人也是苦苦的 [相] 拦。		《儿女英雄》__清
26	他也不曾说起老爷合少爷，更不曾提到途中 [相] 救的一个字。		《儿女英雄》__清
27	那庄客便让老爷到西北角上那个角门里两间耳房坐定，他们也不在此 [相] 陪，便干他的事了。		《儿女英雄》__清
28	他既不到同庆里，新嫂嫂也不叫人前来 [相] 请。		《官场现形》__清
29	我有一计，不知 [相] 公道好么？”		《风流悟》__清
30	就是我一个在外边，你坐在这里，也惹外边人谈论，不好看 [相] 。		《风流悟》__清
31	况这气数有个一定，就是作天的，也不过奉着气运而行，又岂能合那气运 [相] 扭？		《儿女英雄》__清
32	必是先有了这个心，才有古往今来那无数忠臣烈士的文死谏、武死战，才有大舜的完禀浚井，泰伯、促雍的逃至荆蛮，才有郊祁弟兄的问答，才有冀缺夫妻的 [相] 敬，才有汉光武、严子陵的忘形。		《儿女英雄》__清
33	及至弄到兵变马嵬，六军抗命，却又束手无策，不知究奸 [相] 、责骄帅、斩乱兵，眼睁睁的看着人把个平日爱如性命的个宝子生生逼死。		《儿女英雄》__清
34	这四句诗，是一个乡先生，遇着一伙大盗，因而 [相] 赠的。		《风流悟》__清
35	路见不平，便要拔刀 [相] 助；一言 [相] 契，便肯沥胆订交。		《儿女英雄》__清
36	两个正在家里烘了一回脚，收拾中饭吃，只听得东间壁有个姓何的乡邻，夫妻两个，一片 [相] 骂之声。		《风流悟》__清
37	老何真个随着他，弯弯一走，走到个城墙，转过小巷，尽头去处，莫拿我站住一 [相] ，向墙墙一爬，爬子去块块儿，向腰间取出一个两头尖的小小竹筒子裹术墙内去。		《风流悟》__清
