语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：看
2022/7/10 23:05:04

序号	语句	书名	朝代
1	又发棺 [看] ，唯衣冠在也。”		《史记》__汉
2	淮南王谋反时，寄微闻其事，私作楼车镞矢◇集解应劭曰：“楼车，所以窥 [看] 敌国营垒之虚实也。”		《史记》__汉
3	○索隐左传云“登楼车以窥宋人”，谓 [看] 敌国营垒之虚实也。		《史记》__汉
4	子贡对齐景公曰：「臣之事仲尼，譬如渴而操杯器就江海饮，满腹而去，又焉知 [看] 江海之深？」		《新论》__汉
5	帝亲执其手，捋俨须，脱帽 [看] 发，叹自久之。		《北史》__魏晋六朝
6	永业曰：“客行匆匆，故不出 [看] 。”		《北史》__魏晋六朝
7	今又寄汝小时所着锦袍表一领，至宜捡 [看] ，知吾含悲抱戚，多历年祀。		《北史》__魏晋六朝
8	法当举以向日， [看] 其色，详占视之，乃可知耳。		《抱朴子》__魏晋六朝
9	或劝之以出仕进者，林宗对曰：‘吾昼察人事，夜 [看] 乾象，天之所废，不可支也。		《抱朴子》__魏晋六朝
10	 [看] 封题果是，内人莫不欢笑。		《北史》__魏晋六朝
11	 [看] 吾死，且可降贼，方便散走。		《北史》__魏晋六朝
12	譬如二人至陶师所，观其蹋轮而作瓦瓶， [看] 无餍足。		《百喻经》__魏晋六朝
13	一人观瓶，而作是言：“待我 [看] 讫。”		《百喻经》__魏晋六朝
14	王时即遣亲信往 [看] ，果如其言。		《百喻经》__魏晋六朝
15	父 [看] 水底真金之影，而知此金悉在树上，所以知之，影现水底。		《百喻经》__魏晋六朝
16	譬如有人，将欲远行，敕其奴言：“尔好守门，并 [看] 驴索。”		《百喻经》__魏晋六朝
17	如来教诫，常护根门，莫著六尘，守无明驴， [看] 於爱索。		《百喻经》__魏晋六朝
18	譬如野干，在於树上，风吹枝折，堕其脊上，即便闭目，不欲 [看] 树。		《百喻经》__魏晋六朝
19	若不见信，可遣往 [看] 贼之疮痍杀害处所。”		《百喻经》__魏晋六朝
20	吾昔衣服，各留一物，时复 [看] 以自警戒。		《北史》__魏晋六朝
21	妇怪不语，以手摸 [看] ，谓其口肿，语其父言：“我夫始来，卒得口肿，都不能语。”		《百喻经》__魏晋六朝
22	我有旧使妇女，令 [看] 东宫。		《北史》__魏晋六朝
23	比得药顷，王要莫 [看] 。		《百喻经》__魏晋六朝
24	帝曰：“若忆时，自往 [看] 也。”		《北史》__魏晋六朝
25	季海常云：“柳郎中判事，我不复重 [看] 。”		《北史》__魏晋六朝
26	及行刑日，显自往 [看] 之。		《北史》__魏晋六朝
27	果园在后，开窗以临花卉；蔬圃居前，坐檐而 [看] 灌畎。		《北史》__魏晋六朝
28	此来 [看] 之，极是罪过，人实难容，老婢合死。”		《北史》__魏晋六朝
29	业曰：“吾既为人父母，岂可坐 [看] 此急。		《北史》__魏晋六朝
30	土俗畏病，若一人有疾，即合家避之，父子夫妻，不相 [看] 养，孝义道绝。		《北史》__魏晋六朝
31	延庆以灵助庸人，彼皆恃其妖术，坐 [看] 符厌，宁肯戮力致死。		《北史》__魏晋六朝
32	若其不信，可见随 [看] 之。”		《北史》__魏晋六朝
33	荣乃暂来向京，言 [看] 皇后娩难。		《北史》__魏晋六朝
34	夜阴失道，唯 [看] 佛塔户而行。		《北史》__魏晋六朝
35	奴拂床坐，兼画地戏，甕中米亦握 [看] 之。		《北史》__魏晋六朝
36	子容与谢远 [看] 之，闭极久，全无开迹。		《北史》__魏晋六朝
37	从幸晋阳，尝谓中书侍郎李德林曰：“比日 [看] 高相王以下文武官人相表，俱尽其事，口不忍言。		《北史》__魏晋六朝
38	后令斛斯椿苦要天光云：“非王无以能定，岂可坐 [看] 宗家之灭？”		《北史》__魏晋六朝
39	帝亲就第 [看] 问，拜司空、摄录尚书事。		《北史》__魏晋六朝
40	时有寿春道人惠需，每旦往 [看] 其尸，拂去尘霰。		《北史》__魏晋六朝
41	昂尝持元礼数篇诗示卢思道，乃曰：“ [看] 元礼比来诗咏，亦曾不减魏收。”		《北史》__魏晋六朝
42	既是沙钵略妇翁，今日 [看] 沙钵略共兒子不异。		《北史》__魏晋六朝
43	既以亲旧厚意，常使之外，今特别遣大臣虞庆则往彼 [看] 女，复 [看] 沙钵略也。”		《北史》__魏晋六朝
44	臣当时无处去，向上 [看] 只见天，下 [看] 只见地，实忆圣人先帝言语，投命去来。		《北史》__魏晋六朝
45	妃是王结发妇，常以父母家财奉王，王在怀朔被杖，背无完皮，妃昼夜供给 [看] 疮。		《北史》__魏晋六朝
46	欲知心断绝，应 [看] 胶上弦。”		《北史》__魏晋六朝
47	浟乃令人密往书菜叶为字，明日，市中 [看] 菜叶有字，获贼。		《北史》__魏晋六朝
48	自可观书于市，安能 [看] 人眉睫乎！”		《北史》__魏晋六朝
49	但道此，人疑者半，信者半，谁检 [看] ？”		《北史》__魏晋六朝
50	 [看] 之，非高丽之物。		《北史》__魏晋六朝
51	近代妇于舅姑，本有戚属，不相瞻 [看] 。		《梁书》__魏晋六朝
52	魏静帝尝夜与朝贤讲集，命安 [看] 斗柄所指。		《北史》__魏晋六朝
53	令萱一旦忽以皇后服御衣被穆昭仪，又先别造宝帐，爰及枕席器玩，莫匪珍奇，坐昭仪于帐中，谓后主云：“有一圣女出，将大家 [看] 之。”		《北史》__魏晋六朝
54	后主亲就众中牵凤手曰：“都督， [看] 兒来。”		《北史》__魏晋六朝
55	顺侍坐西游园，因奏太后曰：“臣昨往 [看] 中山家葬，非唯宗亲哀其冤酷，行路士庶见一家十丧，皆为青族旐，莫不酸泣。”		《北史》__魏晋六朝
56	顺须鬓俱张，仰面 [看] 屋，愤气奔涌，长歔而不言。		《北史》__魏晋六朝
57	况三农务业，尚 [看] 夭桃敷水；四人有令，犹及落杏飞花。		《梁书》__魏晋六朝
58	复诏臣学天文星历、《易》式、九宫，无不尽 [看] 。		《北史》__魏晋六朝
59	初 [看] 起来，似乎无须多加解说，即可明白它的		《古诗十九首》__魏晋六朝
