语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：眠
2022/7/10 23:04:57

序号	语句	书名	朝代
1	夜 [眠] 之所弭，昼觉之所遣，又几居其半矣。		《列子》__春秋战国
2	 [眠] 娗、諈诿、勇敢、怯疑 四人相与游于世，胥如志也；穷年不相谪发，自以行无戾也。		《列子》__春秋战国
3	其民不食不衣而多 [眠] 。		《列子》__春秋战国
4	性刚悍，强弱相藉， 贵胜而不尚义；多驰步，少休息，常觉而不 [眠] 。		《列子》__春秋战国
5	 [眠] 中啽呓呻呼，彻旦息焉。		《列子》__春秋战国
6	菅蒯兮野莽，雚苇兮仟 [眠] 。		《楚辞》__春秋战国
7	远望兮仟 [眠] ，闻雷兮阗阗。		《楚辞》__春秋战国
8	涕泣交而凄凄兮，思不 [眠] 以至曙。		《楚辞》__春秋战国
9	视眩 [眠] 而无见兮，听惝恍而无闻。		《史记》__汉
10	田骈、□正义白 [眠] 反。		《史记》__汉
11	县肉为林，正义县，户 [眠] 反。		《史记》__汉
12	□正义媥，白 [眠] 反。		《史记》__汉
13	每从征行，常领候骑，昼夜巡察，略不 [眠] 寝。		《北史》__魏晋六朝
14	不露卧星下，不 [眠] 中见肩，大寒大热，大风大雾，皆不欲冒之。		《抱朴子》__魏晋六朝
15	荣夜半方寤，遂达旦不 [眠] 。		《北史》__魏晋六朝
16	光每令敬显前驱置营，中夜巡察，或达旦不 [眠] 。		《北史》__魏晋六朝
17	武成即留元海后堂，元海达旦不 [眠] ，唯绕床徐步。		《北史》__魏晋六朝
18	郡廨遭火，之才起望，夜中不著衣，披红 [眠] 帕出房，映光为昂所见。		《北史》__魏晋六朝
19	龙武欻忆旧谜云：“ [眠] 则同 [眠] ，起则同起，贪如犲狼，赃不入己。”		《北史》__魏晋六朝
20	金床玉几不能 [眠] ，夜蹋霜与露。		《北史》__魏晋六朝
21	有和你一样寻觅“知音”的人儿，能理解你长夜不 [眠] 的琴声。“		《古诗十九首》__魏晋六朝
22	恭每从容谓人曰：“下官历观世人，多有不好欢乐，乃仰 [眠] 床上，看屋梁而著书，千秋万岁，谁传此者。		《梁书》__魏晋六朝
23	先主与云同床 [眠] 卧，密遣云合募得数百人，皆称刘左将军部曲，绍不能知。		《三国志》__魏晋六朝
24	朕寒心消志，为日久矣，每当食投箸，方 [眠] 彻枕，独坐怀忧，愤慨申旦，非为一人，万姓故耳。		《梁书》__魏晋六朝
25	二县户口猥多，切近都治，饶诸奸秽，每比人，常 [眠] 睡，值其觉寤，辄得奸诈，众咸畏祗之发摘，或以为有术，无敢欺者。		《三国志》__魏晋六朝
26	法荣曰：“领军比日殆不复食，夜亦不 [眠] ，常言收已在门，不保俄顷。”		《宋书》__魏晋六朝
27	右军觉，既闻所论，知无活理，乃剔吐污头面被褥，诈孰 [眠] 。		《世说新语》__魏晋六朝
28	及开帐，乃见吐唾纵横，信其实孰 [眠] ，于是得全。		《世说新语》__魏晋六朝
29	左右侍直， [眠] 中梦人告之曰：“官须发为槊毦。”		《宋书》__魏晋六朝
30	恺卒迫不得讳，答云：“在后斋中 [眠] 。”		《世说新语》__魏晋六朝
31	后阳 [眠] ，所幸一人，窃以被覆之，因便斫杀。		《世说新语》__魏晋六朝
32	自尔每 [眠] ，左右莫敢近者。		《世说新语》__魏晋六朝
33	祥尝在别床 [眠] ，母自往暗斫之。		《世说新语》__魏晋六朝
34	昼日父 [眠] ，小者床头盗酒饮之，大儿谓曰：“何以不拜？”		《世说新语》__魏晋六朝
35	桓后言及此事，殷云：“初不 [眠] ，纵有此，岂不有贤贤易色也！”		《世说新语》__魏晋六朝
36	三解耿耿伏枕不能 [眠] ，披衣出户步东西。		《宋书》__魏晋六朝
37	贵贱造之者，有酒辄设，潜若先醉，便语客：“我醉欲 [眠] ，卿可去。”		《宋书》__魏晋六朝
38	尝夜至丞相许戏，二人欢极，丞相便命使入己帐 [眠] 。		《世说新语》__魏晋六朝
39	丞相顾诸客曰：“此中亦难得 [眠] 处。”		《世说新语》__魏晋六朝
40	尝寒时就觊宿，衣悉夹布，饮酒醉 [眠] ，觊以卧具覆之，百年不觉也。		《宋书》__魏晋六朝
41	此等既随喜行，多无功效，或隐在众后，或在幔屋中 [眠] 。		《宋书》__魏晋六朝
42	晦其夕竦动不得 [眠] ，道济就寝便熟，晦以此服之。		《宋书》__魏晋六朝
43	劭将出，已与萧斌同载，呼淑甚急，淑 [眠] 终不起。		《宋书》__魏晋六朝
44	初，湛家数见怪异，未败少日，所 [眠] 床忽有数升血。		《宋书》__魏晋六朝
45	舅头有大瘤，龄石伺舅 [眠] ，密往割之，舅即死。		《宋书》__魏晋六朝
46	仟 [眠] 起杂树，檀栾荫脩竹。		《昭明文选》__魏晋六朝
47	楚辞曰：远望兮仟 [眠] 。		《昭明文选》__魏晋六朝
48	诸葛长民富贵后，常一月中，辄十数夜 [眠] 中惊起跳踉，如与人相打。		《搜神后记》__魏晋六朝
49	妇还，见其夫犹在被中 [眠] 。		《搜神后记》__魏晋六朝
50	夜分而坐，则低迷思寝；内怀殷忧，则达旦不瞑古 [眠] 字。		《昭明文选》__魏晋六朝
51	后生饮酒醉，行大泽草中， [眠] 不能动。		《搜神后记》__魏晋六朝
52	夏日常抱饥，寒夜无被 [眠] ；		《陶渊明集》__魏晋六朝
53	山泽纷纡馀，林薄杳阡 [眠] 。		《昭明文选》__魏晋六朝
54	楚辞曰：远望兮阡 [眠] 。		《昭明文选》__魏晋六朝
55	隆鼻短口则少 [眠] ，露眼赤精则视远，头锐身短则喜鸣，四翎亚膺则体轻，凤翼雀毛则善飞，龟背鳖腹则能产，轩前垂後则善舞，洪髀纤趾则能行。		《昭明文选》__魏晋六朝
56	言投人已讫，上致命於天帝，然後乃得 [眠] 卧也。		《昭明文选》__魏晋六朝
57	又赴洛诗曰：林薄杳阡 [眠] 。		《昭明文选》__魏晋六朝
58	又 [眠] 不应，良久，乃张目熟视曰：昔唐尧著德，巢父洗耳。		《昭明文选》__魏晋六朝
59	元海达旦不 [眠] ，唯绕床徐步。		《北齐书》__隋唐五代
60	闻道辽西无斗战，时时醉向酒家 [眠] 。		《崔颢诗》__隋唐五代
61	蒲 [眠] 切。		《昭明文选》__魏晋六朝
62	攒在官立丛骈，青冥千瞑音 [眠] 。		《昭明文选》__魏晋六朝
63	楚辞曰：远望兮芊 [眠] 。		《昭明文选》__魏晋六朝
64	王逸曰：芊 [眠] ，遥视闇未明也。		《昭明文选》__魏晋六朝
65	芊 [眠] 与千瞑音义同。		《昭明文选》__魏晋六朝
