语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：睡
2022/7/10 23:04:50

序号	语句	书名	朝代
1	疲而 [睡] ， 所梦若此。		《列子》__春秋战国
2	景公畋于梧丘，夜犹早，公姑坐 [睡] ，而梦有五丈夫北面韦庐，称无罪焉。		《晏子春秋》__春秋战国
3	言未卒，啮缺 [睡] 寐。		《庄子》__春秋战国
4	遭其 [睡] 也。		《庄子》__春秋战国
5	子能得车者，必遭其 [睡] 也；使宋王		《庄子》__春秋战国
6	工囗（“ [睡] ”字以“亻”代“目”音ｃｈｕｉ２）旋而盖规矩，指		《庄子》__春秋战国
7	万年尝病，召咸教戒于床下，语至夜半，咸 [睡] ，头触屏风。		《汉书》__汉
8	万年大怒，欲仗之，曰：“乃公教戒汝，汝反 [睡] ，不听吾言，何也？”		《汉书》__汉
9	咸 [睡] 厥诲，熟为不子？		《汉书》__汉
10	今西边北边之郡，虽有长爵不轻得复，五尺以上不轻得息，斥候望烽燧不得卧，将吏被介胄而 [睡] ，臣故曰一方病矣。		《汉书》__汉
11	赵武藏於裤中，终日不啼，非或掩其口，阏其声也；命时当生， [睡] 卧遭出也。		《论衡》__汉
12	读书欲 [睡] ，引锥自刺其股，血流至踵。		《史记》__汉
13	正义伪音危 [睡] 反。		《史记》__汉
14	旧音耳 [睡] 反，於义为疏。		《史记》__汉
15	孝公既见卫鞅，语事良久，孝公时时 [睡] ，弗听。		《史记》__汉
16	读书欲 [睡] ，引锥自刺其股，血流至足。		《战国策》__汉
17	昔卫灵听圣言而数惊，秦孝闻高谈而 [睡] 寐，而欲缉隆平之化，收良能之勋，犹却行以逐驰，适楚而道燕也。		《抱朴子》__魏晋六朝
18	或有德薄位高，器盈志溢，闻财利则惊掉，见奇士则坐 [睡] 。		《抱朴子》__魏晋六朝
19	闻至道言而如醉，睹道论而昼 [睡] ，有身不修，动之死地，不肯求问养生之法，自欲割削之，煎熬之，憔悴之，漉汔之；而有道者自宝秘其所知，无求于人，亦安肯强行语之乎？		《抱朴子》__魏晋六朝
20	不欲甚劳甚逸，不欲起早起晚，不欲汗流，不欲多 [睡] ，不欲奔车走马，不欲极目远望，不欲多啖生冷，不欲饮酒当风，不欲数数沐浴，不欲广志远愿，不欲规造异巧。		《抱朴子》__魏晋六朝
21	夜 [睡] ，者上岸，窃禾四束饲马。		《北史》__魏晋六朝
22	广尝欲早朝，假寐，忽惊觉，谓其妻曰：“吾向似 [睡] 非 [睡] ，忽见一人出吾身中，语云：‘君用心过苦，非精神所堪，今辞君去。		《北史》__魏晋六朝
23	或强牵引观之，殊不入神，有若昼 [睡] 。		《抱朴子》__魏晋六朝
24	时行伴中从 [睡] 寤者，卒见火边有一罗刹，竟不谛观，舍之而走。		《百喻经》__魏晋六朝
25	常密于灰中藏火，驱逐僮仆，父母寝 [睡] 之后，燃火读书，以衣被蔽塞窗户，恐漏光明，为家人所觉。		《北史》__魏晋六朝
26	手下仓头，常令执烛，或时 [睡] 顿，大加其杖，如此非一。		《北史》__魏晋六朝
27	恆言：“我 [睡] 即梦岳语我‘兄欲何处去？		《北史》__魏晋六朝
28	谓将士曰：“聊观彼龙 [睡] 不动，吾军之龙，甚自踊跃，即攻之。		《北史》__魏晋六朝
29	虽久处朝行，历官清显，与邢邵、魏收、阳休之、崔励、徐之才比肩同列，诸人或谈说经史，或吟咏诗赋，更相嘲戏，欣笑满堂，惇不好剧谈，又无学术，或坐杜口，或隐几而 [睡] ，不为胜流所重。		《北史》__魏晋六朝
30	夜中 [睡] ，梦有人授药，比寤而疮不痛。		《北史》__魏晋六朝
31	用心精苦，曾三秋冬不畜枕，每 [睡] ，假寐而已。		《北史》__魏晋六朝
32	是日，帝息于芒山，止浮图阴下，少时 [睡] 卧，魏孙便欲赴廷。		《北史》__魏晋六朝
33	时坐 [睡] 而梁悬，裁枝梧而锥握。		《梁书》__魏晋六朝
34	曾遇患昼寝，有奴偷窃，乞归诈 [睡] 不见，亦不泄之。		《北史》__魏晋六朝
35	当尔之时，有一大臣，以热困故，入华池中，时彼大臣，见树下人，色貌殊胜，具足众相， [睡] 卧不觉，日虽移去，然其树影，不舍彼人。		《北魏译经》__魏晋六朝
36	但以今日见兵，分命大将据诸要险，威足以震摄强寇，镇静疆埸，将士虎 [睡] ，百姓无事。		《三国志》__魏晋六朝
37	昼夜自课，时或 [睡] 寐，辄以杖自击，其笃志如此。		《梁书》__魏晋六朝
38	“夜夜除非好梦留人 [睡] 。”		《古诗十九首》__魏晋六朝
39	说，一觉 [睡] 到大天亮，根本不会觉察到夜已变长。“		《古诗十九首》__魏晋六朝
40	他怎么也 [睡] 不着，便索性“揽		《古诗十九首》__魏晋六朝
41	家人患其不胜丧，中夜窃置炭于床下，览因暖气得 [睡] ，既觉知之，号恸欧血。		《梁书》__魏晋六朝
42	二县户口猥多，切近都治，饶诸奸秽，每比人，常眠 [睡] ，值其觉寤，辄得奸诈，众咸畏祗之发摘，或以为有术，无敢欺者。		《三国志》__魏晋六朝
43	丞相小极，对之疲 [睡] 。		《世说新语》__魏晋六朝
44	父抱笃疾弥年，原平衣不解带，口不尝盐菜者，跨积寒暑；又未尝 [睡] 卧。		《宋书》__魏晋六朝
45	晏子春秋曰：景公田於梧丘，夜坐 [睡] ，梦见五丈夫，倚徙称无罪。		《昭明文选》__魏晋六朝
46	商鞅言帝王之术，而孝公以之 [睡] 。		《昭明文选》__魏晋六朝
47	《本草·木部》：“茗，苦茶，味甘苦，微寒，无毒，主瘘疮，利小便，去痰渴热，令人少 [睡] 。		《茶经》__隋唐五代
48	又如迷上杌木，谓为人身神鬼，不同不 [睡] 之身，不迷之木也。		《禅源诠序》__隋唐五代
49	论云，不如实知真如之法，如宅中人 [睡] 自不知也。		《禅源诠序》__隋唐五代
50	○三念起［不觉故，法尔念起，如 [睡] 法尔有梦。		《禅源诠序》__隋唐五代
51	光每命敬显前驱，安置营垒，夜中巡察，或达旦不 [睡] 。		《北齐书》__隋唐五代
52	又云：有人见其 [睡] 形变鼍，云是鼍精也。		《昭明文选》__魏晋六朝
53	昭道因使巴渝，至万春驿，方 [睡] ，见此十人祈哀。		《大唐新语》__隋唐五代
54	［如宅中人 [睡] ，自不知也。		《禅源诠序》__隋唐五代
55	道途辛苦 [睡] 深更，善友沈然梦寐成。		《敦煌变文》__隋唐五代
56	汝 [睡] 必兄专意护，我眠托弟着心外（收）。		《敦煌变文》__隋唐五代
57	寒更漏永 [睡] 稠☆（绸缪），魂梦将心处处游，		《敦煌变文》__隋唐五代
58	此时礼拜偏添福，免被☆明 [睡] 思仍。		《敦煌变文》__隋唐五代
59	后夜深，须净意，莫逞☆明恣眼 [睡] ，		《敦煌变文》__隋唐五代
60	小子曲躬启言阿翁：「昨日驱牛遂（逐）草，偶至七里涧边，见一秃头小儿，身披赤色之衣，树下端然坐 [睡] ，不知是何色类？		《敦煌变文》__隋唐五代
61	来至此间，不识闲忙，走向此间坐 [睡] 。		《敦煌变文》__隋唐五代
62	赤于 [睡] 中蹶起下阶，与之揖让。		《独异志》__隋唐五代
63	其太子 [睡] 校（觉），遍体汗流，端然如（而）座。		《敦煌变文》__隋唐五代
64	其守伴宫人，例皆不 [睡] 。		《敦煌变文》__隋唐五代
