语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：知
2022/11/6 15:36:39

序号	语句	书名	朝代
1	於道为所 [知] 愚、此其三也。		《禅林僧宝传卷第二十七》__宋
2	 [知] 言而能默。		《禅林僧宝传卷第二十七》__宋
3	 [知] 其为本色住山人也。		《禅林僧宝传卷第二十七》__宋
4	故世尊曰、理障碍正 [知] 见。		《禅林僧宝传卷第二十七》__宋
5	答曰、未 [知] 生、焉 [知] 死。		《禅林僧宝传卷第二十七》__宋
6	只 [知] 贪程、不觉蹉路。		《禅林僧宝传卷第二十七》__宋
7	公至黄蘖四年、 [知] 有而机不发。		《禅林僧宝传卷第二十三》__宋
8	南公曰、 [知] 是般事便休。		《禅林僧宝传卷第二十三》__宋
9	有能信者、始 [知] 本来自有之物。		《禅林僧宝传卷第二十三》__宋
10	既自亲尝、便能了 [知] 其味。		《禅林僧宝传卷第二十三》__宋
11	若能亲见、便能了 [知] 。		《禅林僧宝传卷第二十三》__宋
12	既能了 [知] 、真妄生死。		《禅林僧宝传卷第二十三》__宋
13	病在见闻觉 [知] 、为不如实 [知] 。		《禅林僧宝传卷第二十三》__宋
14	认此见闻觉 [知] 、为自所见。		《禅林僧宝传卷第二十三》__宋
15	殊不 [知] 此见闻觉 [知] 。		《禅林僧宝传卷第二十三》__宋
16	即此见闻觉 [知] 、还同龟毛兔角、并无所归。		《禅林僧宝传卷第二十三》__宋
17	不 [知] 烦恼习气是何物、而欲尽之。		《禅林僧宝传卷第二十三》__宋
18	但以如来 [知] 见治之。		《禅林僧宝传卷第二十三》__宋
19	首座实不 [知] 也。		《禅林僧宝传卷第二十四》__宋
20	不惜身命、以 [知] 恩故。		《禅林僧宝传卷第二十四》__宋
21	总 [知] 宵遁、去千馀里。		《禅林僧宝传卷第二十四》__宋
22	子由其 [知] 言哉。		《禅林僧宝传卷第二十五》__宋
23	又问、三门夜来倒、 [知] 否。		《禅林僧宝传卷第二十五》__宋
24	智愕曰、不 [知] 。		《禅林僧宝传卷第二十五》__宋
25	智不敢犯其词、 [知] 其为遇也。		《禅林僧宝传卷第二十五》__宋
26	智心 [知] 堕其计、不得辞乃受之。		《禅林僧宝传卷第二十五》__宋
27	公大悟曰、乃 [知] 临济道、出常情。		《禅林僧宝传卷第二十一》__宋
28	 [知] 见高、入道稳实。		《禅林僧宝传卷第二十一》__宋
29	公曰、 [知] 。		《禅林僧宝传卷第二十一》__宋
30	諲见延称、公 [知] 见可兴临济。		《禅林僧宝传卷第二十一》__宋
31	若也 [知] 之、北俱卢州吃粥吃饭。		《禅林僧宝传卷第二十一》__宋
32	若也不 [知] 、长连床上吃粥吃饭。		《禅林僧宝传卷第二十一》__宋
33	赵州勘破婆子、叶落便合 [知] 秋。		《禅林僧宝传卷第二十一》__宋
34	自其儿稚、 [知] 敬佛乘。		《禅林僧宝传卷第九》__宋
35	乃 [知] 色生时但是空生。		《禅林僧宝传卷第九》__宋
36	若 [知] 自心如此、於诸佛亦然。		《禅林僧宝传卷第九》__宋
37	何 以 [知] 之。		《禅林僧宝传卷第九》__宋
38	僧曰、我 [知] 之矣。		《禅林僧宝传卷第九》__宋
39	许初心菩萨、皆可 比 [知] 。		《禅林僧宝传卷第九》__宋
40	众世界中、第一比 [知] 。		《禅林僧宝传卷第九》__宋
41	第二现 [知] 、第三约教而 [知] 。		《禅林僧宝传卷第九》__宋
42	第一比 [知] 者。		《禅林僧宝传卷第九》__宋
43	则可比 [知] 、觉时之事。		《禅林僧宝传卷第九》__宋
44	第二现 [知] 者。		《禅林僧宝传卷第九》__宋
45	此皆是众生日用、可以现 [知] 。		《禅林僧宝传卷第九》__宋
46	凡有心者、并可证 [知] 。		《禅林僧宝传卷第九》__宋
47	 [知] 唯识者、恒观自心、意言为境。		《禅林僧宝传卷第九》__宋
48	分 [知]  意言、则是菩萨。		《禅林僧宝传卷第九》__宋
49	第三约教而 [知] 者。		《禅林僧宝传卷第九》__宋
50	众莫有 [知] 者、以腊 高为堂中第一座。		《禅林僧宝传卷第九》__宋
