语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：短
2022/7/10 22:55:54

序号	语句	书名	朝代
1	 [短] 毋见肤，长毋被土。		《礼记》__春秋战国
2	日 [短] ，星昴，以正仲冬。		《尚书》__周
3	此犹锦绣之与 [短] 褐也。		《墨子》__春秋战国
4	仲尼曰：“僬侥氏长三尺， [短] 之至也。		《国语》__春秋战国
5	吴起见其所以长，而不见其所以 [短] ；知其所以贤，而不知其所以不肖。		《吕氏春秋》__春秋战国
6	六极：一曰凶、 [短] 、折，二曰疾，三曰忧，四曰贫，五曰恶，六曰弱。		《尚书》__周
7	今君掩王东海，以淫名闻于天子，君有 [短] 垣，而自  之，况蛮、荆则何有于周室？		《国语》__春秋战国
8	今秦地折长补 [短] ，方 数千里，名师数十百万。		《韩非子》__春秋战国
9	今秦地 折长补 [短] ，方数千里，名师数十百万。		《韩非子》__春秋战国
10	三年，巫马旗 [短] 褐衣弊裘而往观化於亶父，见夜渔者，得则舍之。		《吕氏春秋》__春秋战国
11	飞兔、要褭，古之骏马也，材犹有 [短] 。		《吕氏春秋》__春秋战国
12	战及死吏，而轻 [短] 兵，能一首则优。		《商君书》__春秋战国
13	千石之令， [短] 兵百人；八百之令， [短] 兵八十人；七百之令， [短] 兵七十人；六百之令， [短] 兵六十人。		《商君书》__春秋战国
14	智 [短] 也。		《吕氏春秋》__春秋战国
15	智 [短] 则不知化，不知化者举自危。		《吕氏春秋》__春秋战国
16	身之所長，上雖不知，不以悖君；身之所 [短] ，上雖不知，不以取賞；長 [短] 不飾，以情自竭，若是則可謂直士矣。		《荀子》__春秋战国
17	鬻熊语文王曰：“自长非所增，自  [短] 非所损。		《列子》__春秋战国
18	故曰∶ [短] 綆不可以汲深井之泉，知不幾者不可與及聖人之言。		《荀子》__春秋战国
19	古之人無有也，學者不道也蓋帝堯長，帝舜 [短] ；文王長，周公 [短] ；仲尼長，子弓 [短] 。		《荀子》__春秋战国
20	葉公子高，微小 [短] 瘠，行若將不勝其衣然。		《荀子》__春秋战国
21	直將差長 [短] ，辨美惡，而相欺傲邪？		《荀子》__春秋战国
22	关尹谓子列子曰：“言美则响美，言恶则响恶；身长则影长，身 [短] 则影 [短] 。		《列子》__春秋战国
23	聖王之用也∶上察於天，下錯於地，塞備天地之間，加施萬物之上，微而明， [短] 而長，狹而廣，神明博大以至約。		《荀子》__春秋战国
24	有修 [短] 乎？		《列子》__春秋战国
25	侵小龙 伯之民使 [短] 。		《列子》__春秋战国
26	何以识其修 [短] ？		《列子》__春秋战国
27	上 [短] 下长无度而用则危本不称而祀谭次祖犯诅渝盟伤言，		《管子》__春秋战国
28	强与 [短] 而立齐国之若何，		《管子》__春秋战国
29	 [短] 兵待远矢与坐而待死者同实，		《管子》__春秋战国
30	性者，万物之本也，不可长，不可 [短] ，因其固然而然之，此天地之数也。		《吕氏春秋》__春秋战国
31	至长反 [短] ，至 [短] 反长，天之道也。		《吕氏春秋》__春秋战国
32	迫脅於亂時，窮居於暴國，而無所避之，則崇其美，揚其善，違其惡，隱其敗，言其所長，不稱其所 [短] ，以為成俗。		《荀子》__春秋战国
33	然则天有所 [短] ，地有所长，圣有所否，物有所通。		《列子》__春秋战国
34	能阴能阳，能柔能刚，能 [短] 能长，能圆能方，能生能死，能暑能凉，能浮 能沉，能宫能商，能出能没，能玄能黄，能甘能苦，能膻能香。		《列子》__春秋战国
35	此亦秦之所 [短] 也。		《荀子》__春秋战国
36	禮者、斷長續 [短] ，損有餘，益不足，達愛敬之文， 而滋成行義之美者也。		《荀子》__春秋战国
37	凡听角如雉 [短] 木以鸣音疾以清，		《管子》__春秋战国
38	亵裘长， [短] 右袂。		《论语》__春秋战国
39	长也者，非 [短] 而续之也，毕其数也。		《吕氏春秋》__春秋战国
40	言其有利者，从其所长也；言其有害者，避其所 [短] 也。		《鬼谷子》__春秋战国
41	是故智者不用其所 [短] 而用愚人之所长；不用其所拙而用愚人之所工；故不困也。		《鬼谷子》__春秋战国
42	物固莫不有长，莫不有 [短] 。		《吕氏春秋》__春秋战国
43	故善学者，假人之长以补其 [短] 。		《吕氏春秋》__春秋战国
44	四时代兴，或暑或寒，或 [短] 或长，或柔或刚。		《吕氏春秋》__春秋战国
45	故其治民劳者，其舞 行缀远；其治民逸者，其舞行缀 [短] 。		《礼记》__春秋战国
46	無用吾之所 [短] 遇人之所長，故塞而避所 [短] ，移而從所仕。		《荀子》__春秋战国
47	劫迫於暴國而無所辟之，則崇其善，揚其美，言其所長而不稱其所 [短] 也。		《荀子》__春秋战国
48	仲冬日 [短] 至，则生黄钟。		《吕氏春秋》__春秋战国
49	晏子使楚，以晏子 [短] ，楚人为小门于大门之侧而延晏子，晏子不入，曰；“使狗国者，从狗门入；今臣使楚，不当从此门入。”		《晏子春秋》__春秋战国
50	是月也，日 [短] 至，阴阳争，诸生荡。		《吕氏春秋》__春秋战国
51	日 [短] 至，则伐林木，取竹箭。		《吕氏春秋》__春秋战国
52	今王无以取之，而天禄亟至，是吴命之 [短] 也。		《国语》__春秋战国
53	齐宣王欲 [短] 丧。		《孟子》__春秋战国
54	先君能以人之长续其 [短] ，以人之厚补其薄，是以辞令穷远而不逆，兵加于有罪而不顿，是以诸侯朝其德，而天子致其胙。		《晏子春秋》__春秋战国
55	是月也，日 [短] 至，阴阳争。		《逸周书》__春秋战国
56	日 [短] 至，则伐林木，取竹箭。		《逸周书》__春秋战国
57	执义扬善曰怀，慈仁 [短] 折曰怀。		《逸周书》__春秋战国
58	 [短] 折不成曰殇，未家 [短] 折曰殇。		《逸周书》__春秋战国
59	蚤孤 [短] 折曰哀，恭仁 [短] 折曰哀。		《逸周书》__春秋战国
60	故明王之任人，谄谀不迩乎左右，(p.232)阿党不治乎本朝；任人之长，不强其 [短] ，任人之工，不强其拙。		《晏子春秋》__春秋战国
61	’今滕，绝长补 [短] ，将五十里也，犹可以为善国。		《孟子》__春秋战国
62	正南，瓯邓、桂国、损子、产里、百濮、九菌，请令以珠玑、玳瑁、象齿、文犀、翠羽、菌鹤、 [短] 狗为献。		《逸周书》__春秋战国
63	“伊尹黑而 [短] ，蓬而髯，丰上兑下，偻身而下声。”		《晏子春秋》__春秋战国
64	操吴戈兮披犀甲，车错毂兮 [短] 兵接。		《楚辞》__春秋战国
65	此治世之所以 [短] ，而乱世之所以长也。		《吕氏春秋》__春秋战国
66	望孟夏之 [短] 夜兮，何晦明之若岁！		《楚辞》__春秋战国
67	日南则景 [短] ，多暑；日北则景长，多寒；日东则景夕，多风；日西则景朝，多阴。		《周礼》__春秋战国
68	一，登高不可以为长，居下不可以为 [短] 。		《庄子》__春秋战国
69	詹尹乃释策而谢曰：“夫尺有所 [短] ，寸有所长，物有所不足，智有所不明，		《楚辞》__春秋战国
70	鰅鳙 [短] 狐，王虺骞只。		《楚辞》__春秋战国
71	载右体，肩、臂、肫、胳、臑，正脊一、脡脊一、横脊一， [短] 胁一、正胁一、代胁一，肠一、胃一、祭肺一，载于一俎。		《仪礼》__春秋战国
72	司士朼豕，亦司士载，亦右体：肩、臂、肫、胳、臑，正脊一、脡脊一、横脊一， [短] 胁一、正胁一、代胁一，肤五、哜肺一，载于一俎。		《仪礼》__春秋战国
73	尸食，乃盛俎、臑、臂、肫、脡脊、横脊、 [短] 胁、代胁，皆牢；鱼七；腊辩。		《仪礼》__春秋战国
74	毂小而长则柞，大而 [短] 则挚。		《周礼》__春秋战国
75	长内则折前， [短] 内则不疾，是故倨句外博，重三锊。		《周礼》__春秋战国
76	钟大而 [短] ，则其声疾而 [短] 闻；钟小而长，则其声舒而远闻。		《周礼》__春秋战国
77	鼓大而 [短] ，则其声疾而 [短] 闻；鼓小而长，则其声舒而远闻。		《周礼》__春秋战国
78	髀不升，肩、臂、臑、、骼，正脊一、横脊 [短] 胁一、正胁一、代胁一，皆二骨以并，肠三、胃三、举肺一、祭肺三，实于一鼎。		《仪礼》__春秋战国
79	髀不升，肩、臂、臑、骼，正脊一、横脊一、 [短] 胁一、正胁一、代胁一，皆二骨以并，举肺一、祭肺三，实于一鼎。		《仪礼》__春秋战国
