语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：硕
2023/1/20 16:05:41

序号	语句	书名	朝代
1	上六，往蹇，来 [硕] ，吉，利见大人。		《周易》__周
2	《象》曰：“往蹇，来 [硕] ”，志在内也。“		《周易》__周
3	故谚有之曰：“人莫知其子之恶，莫知其苗之 [硕] 。”		《大学中庸》__春秋战国
4	 [硕] ，协韵，时若反。		《大学中庸》__春秋战国
5	谚有之曰：“人莫知其子之恶，莫知其苗之 [硕] 。”		《大学中庸》__春秋战国
6	播厥百谷，既庭且 [硕] ，曾孙是若。		《诗经》__周
7	辰彼 [硕] 女，令德来教。		《诗经》__周
8	奉时辰牡，辰牡孔 [硕] 。		《诗经》__周
9	考槃在涧， [硕] 人之宽。		《诗经》__周
10	考槃在阿， [硕] 人之薖。		《诗经》__周
11	考槃在陆， [硕] 人之轴。		《诗经》__周
12	○ [硕] 人		《诗经》__周
13	 [硕] 人其颀，衣锦褧衣。		《诗经》__周
14	 [硕] 人敖敖，说于农郊。		《诗经》__周
15	○ [硕] 鼠		《诗经》__周
16	 [硕] 鼠，无食我黍！		《诗经》__周
17	 [硕] 鼠，无食我麦！		《诗经》__周
18	 [硕] 鼠，无食我苗！		《诗经》__周
19	执爨，为俎孔 [硕] ，或燔或炙。		《诗经》__周
20	故谚有之曰：“人莫知其子之恶，莫知其苗之 [硕] 。”		《礼记》__春秋战国
21	蛇蛇 [硕] 言，出自口矣。		《诗经》__周
22	啸歌伤怀，念彼 [硕] 人。		《诗经》__周
23	维彼 [硕] 人，实劳我心。		《诗经》__周
24	维彼 [硕] 人，实劳我心。		《诗经》__周
25	吉甫作诵，其诗孔 [硕] 。		《诗经》__周
26	上六，往蹇来 [硕] ，吉，利见大人。		《周易》__周
27	《象》曰：“往蹇来 [硕] ”，志在内也。“		《周易》__周
28	 [硕] 人俣俣，公庭万舞。		《诗经》__周
29	公孙 [硕] 肤，赤舄几几。		《诗经》__周
30	凡散祭祀之牲，系于国门，使养之、展牲，则告牷； [硕] 牲，则赞。		《周礼》__春秋战国
31	婴儿生，无 [硕] 师而能言，与能言者处也。”		《庄子》__春秋战国
32	卫庄公娶于齐东宫得臣之妹，曰庄姜，美而无子，卫人所为赋《 [硕] 人》也。		《左传》__春秋战国
33	九备：一忠正不荒，美好乃不作恶，……四□说声色忧乐盈匿，五 [硕] 信伤辩曰费□□，六出观好怪，内乃淫巧，七□□谋躁，内乃荒异，八□□好威，民众日逃，九富宠极足，是大极内，心其离。		《逸周书》__春秋战国
