语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：确
2023/1/20 16:08:51

序号	语句	书名	朝代
1	其占为当坚 [确] 固守，而不可以有为。		《周易》__周
2	夫乾， [确] 然示人易矣，夫坤，阝贵然示人简矣。		《周易》__周
3	 [确] ，苦角反。		《周易》__周
4	! [确] 然，健貌。		《周易》__周
5	夫乾， [确] 然示人易矣；夫坤， [确] 然示人简矣。		《周易》__周
6	 [确] ，苦学反。		《周易》__周
7	其德安静而坚 [确] ，故其思虑明审，不俟终日，而见凡事之几微也。		《周易》__周
8	关内侯师丹端诚于国，不顾患难，执忠节，据圣法，分明尊卑之制， [确] 然有柱石之固，临大节而不可夺，可谓社稷之臣矣。		《汉书》__汉
9	乃下诏曰：“刚强坚固， [确] 然亡欲，大鸿胪野王是也。		《汉书》__汉
10	窃见安汉公自初束脩，值世俗隆奢丽之时，蒙两宫厚骨肉之宠，被诸父赫赫之光，财饶势足，亡所牾意，然而折节行仁，克心履礼，拂世矫俗， [确] 然特立；恶衣恶食，陋车驽马，妃匹无二，闺门之内，孝友之德，众莫不闻；清静乐道，温良下士，惠于故旧，笃于师友。		《汉书》__汉
11	典属国公孙昆邪为上泣曰：“李广材气，天下亡双，自负其能，数与虏 [确] ，恐亡之。”		《汉书》__汉
12	其地 [确] 石而名丑，荆 人鬼，越人禨，人莫之利也。”		《淮南子》__汉
13	又云丑恶也，刻 [确] 也。		《史记》__汉
14	韦昭云“刻 [确] 也”。		《史记》__汉
15	按： [确] 音刻。		《史记》__汉
16	虽复设之以台鼎，犹 [确] 尔而弗革也。		《抱朴子》__魏晋六朝
17	其或峨然守正， [确] 尔不移，不蓬转以随众，不改雅以入郑者，人莫能憎而知其善，而斯以不同于己者，便共仇雠而不数之。		《抱朴子》__魏晋六朝
18	后固意 [确] 然，幽夜独誓，但使所怀是男，次第当长子，子生，身死不辞。		《北史》__魏晋六朝
19	寝宜僚之舍，闭干木之闾，携庄、莱之友，治陋巷之居， [确] 岳峙而不拔，岂有怀于卷舒乎？		《抱朴子》__魏晋六朝
20	居贞成务，则 [确] 若嵩、岱之根地。		《抱朴子》__魏晋六朝
21	朕志 [确] 然，死而后已。”		《北史》__魏晋六朝
22	及迁都之后，因退私门，外兄范阳卢叔彪劝令出仕，前后数四， [确] 然不从。		《北史》__魏晋六朝
23	盖欲立朝则世已大乱，欲潜伏则闷而不堪，或跃则畏祸害， [确] 尔则非所安。		《抱朴子》__魏晋六朝
24	晋王下书曰：“天台真隐东海徐先生，虚 [确] 居宗，冲玄成德，齐物处外，检行安身。		《北史》__魏晋六朝
25	子君 [确] 、君静二人徙北边，少子君严、君赞下蚕室。		《北史》__魏晋六朝
26	南安败，君 [确] 等二人皆坐死。		《北史》__魏晋六朝
27	 [确] 而为论，并非折衷。		《北史》__魏晋六朝
28	时阳平路回寓居齐土，与杲潜相影响，引贼入郭，光韶临机处分，在难 [确] 然。		《北史》__魏晋六朝
