语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：神
2022/7/10 23:15:00

序号	语句	书名	朝代
1	惟我周王灵承于旅，克堪用德，惟典 [神] 天。		《尚书》__周
2	十五年，有 [神] 降于莘，王问于内史过，曰：“是何故？		《国语》__春秋战国
3	 [神] 飨而民听，民 [神] 无怨，故明 [神] 降之，观其政德而均布福焉。		《国语》__春秋战国
4	国之将亡，其君贪冒、辟邪、淫佚、荒怠、粗秽、暴虐；其政腥臊，馨香不登，其刑矫诬，百姓携贰，明 [神] 不蠲而民有远志，民 [神] 怨痛，无所依怀，故 [神] 亦往焉，观其苛慝而降之祸。		《国语》__春秋战国
5	是以或见 [神] 以兴，亦或以亡。		《国语》__春秋战国
6	商之兴也，☆杌次于丕山，其亡也，夷羊在牧，周之兴也，☆☆鸣于岐山，其衰也，杜伯射王于☆，是皆明 [神] 之志者也。”		《国语》__春秋战国
7	王曰：“今是何 [神] 也？”		《国语》__春秋战国
8	夫 [神] 壹不远徙迁，若由是观之，其丹朱之 [神] 乎？”		《国语》__春秋战国
9	益曰：“都，帝德广运，乃圣乃 [神] ，乃武乃文。		《尚书》__周
10	与诸侯于是饰牲为载，以约誓于上下庶 [神] ，与诸侯戮力同心。		《国语》__春秋战国
11	正月朔旦，受命于 [神] 宗，率百官若帝之初。		《尚书》__周
12	至諴感 [神] ，矧兹有苗。”		《尚书》__周
13	清明在躬，气志如 [神] ，嗜欲将至， 有开必先。		《礼记》__春秋战国
14	惟岳降 [神] ， 生甫及申。		《礼记》__春秋战国
15	肆类于上帝，禋于六宗，望于山川，遍于群 [神] 。		《尚书》__周
16	虢公梦在庙，有 [神] 人面白毛虎爪，执钺立于西阿，公惧而走。		《国语》__春秋战国
17	’”公拜稽首，觉，召史嚣占之，对曰：“如君之言，则蓐收也，天之刑 [神] 也，天事官成。”		《国语》__春秋战国
18	故至 [神] 逍遥倏忽，而不见其容；至圣变习移俗，而莫知其所从；离世别群，而无不同；君民孤寡，而不可障壅。		《吕氏春秋》__春秋战国
19	八音克谐，无相夺伦， [神] 人以和。”		《尚书》__周
20	犯顺不祥，以逆训民亦不祥，易 [神] 之班亦不祥，不明而跻之亦不祥，犯鬼道二，犯人道二，能无殃乎？”		《国语》__春秋战国
