语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：禽
2023/1/20 15:14:59

序号	语句	书名	朝代
1	展 [禽] 曰：“夏父弗忌必有殃。		《国语》__春秋战国
2	宣公夏滥于泗渊，里革断其罟而弃之，曰：“古者大寒降，土蛰发，水虞于是乎讲☆☆，取名鱼，登川 [禽] ，而尝之寝庙，行诸国，助宣气也。		《国语》__春秋战国
3	展 [禽] 使乙喜以膏沐犒师，曰：“寡君不佞，不能事疆埸之司，使君盛怒，以暴露于弊邑之野，敢犒舆师。”		《国语》__春秋战国
4	齐孝公来伐鲁，臧文仲欲以辞告，病焉，问于展 [禽] 。		《国语》__春秋战国
5	男则玉帛、 [禽] 鸟，以章物也。		《国语》__春秋战国
6	其 [禽] 加于一双，则执一双以将命，委其余。		《礼记》__春秋战国
7	 [禽] 滑厘问于子墨子曰。		《墨子》__春秋战国
8	展 [禽] 曰：“越哉，臧孙之为政也！		《国语》__春秋战国
9	鲁侯伯 [禽] 宅曲阜，徐、夷并兴，东郊不开。		《尚书》__周
10	生万物，容畜 [禽] 兽，然后受其名而兼其利。		《国语》__春秋战国
11	余虽☆然而入面哉，吾犹 [禽] 兽也，又安知是☆☆者乎？”		《国语》__春秋战国
12	吾年既少，未有恒常，出则 [禽] 荒，入则酒荒。		《国语》__春秋战国
13	王其且驰骋弋猎，无至 [禽] 荒；宫中之乐，无至酒荒；肆与大夫觞饮，无忘国常。		《国语》__春秋战国
14	初六：井泥不食，旧井无 [禽] 。		《周易》__周
15	盖井不泉而泥，则人所不食，而 [禽] 鸟亦莫之顾也。		《周易》__周
16	旧井无 [禽] ”，时舍也。		《周易》__周
17	当惠王之时，五十战而二十败，所杀者不可胜数，大将、爱子有 [禽] 者也。		《吕氏春秋》__春秋战国
18	武王将素甲三千，战一日，而破纣之国， [禽] 其身，据 其地而有其民，天下莫伤。		《韩非子》__春秋战国
19	乃使其臣张孟谈，于是乃潜 行而出，反知伯之约，得两国之众，以攻知伯， [禽] 其身，以复襄主之初。		《韩非子》__春秋战国
20	其二曰：“训有之，内作色荒，外作 [禽] 荒。		《尚书》__周
21	此三者，恃一，因其兵可 [禽] 也。		《商君书》__春秋战国
22	本不坚，则民如飞鸟 [禽] 兽，其孰能制之？		《商君书》__春秋战国
23	曰古者不重创，不 [禽] 二毛，故不言获，为内讳也。		《榖梁传》__春秋战国
24	了产用邓析之言，因间以 谒其兄弟而告之曰：“人之所以贵于 [禽] 兽者，智虑。		《列子》__春秋战国
25	周公，曰大庙；伯 [禽] ，曰大室；群公，曰宫。		《榖梁传》__春秋战国
26	 [禽] 骨厘闻之曰：“端木叔，狂人也，辱其祖矣。”		《列子》__春秋战国
27	 [禽] 子问杨朱曰：“去子体之一毛，以济一世，汝为 之乎？”		《列子》__春秋战国
28	 [禽] 子曰：“假济，为之乎？”		《列子》__春秋战国
29	 [禽] 子出，语孟孙阳。		《列子》__春秋战国
30	 [禽] 子默然有间。		《列子》__春秋战国
31	 [禽] 子曰：“吾不能所以答子。		《列子》__春秋战国
32	然且犹裁万物，制 [禽] 兽，服狡虫，寒暑燥湿弗能害，不唯先有其备，而以群聚邪！		《吕氏春秋》__春秋战国
33	其民麋鹿 [禽] 兽，少者使长，长者畏壮，有力者贤，暴傲者尊，日夜相残，无时休息，以尽其类。		《吕氏春秋》__春秋战国
34	陈侯憙猎，淫猎于蔡，与蔡人争 [禽] 。		《榖梁传》__春秋战国
35	周宣王文牧正有役人梁鸯者，能养野 [禽] 兽，委食于园庭之内，虽虎狼雕鹗之 类，无不柔驯者。		《列子》__春秋战国
36	犬马非其土性不畜，珍 [禽] 奇兽不育于国，不宝远物，则远人格；所宝惟贤，则迩人安。		《尚书》__周
37	草木疇生， [禽] 獸群居，物各從其類也。		《荀子》__春秋战国
38	為之人也，舍之 [禽] 獸也。		《荀子》__春秋战国
39	君子之學也，以美其身；小人之學也，以為 [禽] 犢。		《荀子》__春秋战国
40	小人反是∶致亂而惡人之非己也；致不肖而欲人之賢己也；心如虎狼，行如 [禽] 獸，而又惡人之賊己也。		《荀子》__春秋战国
41	傅 翼翼戴角，分牙布爪，仰飞伏走，谓之 [禽] 兽；而 [禽] 兽未必无人心。		《列子》__春秋战国
42	夏桀、殷纣、鲁桓、楚穆，状貌七窍，皆同于人，而有  [禽] 兽之心。		《列子》__春秋战国
43	?频塾胙椎壅接谮嫒埃锜 堋㈩肌⒗恰⒈⒓豸区>、虎为前驱，雕、鹖、鹰、鸢为旗帜， 此以力使 [禽] 兽者 也。		《列子》__春秋战国
44	尧使夔典乐，击石拊石，百兽率舞；箫韶九成，凤皇来仪，此以声致 [禽] 兽者 也。		《列子》__春秋战国
45	然则 [禽] 兽之心，奚为异人？		《列子》__春秋战国
46	 [禽] 兽之智有自然与人童者，其齐欲摄生，亦不假智 于人也。		《列子》__春秋战国
47	故先会鬼神魑魅，次达八方人民， 末聚 [禽] 兽虫蛾。		《列子》__春秋战国
48	夷齐饿于首阳，季氏富于展 [禽] 。		《列子》__春秋战国
49	我欲屬之鳥鼠 [禽] 獸邪？		《荀子》__春秋战国
50	材性知能，君子小人一也；好榮惡辱，好利惡害， 是君子小人之所同也；若其所以求之之道則異矣∶小人也者，疾為誕而欲人之信己也，疾為詐而欲人之親己也， [禽] 獸之行而欲人之善己也；慮之難知也，行之難安也，持之難立也，成則必不得其所好，必遇其所惡焉。		《荀子》__春秋战国
51	夫 [禽] 獸有父子，而無父子之親，有牝牡而無男女之別。		《荀子》__春秋战国
52	疆 食靡角，胜者为制，是 [禽] 兽也。		《列子》__春秋战国
53	为鸡狗 [禽] 兽矣，而欲人之尊己，不可得也。		《列子》__春秋战国
54	縱情性，安恣睢， [禽] 獸行，不足以合文通治；然而其持之有故，其言之成理，足以欺惑愚眾；是它■魏牟也。		《荀子》__春秋战国
55	水火有氣而無生，草木有生而無知， [禽] 獸有知而無義，人有氣、 有生、有知，亦且有義，故最為天下貴也。		《荀子》__春秋战国
56	其上台观皆金玉，其上 [禽] 兽皆纯缟。		《列子》__春秋战国
57	夫差身为 [禽] 。		《吕氏春秋》__春秋战国
58	弟子东门贾 [禽] 滑厘闻偃师之巧，以告二子，二子终身不敢 语艺，而时执规矩。		《列子》__春秋战国
59	 [禽] 獸則亂，狎虎則危，災及其身矣。		《荀子》__春秋战国
60	衡聽、顯幽、重明、退奸、進良之術∶朋黨比周之譽， 君子不聽；殘賊加累之譖，君子不用；隱忌雍蔽之人，君子不近；貨財 [禽] 犢之請，君子不許。		《荀子》__春秋战国
61	川淵深而魚■歸之，山林茂而 [禽] 獸歸之，刑政平而百姓歸之， 禮義備而君子歸之。		《荀子》__春秋战国
62	子曰：“隼者， [禽] 也。		《周易》__周
63	不殺老弱，不獵禾稼，服者不 [禽] ，格者不舍，奔命者不獲。		《荀子》__春秋战国
64	吾盗天地之时利，云雨之滂润，山泽之产育，以生吾 禾，殖吾稼，筑吾垣，建吾舍，陆盗 [禽] 兽，水盗鱼鳖，亡非盗也。		《列子》__春秋战国
65	夫禾稼、土木、  [禽] 兽、鱼鳖，皆天之所生，岂吾之所有？		《列子》__春秋战国
66	寡人不幸而好田晦夜而至 [禽] 则，		《管子》__春秋战国
67	桀紂非去天下也，反禹湯之德，亂禮義之分， [禽] 獸之行，積其兇，全其惡，而天下去之也。		《荀子》__春秋战国
68	曾子曰：“树木以时伐焉， [禽] 兽以时杀焉。		《礼记》__春秋战国
69	安 [禽] 獸行，虎狼貪，故脯巨人而炙嬰兒矣。		《荀子》__春秋战国
70	古之道，五十不为甸徒，颁 [禽] 隆诸长者，而弟达乎犭叟狩矣。		《礼记》__春秋战国
71	一朝而喪其嚴親，而所以送葬之者，不哀不敬，則嫌於 [禽] 獸矣，君子恥之。		《荀子》__春秋战国
72	伯 [禽] 将行，请所以治鲁。		《吕氏春秋》__春秋战国
73	陈子 [禽] 谓子贡曰：“子为恭也，仲尼岂贤于子乎？”		《论语》__春秋战国
74	子贡、子夏、曾子学於孔子，田子方学於子贡，段干木学於子夏，吴起学於曾子； [禽] 滑絭学於墨子，许犯学於 [禽] 滑絭，田系学於许犯。		《吕氏春秋》__春秋战国
75	水泉深则鱼鳖归之，树木盛则飞鸟归之，庶草茂则 [禽] 兽归之，人主贤则豪杰归之。		《吕氏春秋》__春秋战国
76	子曰：“隼者， [禽] 也；弓矢者，器也；射之者，人也。		《周易》__周
77	子 [禽] 问于子贡曰：“夫子至于是邦也，必闻其政。		《论语》__春秋战国
78	展 [禽] 三崐絀，春申道綴，基畢輸。		《荀子》__春秋战国
