语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：秀
2022/7/10 23:09:36

序号	语句	书名	朝代
1	桓公又问焉，曰：“于子之乡，有拳勇股肱之力 [秀] 出于众者，有二以告。		《国语》__春秋战国
2	桓公又问焉，曰：“于子之属，有拳勇股肱之力 [秀] 出于众者，有则以告。		《国语》__春秋战国
3	 [秀] ，皆入大学，而教之以穷理、正心、修己、治人之道。		《大学中庸》__春秋战国
4	其 [秀] 民之能为士者，必足赖也。		《国语》__春秋战国
5	有匪君子，充耳 [秀] 莹，会弁如星。		《诗经》__周
6	有拳勇股肱之力筋骨 [秀] 出于众者，		《管子》__春秋战国
7	 [秀] 而不实者有矣夫！”		《论语》__春秋战国
8	蝼蝈鸣，丘蚓出，王菩生，苦菜 [秀] 。		《吕氏春秋》__春秋战国
9	孟夏行秋令，则苦雨数来，五谷不滋，四鄙入保；行冬令，则草木早枯，後乃大水，败其城郭；行春令，则虫蝗为败，暴风来格， [秀] 草不实。		《吕氏春秋》__春秋战国
10	世有贤主 [秀] 士，宜察此论也，则其兵为义矣。		《吕氏春秋》__春秋战国
11	举其 [秀] 士而封侯之，选其贤良而尊显之，求其孤寡而振恤之，见其长老而敬礼之。		《吕氏春秋》__春秋战国
12	实 [秀] ，实坚实好。		《诗经》__周
13	蝼蝈鸣，丘蚓出，王瓜生，苦菜 [秀] 。		《逸周书》__春秋战国
14	行春令则虫蝗为败，暴风来格， [秀] 草不实。		《逸周书》__春秋战国
15	故贤王 [秀] 士之欲忧黔首者，不可不务也。		《吕氏春秋》__春秋战国
16	五间南吕，赞阳 [秀] 也。		《国语》__春秋战国
17	故贤主 [秀] 士之欲忧黔首者，乱世当之矣。		《吕氏春秋》__春秋战国
18	四月 [秀] 葽，五月鸣蜩。		《诗经》__周
19	舜耕於历山，陶於河滨，钓於雷泽，天下说之， [秀] 士从之，人也。		《吕氏春秋》__春秋战国
20	采三 [秀] 兮於山间，石磊磊兮葛曼曼。		《楚辞》__春秋战国
21	小腰 [秀] 颈，若鲜卑只。		《楚辞》__春秋战国
22	夏屋广大，沙堂 [秀] 只。		《楚辞》__春秋战国
23	夏，叔孙侨如会晋荀 [秀] 于谷。		《公羊传》__春秋战国
24	《激楚》之结，独 [秀] 先些。		《楚辞》__春秋战国
25	其有 [秀] 异者，移乡学于庠序。		《汉书》__汉
26	小满之日，苦菜 [秀] 。		《逸周书》__春秋战国
27	苦菜不 [秀] ，贤人潜伏。		《逸周书》__春秋战国
28	曰：知哲圣人之谓俊， [秀] 颖德行之谓洪。		《法言》__汉
29	冯简子能断大事，子大叔美 [秀] 而文，公孙挥能知四国之为，而辨于其大夫之族姓、班位、贵贱、能否，而又善为辞令，裨谌能谋，谋于野则获，谋于邑则否。		《左传》__春秋战国
30	初，歆以建平元年改名 [秀] ，字颖叔云。		《汉书》__汉
31	臣闻箕子过故国而悲，作《麦 [秀] 》之歌，痛纣之不用王子比干之言也。		《汉书》__汉
32	鸣，丘蚓出，王瓜生，苦菜 [秀] 。		《淮南子》__汉
33	行春令，则螽蝗为败，暴风来格， [秀] 		《淮南子》__汉
34	鸣，丘蚓出，王瓜生，苦菜 [秀] 。		《淮南子》__汉
35	行春令，则螽蝗为败，暴风来格， [秀] 		《淮南子》__汉
36	尊其 [秀] 士而显其 贤良，振其孤寡，恤其贫穷，出其囹圄，赏其有功，百姓开门而待之，淅米而储 之，唯恐其不来也。		《淮南子》__汉
37	聚埒亩，芟野，长苗 [秀] ，草木之句萌、衔华、戴实而死者，不可胜数。		《淮南子》__汉
38	芬树羽林，云景杳冥，金支 [秀] 华，庶旄翠旌。		《汉书》__汉
39	西颢沆砀，秋气肃杀，含 [秀] 垂颖，续旧不废。		《汉书》__汉
40	河南守吴公闻其 [秀] 材，召置门下，甚幸爱。		《汉书》__汉
41	宿留○索隐音 [秀] 溜。		《史记》__汉
42	乃作麦 [秀] 之诗以歌咏之。		《史记》__汉
43	其诗曰：“麦 [秀] 渐渐兮，禾黍油油。		《史记》__汉
44	咸池，言穀生於水，含 [秀] 含实，主秋垂，故一名‘五帝车舍’，以车载穀而贩也”。		《史记》__汉
45	李巡曰：“涒，物吐 [秀] 倾垂之貌也。”		《史记》__汉
46	向 [秀] 云：“圣人在位，谓之大人。”		《史记》__汉
47	向 [秀] 注庄子云“从上语下为胪”，音闾。		《史记》__汉
48	臣闻微子过故国而悲，於是作麦 [秀] 之歌，是痛纣之不用王子比干也。		《史记》__汉
49	易曰：“井泄不食，◇集解向 [秀] 曰：“泄者，浚治去泥浊也。”		《史记》__汉
50	○索隐向 [秀] 字子期，晋人，注易。		《史记》__汉
51	吴廷尉为河南守，闻其 [秀] 才，□正义颜云：“ [秀] ，美也。”		《史记》__汉
52	□正义孙炎注尔雅云：“涒滩，万物吐 [秀] 倾垂之貌也。”		《史记》__汉
53	石壁深高，幽篁邃密，林泽 [秀] 阻，人迹罕及。		《史记》__汉
54	顾氏案：裴 [秀] 冀州记云“缑山仙人庙者，昔有王乔，犍为武阳人，为柏人令，於此得仙，非王子乔也”。		《史记》__汉
55	俗辟者民易，则是吴、越无 [秀] 士也。		《史记》__汉
56	○索隐言方俗僻处山谷，而人皆改易不通大化，则是吴、越无 [秀] 士，何得有延州来及大夫种之属哉！		《史记》__汉
57	发红华， [秀] 硃荣，煌煌扈扈，照曜钜野。		《史记》__汉
58	而先王之宅此也，亢阳则出谷☆尘，重阴则滔天凌丘，陆无含 [秀] 之苗，水无吐穗之株，稗粝旷于☆廪，薪爨废于庖厨。		《抱朴子》__魏晋六朝
59	抱朴子曰：盈乎万钧，必起于锱铢；竦 [秀] 凌霄，必始于分毫。		《抱朴子》__魏晋六朝
60	穆光、茂德、贞懿、曜光、贞凝、光范、令仪、内范、穆闺、婉德、明婉、艳婉、妙范、晖章、敬茂、静肃、琼章、穆华、慎仪、妙仪、明懿、崇明、丽则、婉仪、彭媛、修闲、修静、弘慎、艳光、漪容、徽淑、 [秀] 仪、芳婉、贞慎、明艳、贞穆、修范、肃容、茂仪、英淑、弘艳、正信、凝婉、英范、怀顺、修媛、良则、瑶章、训成、润仪、宁训、淑懿、柔则、穆仪、修礼、昭慎、贞媛、肃闺、敬顺、柔华、昭顺、敬宁、明训、弘仪、崇敬、修敬、承闲、昭容、丽仪、闲华、思柔、媛光、怀德、良媛、淑猗、茂范、良信、艳华、徽娥、肃仪、妙则为八十一御女，比正四品。		《北史》__魏晋六朝
61	徒闻有先霜而枯瘁，当夏而凋青，含穗而不 [秀] ，未实而萎零，未闻有享于万年之寿，久视不已之期者矣。		《抱朴子》__魏晋六朝
62	又亲策孝、 [秀] 、州郡计吏于朝堂。		《北史》__魏晋六朝
63	古人云：“千人之 [秀] 曰英，万人之英曰俊。”		《北史》__魏晋六朝
64	上令蜀王 [秀] 、上柱国虞庆则等杂按之，事皆验。		《北史》__魏晋六朝
65	是以古人方之于地，掘之则出水泉，树之则 [秀] 百谷；生者立焉，死者入焉。		《抱朴子》__魏晋六朝
66	抱朴子曰：才学之士堪 [秀] 、孝者，已不可多得矣。		《抱朴子》__魏晋六朝
67	故尧 [秀] 眉高彩，享国百载。		《盐铁论》__汉
68	时六尚书皆一时之 [秀] ，周文自谓得人，号为六俊，然瑾尤见器重。		《北史》__魏晋六朝
69	夫选用失于上，则牧守非其人矣；贡举轻于下，则 [秀] 、孝不得贤矣。		《抱朴子》__魏晋六朝
70	夫孤立之翘 [秀] ，藏器以待贾；琐碌之轻薄，人事以邀速。		《抱朴子》__魏晋六朝
71	夫丰草不 [秀] 瘠土，巨鱼不生小水，格言不吐庸人之口，高文不堕顽夫之笔。		《抱朴子》__魏晋六朝
72	“又， [秀] 、孝皆宜如旧试经答策，防其罪对之奸，当令必绝其不中者勿署，吏加罚禁锢。		《抱朴子》__魏晋六朝
73	今试用此法，治一二岁之间， [秀] 、孝必多不行者，亦足以知天下贡举不精之久矣。		《抱朴子》__魏晋六朝
74	时蜀王 [秀] 亦镇益州，上谓侍臣曰：“安得文同王子相，武如李广达者乎！”		《北史》__魏晋六朝
75	芒颖 [秀] 于斥卤，夜光起乎泥泞。		《抱朴子》__魏晋六朝
76	陶冶庶类，匠成翘 [秀] ，荡汰积埃，革邪反正。		《抱朴子》__魏晋六朝
77	辕豚以优畜晚卒，良马以陟峻早弊，寒虫以适己倍寿，南林以处温长茂，接煞气则雕瘁于凝霜，值阳和则郁蔼而条 [秀] 。		《抱朴子》__魏晋六朝
78	皆高才 [秀] 士，度时君之所能行，出奇策异智，专危为安，运亡为存，亦可喜，皆可观。		《战国策》__汉
79	盛德哲人， [秀] 而不实，窦公庸夫，年几二百。		《抱朴子》__魏晋六朝
80	譬犹草木之因山林以萌 [秀] ，而山林非有事焉。		《抱朴子》__魏晋六朝
81	蜀王 [秀] 奏以为掾，转谘议参军，卒官。		《北史》__魏晋六朝
82	比者以来，祯瑞仍臻，甘露流液，降于殿内；嘉瓜合蒂，生于中山；野木连理，殖于魏郡；在先后载诞之乡，白燕集于盛乐旧都，玄鸟随之，盖有千数；嘉禾频岁合 [秀] 于恆农；白兔并见于勃海，白雉三只又集于平阳太祖之庙。		《北史》__魏晋六朝
83	久之，援军不至，穆乃弃城南走，投尔硃荣于 [秀] 容。		《北史》__魏晋六朝
84	诵宣读诏书，言制抑扬，风神竦 [秀] ，百寮倾属，莫不叹美。		《北史》__魏晋六朝
85	风神 [秀] 立，好学有文才。		《北史》__魏晋六朝
86	蜀王 [秀] 之得罪，奉诏往益州按之。		《北史》__魏晋六朝
87	 [秀] 宾客经过处，仲卿必深文致法，州县长吏坐者太半。		《北史》__魏晋六朝
88	又彭祖之弟子青衣乌公、黑穴公、 [秀] 眉公、白兔公子、离娄公、太足君、高丘子、不肯来，七、八人皆历数百岁，在殷而各仙去，况彭祖何肯死哉！		《抱朴子》__魏晋六朝
89	方今区宇平壹，文轨攸同，十步之内，必有芳草；四海之中，岂无孝、 [秀] 。		《北史》__魏晋六朝
90	柔生弇，字 [秀] 子，高亮果毅，有智局。		《北史》__魏晋六朝
91	强毅正直，执宪不挠，学业优敏，文才美 [秀] ；并为廊庙之用，实乃瑚琏之资。		《北史》__魏晋六朝
92	恂弟翻，字士举，小字武疆，英雄 [秀] 出，有雄略，位车骑将军，祈连、酒泉、晋昌郡太守。		《北史》__魏晋六朝
93	夏四月丙午，以离石之汾源、临泉，雁门之 [秀] 容为楼烦郡。		《北史》__魏晋六朝
94	神俊风韵 [秀] 举，博学多闻，朝廷旧章及人伦氏族，多所谙记。		《北史》__魏晋六朝
95	故藜藿弥原，而芝英不世；枳棘被野，而寻木间 [秀] ；沙砾无量，而珠璧甚鲜；鸿隼屯飞，而鸾凤罕出；虺蝎盈薮，而虬龙希觌；班生多党，固其宜也。		《抱朴子》__魏晋六朝
96	夫人有六情，禀五常之 [秀] ；情感六气，顺四时之序。		《北史》__魏晋六朝
