语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：私
2022/7/10 23:01:11

序号	语句	书名	朝代
1	以伐其 [私] 邑，则虽危而吉且无咎。		《周易》__周
2	盖必其有以掘天理之极，而无一毫人欲之 [私] 也。		《大学中庸》__春秋战国
3	再拜不稽首，起而哭，退而不 [私] 。		《国语》__春秋战国
4	公子夷吾出见使者，再拜稽首，起而不哭，退而 [私] 于公子絷曰：“中大夫里克与我矣，吾命之以汾阳之田百万。		《国语》__春秋战国
5	退而不 [私] ，不没于利也。”		《国语》__春秋战国
6	其君骄而多 [私] ，胜敌而归，必立新家。		《国语》__春秋战国
7	且夫君也者，将牧民而正其邪者也，若君纵 [私] 回而弃民事，民旁有慝无由省之，益邪多矣。		《国语》__春秋战国
8	又，当先治其 [私] ，而不可专尚威武，则利有所往也。		《周易》__周
9	众封建，非以 [私] 贤也，所以便势全威，所以博义。		《吕氏春秋》__春秋战国
10	能果决其决，不系 [私] 爱，则虽合于上六，如独行遇雨。		《周易》__周
11	次，七 [私] 反。		《周易》__周
12	仲尼不对， [私] 于冉有曰：“求来！		《国语》__春秋战国
13	承君命以会大事，而国有罪，我以货 [私] 免，是我会吾 [私] 也。		《国语》__春秋战国
14	伊挚有莘氏女之 [私] 臣。		《墨子》__春秋战国
15	其为 宾，则公馆复， [私] 馆不复。		《礼记》__春秋战国
16	以其 [私] 卒君子六千人为中军。		《国语》__春秋战国
17	遂使之行成于吴，曰：“寡君句践乏无所使，使其下臣种，不敢彻声闻于天王， [私] 于下执事曰：寡君之师徒不足以辱君矣，愿以金玉、子女赂君之辱，请句践女女于王，大夫女女于大夫，士女女于士。		《国语》__春秋战国
18	故立法明分，而不以 [私] 害法，则治。		《商君书》__春秋战国
19	是故明王任法去 [私] ，而国无隙蠹矣。		《商君书》__春秋战国
20	官不及 [私] 昵，惟其能；爵罔及恶德，惟其贤。		《尚书》__周
21	故大臣争于 [私] 而不顾其民，则下离上。		《商君书》__春秋战国
22	惟明主爱权重信，而不以 [私] 害法。		《商君书》__春秋战国
23	夫倍法度而任 [私] 议，皆不知类者也。		《商君书》__春秋战国
24	故尧舜之位天下也，非 [私] 天下之利也，为天下位天下也；论贤举能而传焉，非疏父子亲越人也，明于治乱之道也。		《商君书》__春秋战国
25	故三王以义亲，五霸以法正诸侯，皆非 [私] 天下之利也，为天下治天下。		《商君书》__春秋战国
26	今乱世之君臣，区区然皆擅一国之利而管一官之重，以便其 [私] ，此国之所以危也。		《商君书》__春秋战国
27	是故先王知自议誉 [私] 之不可任也，故立法明分，中程者赏之，毁公者诛之。		《商君书》__春秋战国
28	亲亲则别，爱 [私] 则险。		《商君书》__春秋战国
29	亲亲者以 [私] 为道也，而中正者使 [私] 无行也。		《商君书》__春秋战国
30	然则上世亲亲而爱 [私] ，中世上贤而说仁，下世贵贵而尊官。		《商君书》__春秋战国
31	为人臣者求诸候之辩士，养国中之能说者，使之以语其 [私] 。		《韩非子》__春秋战国
32	为人臣者，聚带剑之客，养必死之士，以彰其威，明焉己者必利，不为己者必死，以恐其群臣百姓而行其 [私] ，此之谓“威强”。		《韩非子》__春秋战国
33	当此之时也，民知其母而不知其父，其道亲亲而爱 [私] 。		《商君书》__春秋战国
34	明君之于内也，娱其色而不行其谒，不使 [私] 请。		《韩非子》__春秋战国
35	其于德施也，纵禁财，发坟仓，利于民者，必出于君，不使人臣 [私] 其德。		《韩非子》__春秋战国
36	其于勇力之士也，军旅之功无逾赏，邑斗之勇无赦罪，不使群臣行 [私] 财。		《韩非子》__春秋战国
37	凡妇，不命适 [私] 室，不敢退。		《礼记》__春秋战国
38	子妇无 [私]  货，无 [私] 畜，无 [私] 器，不敢 [私] 假，不敢 [私] 与。		《礼记》__春秋战国
