语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：秉
2023/1/20 15:57:14

序号	语句	书名	朝代
1	非我有周 [秉] 德不康宁，乃惟尔自速辜！”		《尚书》__周
2	里克曰：“吾 [秉] 君以杀太子，吾不忍。		《国语》__春秋战国
3	其岁，收田一井，出☆禾、 [秉] 刍、缶米，不是过也。		《国语》__春秋战国
4	惟帝不畀，惟我下民 [秉] 为，惟天明畏。		《尚书》__周
5	太史 [秉] 书，由宾阶隮，御王册命。		《尚书》__周
6	太保受同，降，盥，以异同 [秉] 璋以酢。		《尚书》__周
7	植璧 [秉] 珪，乃告太王、王季、文王。		《尚书》__周
8	伯父多历年以没元身，伯父 [秉] 德已侈大哉！”		《国语》__春秋战国
9	王曰：“封，我闻惟曰：‘在昔殷先哲王迪畏天显小民，经德 [秉] 哲。		《尚书》__周
10	昧明，王乃 [秉] ☆，亲就鸣钟鼓、丁宁、☆于振铎，勇怯尽应，三军皆哗☆以振旅，其声动天地。		《国语》__春秋战国
11	王亲 [秉] 钺，载白旗以中陈而立。		《国语》__春秋战国
12	十旌一将军，载常建鼓，挟经 [秉] ☆。		《国语》__春秋战国
13	十行一嬖大夫，建旌提鼓，挟经 [秉] ☆。		《国语》__春秋战国
14	罔不 [秉] 德明恤，小臣屏侯甸，矧咸奔走。		《尚书》__周
15	亦惟纯佑 [秉] 德，迪知天威，乃惟时昭文王迪见冒，闻于上帝。		《尚书》__周
16	故明君不道卑、不长乱也； [秉] 权而立，垂法而治，以得奸于上，而官无邪；赏罚断，而器用有度。		《商君书》__春秋战国
17	王左杖黄钺，右 [秉] 白旄以麾，曰：“逖矣，西土之人！”		《尚书》__周
18	田祖有神， [秉] 畀炎火。		《诗经》__周
19	彼有不获稚，此有不敛穧，彼有遗 [秉] ，此有滞穗，伊寡妇之利。		《诗经》__周
20	又外说， [秉] 权富贵而骄世，即有咎也。“		《老子想尔注》__春秋战国
21	匪直也人， [秉] 心塞渊，騋牝三千。		《诗经》__周
22	詩曰∶「武王載發，有虔 [秉] 鉞；如火烈烈，則莫我敢遏。」		《荀子》__春秋战国
23	士与女，方 [秉] 蕳兮。		《诗经》__周
24	是故，昔 者，天子为藉千亩，冕而朱，躬 [秉] 耒；诸侯为藉百亩，冕而青，躬 [秉] 耒。		《礼记》__春秋战国
25	武王载旆，有虔 [秉] 钺。		《诗经》__周
26	冉子与之粟五 [秉] 。		《论语》__春秋战国
27	尹氏大师，维周之氐； [秉] 国之钧，四方是维。		《诗经》__周
28	《诗》云：‘彼有遗 [秉] ，此有不敛齐， 伊寡妇之利。		《礼记》__春秋战国
29	忧心如酲，谁 [秉] 国成？		《诗经》__周
30	谁能 [秉] 国成， 不自为正，卒劳百姓。”		《礼记》__春秋战国
31	君子 [秉] 心，维其忍之。		《诗经》__周
32	《詩》曰∶「尹氏大師，維周之氐， [秉] 國之均，四方是維，天子是庳，卑民不迷。」		《荀子》__春秋战国
33	济济多士， [秉] 文之德。		《诗经》__周
34	民之 [秉] 彝，好是懿德。		《孟子》__春秋战国
35	故有物必则；民之 [秉] 彝也，好是懿德。”		《孟子》__春秋战国
36	济且 [秉] 成，必霸诸侯。		《国语》__春秋战国
37	而 [秉] 义类，彊御多怼。		《诗经》__周
38	君子实维， [秉] 心无竞。		《诗经》__周
