语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：种
2023/1/20 15:08:32

序号	语句	书名	朝代
1	皋陶迈 [种] 德，德乃降，黎民怀之。		《尚书》__周
2	越句践染于范蠡大夫 [种] 。		《墨子》__春秋战国
3	不乱民功，不逆天时，五谷睦熟，民乃蕃滋，君臣上下交得其志，蠡不如 [种] 也。		《国语》__春秋战国
4	令大夫 [种] 守于国，与范蠡入宦于吴。		《国语》__春秋战国
5	四封之外，敌国之制，立断之事， [种] 亦不如蠡也。”		《国语》__春秋战国
6	对曰：“四封之内，百姓之事，蠡不如 [种] 也。		《国语》__春秋战国
7	大夫 [种] 来而复往，曰：“请委管钥属国家，以身随之，君王制之。”		《国语》__春秋战国
8	乃令大夫 [种] 行成与吴，曰：“请士女女于士，大夫女女于大夫，随之以国家之重器。”		《国语》__春秋战国
9	非其身之所 [种] 则不食，非其夫人之所织则不衣，十年不收于国，民俱有三年之食。		《国语》__春秋战国
10	’今吴稻蟹不遗 [种] ，子将助天为虐，不忌其不祥乎？”		《国语》__春秋战国
11	又一年，王召范蠡而问焉，曰：“吾与子谋吴，子曰‘未可也’，今其稻蟹不遗 [种] ，其可乎？”		《国语》__春秋战国
12	数故战胜而不报，取地而不反，兵胜于外，福生于内，用力甚少而名声章明， [种] 亦不如蠡也。”		《国语》__春秋战国
13	越大夫 [种] 乃唱谋曰：“吾谓吴王将涉吾地，今罢师而不戒以忘我，我不可以怠。		《国语》__春秋战国
14	遂使之行成于吴，曰：“寡君句践乏无所使，使其下臣 [种] ，不敢彻声闻于天王，私于下执事曰：寡君之师徒不足以辱君矣，愿以金玉、子女赂君之辱，请句践女女于王，大夫女女于大夫，士女女于士。		《国语》__春秋战国
15	大夫 [种] 对曰：“臣闻之贾人，夏则资皮，冬则资☆，旱则资舟，水则资车，以待乏也。		《国语》__春秋战国
16	熬，君四 [种] 八筐，大夫三 [种] 六筐，士二  [种] 四筐，加鱼腊焉。		《礼记》__春秋战国
17	大夫 [种] 进对曰：“审物则可以战乎？”		《国语》__春秋战国
18	乃有不吉不迪，颠越不恭，暂遇奸宄，我乃劓殄灭之，无遗育，无俾易 [种] 于兹新邑。		《尚书》__周
19	夫 [种] 麦而得麦， [种] 稷而得稷，人不怪也。		《吕氏春秋》__春秋战国
20	用民亦有 [种] ，不审其 [种] ，而祈民之用，惑莫大焉。		《吕氏春秋》__春秋战国
21	故民之於上也，若玺之於涂也，抑之以方则方，抑之以圜则圜；若五 [种] 之於地也，必应其类，而蕃息於百倍。		《吕氏春秋》__春秋战国
22	秋之德雨，雨不信，其谷不坚，谷不坚，则五 [种] 不成。		《吕氏春秋》__春秋战国
23	大田多稼，既 [种] 既戒，既备乃事。		《诗经》__周
24	所居之人皆仙圣之 [种] ；一日一夕飞相往来者， 不可数焉。		《列子》__春秋战国
25	 [种] 有几：若<圭黾>为鹑， 得水为畿，得水土之际，则为<圭黾>蠙之衣。		《列子》__春秋战国
26	及大昕之朝，君皮弁素积，卜三宫之夫人世 妇之吉者，使入蚕于蚕室，奉 [种] 浴于川，桑于公桑，风戾以食之。		《礼记》__春秋战国
27	孟春行夏令，则风雨不时，草木早槁，国乃有恐；行秋令，则民大疫，疾风暴雨数至，藜莠蓬蒿并兴；行冬令，则水潦为败，霜雪大挚，首 [种] 不入。		《吕氏春秋》__春秋战国
28	五 [种] 无不宜其立后而手实，		《管子》__春秋战国
29	其 [种] 忍隐忍叶如叶以长狐茸，		《管子》__春秋战国
30	耳不可赡，目不可厌，口不可满；身尽府 [种] ，筋骨沈滞，血脉壅塞，九窍寥寥，曲失其宜，虽有彭祖，犹不能为也。		《吕氏春秋》__春秋战国
31	齐桓公染於管仲、鲍叔，晋文公染於咎犯、郄偃，荆庄王染於孙叔敖、沈尹蒸，吴王阖庐染於伍员、文之仪，越王句践染於范蠡、大夫 [种] 。		《吕氏春秋》__春秋战国
32	无本喜者子陈无 [种] 者子之新，		《管子》__春秋战国
33	三曰：神农师悉诸，黄帝师大挠，帝颛顼师伯夷父，帝喾师伯招，帝尧师子州支父，帝舜师许由，禹师大成贽，汤师小臣，文王、武王师吕望、周公旦，齐桓公师管夷吾，晋文公师咎犯、随会，秦穆公师百里奚、公孙枝，楚庄王师孙叔敖、沈尹巫，吴王阖闾师伍子胥、文之仪，越王句践师范蠡、大夫 [种] 。		《吕氏春秋》__春秋战国
34	治唐圃，疾灌浸，务 [种] 树；织葩屦，结罝网，捆蒲苇；之田野，力耕耘，事五谷；如山林，入川泽，取鱼鳖，求鸟兽。		《吕氏春秋》__春秋战国
35	祭百 [种] 以报啬也。		《礼记》__春秋战国
