语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：稍
2022/7/10 23:00:10

序号	语句	书名	朝代
1	说弧，疑 [稍] 释也。		《周易》__周
2	臣斯请往见韩王，使来入见；大王见，因内其身而勿遣， [稍] 召其社稷之臣，以与韩人为市，则韩可深割也。		《韩非子》__春秋战国
3	知 [稍] 生，故致老，谓欲为柔致气，法儿小时。“		《老子想尔注》__春秋战国
4	唯 [稍] ，受之。		《仪礼》__春秋战国
5	既致饔，旬而 [稍] ，宰夫始归乘禽，日如其饔饩之数。		《仪礼》__春秋战国
6	 [稍] 人，下士四人、史二人、徒十有二人。		《周礼》__春秋战国
7	以廛里任国中之地，以场圃任园地，以宅田、士田、贾田任近郊之地，以官田、牛田、赏田、牧田任远郊之地，以公邑之田任甸地，以家邑之田任 [稍] 地，以小都之田任县地，以大都之田任畺地。		《周礼》__春秋战国
8	国宅无征，园廛二十而一，近郊十一，远郊二十而三，甸 [稍] 县都皆无过十二，唯其漆林之征，二十而五。		《周礼》__春秋战国
9	县师掌邦国、都鄙、 [稍] 甸、郊里之地域，而辨其夫家人民、田莱之数，及其六畜、车辇之稽。		《周礼》__春秋战国
10	 [稍] 人掌令丘乘之政令。		《周礼》__春秋战国
11	凡疏材木材，凡畜聚之物，以 [稍] 聚待宾客，以甸聚待羁旅。		《周礼》__春秋战国
12	小臣以巾授矢， [稍] 属。		《仪礼》__春秋战国
13	廪人掌九谷之数，以待国之匪颁、赒赐、 [稍] 食。		《周礼》__春秋战国
14	璋邸射素功，以祀山川，以致 [稍] 饩。		《周礼》__春秋战国
15	宾客有丧，唯刍 [稍] 之受。		《周礼》__春秋战国
16	辨外、内而时禁，稽其功绪，纠其德行，几其出入，均其 [稍] 食，去其淫怠，与其奇衮之民，会其什伍而教之道艺。		《周礼》__春秋战国
17	月终，则会其 [稍] 食。		《周礼》__春秋战国
18	共宾客之 [稍] 礼，共夫人致饮于宾客之礼，清醴医酏糟，而奉之。		《周礼》__春秋战国
19	关市之赋，以待王之膳服；邦中之赋，以待宾客；四郊之赋，以待 [稍] 秣；家削之赋，以待匪颁；邦甸之赋，以待工事；邦县之赋，以待币帛；邦都之赋；以待祭祀；山泽之赋；以待丧纪；币馀之赋；以待赐予；凡邦国之贡，以待吊用；凡万民之贡；以充府库；凡式贡之余财，以共玩好之用。		《周礼》__春秋战国
20	均其 [稍] 食，分其人民以居之。		《周礼》__春秋战国
21	岁终，则会内人之 [稍] 食，稽其功事，佐后而受献功者，比其大小与其粗良而赏罚之，会内宫之财用。		《周礼》__春秋战国
22	正岁，均其 [稍] 食，施其功事，宪禁令于王之北宫，而纠其守。		《周礼》__春秋战国
23	景曰：“搜搜也，奚 [稍] 问		《庄子》__春秋战国
24	田一岁，有积谷，募民壮健有累重敢徙者诣田所，就畜积为本业，益垦溉田， [稍] 筑列亭，连城而西，以威西国，辅乌孙，为便。		《汉书》__汉
25	邻长位下士，自此以上， [稍] 登一级，至乡而为卿也。		《汉书》__汉
