语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：穷
2022/7/10 22:59:35

序号	语句	书名	朝代
1	人生八岁，则自王公以下，至于庶人之子弟，皆入小学，而教之以洒扫、应对、进退之节，礼乐、射御、书数之文；及其十有五年，则自天子之元子、众子，以至公、卿、大夫、元士之适子，与凡民之俊秀，皆入大学，而教之以 [穷] 理、正心、修己、治人之道。		《大学中庸》__春秋战国
2	 [穷] 至事物之理，欲其极处无不到也。		《大学中庸》__春秋战国
3	闲尝窃取程子之意以补之曰：“所谓致知在格物者，言欲致吾之知，在即物而 [穷] 其理也。		《大学中庸》__春秋战国
4	盖人心之灵莫不有知，而天下之物莫不有理，惟于理有未 [穷] ，故其知有不尽也。		《大学中庸》__春秋战国
5	是以大学始教，必使学者即凡天下之物，莫不因其已知之理而益 [穷] 之，以求至乎其极。		《大学中庸》__春秋战国
6	不利东北”，其道 [穷] 也。“		《周易》__周
7	夫人主亦有居车，无去车，则众善皆尽力竭能矣，谄谀诐贼巧佞之人无所窜其奸矣，坚 [穷] 廉直忠敦之士毕竞劝骋骛矣。		《吕氏春秋》__春秋战国
8	及 [穷] 巷幽闲无人之处。		《墨子》__春秋战国
9	郑大师文终日鼓瑟而兴，再拜其瑟前曰： “我效於子，效於不 [穷] 也。”		《吕氏春秋》__春秋战国
10	孔子 [穷] 乎陈、蔡之间，藜羹不斟，七日不尝粒。		《吕氏春秋》__春秋战国
11	是故圣王之德，融乎若日之始出，极烛六合，而无所 [穷] 屈；昭乎若日之光，变化万物，而无所不行；神合乎太一，生无所屈，而意不可障；精通乎鬼神，深微玄妙。		《吕氏春秋》__春秋战国
12	秀，皆入大学，而教之以 [穷] 理、正心、修己、治人之道。		《大学中庸》__春秋战国
13	以未无不知，应无不请，其道固 [穷] 。		《吕氏春秋》__春秋战国
14	为人主而数 [穷] 於其下，将何以君人乎？		《吕氏春秋》__春秋战国
15	 [穷] 而不知其 [穷] ，其患又将反以自多，是之谓重塞之主，无存国矣。		《吕氏春秋》__春秋战国
16	告自邑，不利即戎”，所尚乃 [穷] 也。“		《周易》__周
17	知在格物者，言欲致吾之知，在即物而 [穷] 其理也。		《大学中庸》__春秋战国
18	理，惟于理有未 [穷] ，故其知有不尽也。		《大学中庸》__春秋战国
19	知之理而益 [穷] 之，以求至乎其极。		《大学中庸》__春秋战国
20	天下之民 [穷] 矣苦矣。		《吕氏春秋》__春秋战国
21	阴柔小人，居 [穷] 极之时，党类已尽，无所号呼，终必有凶也。		《周易》__周
