语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：穿
2022/7/10 23:16:50

序号	语句	书名	朝代
1	季桓子 [穿] 井，获如土缶，其中有羊焉。		《国语》__春秋战国
2	使问之仲尼曰：“吾 [穿] 井而获狗，何也？”		《国语》__春秋战国
3	’”孔 [穿] 、公孙龙相与论於平原君所，深而辩，至於藏三牙，公孙龙言藏之三牙深辩。		《吕氏春秋》__春秋战国
4	孔 [穿] 不应，少选，辞而出。		《吕氏春秋》__春秋战国
5	明日，孔 [穿] 朝，平原君谓孔 [穿] 曰：“昔者公孙龙之言甚辩。”		《吕氏春秋》__春秋战国
6	孔 [穿] 曰：“然。		《吕氏春秋》__春秋战国
7	明日，谓公孙龙曰：“公无与孔 [穿] 辩。”		《吕氏春秋》__春秋战国
8	三月辛卯，邾子 [穿] 卒。		《榖梁传》__春秋战国
9	八年春，晋侯使韩 [穿] 来言汶阳之田，归之于齐。		《榖梁传》__春秋战国
10	及其家 [穿] 井，告人曰：“吾 [穿] 井得一人。”		《吕氏春秋》__春秋战国
11	有闻而传之者曰：“丁氏 [穿] 井得一人。”		《吕氏春秋》__春秋战国
12	求长生者，不劳精思求财以养身，不以无功劫君取禄以荣身，不食五味以恣，衣弊履 [穿] ，不与俗争，即为後其身也。		《老子想尔注》__春秋战国
13	何以 [穿] 我屋？		《诗经》__周
14	何以 [穿] 我墉？		《诗经》__周
15	水法道柔弱，故能消 [穿] 崖石，道人当法之。“		《老子想尔注》__春秋战国
16	子曰：“色厉而内荏，譬诸小人，其犹 [穿] 窬之盗也与！”		《论语》__春秋战国
17	子舆曰：“吾笑龙之诒孔 [穿] ，言‘善射者，能令后镞中前括，发发相及， 矢矢相属；前矢造准而无绝落，后矢之括犹衔弦，视之若一焉。		《列子》__春秋战国
18	’孔 [穿] 骇之。		《列子》__春秋战国
19	君子以修，跖以 [穿] 室。		《荀子》__春秋战国
20	不盜不竊， [穿] 窬而行。		《荀子》__春秋战国
21	情疏而貌亲，在小人则 [穿] 窬之盗也与？		《礼记》__春秋战国
22	赵 [穿] 攻公于桃园，逆公子黑臀而立之，实为成公。		《国语》__春秋战国
23	人能充无欲害人之心，而仁不可胜用也；人能充无 [穿] 逾之心，而义不可胜用也；人能充无受尔汝之实，无所往而不为义也。		《孟子》__春秋战国
24	士未可以言而言，是以言餂之也；可以言而不言，是以不言餂之也，是皆 [穿] 逾之类也。”		《孟子》__春秋战国
25	是月也，可以筑城郭，建都邑， [穿] 窦窌，修囷仓。		《吕氏春秋》__春秋战国
26	晏子曰：“君之得义回邪，无德于国， [穿] 池沼，则欲其深以广也；为台榭，则欲其高且大也；赋敛如☆夺，诛☆如仇仇。		《晏子春秋》__春秋战国
27	解在乎白圭之非惠子也，公孙龙之说燕昭王以偃兵及应空洛之遇也，孔 [穿] 之议公孙龙，翟翦之难惠子之法。		《吕氏春秋》__春秋战国
28	是月也，可以筑城郭，建都邑， [穿] 窦窌，修■仓。		《逸周书》__春秋战国
29	故其为字，象屮 [穿] 地始出而未申也。		《周易》__周
30	二月辛卯，邾子 [穿] 卒。		《左传》__春秋战国
31	甑实二鬴，厚半寸，唇寸，七 [穿] 。		《周礼》__春秋战国
32	春，晋侯使韩 [穿] 来言汶阳之田，归之于齐。		《公羊传》__春秋战国
33	何环 [穿] 自闾社丘陵，爰出子文？		《楚辞》__春秋战国
34	三月辛卯，邾娄子 [穿] 卒。		《公羊传》__春秋战国
35	天之 [穿] 之，日夜无降，人则顾塞其		《庄子》__春秋战国
36	韩厥、赵括、巩朔、韩 [穿] 、荀骓、赵旃皆为卿，赏鞍之功也。		《左传》__春秋战国
37	汉遣破羌将军辛武贤将兵万五千人至郭煌，遣使者案行表， [穿] 卑鞮侯井以西，欲通渠转谷，积居庐仓以讨之。		《汉书》__汉
38	【经】八年春，晋侯使韩 [穿] 来言汶阳之田，归之于齐。		《左传》__春秋战国
39	【传】八年春，晋侯使韩 [穿] 来言汶阳之田，归之于齐。		《左传》__春秋战国
40	于是广开上林， [穿] 昆明池，营千门万户之宫，立神明通天之台，兴造甲乙之帐，落以随珠和璧，天子负黼依，袭翠被，冯玉几，而处其中。		《汉书》__汉
