语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：竟
2022/7/10 23:08:06

序号	语句	书名	朝代
1	妇人既嫁不逾 [竟] ，逾 [竟] 非正也。		《榖梁传》__春秋战国
2	在 [竟] 内则俟之，在 [竟] 外则殡葬可也。		《礼记》__春秋战国
3	于宋四 [竟] 之内曰宋。		《榖梁传》__春秋战国
4	六虱不用，则兵民毕竞劝而乐为主用，其 [竟] 内之民争以为荣，莫以为辱。		《商君书》__春秋战国
5	妇人既嫁不逾 [竟] 。		《榖梁传》__春秋战国
6	儒有今人与居，古人与稽；今世行之，后世以为楷；适弗逢世，上弗援，下 弗推，谗谄之民，有比党而危之者，身可危也，而志不可夺也，虽危起居， [竟] 信 其志，犹将不忘百姓之病也。		《礼记》__春秋战国
7	妇人既嫁不逾 [竟] ，杞伯姬来求妇，非正也。		《榖梁传》__春秋战国
8	襄公死，处父主 [竟] 上事，射姑使人杀之。		《榖梁传》__春秋战国
9	臣之所谓兵者，非谓悉兴尽起也，论 [竟] 内所能给军卒车骑，令故秦兵，新民给刍食。		《商君书》__春秋战国
10	今以故秦事敌，而使新民作本，兵虽百宿于外， [竟] 内不失须臾之时，此富强两成之效也。		《商君书》__春秋战国
11	 [竟] 不知风 乘我邪？		《列子》__春秋战国
12	送女逾 [竟] ，非礼也。		《榖梁传》__春秋战国
13	国好生金于 [竟] 内，则金粟两死，仓府两虚，国弱；国好生粟于 [竟] 内，则金粟两生，仓府两实，国强。		《商君书》__春秋战国
14	金一两生于 [竟] 内，粟十二石死于 [竟] 外；粟十二石生于 [竟] 内，金一两死于 [竟] 外。		《商君书》__春秋战国
15	今大王，万乘之主也；诚有其志，则四 [竟] 之内，皆 得其利矣。		《列子》__春秋战国
16	 [竟] 联合之意。		《周易》__周
17	其地，未逾 [竟] 也。		《榖梁传》__春秋战国
18	道绝不行，耶文滋起，货赂为生，民 [竟] 贪学之。		《老子想尔注》__春秋战国
19	其候徼支繚， 其 [竟] 關之政盡察，是亂國已。		《荀子》__春秋战国
20	知道意，贱死贵仙， [竟] 行忠孝，质朴悫端，以臣为名，皆忠相类不别。		《老子想尔注》__春秋战国
21	过国至 [竟] ，哭尽哀而止。		《礼记》__春秋战国
22	望其国 [竟] 哭。		《礼记》__春秋战国
23	天子巡守，诸侯待于 [竟] 。		《礼记》__春秋战国
24	是 故天子之祭也，与天下乐之；诸侯祭也，与 [竟] 内乐之。		《礼记》__春秋战国
25	冕而总干，率其群臣，以 乐皇尸，此与 [竟] 内乐之之义也。		《礼记》__春秋战国
26	是故 以四簋黍见其修于庙中也，庙中者， [竟] 内之象也。		《礼记》__春秋战国
27	是故， 明君在上，则 [竟] 内之民无冻馁者矣，此之谓上下之际。		《礼记》__春秋战国
28	祭敬，则 [竟] 内子孙莫不敬矣。		《礼记》__春秋战国
29	辽远之地谋边 [竟] 之士修，		《管子》__春秋战国
30	三日出 [竟] 六日而反百乘之制轻重毋过六日，		《管子》__春秋战国
31	子曰：事君三违而不出 [竟] ，则利禄也，人虽曰不要，吾弗信也。		《礼记》__春秋战国
32	若过邦，至于 [竟] ，使次介假道，束帛将命于朝，曰：“请帅。”		《仪礼》__春秋战国
33	士没其 [竟] 。		《仪礼》__春秋战国
34	誓于其 [竟] ，宾南面，上介西面，众介北面东上，史读书，司马执策立于其后。		《仪礼》__春秋战国
35	未入 [竟] ，壹肄。		《仪礼》__春秋战国
36	及 [竟] ，张旃，誓。		《仪礼》__春秋战国
37	君使士请事，遂以入 [竟] 。		《仪礼》__春秋战国
38	入 [竟] ，敛旃，乃展。		《仪礼》__春秋战国
39	四 [竟] 。		《庄子》__春秋战国
40	斛不敢入于四 [竟] ，则诸侯无二心也。		《庄子》__春秋战国
41	士送至于 [竟] 。		《仪礼》__春秋战国
42	聘遭丧，入 [竟] ，则遂也。		《仪礼》__春秋战国
43	聘，君若薨于后，入 [竟] 则遂。		《仪礼》__春秋战国
44	宾入 [竟] 而死，遂也。		《仪礼》__春秋战国
45	诸侯越 [竟] 送女，非礼也。		《公羊传》__春秋战国
46	郑有他 [竟] ，望走在晋。		《左传》__春秋战国
47	社稷不动，祝不出 [竟] ，官之制也。		《左传》__春秋战国
48	君以军行，祓社衅鼓，祝奉以従，于是乎出 [竟] 。		《左传》__春秋战国
49	分康叔以大路、少帛、綪茷、旃旌、大吕，殷民七族，陶氏、施氏、繁氏、锜氏、樊氏、饥氏、终葵氏；封畛土略，自武父以南，及圃田之北 [竟] ，取于有阎之土，以共王职。		《左传》__春秋战国
50	若鸠楚 [竟] ，敢不听命。”		《左传》__春秋战国
51	公曰：“犹在 [竟] 内，则卫君也。”		《左传》__春秋战国
52	将盟，齐人加于载书曰：“齐师出 [竟] ，而不以甲车三百乘従我者，有如此盟。”		《左传》__春秋战国
53	何勤子屠母，而死分 [竟] 地？		《楚辞》__春秋战国
54	子为君礼，不过出 [竟] ，君必止子。”		《左传》__春秋战国
55	若使郈在君之他 [竟] ，寡人何知焉？		《左传》__春秋战国
