语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：第
2022/7/10 23:07:14

序号	语句	书名	朝代
1	君设大盘造冰焉，大夫设夷盘造冰焉，士并瓦盘无冰，设床礻 [第] ，有枕。		《礼记》__春秋战国
2	由是 [第] 之：二曰太蔟，所以金奏赞阳出滞也。		《国语》__春秋战国
3	 [第] 以及羽，圣人保乐而爱财，财以备器，乐以殖财。		《国语》__春秋战国
4	今商维兹，其唯 [第] 兹命不承，殆哉！		《逸周书》__春秋战国
5	床 [第] ，夷衾，馔于西坫南。		《仪礼》__春秋战国
6	设床 [第] 于两楹之间，衽如初，有枕。		《仪礼》__春秋战国
7	后汉使侍郎殷广德责乌孙，求车师王乌贵，将诣阙，赐 [第] 与其妻子居。		《汉书》__汉
8	凤不可令久典事，宜退使就 [第] ，选忠贤以代之。”		《汉书》__汉
9	凤闻之，称病出就 [第] ，上疏乞骸骨，谢上曰：“臣材驽愚戆，得以外属兄弟七人封为列侯，宗族蒙恩，赏赐无量。		《汉书》__汉
10	而五侯群弟，争为奢移，赂遗珍宝，四面而至；后廷BCA7妾，各数十人，僮奴以千百数，罗钟馨，舞郑女，作倡优，狗马驰逐；大治 [第] 室，起土山渐台，洞门高廊阁道，连属弥望。		《汉书》__汉
11	初，成都侯商尝病，欲避暑，从上借明光宫，后又穿长安城，引内澧水注 [第] 中大陂以行船，立羽盖，张周帷，辑濯越歌。		《汉书》__汉
12	上幸商 [第] ，见穿城引水，意恨，内衔之，未言。		《汉书》__汉
13	后微行出，过曲阳侯 [第] ，又见园中土山渐台似类白虎殿。		《汉书》__汉
14	时根辅政五岁矣，乞骸骨，上乃益封根五千户，赐安车驷马，黄金五百斤，罢就 [第] 。		《汉书》__汉
15	太后诏莽就 [第] ，避帝外家。		《汉书》__汉
16	新都侯莽忧劳国家，执义坚固，庶几与为治，太皇太后诏休就 [第] ，朕甚闵焉。		《汉书》__汉
17	根行贪邪，臧累巨万，纵横恣意，大治室 [第] ， [第] 中起土山，立两市，殿上赤墀，户青琐；游观射猎，使奴从者被甲持弓弩，陈为步兵；止宿离宫，水衡共张，发民治道，百姓苦其役。		《汉书》__汉
18	设床 [第] ，当牖。		《仪礼》__春秋战国
19	御者四人，抗衾而浴，礻亶 [第] 。		《仪礼》__春秋战国
20	赏以三辅高 [第] 选守长安令，得一切便宜从事。		《汉书》__汉
21	城郭门闾，润息槁枯；宫庙廓 [第] ，人民所次。		《汉书》__汉
22	出入三月，天子四衣白，临邸 [第] 。		《汉书》__汉
23	以元凤三年十一月朔旦冬至，尽五年十二月，各有 [第] 。		《汉书》__汉
24	赐列侯甲 [第] ，童千人。		《汉书》__汉
25	而驸马都尉董贤亦起官寺上林中，又为贤治大 [第] ，开门乡北阙，引王渠灌园池，使者护作，赏赐吏卒，甚于治宗庙。		《汉书》__汉
26	三岁，宣帝下诏曰：“制诏御史：其以贤良高 [第] 扬州刺史霸为颍川太守，秩比二千石居，官赐车盖，特高一丈，别驾主簿车，缇油屏泥于轼前，以章有德。”		《汉书》__汉
27	举高 [第] ，迁上蔡长。		《汉书》__汉
28	高辅政五年，乞骸骨，赐安车驷马、黄金，罢就 [第] 。		《汉书》__汉
29	丹归 [第] 数月薨，谥曰顷侯。		《汉书》__汉
30	其上大司马印绶，就 [第] 。”		《汉书》__汉
31	伯有赋《鹑之贲贲》，赵孟曰：“床 [第] 之言不逾阈，况在野乎？		《左传》__春秋战国
32	一岁皆辄课，能通一艺以上，补文学掌故缺；其高 [第] 可以为郎中，太常籍奏。		《汉书》__汉
33	明年春，遣大司徒宫、大司空丰、左将军建、右将军甄邯、光禄大夫歆奉乘舆法驾，迎皇后于安汉公 [第] 。		《汉书》__汉
34	益封父安汉公地满百里，赐迎皇后及行礼者，自三公以下至驺宰执事长乐、未央宫、安汉公 [第] 者，皆增秩，赐金、帛各有差。		《汉书》__汉
35	充国乞骸骨，赐安车驷马、黄金六十斤，罢就 [第] 。		《汉书》__汉
36	以故大鸿胪府为定安公 [第] ，皆置门卫使者监领。		《汉书》__汉
37	以高 [第] 入为左冯翊，迁太子太傅，廉直不事权贵。		《汉书》__汉
38	广治 [第] 室，作乘舆辇，加画绣茵冯，黄金涂，韦絮荐轮，侍婢以五采丝挽显，游戏 [第] 中。		《汉书》__汉
39	会李竟坐与诸侯王交通，辞语及霍氏，有诏云、山不宜宿卫，免，就 [第] 。		《汉书》__汉
40	光诸女遇太后无礼，冯子都数犯法，上并以为让，山、禹等甚恐，显梦 [第] 中井水溢流庭下，灶居树上，又梦大将军谓显曰：“知捕兒不？		《汉书》__汉
41	 [第] 中鼠暴多，与人相触，以尾画地。		《汉书》__汉
42	 [第] 门自坏。		《汉书》__汉
43	山又坐写秘书，显为上书献城西 [第] ，八马千匹，以赎山罪。		《汉书》__汉
44	后贬为统义阳正，出在外 [第] ，愈忧恐。		《汉书》__汉
45	诏内郡国举文学高 [第] 各一人。		《汉书》__汉
46	赐安车驷马，罢就 [第] 。		《汉书》__汉
47	会日暮，官府邸 [第] 尽奔亡。		《汉书》__汉
48	孝武皇帝为骠骑将军霍去病治 [第] 舍，敕令视之，曰：“匈奴不灭，何以家为。”		《风俗通义》__汉
49	宣帝时，大司马霍禹所居 [第] 门自坏。		《汉书》__汉
50	哀帝时，大司马董贤 [第] 门自坏。		《汉书》__汉
51	孝武皇帝兹益迷谬，文成、五利处之不疑，妻以公主，赐以甲 [第] ，家累万金，身佩四印，辞穷情得，亦旋枭裂。		《风俗通义》__汉
52	故有剖符之封，析圭而爵，位为通侯，居列东 [第] 。		《汉书》__汉
53	哀帝即位，以高 [第] 入为京兆尹，迁执金吾。		《汉书》__汉
54	上使尚书选 [第] 中二千石，而野王行能 [第] 一。		《汉书》__汉
55	上繇下 [第] 而用谭，越次避嫌不用野王，以昭仪兄故也。		《汉书》__汉
56	宜发明诏，吐德音，援近宗室，亲而纳信，黜远外戚，毋授以政，皆罢令就 [第] ，以则效先帝之所行，厚安外戚，全其宗族，诚东宫之意，外家之福也。		《汉书》__汉
57	显等封以付谒者，敕令召望之手付，因令太常急发执金吾车骑驰围其 [第] 。		《汉书》__汉
58	其令三辅、太常举贤良各二人，郡国文学高 [第] 各一人。		《汉书》__汉
59	因留 [第] 中，教书计相马御射，颇读传记。		《汉书》__汉
60	任政数年，后坐善定陵侯淳于长罢就 [第] 。		《汉书》__汉
61	元始中，王莽为安汉公，专政，莽长子宇与妻兄吕宽谋以血涂莽 [第] 门，欲惧莽令归政。		《汉书》__汉
62	故事，选郡国守相高 [第] 为中二千石，选中二千石为御史大夫，任职者为丞相，位次有序，所以尊圣德，重国相也。		《汉书》__汉
63	今部刺史居牧伯之位，秉一州之统，选 [第] 大吏，所荐位高至九卿，所恶立退，任重职大。		《汉书》__汉
64	九卿缺，以高 [第] 补，其中材则苟自守而已，恐功效陵夷，奸轨不禁。		《汉书》__汉
65	为列侯食邑者，皆佩之印，赐大 [第] 室。		《汉书》__汉
66	吏二千石，徙之长安，受小 [第] 室。		《汉书》__汉
67	太后诏莽就 [第] ，避帝外家。		《汉书》__汉
68	莽复乞骸骨，哀帝赐莽黄金五百斤，安车驷马，罢就 [第] 。		《汉书》__汉
69	太皇太后诏莽就 [第] ，朕甚闵焉。		《汉书》__汉
70	以故萧相国甲 [第] 为安汉公 [第] ，定著于令，传之无穷。”		《汉书》__汉
71	莽复让不受，而建言宜立诸侯王后及高祖以来功臣子孙，大者封侯，或赐爵关内侯食邑，然后及诸在位，各有 [第] 序。		《汉书》__汉
72	宇即使宽夜持血酒莽 [第] 门，吏发觉之，莽执宇送狱，饮药死。		《汉书》__汉
73	上令褒与张子侨等并待诏，数从褒等放猎，所幸宫馆，辄为歌颂， [第] 其高下，以差赐帛。		《汉书》__汉
74	将当遂行其赏，遣归就 [第] 也？”		《汉书》__汉
75	夫明堂、辟雍，堕废千载莫能兴，今安汉公起于 [第] 家，辅翼陛下，四年于兹，功德烂然。		《汉书》__汉
76	是时，王莽为大司马，哀帝即位，莽乞骸骨就 [第] ，天知其必不退，故因是而见象也。		《汉书》__汉
77	放取皇后弟平恩侯许嘉女，上为放供张，赐甲 [第] ，充以乘舆服饰，号为天子取妇，皇后嫁女。		《汉书》__汉
78	以病辞位，归于 [第] 家，为贼臣所陷。		《汉书》__汉
79	居岁余，征放归 [第] 视母公主疾。		《汉书》__汉
80	在中府外 [第] ，虎贲为门卫，当出入者傅籍。		《汉书》__汉
81	以楚王邸为安汉公 [第] ，大缮治，通周卫。		《汉书》__汉
82	由此滋骄，治宅甲诸 [第] ，田园极膏腴，市买郡县器物相属于道。		《汉书》__汉
83	安汉公庐为摄省，府为摄殿， [第] 为摄宫。”		《汉书》__汉
84	莽大置酒未央宫白虎殿，劳赐将帅，诏陈崇治校军功， [第] 其高下。		《汉书》__汉
85	及光薨后，广汉心知微指，发长安吏自将，与俱至光子博陆侯禹 [第] ，直突入其门，CE5E索私屠酤，椎破卢罂，斧斩其门关而去。		《汉书》__汉
86	以高 [第] 入守右扶风，满岁为真。		《汉书》__汉
87	时对者百余人，太常奏弘 [第] 居下。		《汉书》__汉
88	顷之，山、云以过归 [第] ，霍氏诸婿亲属颇出补吏。		《汉书》__汉
