语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：类
2022/7/10 22:58:32

序号	语句	书名	朝代
1	学者于此，究其精微之蕴，而又推 [类] 以尽其余，则于天下之事，皆有以知其所止而无疑矣。		《大学中庸》__春秋战国
2	天地睽而其事同也，男女睽而其志通也，万物睽而其事 [类] 也。		《周易》__周
3	诸门户令皆鉴而 [类] 窖之。		《墨子》__春秋战国
4	故按其实而审其名，以求其情；听其言而察其 [类] ，无使方悖。		《吕氏春秋》__春秋战国
5	肆 [类] 于上帝，禋于六宗，望于山川，遍于群神。		《尚书》__周
6	然四阳初阴，其 [类] 不同，若能解而去之，则君子之朋至而相信也。		《周易》__周
7	温峤之于王敦，其事 [类] 此。		《周易》__周
8	知无敌则似 [类] 嫌疑之道远矣。		《吕氏春秋》__春秋战国
9	阴柔小人，居穷极之时，党 [类] 已尽，无所号呼，终必有凶也。		《周易》__周
10	上九，以刚居上而无位，不得其遇，故其象占与九三 [类] 。		《周易》__周
11	高宗乃言曰：“以余一人正四方，余唯恐言之不 [类] 也，兹故不言。”		《吕氏春秋》__春秋战国
12	董褐既致命，乃告赵鞅曰：“臣观吴王之色， [类] 有大忧，小则嬖妾、嫡子死，不则国有大难；大则越入吴。		《国语》__春秋战国
13	以说出故以 [类] 取以 [类] 予。		《墨子》__春秋战国
14	其 [类] 在江上井不为已之可学也。		《墨子》__春秋战国
15	凡生天地之间者，有血气之属，必有知，有知之属，莫不知爱 其 [类] 。		《礼记》__春秋战国
16	夫倍法度而任私议，皆不知 [类] 者也。		《商君书》__春秋战国
17	智不 [类] 越，而不智不 [类] 其国，不察其 [类] 者也。		《韩非子》__春秋战国
18	王拜手稽首曰：“予小子不明于德，自厎不 [类] 。		《尚书》__周
19	故民之於上也，若玺之於涂也，抑之以方则方，抑之以圜则圜；若五种之於地也，必应其 [类] ，而蕃息於百倍。		《吕氏春秋》__春秋战国
20	王庸作书以诰曰：“以台正于四方，惟恐德弗 [类] ，兹故弗言。		《尚书》__周
21	子此 [类] 也。		《列子》__春秋战国
22	其民麋鹿禽兽，少者使长，长者畏壮，有力者贤，暴傲者尊，日夜相残，无时休息，以尽其 [类] 。		《吕氏春秋》__春秋战国
23	其妻曰： “状貌无似吾夫者，其音何 [类] 吾夫之甚也？”		《吕氏春秋》__春秋战国
24	周宣王文牧正有役人梁鸯者，能养野禽兽，委食于园庭之内，虽虎狼雕鹗之  [类] ，无不柔驯者。		《列子》__春秋战国
25	召 [类] 		《吕氏春秋》__春秋战国
26	故审名以定位，明分以辩 [类] 。		《韩非子》__春秋战国
27	予小子夙夜祗惧，受命文考， [类] 于上帝，宜于冢土，以尔有众，厎天之罚。		《尚书》__周
28	天有显道，厥 [类] 惟彰。		《尚书》__周
29	夫燕、宋之所以弑其君者，皆此 [类] 也。		《韩非子》__春秋战国
30	得其细，失其大，不知 [类] 耳。		《吕氏春秋》__春秋战国
31	《象》曰：“马匹亡”，绝 [类] 上也。		《周易》__周
32	 [类] 多若此。		《吕氏春秋》__春秋战国
33	方，谓事情所向，言事物善恶，各以 [类] 分。		《周易》__周
34	重伤之人无寿 [类] 矣。”		《吕氏春秋》__春秋战国
35	爱 [类] 		《吕氏春秋》__春秋战国
36	仁乎其 [类] 者也。		《吕氏春秋》__春秋战国
37	此其取 [类] ，又以清浊言也。		《周易》__周
38	辞多 [类] 非而是，多 [类] 是而非。		《吕氏春秋》__春秋战国
39	天地万物与我并生， [类] 也。		《列子》__春秋战国
40	 [类] 无贵贱，徒以小大智力而相制， 迭相食；非相为而生之。		《列子》__春秋战国
41	二老位于西北，二少位于东南，其数则各以其 [类] 交错于外也。		《周易》__周
42	二，三与四，五与六，七与八，九与十，各以奇偶为 [类] 而自相得。		《周易》__周
43	引而伸之，触 [类] 而长之，天下之能事毕矣。		《周易》__周
44	《汉书》曰：“参伍其贾，以 [类] 相准。”		《周易》__周
45	上古道用时，以人为名，皆行仁义，同相像 [类] ，仁义不别。		《老子想尔注》__春秋战国
46	此 [类] 外是内非，无至诚感天之行，故令国难治。		《老子想尔注》__春秋战国
47	远取诸物，于是始作八卦，以通神明之德，以 [类] 万物之情。		《周易》__周
48	一体之盈虚消息，皆通于天地，应于物 [类] 。		《列子》__春秋战国
49	别 [类] 		《吕氏春秋》__春秋战国
50	物多 [类] 然而不然，故亡国戮民无已。		《吕氏春秋》__春秋战国
51	或湿而干，或燔而淖， [类] 固不必，可推知也？		《吕氏春秋》__春秋战国
