语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：素
2022/7/10 23:01:15

序号	语句	书名	朝代
1	如孤子，衣纯以 [素] 。		《礼记》__春秋战国
2	凡应之理，清净公 [素] ，而正始卒。		《吕氏春秋》__春秋战国
3	贤不肖各反其质，行其情，不雕其 [素] ，蒙厚纯朴，以事其上。		《吕氏春秋》__春秋战国
4	万人以为方阵，皆白裳、白☆、 [素] 甲、白羽之☆，望之如荼。		《国语》__春秋战国
5	 [素] 锦褚，加伪荒。		《礼记》__春秋战国
6	 [素] 锦褚。		《礼记》__春秋战国
7	武王将 [素] 甲三千，战一日，而破纣之国，禽其身，据 其地而有其民，天下莫伤。		《韩非子》__春秋战国
8	东布之衣，新 [素] 履，墨剑室，从而叱之，唾其面。		《吕氏春秋》__春秋战国
9	虚 [素] 以公，小民皆之，其之敌而不知其所以然，此之谓顺天。		《吕氏春秋》__春秋战国
10	升歌清庙，下管象，朱干玉戚，冕而舞 大武，皮弁 [素] 积，裼而舞大夏。		《礼记》__春秋战国
11	《象》曰：“饮食衎衎”，不 [素] 饱也。		《周易》__周
12	 [素] 饱，如《诗》言“ [素] 餐”。		《周易》__周
13	权不欲见， [素] 无为也。		《韩非子》__春秋战国
14	不见其采，下故 [素] 正。		《韩非子》__春秋战国
15	故曰：去好去恶，臣乃见 [素] ；去旧去智，臣乃自备。		《韩非子》__春秋战国
16	故令有所属，见 [素] 抱朴少私寡欲。		《老子》__春秋战国
17	伯尊由忠问焉，辇者曰：“君亲 [素] 缟，帅群臣而哭之，既而祠焉，斯流矣。”		《榖梁传》__春秋战国
18	伯尊曰：“君亲 [素] 缟，帅群臣而哭之，既而祠焉，斯流矣。”		《榖梁传》__春秋战国
19	 [素] 衣朱襮，从子于沃。		《诗经》__周
20	 [素] 衣朱绣，从子于鹄。		《诗经》__周
21	杨朱之弟曰布，衣 [素] 衣而出。		《列子》__春秋战国
22	天雨，解 [素] 衣，衣缁衣而反。		《列子》__春秋战国
23	道者天下万事之本，诘之者所况多，竹 [素] 不能胜载也，故还归一。		《老子想尔注》__春秋战国
24	故虽天地有失，为人为诫，辄能自反，还归道 [素] 。		《老子想尔注》__春秋战国
25	此三言为文未足，故令有所属，见 [素] 抱朴。”		《老子想尔注》__春秋战国
26	亿文复不足，竹 [素] 不胜矣，受故令属此道文，不在外书也，揲说其大略，可知之为乱原。“		《老子想尔注》__春秋战国
27	彼君子兮，不 [素] 飧兮！		《诗经》__周
28	君臣上下之分 [素] 则礼制立矣，		《管子》__春秋战国
29	!王昭 [素] 曰：		《周易》__周
30	 [素] 丝纰之，良马四之。		《诗经》__周
31	 [素] 丝组之，良马五之。		《诗经》__周
32	 [素] 丝祝之，良马六之。		《诗经》__周
33	羔羊之皮， [素] 丝五紽。		《诗经》__周
34	羔羊之革， [素] 丝五緎。		《诗经》__周
35	羔羊之缝， [素] 丝五总。		《诗经》__周
36	故曰：有太易，有太初，有太始，有太 [素] 。		《列子》__春秋战国
37	太易者，未见气也：太初者，气之始 也；太始者，形之始也；太 [素] 者，质之始也。		《列子》__春秋战国
38	故湯之放桀也，非其逐之鳴條之時也；武王之誅紂也，非以甲子之朝而後勝之也，皆前行 [素] 修也，所謂仁義之兵也。		《荀子》__春秋战国
39	又期而大祥， [素] 缟麻衣。		《礼记》__春秋战国
40	君皮弁 [素] 积，朔月， 月半，君巡牲，所以致力，孝之至也。		《礼记》__春秋战国
41	及大昕之朝，君皮弁 [素] 积，卜三宫之夫人世 妇之吉者，使入蚕于蚕室，奉种浴于川，桑于公桑，风戾以食之。		《礼记》__春秋战国
42	不备待而得和则民反 [素] 也，		《管子》__春秋战国
43	缁衣，羔裘； [素] 衣，麑裘；黄衣，狐裘。		《论语》__春秋战国
44	四曰：墨子见染 [素] 丝者而叹曰：“染於苍则苍，染於黄则黄，所以入者变，其色亦变，五入而以为五色矣。”		《吕氏春秋》__春秋战国
45	子夏问曰：“‘巧笑倩兮，美目盼兮， [素] 以为绚兮’何谓也？”		《论语》__春秋战国
46	子曰：“绘事后 [素] 。”		《论语》__春秋战国
47	事皆有内楗， [素] 结本始。		《鬼谷子》__春秋战国
48	初九， [素] 履往，无咎。		《周易》__周
49	《象》曰：“ [素] 履之往”，独行愿也。		《周易》__周
50	乘 [素] 车，贵其 也；十有二旒，龙章而设日月，以象天也。		《礼记》__春秋战国
51	丹漆雕几之美， [素] 车之乘， 尊其朴也，贵其质而已矣。		《礼记》__春秋战国
52	三王共皮弁 [素] 积。		《礼记》__春秋战国
53	动则左史书之，言则右史书之，御瞽几声之上下，年不顺成，则天子 [素] 服， 乘 [素] 车，食无乐。		《礼记》__春秋战国
54	缟冠 [素] 纰，即祥之冠也。		《礼记》__春秋战国
55	俟我于著乎而，充耳以 [素] 乎而，尚之以琼华乎而。		《诗经》__周
56	而 [素] 带终辟，大夫 [素] 带辟垂，士练带率下辟，居士锦带，弟子缟带。		《礼记》__春秋战国
57	毕君朱，大夫 [素] ，士爵韦。		《礼记》__春秋战国
58	天子 [素] 带，朱里，终辟，并纽约，用组王后礻韦衣，夫人榆狄。		《礼记》__春秋战国
59	○ [素] 冠		《诗经》__周
60	庶见 [素] 冠兮，棘人栾栾兮。		《诗经》__周
61	庶见 [素] 衣兮，我心伤悲兮。		《诗经》__周
62	庶见 [素] 韠兮，我心蕴结兮。		《诗经》__周
63	其青有礻炎，缁布裳帷 [素] 锦以为屋而行。		《礼记》__春秋战国
64	内子以鞠衣，衣， [素] 沙，下大夫以礻衣，其余如士。		《礼记》__春秋战国
65	复，诸侯以衣冕 服，爵弁服，夫人税衣揄狄，狄税 [素] 沙。		《礼记》__春秋战国
66	子羔之袭也，茧衣裳与税衣礻冉为一， [素] 端一，皮弁一，爵升一，玄冕一。		《礼记》__春秋战国
67	公袭，卷衣一，玄端一，朝服一， [素] 积一，裳一，爵弁二，玄冕一，褒衣 一。		《礼记》__春秋战国
68	夫谋必 [素] 见成事焉，而后履之，不可以授命。		《国语》__春秋战国
69	纯以 [素] ，纟川以五采。		《礼记》__春秋战国
70	子曰：“ [素] 隐行怪，后世有述焉，吾弗为之矣。		《礼记》__春秋战国
71	君子 [素] 其位而行，不愿乎其外。		《礼记》__春秋战国
72	 [素] 富贵，行乎富贵； [素] 贫贱，行乎贫贱； [素]  夷狄，行乎夷狄； [素] 患难行乎患难，君子无入而不自得焉。		《礼记》__春秋战国
73	不能诗， 于礼缪；不能乐，于礼 [素] ；薄于德，于礼虚。”		《礼记》__春秋战国
74	达于礼而不达于乐，谓之 [素] ；达于乐而不达于礼，谓之偏。		《礼记》__春秋战国
75	《象》曰：“饮食衎衎”，不 [素] 饱也。		《周易》__周
76	公衣黼黻之衣， [素] 锈之裳，一衣而五彩具焉；带球玉而冠且，被发乱首，南面而立，傲然。		《晏子春秋》__春秋战国
77	春育 [素] 草肃疏数满，夏育长美，柯华务水潦，秋初艺不节落，冬大刘，倍信，何谋本□，时岁至天视。		《逸周书》__春秋战国
78	曰：“冠 [素] 。”		《孟子》__春秋战国
79	不枉绳以追曲兮，屈情 [素] 以从事。		《楚辞》__春秋战国
80	使 [素] 女兮鼓簧，乘戈和兮讴谣。		《楚辞》__春秋战国
81	凡丧事，设苇席，右 [素] 几。		《周礼》__春秋战国
