语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：紫
2022/7/10 23:11:56

序号	语句	书名	朝代
1	王实以为清都、 [紫] 微、钧 天、广乐，帝之所居。		《列子》__春秋战国
2	子曰：“恶 [紫] 之夺硃也，恶郑声之乱雅乐也，恶利口之覆邦家者。”		《论语》__春秋战国
3	君子不以绀緅饰，红 [紫] 不以为亵服。		《论语》__春秋战国
4	孔子曰：恶似而非者：恶莠，恐其乱苗也；恶佞，恐其乱义也；恶利口，恐其乱信也；恶郑声，恐其乱乐也；恶 [紫] ，恐其乱硃也；恶乡原，恐其乱德也。		《孟子》__春秋战国
5	玄冠 [紫] ，自鲁桓公始也。		《礼记》__春秋战国
6	硃 [紫] 兮杂乱，曾莫兮别诸。		《楚辞》__春秋战国
7	桂树列兮纷敷，吐 [紫] 华兮布条。		《楚辞》__春秋战国
8	芙蓉盖而菱华车兮， [紫] 贝阙而玉堂。		《楚辞》__春秋战国
9	荪壁兮 [紫] 坛，匊芳椒兮成堂。		《楚辞》__春秋战国
10	秋兰兮青青，绿叶兮 [紫] 茎。		《楚辞》__春秋战国
11	鱼鳞屋兮龙堂， [紫] 贝阙兮硃宫。		《楚辞》__春秋战国
12	 [紫] 茎屏风，文缘波些。		《楚辞》__春秋战国
13	都护韩宣奏，乌孙大吏、大禄、大监皆可以赐金印 [紫] 绶，以尊辅大昆弥，汉许之。		《汉书》__汉
14	责大禄、大吏、大监以雌栗靡见杀状，夺金印 [紫] 绶，更与铜墨云。		《汉书》__汉
15	姑句家矛端生火，其妻股 [紫] 陬谓姑句曰：“矛端生火，此兵气也，利以用兵。		《汉书》__汉
16	皆曰 [紫] 宫。		《汉书》__汉
17	 [紫] 宫左三星曰天枪，右四星曰天C964。		《汉书》__汉
18	干 [紫] 宫，至于天汉。		《汉书》__汉
19	元凤四年九月，客星在 [紫] 宫中斗枢极间。		《汉书》__汉
20	三月丙戌，流星出翼、轸东北，干太微，入 [紫] 宫。		《汉书》__汉
21	占曰：“流星入 [紫] 宫，天下大凶。”		《汉书》__汉
22	黄龙元年三月，客星居王梁东北可九尺，长丈余，西指，出阁道间，至 [紫] 宫。		《汉书》__汉
23	有顷，长可五六丈，大四围所，诎折委曲，贯 [紫] 宫西，在斗西北子亥间，后诎如环，北方不合，留一刻所。		《汉书》__汉
24	泰一祝宰则衣 [紫] 及绣，五帝各如其色，日赤，月白。		《汉书》__汉
25	其长如辕， [紫] 衣而朱冠。		《庄子》__春秋战国
26	既定，衡言：“甘泉泰畤 [紫] 坛，八觚宣通象八方。		《汉书》__汉
27	以《尚书》禋六宗、望山川、遍群神之义， [紫] 坛有文章、采镂、黼黻之饰及玉、女乐，石坛、仙人祠，瘗鸾路、骍驹、寓龙马，不能得其象于古。		《汉书》__汉
28	 [紫] 坛伪饰女乐、鸾路、骍驹、龙马、石坛之属，宜皆勿修。”		《汉书》__汉
29	至其九月，流星如瓜，出于文昌，贯 [紫] 宫，尾委曲如龙，临于钩陈，此又章显前尤，著在内也。		《汉书》__汉
30	齐 [紫] 备素也，贾十倍。		《纵横家书》__春秋战国
31	使我怀金纾 [紫] ，其乐不可量已。		《法言》__汉
32	下书曰：“《 [紫] 阁图》曰‘太一、黄帝皆仙上天，张乐昆仑虔山之上。		《汉书》__汉
33	优念《 [紫] 阁图》文，太一、黄帝皆得瑞以仙，后世褒主当登终南山。		《汉书》__汉
34	孔子曰‘恶 [紫] 之夺硃’，当世治之所务也。		《汉书》__汉
35	故采其晃著者曰怪神也.世间多有见怪惊怖以自伤者  谨按<<管子书>>：“齐公出于泽，见衣 [紫] 衣，大如毂，长如辕，拱手而立。		《风俗通义》__汉
36	而歙於飨中用延为吏，以 [紫] 乱朱，大妨王命。		《风俗通义》__汉
37	谨北面因使者献白璧一双，翠鸟千，犀角十， [紫] 贝五百，桂蠹一器，生翠四十双，孔雀二双。		《汉书》__汉
38	今日食尤屡，星孛东井，摄提炎及 [紫] 官，有识长老莫不震动，此变之大者也。		《汉书》__汉
39	三月，有星孛于王良、阁道，入 [紫] 宫。		《汉书》__汉
40	前殿崔巍兮，和氏珑玲，炕浮柱之飞榱兮，神莫莫而扶倾，闶阆阆其寥廓兮，似 [紫] 宫之峥嵘。		《汉书》__汉
41	且其为已久矣，非成帝所造，欲谏则非时，欲默则不能已，故遂推而隆之，乃上比于帝室 [紫] 宫，若曰此非人力之所为，党鬼神可也。		《汉书》__汉
42	十三日夕见西方，犯次妃、长秋、斗、填，蜂炎再贯 [紫] 宫中。		《汉书》__汉
43	罔毒冒，钓 [紫] 贝，摐金鼓，吹鸣籁，榜人歌，声流喝，水虫骇，波鸿沸，涌泉起，奔扬会，EE25石相击，琅琅盖々，若雷霆之声，闻乎数百里外。		《汉书》__汉
44	左苍梧，右西极，丹水更其南， [紫] 渊径其北。		《汉书》__汉
45	“于是乎卢橘夏孰，黄甘橙楱，楷杷橪柿，亭柰厚朴，C441C441枣杨梅，樱桃蒲陶，隐夫薁棣，答B241离支，罗乎后宫，列乎北园，C225丘陵，下平原，扬翠叶，B474 [紫] 茎，发红华，垂硃荣，煌煌扈扈，照曜巨野。		《汉书》__汉
46	建初三年，零陵泉陵女子傅宁宅，土中忽生芝草五本，长者尺四五寸，短者七八寸，茎叶 [紫] 色，盖 [紫] 芝也。		《论衡》__汉
47	怀银纾 [紫] ，未必稷、契之才；积金累玉，未必陶硃之智。		《论衡》__汉
48	纵火，膏夏 [紫] 芝与萧艾俱死。		《淮南子》__汉
49	绵竹， [紫] 岩山，绵水所出，东至新都北入雒。		《汉书》__汉
50	相国、丞相，皆秦官，金印 [紫] 绶，掌丞天子助理万机。		《汉书》__汉
51	太尉，秦官，金印 [紫] 绶，掌武事。		《汉书》__汉
52	成帝绥和元年初赐大司马金印 [紫] 绶，置官属，禄比丞相，去将军。		《汉书》__汉
53	成帝绥和元年更名大司空，金印 [紫] 绶，禄比丞相，置长史如中丞，官职如故。		《汉书》__汉
54	太傅，古官，高后元年初置，金印 [紫] 绶。		《汉书》__汉
55	太师、太保，皆古官，平帝元始元年皆初置，金印 [紫] 绶。		《汉书》__汉
56	前后左右将军，皆周末官，秦因之，位上卿，金印 [紫] 绶。		《汉书》__汉
57	彻侯金印 [紫] 绶，避武帝讳，曰通侯，或曰列侯，改所食国令长名相，又有家丞、门大夫，庶子。		《汉书》__汉
58	今曰稻生于水，而不能生于湍濑之流； [紫] 芝生于山，而不能生于盘石之上；慈石 能引铁，及其于铜，则不行也。		《淮南子》__汉
59	北宫有 [紫] 房复道通未央宫，傅太后果从复道朝夕至帝所，求欲称尊号，贵宠其亲属，使上不得直道行。		《汉书》__汉
60	九月戊子，流星光烛地，长四五丈，委曲蛇形，贯 [紫] 宫。		《汉书》__汉
61	闻为道者，服金玉之精，食 [紫] 芝之英。		《论衡》__汉
62	四年春正月，行幸甘泉，郊泰畤，神光降集 [紫] 殿。		《汉书》__汉
63	析人之圭，儋人之爵，怀人之符，分人之禄，纡青拖 [紫] ，硃丹其毂。		《汉书》__汉
64	□正义三辅黄图云：“秦始兼天下，都咸阳，因北陵营宫殿，则 [紫] 宫象帝宫，渭水贯都以象天汉，横桥南度以法牵牛也。”		《史记》__汉
65	武王之相，望羊而已；高祖之相，龙颜、隆准、项 [紫] 、美须髯，身有七十二黑子。		《论衡》__汉
66	天地并况，惟予有慕，爰熙 [紫] 坛，思求厥路。		《汉书》__汉
67	星留俞，塞陨光，照 [紫] 幄，珠熉黄。		《汉书》__汉
68	八风、二十八宿、五官、六府、 [紫] 宫、太微、轩辕、咸池、四守、天阿。		《淮南子》__汉
69	硃草之茎如针， [紫] 芝之栽如豆，成为瑞矣。		《论衡》__汉
70	至或南面称师，赋奸伪之说；典城佩 [紫] ，读虚妄之书。		《论衡》__汉
71	虚妄显於真，实诚乱於伪，世人不悟，是非不定， [紫] 失杂厕，瓦玉集糅，以情言之，岂吾心所能忍哉！		《论衡》__汉
72	 [紫] 宫者，太一之居也。		《淮南子》__汉
