语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：红
2022/7/10 23:16:01

序号	语句	书名	朝代
1	君子不以绀緅饰， [红] 紫不以为亵服。		《论语》__春秋战国
2	 [红] 采兮骍衣，翠缥兮为裳。		《楚辞》__春秋战国
3	 [红] 壁沙版，玄玉之梁些。		《楚辞》__春秋战国
4	明年，河平二年，上悉封舅谭为平阿侯，商成都侯，立 [红] 阳侯，根曲阳侯，逢时高平侯。		《汉书》__汉
5	上闻之大怒，乃使尚书责问司隶校尉、京兆尹：“知成都侯商擅穿帝城，决引澧水，曲阳侯根骄奢僭上，赤墀青琐， [红] 阳侯立父子臧匿奸猾亡命，宾客为群盗，司隶、京兆皆阿纵不举奏正法。”		《汉书》__汉
6	特进成都侯商代音为大司马卫将军，而 [红] 阳侯立位特进，领城门兵。		《汉书》__汉
7	 [红] 阳侯立次当辅政，有罪过，语在《孙宝传》。		《汉书》__汉
8	是岁，新都侯莽告长伏罪与 [红] 阳侯立相连，长下狱死，立就国，语在《长传》。		《汉书》__汉
9	又还 [红] 阳侯立京师。		《汉书》__汉
10	 [红] 阳侯立莽诸父，平阿侯仁素刚直，莽内惮之，令大臣以罪过奏遣立、仁就国。		《汉书》__汉
11	初， [红] 阳侯立就国南阳，与诸刘结恩，立少子丹为中山太守。		《汉书》__汉
12	秋，蒐于 [红] 。		《公羊传》__春秋战国
13	 [红] ，茏古。		《尔雅》__汉
14	感帷裳兮发 [红] 罗，纷綷纟G-*3祭兮纨素声。		《汉书》__汉
15	以太傅、左辅、骠骑将军安阳侯王舜为太师，封安新公；大司徒就德侯平晏为太傅，就新公；少阿、羲和、京兆尹、 [红] 休侯刘歆为国师，嘉新公；广汉梓潼哀章为国将，美新公：是为四辅，位上公。		《汉书》__汉
16	会定陵侯长有罪，当就国，长舅 [红] 阳侯立与业书曰：“诚哀老姊垂白，随无状子出关，愿勿复用前事相侵。”		《汉书》__汉
17	丞相史搜得 [红] 阳侯书，奏业听请，不敬，坐免就国。		《汉书》__汉
18	故事，大逆朋友坐免官，无归故郡者，今坐长者归故郡，已深一等； [红] 阳侯立坐子受长货赂故就国耳，非大逆也，而方进复奏立党友后将军硃博、巨鹿太守孙宏、故少府陈咸，皆免官，归咸故郡。		《汉书》__汉
19	刑罚无平，在方进之笔端，众庶莫不疑惑，皆言孙宏不与 [红] 阳侯相爱。		《汉书》__汉
20	为丞相，即时诋欺，奏免咸，复因 [红] 阳侯事归咸故郡。		《汉书》__汉
21	内嫉妒同产兄姊 [红] 阳侯立及淳于氏，皆老被放弃。		《汉书》__汉
22	秋，蒐于 [红] 。		《榖梁传》__春秋战国
23	 [红] 杳眇以玄B14D兮，CA76风涌而云浮。		《汉书》__汉
24	后闻其数谏戊，乃更封为 [红] 侯。		《汉书》__汉
25	太后留歆为右曹太中大夫，迁中垒校尉、羲和、京兆尹，使治明堂辟雍，封 [红] 休侯。		《汉书》__汉
26	久之，迁后将军，与 [红] 阳侯立相善。		《汉书》__汉
27	秋，蒐于 [红] 。		《左传》__春秋战国
28	秋，大蒐于 [红] ，自根牟至于商、卫，革车千乘。		《左传》__春秋战国
29	曳 [红] 采之流离兮，飏翠气之冤延。		《汉书》__汉
30	青云为纷， [红] 蜺为缳，属之乎昆仑之虚，涣若天星之罗，浩如涛水之波，淫淫与与，前后要遮。		《汉书》__汉
31	“于是乎卢橘夏孰，黄甘橙楱，楷杷橪柿，亭柰厚朴，C441C441枣杨梅，樱桃蒲陶，隐夫薁棣，答B241离支，罗乎后宫，列乎北园，C225丘陵，下平原，扬翠叶，B474紫茎，发 [红] 华，垂硃荣，煌煌扈扈，照曜巨野。		《汉书》__汉
32	 [红] 阳侯立，太后亲弟，虽不居位，莽以诸父内敬惮之，畏立从容言太后，令已不得肆意，乃复令光奏立旧恶：“前知定陵侯淳于长犯大逆罪，多受其赂，为言误朝；后白以官婢杨寄私子为皇子，众言曰吕氏、少帝复出，纷纷为天下所疑，难以示来世，成襁褓之功。		《汉书》__汉
33	故公仪子相鲁，之其家见织帛，怒而出其妻，食于舍而茹葵，愠而拔其葵，曰：“吾已食禄，又夺园夫 [红] 女利乎！”		《汉书》__汉
34	莽因是诛灭卫氏，穷治吕宽之狱，连引郡国豪桀素非议已者，内及敬武公主、梁王立、 [红] 阳侯立、平阿侯仁，使者迫守，皆自杀。		《汉书》__汉
35	至孝武皇帝元狩六年，太仓之粟 [红] 腐而不可食，都内之钱贯朽而不可校。		《汉书》__汉
36	莽曰 [红] 俞。		《汉书》__汉
37	顷之， [红] 阳侯立举咸方正，为光禄大夫给事中，方进复奏免之。		《汉书》__汉
38	 [红] 阳侯立独不得为大司马辅政，立自疑为长毁谮，常怨毒长。		《汉书》__汉
39	 [红] 阳侯立就国。		《汉书》__汉
40	且两雄不俱立，楚、汉久相持不决，百姓骚动，海内摇荡，农夫释耒， [红] 女下机，天下之心未有所定也。		《汉书》__汉
