语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：绝
2022/7/10 22:58:19

序号	语句	书名	朝代
1	我授之政，诸侯必 [绝] ；能 [绝] 于我，必能害我。		《国语》__春秋战国
2	鲁有夫人、庆父之乱，二君弑死，国 [绝] 无嗣。		《国语》__春秋战国
3	言有此媢疾之人，妨贤而病国，则仁人必深恶而痛 [绝] 之。		《大学中庸》__春秋战国
4	与其涂道之修远粮食辍 [绝] 而不继。		《墨子》__春秋战国
5	 [绝] 江者托於船，致远者托於骥，霸王者托於贤。		《吕氏春秋》__春秋战国
6	六事之人，予誓告汝：有扈氏威侮五行，怠弃三正，天用剿 [绝] 其命，今予惟恭行天之罚。		《尚书》__周
7	为君子择葱Ε，则 [绝]  其本末。		《礼记》__春秋战国
8	此所谓存亡继 [绝] 之义。		《吕氏春秋》__春秋战国
9	昔出公之後声氏为晋公，拘於铜鞮，大国弗怜也，而使弊邑存亡继 [绝] ，弊邑不敢当也。”		《吕氏春秋》__春秋战国
10	下殇小功，带，澡麻不 [绝] 本，诎而反以报之。		《礼记》__春秋战国
11	属纩以俟 [绝] 气。		《礼记》__春秋战国
12	虽然，彼近其国，有迁；我 [绝] 虑，无迁。		《国语》__春秋战国
13	于是越王句践乃命范蠡、舌庸，率师沿海☆淮以 [绝] 吴路。		《国语》__春秋战国
14	桓公尝有存亡继 [绝] 之功，故君子为之讳也。		《榖梁传》__春秋战国
15	孤无奈越之先君何，畏天之不祥，不敢 [绝] 祀，许君成，以至于今。		《国语》__春秋战国
16	王曰：“越国南则楚，西则晋，北则齐，春秋皮币、玉帛、子女以宾服焉，未尝敢 [绝] ，求以报吴。		《国语》__春秋战国
17	围梁数旬， 则梁可拔；拔梁，则魏可举；举魏，则荆、赵之意 [绝] ；荆、赵之意 [绝] ，则赵危； 赵危而荆狐疑；东以弱齐、燕，中以凌三晋。		《韩非子》__春秋战国
18	降年有永有不永，非天夭民，民中 [绝] 命。		《尚书》__周
19	以臣观之，则齐、赵之交未必以荆苏 [绝] 也；若不 [绝] ，是悉赵而应二万乘也。		《韩非子》__春秋战国
20	永敬大恤，无胥 [绝] 远！		《尚书》__周
21	臣斯不得见，请归报，秦、韩之交必 [绝] 矣。		《韩非子》__春秋战国
22	荒坠厥绪，覆宗 [绝] 祀！”		《尚书》__周
23	炮之， 涂皆乾，擘之，濯手以摩之，去其<皮>，为稻粉蚤溲之以为酏，以付豚煎诸 膏，膏必灭之，钜镬汤以小鼎芗脯于其中，使其汤毋灭鼎，三日三夜毋 [绝] 火，而 后调以醯醢。		《礼记》__春秋战国
24	渍，取牛肉必新杀者，薄切之，必 [绝] 其理，湛诸美酒， 期朝，而食之以醢若醯意。		《礼记》__春秋战国
25	其弟子徐弱谏孟胜曰：“死而有益阳城君，死之可矣；无益也，而 [绝] 墨者於世，不可。”		《吕氏春秋》__春秋战国
26	此殷、夏之所以 [绝] 也。		《吕氏春秋》__春秋战国
27	讬於犀车良马之上，则可以陆犯阪阻之患；乘舟之安，持楫之利，则可以水 [绝] 江河之难；操法术之数，行重罚严诛，则可以致霸王之功。		《韩非子》__春秋战国
28	厉王，天子也，有雠而众，故流于彘，祸及子孙，微召公虎而 [绝] 无後嗣。		《吕氏春秋》__春秋战国
29	田氏之相齐也，君盈则己降， 君敛则己施，民皆归之，因有齐国；子孙享之，至今不 [绝] 。”		《列子》__春秋战国
30	子反之为人也，嗜酒，而甘之，弗能 [绝] 于口，而醉。		《韩非子》__春秋战国
31	或折其骨，或 [绝] 其筋，争术存也。		《吕氏春秋》__春秋战国
32	方其耽于色也，屏亲昵，  [绝] 交游，逃于后庭，以昼足夜；三月一出，意犹未惬。		《列子》__春秋战国
33	宾客在庭者日百住， 庖厨之下，不 [绝] 烟火；堂庑之上，不 [绝] 声乐。		《列子》__春秋战国
34	曰：“我不以货事上而求迁者，则如以狸饵鼠尔，必不冀矣；若以情事上而求迁者，则如引诸 [绝] 绳而求乘枉木也，愈不冀矣。		《商君书》__春秋战国
35	其曰出， [绝] 之也。		《榖梁传》__春秋战国
36	安上不由于忠，而忠名灭焉；利物不由于义，而义名 [绝] 焉。		《列子》__春秋战国
37	无若火始焰焰；厥攸灼叙，弗其 [绝] 。		《尚书》__周
38	皇帝哀矜庶戮之不辜，报虐以威，遏 [绝] 苗民，无世在下。		《尚书》__周
39	乃命重、黎， [绝] 地天通，罔有降格。		《尚书》__周
40	惟时苗民匪察于狱之丽，罔择吉人，观于五刑之中；惟时庶威夺货，断制五刑，以乱无辜，上帝不蠲，降咎于苗，苗民无辞于罚，乃 [绝] 厥世。”		《尚书》__周
41	函掩其迹，匿有端，下不能原；去其智， [绝] 其能，下不能意。		《韩非子》__春秋战国
42	 [绝] 其望，破其意，毋使人欲之，不谨其闭，不固其门，虎乃将在。		《韩非子》__春秋战国
43	马匹，谓初与己为匹，四乃 [绝] 之，而上以信于五，故为马匹亡之象。		《周易》__周
44	《象》曰：“马匹亡”， [绝] 类上也。		《周易》__周
45	19. [绝] 圣弃智，民利百倍； [绝] 仁弃义，民复孝慈； [绝] 巧弃利，盗贼无有；此三者，		《老子》__春秋战国
46	周厉之难，天子旷 [绝] ，而天下皆来谓矣。		《吕氏春秋》__春秋战国
47	天下之马者，若灭若没，若亡若失，若此者 [绝] 尘弭辙。		《列子》__春秋战国
48	男子不 [绝] 妇人之手，以齐终也。		《榖梁传》__春秋战国
49	道重继祠，种类不 [绝] 。		《老子想尔注》__春秋战国
50	欲令合精产生，故教之年少微省不 [绝] ，不教之勤力也。		《老子想尔注》__春秋战国
51	上德之人，志操坚彊，能不恋结产生，少时便 [绝] ，又善神早成。		《老子想尔注》__春秋战国
52	其后共工氏与颛顼争为帝，怒 而触不周之山，折天柱， [绝] 地维；故天倾西北，日月星辰就焉；地不满东南，故 百川水潦归焉。”		《列子》__春秋战国
53	精结成神，阳炁有余，务当自爱，闭心 [绝] 念，不可骄欺阴也。		《老子想尔注》__春秋战国
54	居数年，越报吴，残其国， [绝] 其世，灭其社稷，夷其宗庙。		《吕氏春秋》__春秋战国
55	均发均县轻重而发 [绝] ，发不均也。		《列子》__春秋战国
56	狂而以行赏罚，此戴氏之所以 [绝] 也。		《吕氏春秋》__春秋战国
57	均也， 其 [绝] 也，莫 [绝] 。		《列子》__春秋战国
58	何以知此道今端有，观古得仙寿者悉行之，以得知今俗有不 [绝] 也。“		《老子想尔注》__春秋战国
59	詹何以独茧丝为纶，芒针为钩， 荆筱为竿，剖粒为饵，引盈车之鱼于百仞之渊、汨流之中，纶不 [绝] ，钩不伸，竿 不挠。		《列子》__春秋战国
60	既去而余音绕梁欐，三日不  [绝] ，左右以其人弗去。		《列子》__春秋战国
61	“ [绝] 圣弃知，民利百倍。”		《老子想尔注》__春秋战国
62	乃以燕角之弧、朔蓬之簳射之，贯虱之心，而悬不 [绝] 。		《列子》__春秋战国
63	会不能忠孝至诚感天，民治身不能仙寿，佐君不能致太平，民用此不息，倍城邑虚空，是故 [绝] 诈圣耶知，不 [绝] 真圣道知也。“		《老子想尔注》__春秋战国
64	 [绝] 仁弃义，民复孝慈。”		《老子想尔注》__春秋战国
65	世人察之不审，故 [绝] 之勿赏，民悉自复慈孝矣。		《老子想尔注》__春秋战国
66	 [绝] 巧弃利，盗贼无有。”		《老子想尔注》__春秋战国
67	未知者复怪问之， [绝] 耶学，道与之何？		《老子想尔注》__春秋战国
68	 [绝] 耶学，独守道，道必与之。		《老子想尔注》__春秋战国
69	黑卵悍志 [绝] 众，九抗百夫，节骨皮肉，非人类也。		《列子》__春秋战国
70	俗人食穀，穀 [绝] 便死。		《老子想尔注》__春秋战国
71	唯有自守， [绝] 心闭念者，大无极也。“		《老子想尔注》__春秋战国
72	道之所言，反俗 [绝] 巧，於俗人中，甚无味也。		《老子想尔注》__春秋战国
73	章子令人视水可 [绝] 者，荆人射之，水不可得近。		《吕氏春秋》__春秋战国
74	是故，先王之孝也，色不忘乎目，声不 [绝] 乎耳， 心志耆欲不忘乎心。		《礼记》__春秋战国
75	孝子之祭，可知也，其立之也，敬以 诎；其进之也，敬以愉；其荐之也，敬以欲；退而立，如将受命；已彻而退，敬 齐之色不 [绝] 于面。		《礼记》__春秋战国
76	所筑城郭修状闭 [绝] 通道阙深防沟以益人之地守者何所也，		《管子》__春秋战国
77	时至而举兵 [绝] 坚而攻国，		《管子》__春秋战国
78	子舆曰：“吾笑龙之诒孔穿，言‘善射者，能令后镞中前括，发发相及， 矢矢相属；前矢造准而无 [绝] 落，后矢之括犹衔弦，视之若一焉。		《列子》__春秋战国
79	国中之政夷吾尚刺领而刎颈者不 [绝] ，		《管子》__春秋战国
80	子 [绝] 四：毋意，毋必，毋固，毋我。		《论语》__春秋战国
81	三国之所以亡者 [绝] 以小，		《管子》__春秋战国
82	是故君子上观 [绝] 理者以自恐也下观不及者以自隐也，		《管子》__春秋战国
83	阴内辩士使图其计内勇士使高其气内人他国使倍其约 [绝] 其使拂其意，		《管子》__春秋战国
84	一曰老老二曰慈幼三曰恤孤四曰养疾五曰合独六曰间病七曰通窍八曰振困九曰接 [绝] ，		《管子》__春秋战国
85	无变天之道，无 [绝] 地之理，无乱人之纪。		《吕氏春秋》__春秋战国
86	使乌获疾引牛尾，尾 [绝] 力勯，而牛不可行，逆也。		《吕氏春秋》__春秋战国
87	终逾 [绝] 险，曾是不意。		《诗经》__周
88	此六君者，所染不当，故国皆残亡，身或死辱，宗庙不血食， [绝] 其後类，君臣离散，民人流亡。		《吕氏春秋》__春秋战国
89	王公大人从而显之；有爱子弟者，随而学焉，无时乏 [绝] 。		《吕氏春秋》__春秋战国
90	天子布德行惠，命有司发仓窌，赐贫穷，振乏 [绝] ，开府库，出币帛，周天下，勉诸侯，聘名士，礼贤者。		《吕氏春秋》__春秋战国
91	是以 民有恶德，而遂 [绝] 其世也。		《礼记》__春秋战国
92	子曰：轻 [绝] 贫贱，而重 [绝] 富贵，则好贤不坚，而恶恶不著也。		《礼记》__春秋战国
93	恐者，肠 [绝] 而无主也。		《鬼谷子》__春秋战国
94	此五帝之所以 [绝] ，三代之所以灭。		《吕氏春秋》__春秋战国
95	宋人使门尹班告急于晋，公告大夫曰：“宋人告急，舍之则宋 [绝] 。		《国语》__春秋战国
96	在陈 [绝] 粮，从者病，莫能兴。		《论语》__春秋战国
97	 [绝] 族无移服，亲者属也。		《礼记》__春秋战国
98	其残亡死丧，殄 [绝] 无类，流散循饥无日矣。		《吕氏春秋》__春秋战国
99	天子既 [绝] ，贤者废伏，世主恣行，与民相离，黔首无所告诉。		《吕氏春秋》__春秋战国
