语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：美
2023/1/20 16:09:49

序号	语句	书名	朝代
1	此古昔盛时所以治隆于上，俗 [美] 于下，而非后世之所能及也！		《大学中庸》__春秋战国
2	以众故不敢爱亲，众况厚之，彼将恶始而 [美] 终，以晚盖者也。		《国语》__春秋战国
3	于，叹 [美] 辞。		《大学中庸》__春秋战国
4	猗猗， [美] 盛貌。		《大学中庸》__春秋战国
5	是向之师也，使之如改事然， [美] 齐侯之功也。		《榖梁传》__春秋战国
6	卒乃指其实而叹 [美] 之也。		《大学中庸》__春秋战国
7	义，而赞其 [美] 。“		《周易》__周
8	各以长短大小恶 [美] 形相从。		《墨子》__春秋战国
9	故好而知其恶，恶而知其 [美] 者，天下鲜矣！		《大学中庸》__春秋战国
10	 [美] 矣！		《礼记》__春秋战国
11	夫人 [美] 于中，必播于外，而越于民，民实戴之。		《国语》__春秋战国
12	蓁蓁， [美] 盛貌。		《大学中庸》__春秋战国
13	彦， [美] 士也。		《大学中庸》__春秋战国
14	行而从之， [美] 恶皆君之由，民何能为焉。”		《国语》__春秋战国
15	人之父兄食粗衣恶，而我 [美] 妾与马，无乃非相人者乎！		《国语》__春秋战国
16	俗 [美] 于下，而非后世之所能及也！		《大学中庸》__春秋战国
17	名立而功成 [美] 章而恶不生。		《墨子》__春秋战国
18	公曰：“吾属欲 [美] 之。”		《国语》__春秋战国
19	言语之 [美] ，穆穆皇皇；朝廷之 [美] ，济济翔翔；祭祀之 [美] ，齐齐皇皇；车马之  [美] ，匪匪翼翼；鸾和之 [美] ，肃肃雍雍。		《礼记》__春秋战国
20	兹殷庶士，席宠惟旧，怙侈灭义，服 [美] 于人。		《尚书》__周
21	故好而知其恶，恶而知其 [美] 者，天下鲜矣！		《大学中庸》__春秋战国
22	然阴阳迭胜，时运之常，若能含晦章 [美] ，静以制之，则可以		《周易》__周
23	蔡公孙归生与郑罕虎见叔孙穆子，穆子曰：“楚公子甚 [美] ，不大夫矣，抑君也。”		《国语》__春秋战国
24	则此语古者国君诸候之不可以不执 [美] 承嗣辅佐也。		《墨子》__春秋战国
25	 [美] 恶皆成，以养其生。		《国语》__春秋战国
26	越人饰 [美] 女八人纳之太宰☆，曰：“子苟赦越国之罪，又有 [美] 于此者将进之。”		《国语》__春秋战国
27	其达士，洁其居， [美] 其服，饱其食，而摩厉之于义。		《国语》__春秋战国
28	 [美] 之也。		《榖梁传》__春秋战国
29	王曰：“所不掩子之恶，扬子之 [美] 者，使其深无终没于越过。		《国语》__春秋战国
30	七曰：白圭谓魏王曰：“市丘之鼎以烹鸡，多洎之则淡而不可食，少洎之则焦而不熟，然而视之蝺焉 [美] ，无所可用。		《吕氏春秋》__春秋战国
31	以惠子之言蝺焉 [美] ，无所可用，是魏王以言无所可用者为仲父也，是以言无所用者为 [美] 也。		《吕氏春秋》__春秋战国
32	礼之以和为贵， 忠信之 [美] ，优游之法，慕贤而容众，毁方而瓦合。		《礼记》__春秋战国
33	曰：人主乐 [美] 宫室台池，好饰子女狗马以娱其心，此人主之殃也。		《韩非子》__春秋战国
34	为人臣者尽民力以 [美] 宫室台池，重赋敛以饰子女狗马，以娱其主而乱其心，从其所欲，而树私利其间，此谓“养殃”。		《韩非子》__春秋战国
35	中，本有 [美] 实者也。		《周易》__周
36	卦文明之腴，有雉膏之 [美] ，而不得以为人之食。		《周易》__周
37	尔尚明保予，罔俾阿衡专 [美] 有商。		《尚书》__周
38	和虽献璞而未 [美] ，未为主之害也，然犹两足斩而宝乃论，论宝若此其难也！		《韩非子》__春秋战国
39	三官生虱六：曰“岁”，曰“食”；曰“ [美] ”，曰“好”；曰“志”，曰“行”。		《商君书》__春秋战国
40	世主 [美] 仁义之名而不察其实，是以大者国亡身死，小者地削主卑。		《韩非子》__春秋战国
41	为 [美] 厚尔，为声色尔。		《列子》__春秋战国
42	而 [美] 厚复不可常厌足， 声色不可常玩闻。		《列子》__春秋战国
43	夫耳之所欲闻者音声，而不得听，谓 之阏聪；目之所欲见者 [美] 色，而不得视，谓之阏明；鼻之所欲向者椒兰，而不得 嗅，谓之阏颤；口之所欲道者是非，而不得言，谓之阏智；体之所欲安者 [美] 厚， 而不得从，谓之阏适；意之所为者放逸，而不得行，谓之阏性。		《列子》__春秋战国
44	杨朱曰：“天下之 [美] 归之舜、禹、周、孔，天下之恶归之桀纣。		《列子》__春秋战国
45	然而舜耕于 河阳，陶于雷泽，四体不得暂安，口腹不得 [美] 厚；父母之所不爱，弟妹之所不亲。		《列子》__春秋战国
46	及受舜禅，卑宫 室， [美] 绂冕，戚戚然以至于死：此无人之忧苦者也。		《列子》__春秋战国
47	彼四圣虽 [美] 之所归，苦以至终，同于死矣。		《列子》__春秋战国
48	以人之小恶，亡人之大 [美] ，此人主之所以失天下之士也已。”		《吕氏春秋》__春秋战国
49	故野人之所安， 野人之所 [美] ，谓天下无过者。		《列子》__春秋战国
50	’里之富室告之曰：‘昔人有 [美] 戎菽，甘 枲茎芹萍子者，对乡豪称之。		《列子》__春秋战国
51	杨朱曰：“丰屋 [美] 服，厚味姣色，有此四者，何求于外？		《列子》__春秋战国
52	云雾不硋其视，雷霆不乱其听， [美] 恶不滑其 心，山谷不踬其步，神行而已。		《列子》__春秋战国
53	其意有下也，然而不能已，说者因为之饰其 [美] 而少其不为也。		《韩非子》__春秋战国
54	夫香 [美] 脆味，厚酒肥肉，甘口而疾形；曼理皓齿，说情而捐精。		《韩非子》__春秋战国
55	三官者生虱官者六：曰岁，曰食；曰 [美] ，曰好；曰志，曰行。		《商君书》__春秋战国
56	其質非不 [美] 也，所漸者然也。		《荀子》__春秋战国
57	小人之學也，入乎耳，出乎口；口耳之間，則四寸耳，曷足以 [美] 七尺之軀哉！		《荀子》__春秋战国
58	君子之學也，以 [美] 其身；小人之學也，以為禽犢。		《荀子》__春秋战国
59	此四 [美] 者，不求诸外，不请于人，议之而得之矣。		《韩非子》__春秋战国
60	君子知夫不全不粹之不足以為 [美] 也，故誦數以貫之， 思索以通之，為其人以處之，除其害者以持養之。		《荀子》__春秋战国
61	逆旅人有妾二人，其一人 [美] ，其一人恶；恶乾贵而  [美] 者贱。		《列子》__春秋战国
62	逆旅小子对曰：“其 [美] 者自 [美] ，吾不知其 [美] 也；其恶者自 恶，吾不知其恶也。”		《列子》__春秋战国
63	2.天下皆知 [美] 之为 [美] ，斯恶矣；皆知善之为善，斯不善已。		《老子》__春秋战国
64	君子崇人之德，揚人之 [美] ，非諂諛也；正義直指，舉人之過，非毀疵也；言己之光 [美] ，擬於舜禹，參於天地，非夸誕也；與時屈伸，柔從若蒲葦，非懾怯也；剛強猛毅，靡所不信，非驕暴也；以義變應，知當曲直故也。		《荀子》__春秋战国
65	虽不正也，于 [美] 犹可也。		《榖梁传》__春秋战国
66	有 [美] 裘，正是日囊瓦求之，昭公不与。		《榖梁传》__春秋战国
67	胜而不 [美] ，而 [美] 之者，是		《老子》__春秋战国
68	封人子高左右望曰：“ [美] 哉城乎！		《吕氏春秋》__春秋战国
69	目辨白黑 [美] 惡，耳辨聲音清濁，口辨酸咸甘苦，鼻辨芬芳腥臊，骨體膚理辨寒暑疾養，是又人之所常生而有也，是無待而然者也，是禹桀之所同也。		《荀子》__春秋战国
70	長短小大， [美] 惡形相，豈論也哉！		《荀子》__春秋战国
71	直將差長短，辨 [美] 惡，而相欺傲邪？		《荀子》__春秋战国
72	今世俗之亂君，鄉曲之儇子，莫不 [美] 麗姚冶，奇衣婦飾，血氣態度擬於女子；婦人莫不愿得以為夫，處女莫不愿得以為士，棄其親家而欲奔之者，比肩并起；然而中君羞以為臣，中父羞以為子，中兄羞以為弟，中人羞以為友；俄則束乎有司，而戮乎大市，莫不呼天啼哭，苦傷其今，而後悔其始，是非容貌之患也，聞見之不眾，論議之卑爾！		《荀子》__春秋战国
73	齐量公游于牛山，北临其国城而流涕曰：“ [美] 哉国乎！		《列子》__春秋战国
74	关尹谓子列子曰：“言 [美] 则响 [美] ，言恶则响恶；身长则影长，身短则影短。		《列子》__春秋战国
75	故贈人以言，重於金石珠玉；觀人以言， [美] 於黼黻文章；聽人以言，樂於鍾鼓琴瑟。		《荀子》__春秋战国
76	王为建取妻於秦而 [美] ，无忌劝王夺。		《吕氏春秋》__春秋战国
77	儒者在本朝則 [美] 政，在下位則 [美] 俗。		《荀子》__春秋战国
78	 [美] 行可以加人。		《老子》__春秋战国
79	孙叔敖死，王果以 [美] 地封其子。		《列子》__春秋战国
80	祭者荐其时也，荐其敬也，荐其 [美] 也，非享味也。		《榖梁传》__春秋战国
81	甘其食、 [美] 其服、安其居、乐其俗。		《老子》__春秋战国
82	81.信言不 [美] 。		《老子》__春秋战国
