语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：羽
2023/1/20 15:15:41

序号	语句	书名	朝代
1	淮、沂其乂，蒙、 [羽] 其艺，大野既猪，东原厎平。		《尚书》__周
2	厥贡惟土五色， [羽] 畎夏翟，峄阳孤桐，泗滨浮磬，淮夷蠙珠暨鱼。		《尚书》__周
3	厥贡惟金三品，瑶、琨筱、簜、齿、革、 [羽] 、毛惟木。		《尚书》__周
4	厥贡 [羽] 、毛、齿、革惟金三品，杶、干、栝、柏，砺、砥、砮、丹惟菌簵、楛，三邦厎贡厥名。		《尚书》__周
5	帝乃诞敷文德，舞干 [羽] 于两阶，七旬有苗格。		《尚书》__周
6	流共工于幽州，放欢兜于崇山，窜三苗于三危，殛鲧于 [羽] 山，四罪而天下咸服。		《尚书》__周
7	王射之，曰：“有鸟止於南方之阜，其三年不动，将以定志意也；其不飞，将以长 [羽] 翼也；其不鸣，将以览民则也。		《吕氏春秋》__春秋战国
8	右军亦如之，皆玄裳、玄旗、黑甲、乌 [羽] 之☆，望之如墨。		《国语》__春秋战国
9	左军亦如之，皆赤裳、赤☆、丹甲、朱 [羽] 之☆，望之如火。		《国语》__春秋战国
10	万人以为方阵，皆白裳、白☆、素甲、白 [羽] 之☆，望之如荼。		《国语》__春秋战国
11	君葬用盾，四二碑，御棺用 [羽] 葆。		《礼记》__春秋战国
12	今天下之府库不盈，囷仓空虚，悉其士民，张军数 十百万，其顿首戴 [羽] 为将军，断死于前不至千人，皆以言死。		《韩非子》__春秋战国
13	譬之若钓者，鱼有小大，饵有宜适， [羽] 有动静。		《吕氏春秋》__春秋战国
14	春宜羔、豚， 膳膏芗，夏宜居、肃，膳膏臊；秋宜犊、は，膳膏腥；冬 宜鲜、 [羽] 膳，膏膻。		《礼记》__春秋战国
15	上九，鸿渐于陆；其 [羽] 可用为仪，吉。		《周易》__周
16	仪， [羽] 旄旌纛之饰也。		《周易》__周
17	上九至高，出乎人位之外，而其 [羽] 毛可用以为仪饰。		《周易》__周
18	《象》曰：“其 [羽] 可用为仪，吉”，不可乱也。		《周易》__周
19	其战也，五人来簿为伍，一人 [羽] 而轻其四人，能人得一首则复。		《商君书》__春秋战国
20	鮌治水土，绩用不就，殛诸 [羽] 山。		《列子》__春秋战国
21	然而名号显荣者，三士 [羽] 翼之也。”		《吕氏春秋》__春秋战国
22	人者，爪牙不足 以供守卫，肌肤不足以自捍御，趋走不足以从利逃害，无毛 [羽] 以御寒暑，必将资 物以为养，任智而不恃力。		《列子》__春秋战国
23	南方有鳥焉，名曰蒙鳩，以 [羽] 為巢，而編之以發，系之葦苕， 風至苕折，卵破子死。		《荀子》__春秋战国
24	舜於是殛之於 [羽] 山，副之以吴刀。		《吕氏春秋》__春秋战国
25	郭璞《洞林》：“占得此者，或致 [羽] 虫之孽。”		《周易》__周
26	天为高矣，而日月星辰云气雨露未尝休也；地为大矣，而水泉草木毛 [羽] 裸鳞未尝息也。		《吕氏春秋》__春秋战国
27	交交桑扈，有莺其 [羽] 。		《诗经》__周
28	禹东至榑木之地，日出九津，青羌之野，攒树之所，扌昬天之山，鸟谷、青丘之乡，黑齿之国；南至交址、孙朴续樠之国，丹粟漆树沸水漂漂九阳之山， [羽] 人、裸民之处，不死之乡；西至三危之国，巫山之下，饮露吸气之民，积金之山，其肱、一臂、三面之乡；北至人正之国，夏海之穷，衡山之上，太戎之国，夸父之野，禺强之所，积水、积石之山。		《吕氏春秋》__春秋战国
29	南海則有 [羽] 翮、齒革、曾青、丹干焉，然而中國得而財之。		《荀子》__春秋战国
30	○鸨 [羽] 		《诗经》__周
31	肃肃鸨 [羽] ，集于苞栩。		《诗经》__周
32	离朱子 [羽] 方昼拭眦扬眉而望之，弗见其形；虒俞师旷方夜擿耳俯首而 听之，弗闻其声。		《列子》__春秋战国
33	夫天地之生萬物也，固有餘，足以食人矣；麻葛繭絲、鳥獸之 [羽] 毛齒革也，固有餘，足以衣人矣。		《荀子》__春秋战国
34	当夏而叩 [羽] 弦以召黄钟， 霜雪交下，川池暴沍。		《列子》__春秋战国
35	武王左释白 [羽] ，右释黄钺，勉而自为系。		《吕氏春秋》__春秋战国
36	螽斯 [羽] ，诜诜兮。		《诗经》__周
37	螽斯 [羽] ，薨薨兮。		《诗经》__周
38	螽斯 [羽] ，揖揖兮。		《诗经》__周
39	夫唯有 [羽] 翼之故是以能通其意于天下乎，		《管子》__春秋战国
40	无冬无夏，值其鹭 [羽] 。		《诗经》__周
41	 [羽] 剑珠饰者斩生之斧也文采纂组者燔功之也，		《管子》__春秋战国
42	君子以鐘鼓道志，以琴瑟樂心；動以干戚，飾以 [羽] 旄，從以磬管。		《荀子》__春秋战国
43	鸿雁于飞，肃肃其 [羽] 。		《诗经》__周
44	子曰：“为命，衤卑谌草创之，世叔讨论之，行人子 [羽] 修饰之，东里子产润色之。”		《论语》__春秋战国
45	鸣鸠拂其 [羽] ，戴任降于桑，具栚曲{豦}筐。		《吕氏春秋》__春秋战国
46	是月也，命工师令百工审五库之量，金铁、皮革筋、角齿、 [羽] 箭干、脂胶丹漆，无或不良。		《吕氏春秋》__春秋战国
47	集於 [羽] 鸟，与为飞扬；集於走兽，与为流行；集於珠玉，与为精朗；集於树木，与为茂长；集於圣人，与为夐明。		《吕氏春秋》__春秋战国
48	宫、徵、商、 [羽] 、角，各处其处，音皆调均，不可以相违，此所以无不受也。		《吕氏春秋》__春秋战国
