语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：而
2022/11/6 21:56:42

序号	语句	书名	朝代
1	其不目 [而] 曰仲孙，疏之也。		《春秋》__周
2	占者得之， [而] 		《周易》__周
3	丧事未毕 [而] 举吉祭，故非之也。		《春秋》__周
4	以伐其私邑，则虽危 [而] 吉且无咎。		《周易》__周
5	为卦下离上坤，日入地中，明 [而] 见伤之象，故为明夷。		《周易》__周
6	五近之，故占者利于艰难以守正， [而] 自晦其明也。		《周易》__周
7	内文明 [而] 外柔顺，以蒙大难，文王以之。		《周易》__周
8	蒙大难，谓遭纣之乱 [而] 见囚也。“		《周易》__周
9	利艰贞”，晦其明也，内难 [而] 能正其志，箕子		《周易》__周
10	《象》曰：明入地中，明夷，君子以莅众，用晦 [而] 明。		《周易》__周
11	飞 [而] 垂翼，见伤之象，占者		《周易》__周
12	行 [而] 不食。		《周易》__周
13	所如不合，时义当然，不得 [而] 避也。		《周易》__周
14	!伤 [而] 未切，救之速则免矣。		《周易》__周
15	以刚居刚，又在明体之上， [而] 屈于至暗之下，正与上六暗		《周易》__周
16	合此爻之义， [而] 小事亦有然者。		《周易》__周
17	言筮 [而] 得此者，其自处当如是也。		《周易》__周
18	爻明在暗外，故随其远近高下 [而] 处之不同。		《周易》__周
19	六四，以柔正居暗地 [而] 尚浅，故犹可以得意于远去。		《周易》__周
20	地 [而] 已迫，故为内难正志以晦其明之象。		《周易》__周
21	上则极乎暗矣，故为自伤其明以至于暗， [而] 又足以伤人之明。		《周易》__周
22	居至暗之地，近至暗之君， [而] 能正其志，箕子之象也，贞之至也。		《周易》__周
23	终必至于自伤， [而] 坠厥命。		《周易》__周
24	故其象如此， [而] 占亦在其中矣。		《周易》__周
25	父父、子子、兄兄、弟弟、夫夫、妇妇， [而] 家道正，		《周易》__周
26	正家 [而] 天下定矣。		《周易》__周
27	《象》曰：风自火出，家人，君子以言有物， [而] 行有恒。		《周易》__周
28	志未变 [而] 预防之。		《周易》__周
29	!以刚居刚 [而] 不		《周易》__周
30	如是，则虽有悔厉 [而] 吉也。		《周易》__周
31	阳主义，阴主利，以阴居阴 [而] 在上位，能富其家者也。		《周易》__周
32	五，刚健中正，下应六二之柔顺中正，王者以是至于其家，则勿用忧恤 [而] 吉可必矣。		《周易》__周
33	盖聘纳后妃之吉占， [而] 凡有		《周易》__周
34	以卦德言之，内说 [而] 外明。		《周易》__周
35	以卦体言之，则六五得中， [而] 下应九二之刚。		《周易》__周
36	是以其占不可大事， [而] 小事尚有吉之道也。		《周易》__周
37	《彖》曰：“睽”，火动 [而] 上，泽动 [而] 下，二女同居，其志不同行。		《周易》__周
38	说 [而] 丽乎明，柔进 [而] 上行，得中 [而] 应乎刚，是以小事吉。		《周易》__周
39	天地睽 [而] 其事同也，男女睽 [而] 其志通也，万物睽 [而] 其事类也。		《周易》__周
40	 [而] 赞之。		《周易》__周
41	《象》曰：上火下泽，睽，君子以同 [而] 异。		《周易》__周
42	二卦合体 [而] 性不同。		《周易》__周
43	 [而] 居睽之时，同德相		《周易》__周
44	故有丧马勿逐 [而] 自复之象。		《周易》__周
45	二、五阴阳正应，居睽之时，乖戾不合，必委曲相求 [而] 得会遇，乃为无咎，故其		《周易》__周
46	上九正应， [而] 三居二阳之间，后为二所曳，前为四所掣， [而] 当睽之时，上九猜很方深，故又有髡劓之伤。		《周易》__周
47	!睽孤，谓六三为二阳所制， [而] 己以刚处明极睽极之地，又自猜很 [而] 乖离也。		《周易》__周
48	匪寇婚媾，知其非寇 [而] 实亲也。		《周易》__周
49	遇雨则吉，疑尽释 [而] 睽合也。		《周易》__周
50	坎上，见险 [而] 止，故为蹇。		《周易》__周
51	又卦自《小过》 [而] 来，阳进		《周易》__周
52	则往居五 [而] 得中，退则入于艮 [而] 不进。		《周易》__周
53	 [而] 卦之九五，刚健中正，有大人之象。		《周易》__周
54	盖见险者贵于能止， [而] 又不可终于止。		《周易》__周
55	处险者利于进， [而] 不可失其正也。		《周易》__周
56	见险 [而] 能止，知矣哉！		《周易》__周
57	义， [而] 赞其美。“		《周易》__周
