语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：肉
2023/1/20 15:14:15

序号	语句	书名	朝代
1	或问曰：“冠者不 [肉] 袒何也？”		《礼记》__春秋战国
2	不居 [肉] 袒之体也，故为 之免以代之也”。		《礼记》__春秋战国
3	公田，骊姬受福，乃置鸩于酒，置堇于 [肉] 。		《国语》__春秋战国
4	骊姬与犬 [肉] ，犬毙；饮小臣酒，亦毙。		《国语》__春秋战国
5	其以鼎 [肉] ，则执以将命。		《礼记》__春秋战国
6	此犹梁 [肉] 之与糠糟也。		《墨子》__春秋战国
7	九妃、六嫔，陈妾数百，食必粱 [肉] ，衣必文绣。		《国语》__春秋战国
8	今王公大人骨 [肉] 之亲。		《墨子》__春秋战国
9	曰莫若为王公大人骨 [肉] 之亲。		《墨子》__春秋战国
10	孔甘不问 [肉] 之所由来而食。		《墨子》__春秋战国
11	练而食 菜果，祥而食 [肉] 。		《礼记》__春秋战国
12	食菜以醯酱，始食 [肉] 者先食干 [肉] ， 始饮酒者先饮醴酒。		《礼记》__春秋战国
13	三月既葬，食  [肉] 饮酒。		《礼记》__春秋战国
14	期终丧，不食 [肉] ，不饮酒，父在为母，为妻。		《礼记》__春秋战国
15	九月之丧，食饮犹期之丧 也，食 [肉] 饮酒，不与人乐之。		《礼记》__春秋战国
16	比葬，食 [肉] 饮 酒，不与人乐之。		《礼记》__春秋战国
17	叔母、世母、故主、宗子，食 [肉] 饮酒。		《礼记》__春秋战国
18	不能食粥、羹之以菜可 也；有疾、食 [肉] 饮酒可也。		《礼记》__春秋战国
19	既葬，若君食之， 则食之，大夫父之友食之，则食之矣，不辟粱 [肉] ，若有酒醴则辞。		《礼记》__春秋战国
20	王曰：“在孤之侧者，觞酒、豆 [肉] 、箪食，未尝敢不分也。		《国语》__春秋战国
21	刑人有列，则君子下其位；衣锦食 [肉] ，则小人冀其利。		《商君书》__春秋战国
22	 [肉] 曰脱之，鱼曰作之，枣曰新之，栗曰撰之，桃曰胆之，且、梨曰攒之。		《礼记》__春秋战国
23	 [肉] 腥细者为脍，大者为轩，或曰麋鹿鱼为菹，为辟鸡，野豕为轩，兔为宛 脾，切葱若薤，实诸醯以柔之。		《礼记》__春秋战国
24	五十异长，六十宿 [肉] ，七十贰膳，八十常珍，九十 饮食不违寝，膳饮从于游可也。		《礼记》__春秋战国
25	五十始衰，六十非 [肉] 不饱，七十非帛不暖，八十非人不 暖，九十虽得人不暖矣。		《礼记》__春秋战国
26	捣珍：取牛羊麋鹿之 [肉] 必灰，每物与牛若一捶，反侧之，去其饵，孰出 之，去其<皮>，柔其 [肉] 。		《礼记》__春秋战国
27	渍，取牛 [肉] 必新杀者，薄切之，必绝其理，湛诸美酒， 期朝，而食之以醢若醯意。		《礼记》__春秋战国
28	为熬：捶之，去其<皮>，编萑布牛 [肉] 焉，屑桂与姜，以洒诸上而盐之， 干而食之。		《礼记》__春秋战国
29	欲濡 [肉] ，则释而煎之以醢， 欲干 [肉] ，则捶而食之。		《礼记》__春秋战国
30	糁：取牛羊豕之 [肉] ，三如一小切之，与稻米，稻米二 [肉] 一，合以为饵煎之。		《礼记》__春秋战国
31	夫君臣非有骨 [肉] 之亲，正直之道可以得利，则臣尽力以事主；正直之道不可以得安，则臣行私以干上。		《韩非子》__春秋战国
32	君 [肉] 袒迎牲于门，夫人荐豆笾。		《礼记》__春秋战国
33	民之见战也，如饿狼之见 [肉] ，则民用矣。		《商君书》__春秋战国
34	晨出夜入，自以性之恒；啜菽茹藿，自以味之 极；肌 [肉] 粗厚，筋节< [肉] 卷>急，一朝处以柔毛绨幕，荐以粱 [肉] 兰橘，心<疒肙>体 烦，内热生病矣。		《列子》__春秋战国
35	君之所未尝食唯人 [肉] 耳，易牙蒸其子首而进之，君所知也。		《韩非子》__春秋战国
36	心 凝形释骨 [肉] 都融；不觉形之所倚，足之所履，随风东西，犹木叶干壳。		《列子》__春秋战国
37	次非攘臂袪衣，拔宝剑曰：“此江中之腐 [肉] 朽骨也！		《吕氏春秋》__春秋战国
38	不以腐 [肉] 朽骨而弃剑者，其次非之谓乎！”		《吕氏春秋》__春秋战国
39	子华昉令豫 [肉] 食衣帛之次。		《列子》__春秋战国
40	夫香美脆味，厚酒肥 [肉] ，甘口而疾形；曼理皓齿，说情而捐精。		《韩非子》__春秋战国
41	 [肉] 腐出蟲，魚枯生蠹。		《荀子》__春秋战国
42	宋公 [肉] 袒执牺，委服告病，曰：“大国若宥图之，唯命是听。”		《吕氏春秋》__春秋战国
43	子衣则文锦，食则粱 [肉] ，居则连欐，出则结驷。		《列子》__春秋战国
44	今人之生也，方知畜雞狗豬彘，又蓄牛羊，然而食不敢有酒 [肉] ；餘刀布，有損寅，然而衣不敢有絲帛；約者有筐篋之藏，然而行不敢有輿馬。		《荀子》__春秋战国
45	俎实也，祭 [肉] 也。		《榖梁传》__春秋战国
46	史孔梁丘据皆从而泣曰：“ 臣赖君之赐，疏食恶 [肉] 可得而食，怒马棱车，可得而乘也，且犹不欲死，而况吾 君乎？”		《列子》__春秋战国
47	且蚊蚋替肤， 虎狼食 [肉] ，非天本为蚊蚋生人、虎狼生 [肉] 者哉？”		《列子》__春秋战国
48	糟丘酒池， [肉] 圃为格，雕柱而桔诸侯，不适也。		《吕氏春秋》__春秋战国
49	弃其杖，尸膏 [肉] 所浸，生邓林。		《列子》__春秋战国
50	不进酒 [肉] ，不召嫔御 者，数月乃复。		《列子》__春秋战国
51	左右皆谓宋王曰：“此所谓‘ [肉] 自生虫’者也。		《吕氏春秋》__春秋战国
52	楚之南有炎人之国，其亲戚死，剔其 [肉] 而弃之，然后埋 其骨，乃成为孝子。		《列子》__春秋战国
53	黑卵悍志绝众，九抗百夫，节骨皮 [肉] ，非人类也。		《列子》__春秋战国
54	窥赤 [肉] 而鸟鹊聚，狸处堂而众鼠散，衰绖陈而民知丧，竽瑟陈而民知乐，汤武修其行而天下从，桀纣慢其行而天下畔，岂待其言哉？		《吕氏春秋》__春秋战国
55	去 [肉] 食之兽，去食粟之鸟，去丝罝之网。		《吕氏春秋》__春秋战国
56	始食 [肉] 者先食干  [肉] 。		《礼记》__春秋战国
57	骨 [肉]  毙于下，阴为野土。		《礼记》__春秋战国
58	則人固莫觸罪，非獨不用 [肉] 刑，亦不用象刑矣。		《荀子》__春秋战国
59	心凝形释，骨 [肉] 者融；不觉形 之所倚，足之所履，心之所念，言之所藏。		《列子》__春秋战国
60	者，甲吏之贱也；胞者， [肉] 吏之贱者也； 翟者，乐吏之贱者也；阍者，守门之贱者也。		《礼记》__春秋战国
61	肥 [肉] 厚酒，务以自强，命之曰“烂肠之食”。		《吕氏春秋》__春秋战国
62	子云：“觞酒豆 [肉] 让而受恶，民犹犯齿；衽席之上让而坐下，民犹犯贵；朝 廷之位让而就贱，民犹犯君。		《礼记》__春秋战国
63	食饐而鍻，鱼馁而 [肉] 败，不食。		《论语》__春秋战国
64	 [肉] 虽多，不使胜食气。		《论语》__春秋战国
65	祭于公，不宿 [肉] 。		《论语》__春秋战国
66	祭 [肉] 不出三日。		《论语》__春秋战国
67	朋友之馈，虽车马，非祭 [肉] ，不拜。		《论语》__春秋战国
