语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：肌
2023/1/20 15:14:31

序号	语句	书名	朝代
1	有侵苦 [肌] 肤 获万金者，若为之乎？”		《列子》__春秋战国
2	孟孙阳曰：“一毛微于 [肌] 肤， [肌] 肤微于一节，省矣。		《列子》__春秋战国
3	然 则积一毛以成 [肌] 肤，积 [肌] 肤以成一节。		《列子》__春秋战国
4	人者，爪牙不足 以供守卫， [肌] 肤不足以自捍御，趋走不足以从利逃害，无毛羽以御寒暑，必将资 物以为养，任智而不恃力。		《列子》__春秋战国
5	一曰：凡人之性，爪牙不足以自守卫， [肌] 肤不足以捍寒暑，筋骨不足以从利辟害，勇敢不足以却猛禁悍。		《吕氏春秋》__春秋战国
6	晨出夜入，自以性之恒；啜菽茹藿，自以味之 极； [肌] 肉粗厚，筋节<肉卷>急，一朝处以柔毛绨幕，荐以粱肉兰橘，心<疒肙>体 烦，内热生病矣。		《列子》__春秋战国
7	黄帝即位十有五年，喜天五戴己，养正命，娱耳目，供鼻口，焦然 [肌] 色< 皮 干>黣，昏然五情爽惑。		《列子》__春秋战国
8	又十有五年，忧天下之不治，竭聪明，进智力， 营 百姓，焦然 [肌] 色皯黣，昏然五情爽惑。		《列子》__春秋战国
9	 [肌] 肤欲其比也，血脉欲其通也，筋骨欲其固也，心志欲其和也，精气欲其行也。		《吕氏春秋》__春秋战国
10	?频塾胙椎壅接谮嫒埃锜 堋㈩ [肌] ⒗恰⒈⒓豸区>、虎为前驱，雕、鹖、鹰、鸢为旗帜， 此以力使禽兽者 也。		《列子》__春秋战国
11	中央曰土土德实辅四时入出以风雨节土益力土生皮 [肌] 肤其德和平用均中正无私实辅四时春赢育夏养长秋聚收冬闭藏大塞乃极国家乃昌四方乃服此谓岁德，		《管子》__春秋战国
12	故知知一，则可动作当务，与时周旋，不可极也；举错以数，取与遵理，不可惑也；言无遗者，集 [肌] 肤，不可革也。		《吕氏春秋》__春秋战国
13	乐之有情，譬之若 [肌] 肤形体之有情性也。		《吕氏春秋》__春秋战国
14	故知既已知之矣，言既已謂之矣，行既已由之矣，則若性命 [肌] 膚之不可易也。		《荀子》__春秋战国
15	其藏於民心，捷於 [肌] 肤也，深痛执固，不可摇荡，物莫之能动。		《吕氏春秋》__春秋战国
16	孝子之重其亲也，慈亲之爱其子也，痛於 [肌] 骨，性也。		《吕氏春秋》__春秋战国
17	 [肌] 肤若冰雪，淖约若处子		《庄子》__春秋战国
18	密 [肌] ，继英。		《尔雅》__汉
19	密 [肌] ，系英。		《尔雅》__汉
20	庄子不信，曰：“吾使司命复生子形，为子骨肉 [肌] 		《庄子》__春秋战国
21	是以四疆之内，各以其力来侵，攘 [肌] 及骨，而赧独何以制秦乎？		《法言》__汉
22	太上不辱先，其次不辱身，其次不辱理色，其次不辱辞令，其次诎体受辱，其次易服受辱，其次关木索被箠楚受辱，其次剔毛发婴金铁受辱，其次毁 [肌] 肤断支体受辱，最下腐刑，极矣。		《汉书》__汉
23	今交手足，受木索，暴 [肌] 肤，受榜B258，幽于圜墙之中，当此之时，见狱吏则头枪地，视徒隶则心惕息。		《汉书》__汉
24	军人分裂莽身，支节 [肌] 骨脔分，争相杀者数十人。		《汉书》__汉
25	夫刑至断支休，刻 [肌] 肤，终身不息，何其刑之痛而不德也！		《汉书》__汉
26	饥寒切于民之 [肌] 肤，欲其亡为奸邪，不可得也。		《汉书》__汉
27	夫马之为草驹之时，跳跃扬蹄， 翘尾而走，人不能制，啮咋足以噆 [肌] 碎骨，蹶蹄足以破颅陷匈；及至圉人扰之， 良御教之，掩以衡扼，连以辔衔，则虽历险超堑弗敢辞。		《淮南子》__汉
28	故声发于和而本于情，接于 [肌] 肤，臧于骨髓。		《汉书》__汉
29	殷人执五刑以督奸，伤 [肌] 肤以惩恶。		《汉书》__汉
30	武王行大谊，平残贼，周公作礼乐以文之，至于成康之隆，囹圄空虚四十余年，此亦教化之渐而仁谊之流，非独伤 [肌] 肤之效也。		《汉书》__汉
