语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：肚
2023/1/20 15:20:55

序号	语句	书名	朝代
1	!腓，足 [肚] 也。		《周易》__周
2	以其体肥，呼为杨大 [肚] 。		《北史》__魏晋六朝
3	冀州人为之语曰“显公钟，宋公鼓，宗道晖屐，李洛姬 [肚] ”，谓之四大。		《北史》__魏晋六朝
4	冬稌 [肚] 夏穱侧角，随时代熟。		《昭明文选》__魏晋六朝
5	询应声答曰：“索头连背暖，漫裆畏 [肚] 寒。		《大唐新语》__隋唐五代
6	彦博即令嘲厅前丛竹，略曰：“竹，冬月不肯凋，夏月不肯热， [肚] 里不能容国土，皮外何劳生枝节？”		《大唐新语》__隋唐五代
7	不怕未来地狱生，如今且要 [肚] 羸垂，		《敦煌变文》__隋唐五代
8	被刺，肝 [肚] 俱出，内之不尽，截去之。		《独异志》__隋唐五代
9	初置抹 [肚] 中，便觉腹痛，因快痢十余行。		《广异记》__隋唐五代
10	千约万束不取语，恼得老人肠 [肚] 烂。		《敦煌变文》__隋唐五代
11	茶吃只是●疼，多吃令人患 [肚] ，一日打却十杯，肠胀又同衙鼓。		《敦煌变文》__隋唐五代
12	父放母命以后，一心一 [肚] 快活，天下传名。		《敦煌变文》__隋唐五代
13	一人好头 [肚] 		《寒山诗》__隋唐五代
14	损形容，各（割）肠 [肚] ，乞待儿皈再团聚；		《敦煌变文》__隋唐五代
15	此时不遇，万劫千生，轮回三界，徇好境掇去，驴牛 [肚] 里生。		《临济语录》__隋唐五代
16	三年国子师，肠 [肚] 习藜苋。		《全唐诗》__隋唐五代
17	撑肠拄 [肚] 礧傀如山丘，自可饱死更不偷。		《全唐诗》__隋唐五代
18	腹 [肚] 忽脱落，		《全唐诗》__隋唐五代
19	面结口头交， [肚] 里生荆棘。		《全唐诗》__隋唐五代
20	一人好头 [肚] ，六艺尽皆通。		《全唐诗》__隋唐五代
21	江南鼓，梭 [肚] 两头栾。		《全唐诗》__隋唐五代
22	吃得 [肚] 婴撑，寻思绕寺行。		《全唐诗》__隋唐五代
23	死牛肠 [肚] 作馒头。		《全唐诗》__隋唐五代
24	著衣床上坐， [肚] 缓脊皮急。		《全唐诗》__隋唐五代
25	索头连背暖，漫裆畏 [肚] 寒。		《全唐诗》__隋唐五代
26	江南鼓，梭 [肚] 两头栾。		《全唐诗》__隋唐五代
27	婪酣大 [肚] 遭一饱，饥肠彻死无由鸣。		《全唐诗》__隋唐五代
28	名声暂膻腥，肠 [肚] 镇煎煼。		《全唐诗》__隋唐五代
29	兔入臼藏蛙缩 [肚] ，		《全唐诗》__隋唐五代
30	辛长史专合来，施绢一疋，秣 [肚] 一，汗衫书一，中云：续到拜辞，请暂时待者。		《入唐求法》__隋唐五代
31	女人对曰：我 [肚] 裹儿不得饭，即我亦不合得吃。		《入唐求法》__隋唐五代
32	 [肚] 裹儿虽是一数，而不出来，索得饭食时，与谁吃乎？		《入唐求法》__隋唐五代
33	男女空饿 [肚] 		《王梵志诗》__隋唐五代
34	又曰：“食面者，非君也，乃君 [肚] 中一虫耳。		《宣室志》__隋唐五代
35	卷头有眼， [肚] 里没嗔。		《唐摭言》__隋唐五代
36	尝作《奴婢诗》五十首，有云：“不论秋菊与春花，个个能噇空 [肚] 茶。”		《唐才子传》__隋唐五代
37	生不动，候其渐行，上及于 [肚] ， 生乃遽以手摸之，则一古铁鼎子，已欠一脚矣。		《玄怪录》__隋唐五代
38	有一优即前曰：“某等 [肚] 饥，臈臈怡怡，皮漫 绕身三匝。		《玄怪录》__隋唐五代
39	当时有一破铜熨斗在于床侧，十娘忽咏曰：“旧来心 [肚] 热，无端强熨他。		《游仙窟》__隋唐五代
40	师代云：“白里 [肚] 著皂袄。		《祖堂集》__隋唐五代
41	闻名腹 [肚] 已猖狂，见面精神更迷惑。		《游仙窟》__隋唐五代
42	师不肯，便下来吐出云：“ [肚] 里吃不净洁物。”		《祖堂集》__隋唐五代
43	施 [肚] 为汝作棺材[*一本云、阇黎无可布施、施 [肚] 为 汝作棺材*]。		《禅林僧宝传卷第十九》__宋
44	瘦 [肚] 难求思。		《禅林僧宝传卷第十七》__宋
45	吃放 [肚] 里了、当下便不饥。		《禅林僧宝传卷第二十八》__宋
46	师云：“老僧在你 [肚] 里。”		《祖堂集》__隋唐五代
47	僧曰：“和尚为什摩在学人 [肚] 里？”		《祖堂集》__隋唐五代
48	鱼被网里却，张破＃帅 [肚] 。		《祖堂集》__隋唐五代
49	一般口眼，两般肠 [肚] 。		《东坡文集》__宋
50	公昔遗予以暖 [肚] 饼，其直万钱，我今报公，亦以暖 [肚] 饼，其价不可言。		《东坡文集》__宋
51	○谢鲁元翰寄暖 [肚] 饼		《东坡文集》__宋
52	公昔遗余以暖 [肚] 饼，其直万钱。		《东坡文集》__宋
53	我今报公亦以暖 [肚] 饼，其价不可言。		《东坡文集》__宋
54	知识中有忧我者，以是语之，纱裹 [肚] 奚，各一致区区而已。		《东坡文集》__宋
55	细观初以指画 [肚] ，欲读嗟如箝在口。		《东坡文集》__宋
56	免见满藏琅函搅人肠 [肚] 。		《古尊语录》__宋
57	常在你诸人 [肚] 里走来走去。		《古尊语录》__宋
58	山僧在你诸人 [肚] 里走两遭了也。		《古尊语录》__宋
59	和尚为什麽在学人 [肚] 里。		《古尊语录》__宋
60	虞候道∶“适来郡王在轿里，看见令爱身上系着一条绣裹 [肚] 。		《话本)》__宋
61	到得家中坐定，秀秀道∶“我 [肚] 里饥，崔大夫与我买点心来。		《话本)》__宋
62	 [肚] 里又闷，又有些饥渴，只见个村酒店，但见∶柴门半掩，破旆低垂。		《话本)》__宋
63	 [肚] 里又饥，坐在地上，放细软包儿在面前，解开熬肉裹儿，掰开一个蒸饼，把四五块肥底烧肉多蘸些椒盐，卷做一卷。		《话本)》__宋
64	宋四公口里不说， [肚] 里思量道∶“赵正手高似我，这番又吃他觅了包儿，越不好看。		《话本)》__宋
65	赵正 [肚] 里道∶“这盒儿里便是作怪物事了。”		《话本)》__宋
66	宋四公觉得 [肚] 中饥馁，入那酒店去，买些个酒吃。		《话本)》__宋
67	夜至三更前后，万秀娘在那床上睡不着， [肚] 里思量道∶“荷得尹宗救我，便是我重生父母，再长爷娘一般。		《话本)》__宋
68	万秀娘见那婆婆打了儿子， [肚] 里便怕。		《话本)》__宋
69	心上委决不下， [肚] 里又闷，提一角酒，索性和婆子吃个醉，解衣卸带了睡。		《话本)》__宋
70	赵正 [肚] 里只是暗暗的笑。		《话本)》__宋
71	两碗饭间，马观察 [肚] 里药过了，苏醒起来，看赵正不见了。		《话本)》__宋
72	大娘子和那老王吃那一惊不小，只见跳出一个人来∶头带乾红凹面巾，身穿一领旧战袍，腰间红绢搭膊裹 [肚] ，脚下蹬一双乌皮皂靴，手执一把朴刀。		《话本)》__宋
73	玉抱 [肚] 		《全宋词》__宋
74	戏马台前泥拍 [肚] ，龙山路上水平脐。		《全宋词》__宋
75	自家肠 [肚] 自端详。		《全宋词》__宋
76	自恨老来肠 [肚] ，诮不堪摧折。		《全宋词》__宋
77	风流肠 [肚] 不坚牢，只恐被伊牵引断。		《全宋词》__宋
78	直自我咱，怕你恶肠 [肚] 。		《全宋词》__宋
79	 [肚] 里非常富。		《全宋词》__宋
80	争似当初，不曾相见，免恁恼人肠 [肚] 。		《全宋词》__宋
81	莫怪为伊，底死萦肠惹 [肚] 。		《全宋词》__宋
82	师曰：“ [肚] 上不贴榜。”		《五灯会元》__宋
83	曰：“适来 [肚] 饥，闻鼓声，归吃饭。”		《五灯会元》__宋
84	又曰：“ [肚] 上不贴榜。”		《五灯会元》__宋
85	师谓众曰：“我年二十八，到仰山参见南塔，见上堂曰：“汝等诸人，若是个汉，从娘 [肚] 里出来便作师子吼，好麽？”		《五灯会元》__宋
86	吓得东海鲤鱼，直至如今 [肚] 胀。		《五灯会元》__宋
87	山河是眼睛，大海是我 [肚] 。”		《五灯会元》__宋
88	师曰：“满 [肚] 是禅。”		《五灯会元》__宋
89	所以道，肥边易得，瘦 [肚] 难求。		《五灯会元》__宋
90	如今若不了，明朝後日入驴胎马 [肚] 里，牵犁拽杷，御铁负鞍，碓捣磨磨，水火里烧煮去，大不容易受，大须恐惧。		《五灯会元》__宋
91	大众，眼在鼻上，脚在 [肚] 下，且道宝在甚麽处？”		《五灯会元》__宋
92	曰：“和尚为甚麽在学人 [肚] 里？”		《五灯会元》__宋
93	师曰：“我在你 [肚] 里？”		《五灯会元》__宋
94	火头曰：“某甲不吃粥 [肚] 饥，所以欢喜。”		《五灯会元》__宋
95	只闻 [肚] 里饱膨☆，更不东西去持钵。”		《五灯会元》__宋
96	师曰：“脚在 [肚] 下。”		《五灯会元》__宋
97	 [肚] 无偏僻病，不怕冷油☆。”		《五灯会元》__宋
98	土贡：丝葛，丝绵，八蚕丝，绯绫，布，白角簟，草席、奚，大小香秔、柑、橘、藕、鲻皮、魬、昔、鸭胞、 [肚] 鱼、鱼子、白石脂、蛇粟。		《新唐书》__宋
99	若休粮者，即不限此数， [肚] 空即咽内气，咽内气常满，自无饥渴。		《云笈七签》__宋
100	吹属肾，肾主耳，腰 [肚] 冷，阳道衰，以吹字炁理之。		《云笈七签》__宋
101	必须数数逐却粪，令 [肚] 空，其气在内，即得安稳。		《云笈七签》__宋
102	 [肚] 高即胀满，大都三下、两下，取卧者自料量，看气出极即闭之，勿取入息。		《云笈七签》__宋
103	答曰：自肠中先有滞结，所为不须忍，觉欲出即放令出， [肚] 中即不鸣。		《云笈七签》__宋
104	齿为罗千，故摄牙齿，是为太仓两明童太仓， [肚] 府。		《云笈七签》__宋
105	此明童谓 [肚] 神，神名混康，坐在金台城九重注念存思，神状当然，方圆一寸命门中即黄庭之中，丹田之所也，主调百谷五味香口中滋味，脾磨之所致也，辟却虚羸无病伤内指事也。		《云笈七签》__宋
106	若入 [肚] ，即觉作声，以饱为度，饥即更咽。		《云笈七签》__宋
107	圣人固不在说，但颜子得圣人说一句，直是倾肠倒 [肚] ，便都了；更无许多廉纤缠绕，丝来线去。”		《朱子语类》__宋
108	太仓， [肚] 府也，耽养灵根不复枯脾为黄庭，人命之根本。		《云笈七签》__宋
109	盖论语中言语，真能穷究极其纤悉，无不透彻，如从孔子 [肚] 里穿过，孔子肝肺尽知了，岂不是孔子！		《朱子语类》__宋
110	七篇中言语，真能穷究透彻无一不尽，如从孟子 [肚] 里穿过，孟子肝肺尽知了，岂不是孟子！		《朱子语类》__宋
111	只要日日熟读，须教它在吾 [肚] 中先千百转，便自然纯熟。		《朱子语类》__宋
112	冷热虽殊，俱至明目镇心，安魂定魄，实五脏，坚肌肤，除心烦，去黑子，疗热风，皮肤中气风，癫痫惊悸恍惚，恶疮瘑疽疥痒，胸膈中气塞，不能化食，诸下部恶病，阴脱 [肚] ，蛲虫五痔，皆悉主之。		《云笈七签》__宋
113	若口里说庄敬， [肚] 里自慢忽，口里说诚实， [肚] 里自狡伪，则所接事物还似无一般。		《朱子语类》__宋
114	讱，是说持守得那心定後，说出来自是有斟酌，恰似 [肚] 里先商量了方说底模样。		《朱子语类》__宋
115	明道 [肚] 里有一条梁，不知今人有几条梁柱在 [肚] 里。		《朱子语类》__宋
116	如人 [肚] 脏有许多事，如何见得！		《朱子语类》__宋
117	又如吃饭，不吃在 [肚] 里，却向上家讨一碗来比，下家讨一碗来比，济得甚事！		《朱子语类》__宋
118	曾点见子路冉有公西华几个所对，都要著力出来做，他 [肚] 里自觉得不足为。		《朱子语类》__宋
119	又言，此间学者多好高，只是将义理略从 [肚] 里过，却翻出许多说话。		《朱子语类》__宋
120	曰：“似这样事，孔子 [肚] 里有多，但今所载於方册上者，亦无几尔。”		《朱子语类》__宋
121	曰：“既能啜水，亦必有肠 [肚] 。		《朱子语类》__宋
122	若不融，一句在 [肚] 里，如何发得出来。		《朱子语类》__宋
123	如人吃物事，若不消，只生在 [肚] 里，如何能滋益体肤。		《朱子语类》__宋
124	’”又云：“如鱼之在水，外面水便是 [肚] 里面水。		《朱子语类》__宋
125	鱖鱼 [肚] 里水与鲤鱼 [肚] 里水，只一般。”		《朱子语类》__宋
126	须是无这册子时，许多节目次第都恁地历历落落，在自家 [肚] 里，方好。		《朱子语类》__宋
127	这曾子一个人，只恁地，他 [肚] 里却著得无限。		《朱子语类》__宋
128	毅而不弘，如胡氏门人，都恁地撑肠拄 [肚] ，少间都没顿著处。		《朱子语类》__宋
129	如吃物事相似：将甚么杂物事，不是时节，一顿都吃了，便被他撑肠拄 [肚] ，没奈何他。		《朱子语类》__宋
130	其初只是吝，积蓄得这个物事在 [肚] 里无柰何，只见我做大，便要陵人，只此是骄。		《朱子语类》__宋
131	如水中鱼， [肚] 中水便只是外面水。”		《朱子语类》__宋
132	如今学者先要把个“勿忘，勿助长”来安排在 [肚] 里了做工夫，却不得。		《朱子语类》__宋
133	一身在天里行，如鱼在水里，满 [肚] 里都是水。		《朱子语类》__宋
134	首蹄肝肺心肠 [肚] 尾肾等，每件逐位皆均有。		《朱子语类》__宋
135	但颜子得圣人说一句，直是倾肠倒 [肚] ，便都了，更无许多廉纤缠扰，丝来线去。”		《朱子语类》__宋
136	曰：“如此只就上面说，又须自家 [肚] 里实理会得，始得。		《朱子语类》__宋
137	只要日日熟读，须教他在吾 [肚] 中转作千百回，便自然纯熟。		《朱子语类》__宋
138	知县将两人光景，一一看在 [肚] 里了。		《初刻拍案惊奇》__元明
139	我只要借他 [肚] 里生下的要紧，这不当是‘借瓮酿酒’？”		《初刻拍案惊奇》__元明
140	富翁一眼估定这小娘子，恨不得寻口水来吞他下 [肚] 去，那里还管炉火的青红皂白？		《初刻拍案惊奇》__元明
141	那问的人揭开长衣，露出那兜罗锦红裹 [肚] 来，一手摸出银钱一个来，道：“买一个尝尝。”		《初刻拍案惊奇》__元明
142	又伸手到裹 [肚] 里，摸出十个银钱来，说：“我要买十个进奉去。”		《初刻拍案惊奇》__元明
143	 [肚] 里又饥，心下疑惑，两个儿子走进灶下看时，清灰冷火，全不象个做亲的人家。		《初刻拍案惊奇》__元明
144	弄得魏撰之满 [肚] 疑心，胡猜乱想。		《二刻拍案惊奇》__元明
145	 [肚] 中饥饿时，厨中有糕饼，灶下有见成米饭，食物多有，随你权宜吃用。		《二刻拍案惊奇》__元明
146	这个东西，我们 [肚] 中虽晓得，知他几时蜕下？		《初刻拍案惊奇》__元明
147	酒店里的壶，多是 [肚] 宽颈窄的，懒龙在上边把一口气从竹管里吹出去，那猪脬在壶内涨将开来，已满壶中。		《二刻拍案惊奇》__元明
148	此时直生已写完了帐，走将出来道：“晚间的事，多在小生 [肚] 里。”		《二刻拍案惊奇》__元明
149	懒龙听在 [肚] 里，既往无锡地方，晚间潜入官舍中，观看动静。		《二刻拍案惊奇》__元明
150	别着一 [肚] 闷气，又上床睡去了。		《初刻拍案惊奇》__元明
151	看那窗前时满地尿屎，桶也倒了， [肚] 里又气，又忍不住好笑。		《初刻拍案惊奇》__元明
152	将银子紧缚裹 [肚] 内，紥在腰间，肩上挂一张弓，衣外跨一把刀，两膝下藏矢二十簇。		《初刻拍案惊奇》__元明
153	吴氏只好 [肚] 里恨，却说他不过。		《初刻拍案惊奇》__元明
154	那轿走得快，达生终是年纪小，赶不上，又 [肚] 里要出恭，他心里道：“前面不过家去的路，料无别事，也不必跟随得。”		《初刻拍案惊奇》__元明
155	智圆苦在 [肚] 里，说不出，只得随了老和尚拿着锹镢，背到后园中埋下了。		《初刻拍案惊奇》__元明
156	不知那里访问在 [肚] 里的，怎好把此话回得他？”		《二刻拍案惊奇》__元明
157	宣教三杯酒落 [肚] ，这点热团团兴儿直从脚跟下冒出天庭来，那里按纳得住？		《二刻拍案惊奇》__元明
158	众人说：“我们被活鬼弄这一日， [肚] 里也饥了。		《初刻拍案惊奇》__元明
159	赛儿对正寅说：“两个人被缚在柱子上一日了， [肚] 里饥，趁众人在堂前，我拿些点心，下饭与他吃。		《初刻拍案惊奇》__元明
160	赛儿叫人答应说：“我们走了一夜，才到得这里， [肚] 饥了，如何不进城去寻些吃？”		《初刻拍案惊奇》__元明
161	 [肚] 里思量道：“殷家公子在此留饭，我为父的也不值得带挈一带挈？		《初刻拍案惊奇》__元明
162	定睛一想，想那饮食笑语，以及交合之状、盟誓之言，历历有据，绝非是梦寐之境， [肚] 里又喜又疑。		《二刻拍案惊奇》__元明
163	晓得敕牒还在，家物犹存，只有妻子没查下落处，连强盗 [肚] 里也不知去向了，真个是渺茫的事。		《初刻拍案惊奇》__元明
164	却说杨化与于大郊到鳌山集上，看了一回，觉得有些 [肚] 饥了，对大郊道：“咱们到酒店上呷碗烧刀子去。”		《初刻拍案惊奇》__元明
165	兴娘 [肚] 里，一心专盼崔生来到，再没有二三的意思。		《初刻拍案惊奇》__元明
166	我们不与他饭吃了，想是 [肚] 中饥饿，故此啼哭。”		《二刻拍案惊奇》__元明
167	兴娘 [肚] 里，一心专盼崔生来到，再没有二三的意思，虽是亏得防御有正经，却看见母亲说起激聒，便暗地恨命自哭。		《二刻拍案惊奇》__元明
168	身上无衣， [肚] 里无食，来这里避一避。”		《初刻拍案惊奇》__元明
169	几杯酒下 [肚] ，一个个多兴热如火，不管三七二十一，一把推士人在床上了，齐攒入帐中，脱裤的脱裤，抱腰的抱腰，不知怎的一个轮法，排头弄将过来。		《二刻拍案惊奇》__元明
170	三杯酒下 [肚] ，欲心如火，偎偎抱抱，共入鸳帷，两人之乐不可名状。		《二刻拍案惊奇》__元明
171	大姓大声叱他道：“人有贵贱，年有老少，贵贱非伦，老少不偶，也不 [肚] 里想一想，敢来唐突，戏弄吾家！		《初刻拍案惊奇》__元明
172	大姓叫闭了门，夫妻二人气得个惹胸塞 [肚] ，两相埋怨道：“只为女儿不受得人聘，受此大辱。”		《初刻拍案惊奇》__元明
173	 [肚] 里展转了几番，却就变起卦来。		《二刻拍案惊奇》__元明
174	看官你道此时缪千户 [肚] 里，岂是忘记了当初借银之时，并不曾有文券的？		《二刻拍案惊奇》__元明
175	岂知太尉有心，从墙头上见了任生，已瞧科了九分在 [肚] 里。		《二刻拍案惊奇》__元明
176	 [肚] 里饥又饥，渴又渴，腿脚又酸，走不动了。		《二刻拍案惊奇》__元明
177	看那小 [肚] 之下，结起一个大疤，这一条行淫之具，已丢向东洋大海里去了。		《二刻拍案惊奇》__元明
178	如此三日夜，毕竟下不得手， [肚] 中饿得难堪。		《二刻拍案惊奇》__元明
179	新妇果然有些心腹之疾，家里常医的，因告诉丈夫，被贼人记在 [肚] 里。		《二刻拍案惊奇》__元明
180	虽是贾闰娘有这个孙郎在 [肚] 里，只好空自咽唾。		《二刻拍案惊奇》__元明
181	世名打听在 [肚] 里，晓得在蝴蝶山下经过，先伏在那边僻处了。		《二刻拍案惊奇》__元明
182	起初还只道是病，看看 [肚] 里动将起来，晓得是有胎了。		《二刻拍案惊奇》__元明
183	我一时高兴，与他弄一个在 [肚] 里了。		《二刻拍案惊奇》__元明
184	争奈膝生看得痴了，恨不得寻口冷水，连衣服都吞他的 [肚] 里去。		《初刻拍案惊奇》__元明
185	〔卜儿云〕我思量些羊 [肚] 儿汤吃。		《窦娥冤》__元明
186	〔孛老云〕孩儿，你对窦娥说，做些羊 [肚] 儿汤与婆婆吃。		《窦娥冤》__元明
187	〔张驴儿向古门云〕窦娥，婆婆想羊 [肚] 儿汤吃，快安排将来。		《窦娥冤》__元明
188	有俺婆婆不快，想羊 [肚] 汤吃，我亲自安排了与婆婆吃去。		《窦娥冤》__元明
189	〔云〕婆婆，羊 [肚] 儿汤做成了，你吃些儿波。		《窦娥冤》__元明
190	〔孛老云〕孩儿，羊 [肚] 汤有了不曾？		《窦娥冤》__元明
191	〔张驴儿云〕小人是原告张驴儿，告这媳妇儿，唤做窦娥，合毒药下在羊 [肚] 汤儿里，药死了俺的老子。		《窦娥冤》__元明
192	适值我婆婆患病，着小妇人安排羊 [肚] 汤儿吃。		《窦娥冤》__元明
193	〔正旦云〕婆婆，那张驴儿把毒药放在羊 [肚] 儿汤里，实指望药死了你，要霸占我为妻。		《窦娥冤》__元明
194	说道一向仰慕姐姐芳名，故此连侍女名字多打听在 [肚] 里的。		《二刻拍案惊奇》__元明
195	巫娘子道：“不瞒师父说， [肚] 里实是饥了。		《初刻拍案惊奇》__元明
196	巫娘子已此饿得 [肚] 转肠鸣了。		《初刻拍案惊奇》__元明
197	此时 [肚] 里也有些饿了，想寻些什么东西吃吃。		《二刻拍案惊奇》__元明
198	春花道：“大娘睡了，我 [肚] 里也饿，先吃了大娘剩的糕，后到小师父房里吃茶。		《初刻拍案惊奇》__元明
199	汪秀才把假妆新任、拜他赚他的话，备细说了一遍，道：“多在尊使 [肚] 里，小生也仗尊使之力不浅。”		《二刻拍案惊奇》__元明
200	乏物相款， [肚] 里饥了怎好？”		《二刻拍案惊奇》__元明
201	老翁看见是糕， [肚] 里本等又是饿了，只得取来吞嚼。		《二刻拍案惊奇》__元明
202	想道：“长安虽好，不是久恋之家，趁 [肚] 里不饿了，走回去罢。”		《二刻拍案惊奇》__元明
203	却有一等痴心的人，听了方士之言，指望炼那长生不死之药，死砒死汞，弄那金石之毒到了 [肚] 里，一发不可复救。		《二刻拍案惊奇》__元明
204	多在我老人家 [肚] 里。		《初刻拍案惊奇》__元明
205	只有春花 [肚] 里明白，怀着鬼胎，不敢则声，眼〓〓便做这个玄玄子悔气不着也罢。		《二刻拍案惊奇》__元明
206	父母见他如此，商量索性送他到学堂去，等他多读些在 [肚] 里，做个不带冠的秀才。		《二刻拍案惊奇》__元明
207	彼此心照，眼泪从 [肚] 里落下罢了。		《二刻拍案惊奇》__元明
208	句句像我 [肚] 里要说的话。		《二刻拍案惊奇》__元明
209	那玉霜小姐满 [肚] 愁烦，她哪里还有心肠看什么龙舟，便回道：“小师父，你自去看吧，我不耐烦去看。”		《粉妆楼》__元明
210	那孩儿吃下丹药， [肚] 中一阵乱响，响了一会，叹了一口气，说道：“快活，快活。”		《粉妆楼》__元明
211	身逍遥，心自在；不操戈，不弄怪；万事忙忙付 [肚] 外。		《封神演义》__元明
212	翰林道：“我也有个人在 [肚] 里，正少个说合的，师父来得正好。		《二刻拍案惊奇》__元明
213	因贪赶兔儿，路来得远了， [肚] 中有些饥饿起来，四围一看，山明水秀，光景甚好，可惜是上荒野去处，并无酒店饭店。		《二刻拍案惊奇》__元明
214	公子道：“老丈有甚么好人家在 [肚] 里么？”		《二刻拍案惊奇》__元明
215	公子逃去两日，东不着边，西不着际， [肚] 里又饿不过。		《二刻拍案惊奇》__元明
