语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：肤
2023/1/20 15:13:53

序号	语句	书名	朝代
1	六五，悔亡，厥宗噬 [肤] ，往何咎？		《周易》__周
2	噬 [肤] ，言易合。		《周易》__周
3	《象》曰：“厥宗噬 [肤] ”，往有庆也。		《周易》__周
4	短毋见 [肤] ，长毋被土。		《礼记》__春秋战国
5	九四，臀无 [肤] ，其行次且；牵羊悔亡，闻言不信。		《周易》__周
6	脱衣就功，首戴茅蒲，身衣☆☆沾体途足，暴其发 [肤] ，尽其四支之敏，以从事于田野。		《国语》__春秋战国
7	九三，臀无 [肤] ，其行次且，厉，无大咎。		《周易》__周
8	今汝聒聒，起信险 [肤] ，予弗知乃所讼。		《尚书》__周
9	段修，氐醢，脯羹，兔醢，麋 [肤] ，鱼醢，鱼脍，芥 酱，麋腥，醢，酱，桃诸，梅诸，卵盐。		《礼记》__春秋战国
10	有侵苦肌 [肤]  获万金者，若为之乎？”		《列子》__春秋战国
11	孟孙阳曰：“一毛微于肌 [肤] ，肌 [肤] 微于一节，省矣。		《列子》__春秋战国
12	然 则积一毛以成肌 [肤] ，积肌 [肤] 以成一节。		《列子》__春秋战国
13	人者，爪牙不足 以供守卫，肌 [肤] 不足以自捍御，趋走不足以从利逃害，无毛羽以御寒暑，必将资 物以为养，任智而不恃力。		《列子》__春秋战国
14	一曰：凡人之性，爪牙不足以自守卫，肌 [肤] 不足以捍寒暑，筋骨不足以从利辟害，勇敢不足以却猛禁悍。		《吕氏春秋》__春秋战国
15	其上世之士，衣不暖 [肤] ，食不满肠，苦其志意，劳其四肢，伤其五脏，而益裕广耳，非性之常也，而为之者，名也。		《商君书》__春秋战国
16	肌 [肤] 欲其比也，血脉欲其通也，筋骨欲其固也，心志欲其和也，精气欲其行也。		《吕氏春秋》__春秋战国
17	且蚊蚋替 [肤] ， 虎狼食肉，非天本为蚊蚋生人、虎狼生肉者哉？”		《列子》__春秋战国
18	沐浴神氵粪， [肤] 色脂泽，香气经旬乃歇。		《列子》__春秋战国
19	手如柔荑， [肤] 如凝脂，领如蝤蛴，齿如瓠犀，螓首蛾眉，巧笑倩兮，美目盼兮。		《诗经》__周
20	亦如人自世至老，貌色智态，亡日 不异；皮 [肤] 爪发，随世随落，非婴孩时有停而不易也。		《列子》__春秋战国
21	子曰：“浸润之谮， [肤] 受之愬，不行焉，可谓明也已矣。		《论语》__春秋战国
22	浸润之谮， [肤] 受之愬，不行焉，可谓远也已矣。”		《论语》__春秋战国
23	孟氏使阳 [肤] 为士师，问于曾子。		《论语》__春秋战国
24	中央曰土土德实辅四时入出以风雨节土益力土生皮肌 [肤] 其德和平用均中正无私实辅四时春赢育夏养长秋聚收冬闭藏大塞乃极国家乃昌四方乃服此谓岁德，		《管子》__春秋战国
25	故知知一，则可动作当务，与时周旋，不可极也；举错以数，取与遵理，不可惑也；言无遗者，集肌 [肤] ，不可革也。		《吕氏春秋》__春秋战国
26	乐之有情，譬之若肌 [肤] 形体之有情性也。		《吕氏春秋》__春秋战国
27	薄伐犭严狁，以奏 [肤] 公。		《诗经》__周
28	其藏於民心，捷於肌 [肤] 也，深痛执固，不可摇荡，物莫之能动。		《吕氏春秋》__春秋战国
29	六二，噬 [肤] 灭鼻，无咎。		《周易》__周
30	《象》曰：“噬 [肤] 灭鼻”，乘刚也。		《周易》__周
31	六四：剥床以 [肤] ，凶。		《周易》__周
32	无尺寸之 [肤] 不爱焉，则无尽寸之 [肤] 不养也。		《孟子》__春秋战国
33	《象》曰：“剥床以 [肤] ”，切近灾也。		《周易》__周
34	饮食之人无有失也，则口腹岂适为尺寸之 [肤] 哉？”		《孟子》__春秋战国
35	故天将降大任于是人也，必先若其心志，劳其筋骨，饿其体 [肤] ，空乏其身，行拂乱其所为，所以动心忍性，曾益其所不能。		《孟子》__春秋战国
36	北宫黝之养勇也：不 [肤] 桡，不目逃，思以一豪挫于人，若挞之于市朝，不受于褐宽博，亦不受于万乘之君；视刺万乘之君，若刺褐夫；无严诸侯，恶声至，必反之。		《孟子》__春秋战国
37	厥宗噬 [肤] ，往何咎？		《周易》__周
38	《象》曰：“厥宗噬 [肤] ”，往有庆也。		《周易》__周
39	殷士 [肤] 敏，裸将于京。		《孟子》__春秋战国
40	九四，臀无 [肤] ，其行次且。		《周易》__周
41	九三，臀无 [肤] ，其行次且，厉，无大咎。		《周易》__周
42	殷士 [肤] 敏。		《诗经》__周
43	景公之嬖妾婴子死，公守之，三日不食， [肤] 著于席不去，左右以复，而君无听焉。		《晏子春秋》__春秋战国
44	公孙硕 [肤] ，赤舄几几。		《诗经》__周
45	牛、羊、豕、鱼、腊，肠、胃同鼎， [肤] 、鲜鱼、鲜腊，设扃鼏。		《仪礼》__春秋战国
46	且比化者无使土亲 [肤] ，于人心独无恔乎？		《孟子》__春秋战国
47	乃燅尸俎，卒燅，乃升羊、豕、鱼三鼎，无腊与 [肤] ，乃设扃鼏，陈鼎于门外，如初。		《仪礼》__春秋战国
48	司士朼豕，亦司士载，亦右体：肩、臂、肫、胳、臑，正脊一、脡脊一、横脊一，短胁一、正胁一、代胁一， [肤] 五、哜肺一，载于一俎。		《仪礼》__春秋战国
49	侑俎：豕左肩折、正脊一、胁一、 [肤] 三、切肺一，载于一俎。		《仪礼》__春秋战国
50	豕脀：臂一、脊一、胁一、 [肤] 三、哜肺一，载于一俎。		《仪礼》__春秋战国
51	主妇俎：羊左臑、脊一、胁一、肠一、胃一、 [肤] 一、哜羊肺一，载于一俎。		《仪礼》__春秋战国
52	司士俎于豆北，羊胳一，肠一，胃一，切肺一， [肤] 一。		《仪礼》__春秋战国
53	其先生之脀，折，胁一， [肤] 一。		《仪礼》__春秋战国
54	佐食设俎，臂、脊、胁、肺皆牢， [肤] 三，鱼一，腊臂。		《仪礼》__春秋战国
55	佐食设俎于豆东，羊臑，豕折，羊脊、胁，祭肺一， [肤] 一，鱼一，腊臑。		《仪礼》__春秋战国
56	雍人伦 [肤] 九，实于一鼎。		《仪礼》__春秋战国
57	陈鼎于东方，当序，南于洗西，皆西面，北上， [肤] 为下。		《仪礼》__春秋战国
58	司士三人，升鱼、腊、 [肤] 。		《仪礼》__春秋战国
59	 [肤] 九而俎，亦横载，革顺。		《仪礼》__春秋战国
60	佐食上利执羊俎，下利执豕俎，司士三人执鱼，腊、 [肤] 俎，序升自西阶，相，従入。		《仪礼》__春秋战国
61	设俎，羊在豆东，豕亚其北，鱼在羊东，腊在豕东，特 [肤] 当俎北端。		《仪礼》__春秋战国
62	主人羞肵俎，升自阼阶，置于 [肤] 北。		《仪礼》__春秋战国
63	佐食设俎，牢髀，横脊一、短胁一、肠一、胃一、 [肤] 三，鱼一横之，腊两髀属于尻。		《仪礼》__春秋战国
