语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：育
2022/7/10 23:16:33

序号	语句	书名	朝代
1	今日南面，百邪自正，而天下皆反其情，黔首毕乐其志，安 [育] 其性，而莫为不成。		《吕氏春秋》__春秋战国
2	谷，余六反，音 [育] 。		《周易》__周
3	乃有不吉不迪，颠越不恭，暂遇奸宄，我乃劓殄灭之，无遗 [育] ，无俾易种于兹新邑。		《尚书》__周
4	九三，鸿渐于陆，夫征不复，妇孕不 [育] ，凶，利御寇。		《周易》__周
5	而其占夫征则不复，妇孕则不 [育] ，凶莫甚焉。		《周易》__周
6	妇孕不 [育] ”，失其道也。		《周易》__周
7	至其情所欲好，耳所欲听，目所欲视，口 所欲尝，虽殊方偏国，非齐土之所产 [育] 者，无不必致之；犹藩墙之物也。		《列子》__春秋战国
8	阴阳常调，日月常明，四时常若，风雨常均，字 [育] 常时， 年谷常丰；而土无札伤，人无夭恶，物无疵厉，鬼无灵响焉。		《列子》__春秋战国
9	犬马非其土性不畜，珍禽奇兽不 [育] 于国，不宝远物，则远人格；所宝惟贤，则迩人安。		《尚书》__周
10	时雨降，则草木 [育] 矣。		《吕氏春秋》__春秋战国
11	雪霜雨露时，则万物 [育] 矣，人民修矣，疾病妖厉去矣。		《吕氏春秋》__春秋战国
12	长之 [育] 之。		《老子》__春秋战国
13	故養長時，則六畜 [育] ；殺生時，則草木殖；政令時，則百姓一，賢良服。		《荀子》__春秋战国
14	泽其四经而 [育] 学者是亡其身者也，		《管子》__春秋战国
15	定宗庙 [育] 男女官四分则可以立威行德制法仪出号令，		《管子》__春秋战国
16	吾盗天地之时利，云雨之滂润，山泽之产 [育] ，以生吾 禾，殖吾稼，筑吾垣，建吾舍，陆盗禽兽，水盗鱼鳖，亡非盗也。		《列子》__春秋战国
17	抚我畜我，长我 [育] 我，顾我复我，出入腹我。		《诗经》__周
18	乃以其天材地利之所生养其人以 [育] 六畜，		《管子》__春秋战国
19	浩浩者水 [育]  [育] 者鱼未有室家而安召我居宁子其欲室乎仲以其言告桓公，		《管子》__春秋战国
20	中央曰土土德实辅四时入出以风雨节土益力土生皮肌肤其德和平用均中正无私实辅四时春赢 [育] 夏养长秋聚收冬闭藏大塞乃极国家乃昌四方乃服此谓岁德，		《管子》__春秋战国
21	天地讠斤合，阴阳相得，煦妪覆 [育] 万物，然后草 木茂，区萌达，羽翼奋，角生，蛰虫昭苏，羽者妪伏，毛者孕鬻，胎生 者不卖，而卵生者不血，则乐之道归焉耳。		《礼记》__春秋战国
22	君子以果行 [育] 德。		《周易》__周
23	动己而天地应焉，四时和焉， 星辰理焉，万物 [育] 焉。		《礼记》__春秋战国
24	定百事，立百官， [育] 门子，选贤良，兴旧族，出滞赏，毕故刑，赦囚系，宥间罪，荐积德，逮鳏寡，振废淹，养老幼，恤孤疾，年过七十，公亲见之，称曰王父，敢不承。		《国语》__春秋战国
25	至于今不 [育] ，其子不可不兴也。”		《国语》__春秋战国
26	君子以振民 [育] 德。		《周易》__周
27	举善援能，官方定物，正名 [育] 类。		《国语》__春秋战国
28	先王以茂对时 [育] 万物。		《周易》__周
29	“其后，三苗复九黎之德，尧复 [育] 重黎之后，不忘旧者，使复典之。		《国语》__春秋战国
30	致中和，天地位焉，万物 [育] 焉。		《礼记》__春秋战国
