语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：胡
2022/7/10 22:57:01

序号	语句	书名	朝代
1	狐突叹曰：“以☆衣纯，而☆之以金铣者，寒之甚矣， [胡] 可恃也？		《国语》__春秋战国
2	弧，音 [胡] 。		《周易》__周
3	絜， [胡] 结反。		《大学中庸》__春秋战国
4	然 [胡] 不赏使家君试用家君发宪布令其家。		《墨子》__春秋战国
5	恒， [胡] 登反。		《大学中庸》__春秋战国
6	其所以亡于燕代 [胡] 貊之闻者。		《墨子》__春秋战国
7	大桡作甲子，黔如作虏首，容成作历，羲和作占日，尚仪作占月，后益作占岁， [胡] 曹作衣，夷羿作弓，祝融作市，仪狄作酒，高元作室，虞姁作舟，伯益作井，赤冀作臼，乘雅作驾，寒哀作御，王冰作服牛，史皇作图，巫彭作医，巫咸作筮。		《吕氏春秋》__春秋战国
8	先王欲昭其令德之致远也，以示后人，使永监焉，故铭其☆曰‘肃慎氏之贡矢’，以分大姬，配虞 [胡] 公而封诸陈。		《国语》__春秋战国
9	 [胡] 不察尚贤为政之本也。		《墨子》__春秋战国
10	’尔今曰：‘ [胡] 不自安。		《国语》__春秋战国
11	王曰：“ [胡] 不设不谷矣？”		《吕氏春秋》__春秋战国
12	孔子曰：“ [胡] 为不可？		《吕氏春秋》__春秋战国
13	子 [胡] 不尚考之乎商周虞夏之记。		《墨子》__春秋战国
14	然 [胡] 不尝考之百姓之情。		《墨子》__春秋战国
15	然则 [胡] 不尝考之诸候之传言流语乎。		《墨子》__春秋战国
16	然 [胡] 不尝考之圣王之事。		《墨子》__春秋战国
17	’ [胡] 不使大夫将卫士而卫冢乎？”		《榖梁传》__春秋战国
18	行头皆官师，拥铎拱稽，建肥 [胡] ，奉文犀之渠。		《国语》__春秋战国
19	路说曰：“公欲之，则 [胡] 不为从矣？”		《吕氏春秋》__春秋战国
20	王若曰：“小子 [胡] ，惟尔率德改行，克慎厥猷，肆予命尔侯于东土。		《尚书》__周
21	小子 [胡] ，汝往哉！		《尚书》__周
22	吾子 [胡] 不位之？		《吕氏春秋》__春秋战国
23	弗虑 [胡] 获？		《尚书》__周
24	弗为 [胡] 成？		《尚书》__周
25	 [胡] 氏、程氏皆云：“‘陆’当作‘逵’，谓云路也。”		《周易》__周
26	名 [胡] 可去？		《列子》__春秋战国
27	名 [胡] 可宾？		《列子》__春秋战国
28	昔者郑武公欲伐 [胡] ，故先以其女妻 [胡] 君以娱其意。		《韩非子》__春秋战国
29	大夫关其思对曰：“ [胡] 可伐。”		《韩非子》__春秋战国
30	武公怒而戮之，曰：“ [胡] ，兄弟之国也。		《韩非子》__春秋战国
31	 [胡] 君闻之，以郑为亲己，遂不备郑。		《韩非子》__春秋战国
32	郑人袭 [胡] ，取之。		《韩非子》__春秋战国
33	將有所止之，則千里雖遠，亦或遲、或速、或先、或後， [胡] 為乎其不可以相及也！		《荀子》__春秋战国
34	彼止而待我，我行而就之，則亦或遲、或速、或先、或後， [胡] 為乎其不可以同至也！		《荀子》__春秋战国
35	和， [胡] 卧反。		《周易》__周
36	杨朱歌曰：“天其弗识，人  [胡] 能觉？		《列子》__春秋战国
37	魏文侯过段干木之闾而轼之，其仆曰：“君 [胡] 为轼？”		《吕氏春秋》__春秋战国
38	二月辛丑，楚子灭 [胡] ，以 [胡] 子豹归。		《榖梁传》__春秋战国
39	 [胡] 然我念之！		《诗经》__周
40	 [胡] 为而食我？		《列子》__春秋战国
41	和， [胡] 卧反。		《周易》__周
