语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：脂
2023/1/20 15:18:37

序号	语句	书名	朝代
1	句践载稻与 [脂] 于舟以行，国之孺子之游者，无不哺之也，无不啜也，必闻其名。		《国语》__春秋战国
2	 [脂] 用葱，膏用薤，三牲用 {艹毅}，和用醯，兽用梅。		《礼记》__春秋战国
3	沐浴神氵粪，肤色 [脂] 泽，香气经旬乃歇。		《列子》__春秋战国
4	是月也，命工师令百工审五库之量，金铁、皮革筋、角齿、羽箭干、 [脂] 胶丹漆，无或不良。		《吕氏春秋》__春秋战国
5	尔之亟行，遑 [脂] 尔车。		《诗经》__周
6	祭 [脂] ，取羝以軷，载燔载烈，以兴嗣岁。		《诗经》__周
7	是月也，命工师令百工审五库之量，金铁皮革筋角齿羽箭干 [脂] 胶丹漆，无或不良。		《逸周书》__春秋战国
8	载 [脂] 载辖，还车言迈。		《诗经》__周
9	良夷在子，在子□身人首， [脂] 其腹，炙之霍，则鸣曰在子。		《逸周书》__春秋战国
10	将突梯滑稽，如 [脂] 如韦，以洁楹乎？		《楚辞》__春秋战国
11	革欲其荼白而疾，汗之则坚，欲其柔滑而腛， [脂] 之则需，引而信之。		《周礼》__春秋战国
12	天下之大兽五： [脂] 者、膏者、臝者、羽者、鳞者。		《周礼》__春秋战国
13	宗庙之事， [脂] 者膏者以为牲，臝者、羽者、鳞者以为筍虡，外骨、内骨，却行、纡行、以脰鸣者、以注鸣者、以旁鸣者、以翼鸣者、以股鸣者、以胸鸣者，谓之小虫之属，以为雕琢。		《周礼》__春秋战国
14	桑鳸，窃 [脂] 。		《尔雅》__汉
15	桑鳸，窃 [脂] 。		《尔雅》__汉
16	冰， [脂] 也。		《尔雅》__汉
17	韩信袭齐，以身 [脂] 鼎，何讷也？		《法言》__汉
18	诸侯宾至，甸设庭燎，仆人巡宫，车马有所，宾従有代，巾车 [脂] 辖，隶人牧圉，各瞻其事，百官之属，各展其物。		《左传》__春秋战国
19	下有司议，皆曰：“昌陵因卑为高，积土为山，度便房犹在平地上，客土之中不保幽冥之灵，浅外不固，卒徒工庸以巨万数，至然 [脂] 火夜作，取土东山，且与谷同贾。		《汉书》__汉
20	时则有 [脂] 夜之妖，时则有华孽，时则有牛祸，时则有心腹之疴，时则有黄眚黄祥，时则有金木水火沴土。”		《汉书》__汉
21	在人腹中，肥而包裹心者 [脂] 也，心区F178则冥晦，故有 [脂] 夜之妖。		《汉书》__汉
22	一曰，有 [脂] 物而夜为妖，若 [脂] 水夜污人衣，淫之象也。		《汉书》__汉
23	兵至牧野，晨举 [脂] 烛，奸谋惑民，权掩不备，周之所讳也，世谓之虚。		《论衡》__汉
24	以《武成》言之，食兒以丹，晨举 [脂] 烛，殆且然矣。		《论衡》__汉
25	天下以雷雨助汉威敌，孰与举 [脂] 烛以人事谲取殷哉？		《论衡》__汉
26	 [脂] 胶丹漆，无有不良。		《淮南子》__汉
27	 [脂] 胶丹漆，无有不良。		《淮南子》__汉
28	俱之火也，或烁 [脂] 烛，或燔枯草。		《论衡》__汉
29	人有多言者，犹百舌 之声；人有少言者，犹不 [脂] 之户也。		《淮南子》__汉
30	蝮蛇不可为足，虎豹不 可使缘木，马不食 [脂] ，桑扈不啄粟，非廉也。		《淮南子》__汉
31	案周取殷之时，太公《阴谋》之书，食小兒丹，教云亡殷，兵到牧野，晨举 [脂] 烛。		《论衡》__汉
32	其能力言者，文丑不好，有骨无肉， [脂] 腴不足，犯干将相指，遂取间郤。		《论衡》__汉
33	今闭暗 [脂] 塞，无所好欲，与三百倮虫何以异？		《论衡》__汉
34	母怀子气，十月而生，鼻、口、耳、目、发肤、毛理、血脉、 [脂] 腴、骨节、爪齿，自然成腹中乎？		《论衡》__汉
35	砥音 [脂] 。		《史记》__汉
36	□正义祗音 [脂] 。		《史记》__汉
37	贩 [脂] ，□正义说文云“戴角者 [脂] ，无角者膏”也。		《史记》__汉
38	田单乃收城中得千馀牛，为绛缯衣，画以五彩龙文，束兵刃於其角，而灌 [脂] 束苇於尾，烧其端。		《史记》__汉
39	○索隐豨膏，猪 [脂] 也。		《史记》__汉
40	窃不逊让，复作故事滑稽○索隐楚词云：“将突梯滑稽，如 [脂] 如韦。”		《史记》__汉
41	刘氏音 [脂] 。		《史记》__汉
42	案：地理志音 [脂] ，则苏音为得。		《史记》__汉
43	今尽收录聚之，方圆百里，上可将至天，终不 [脂] 消去灾害。		《太平经》__汉
44	今按：文称“炙毂过”，则过是器名，音如字读，谓盛 [脂] 之器名过。“		《史记》__汉
45	过”与“锅”字相近，盖即 [脂] 器也。		《史记》__汉
46	郭璞云：“似白杨，叶圆而岐，有 [脂] 而香。		《史记》__汉
47	今人之养性，或能使堕齿复生，白发更黑，肌颜光泽，如彼促 [脂] 转烛者，至寿极亦独死耳。		《新论》__汉
48	欲灯烛自尽易以不能，但促敛旁 [脂] 以染渍其头，转侧蒸干使火得安居，则皆复明焉。		《新论》__汉
49	明者知其难求，故不以自劳，愚者欺或，而冀获尽 [脂] 易烛之力，故汲汲不息。		《新论》__汉
50	余後与刘伯师夜 [脂] 火坐语，灯中 [脂] 索，而炷焦秃，将灭息，则以示晓伯师，言人衰老亦如彼秃灯矣。		《新论》__汉
51	伯师曰：「灯烛尽，当益其 [脂] ，易其烛；人老衰，亦如彼自缵。」		《新论》__汉
52	其次则含地黄煎、或含玄胆汤及蛇 [脂] 丸、矾石丸、九棘散，则已动者更牢，有虫者即愈。		《抱朴子》__魏晋六朝
