语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：脚
2023/1/20 15:20:06

序号	语句	书名	朝代
1	故文王说纣而纣囚之；翼候炙；鬼候腊，比干剖心；梅伯酸；夷吾束缚；而曹羁奔陈；伯里子道乞；传说转鬻；孙子膑 [脚] 于魏；吴起收泣于岸门，痛西河之为秦，卒枝解于楚；公叔痤言国器反为悖，公孙鞅奔秦；关龙逢斩；苌弘分胣；尹子罕于棘；司马子期死而浮于江；田明辜射；宓子贱、西门豹不斗而死人手；董安于死而陈于市；宰予不免于田常；范雎折协于魏。		《韩非子》__春秋战国
2	古之善相马者，寒风是相口齿，麻朝相颊，子女厉相目，卫忌相髭，许鄙相尻，投伐褐相胸胁，管青相膹吻，陈悲相股 [脚] ，秦牙相前，赞君相後。		《吕氏春秋》__春秋战国
3	，乳间股 [脚] ，自以为安室利处。		《庄子》__春秋战国
4	黑 [脚] ，犈，其子犊。		《尔雅》__汉
5	其秋，充国病，上赐书曰；“制诏后将军：闻苦 [脚] 胫、寒泄，将军年老加疾，一朝之变不可讳，朕甚忧之。		《汉书》__汉
6	盖西伯拘而演《周易》；仲尼厄而作《春秋》；屈原放逐，乃赋《离骚》；左丘失明，厥有《国语》，孙子膑 [脚] ，《兵法》修列；不韦迁蜀，世传《吕览》；韩非囚秦，《说难》、《孤愤》。		《汉书》__汉
7	伯夷持被掩，足跣脱，几失再三，徐以剑带击魅 [脚] ，呼下火上照视，老狸正赤，略无衣毛，持下烧杀。		《风俗通义》__汉
8	朔对曰：“臣观其BD4C齿牙，树颊胲，吐脣吻，擢项颐，结股 [脚] ，连脽尻，遗蛇其迹，行步偊旅，臣朔虽不肖，尚兼此数子者。”		《汉书》__汉
9	山崩，三川涸，飞鸟钅杀翼，走兽挤 [脚] 。		《淮南子》__汉
10	昔司马喜膑 [脚] 于宋，卒相中山；范睢拉胁折齿于魏，卒为应侯。		《汉书》__汉
11	丧不尽其哀，猎不听其乐，西老折胜，黄神啸吟，飞鸟铩翼，走兽废 [脚] ，山无峻		《淮南子》__汉
12	班以 [脚] 画地，忖留觉之，便没水。		《史记》__汉
13	演周易；孔子戹陈蔡，作春秋；屈原放逐，著离骚；左丘失明，厥有国语；孙子膑 [脚] ，而论兵法；不韦迁蜀，世传吕览；□正义即吕氏春秋也。		《史记》__汉
14	◇集解胻音衡， [脚] 胫也。		《史记》__汉
15	○索隐劭音衡，即 [脚] 胫。		《史记》__汉
16	以人鱼膏为烛，◇集解徐广曰：“人鱼似鲇，四 [脚] 。”		《史记》__汉
17	正义按：橇形如船而短小，两头微起，人曲一 [脚] ，泥上擿进，用拾泥上之物。		《史记》__汉
