语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：自
2022/11/6 16:11:04

序号	语句	书名	朝代
1	 [自] 熙宁之初、王入对。		《禅林僧宝传卷第二十七》__宋
2	 [自] 白下门、群从而归。		《禅林僧宝传卷第二十七》__宋
3	所以异者、能 [自] 护心念耳。		《禅林僧宝传卷第二十七》__宋
4	必丁宁之曰、善 [自] 护持。		《禅林僧宝传卷第二十七》__宋
5	每随缘起 [自] 禅深。		《禅林僧宝传卷第二十七》__宋
6	 [自] 奋曰、吾要以死究之。		《禅林僧宝传卷第二十七》__宋
7	何故如此、未忘法耳、如有法执、故 [自] 为断续。		《禅林僧宝传卷第二十七》__宋
8	太尉但了 [自] 心、 [自] 然无惑。		《禅林僧宝传卷第二十七》__宋
9	公亦踊跃 [自] 喜。		《禅林僧宝传卷第二十三》__宋
10	 [自] 见 [自] 肯、吾即埋没汝也。		《禅林僧宝传卷第二十三》__宋
11	以谓政不 [自] 歇去耳。		《禅林僧宝传卷第二十三》__宋
12	公能 [自] 屈、不待见南也。		《禅林僧宝传卷第二十三》__宋
13	至论肇论会万物为 [自] 已者。		《禅林僧宝传卷第二十三》__宋
14	狗有情即去、香卓无情 [自] 住。		《禅林僧宝传卷第二十三》__宋
15	何曾会万物为 [自] 已哉。		《禅林僧宝传卷第二十三》__宋
16	门外春来草 [自] 青。		《禅林僧宝传卷第二十三》__宋
17	其食要在 [自] 巳亲尝。		《禅林僧宝传卷第二十三》__宋
18	既 [自] 亲尝、便能了知其味。		《禅林僧宝传卷第二十三》__宋
19	真性既因文字而显、要在 [自] 已亲见。		《禅林僧宝传卷第二十三》__宋
20	认此见闻觉知、为 [自] 所见。		《禅林僧宝传卷第二十三》__宋
21	 [自] 为主客、而发奥义者数矣。		《禅林僧宝传卷第二十三》__宋
22	师幡然 [自] 失、谓其伴曰。		《禅林僧宝传卷第二十三》__宋
23	 [自] 是门下号伟异博大者、见之詟缩。		《禅林僧宝传卷第二十三》__宋
24	学者 [自] 远而至。		《禅林僧宝传卷第二十三》__宋
25	甘 [自] 放於万壑千岩之间。		《禅林僧宝传卷第二十三》__宋
26	泰 [自] 陈、怯弱惧失所受事。		《禅林僧宝传卷第二十四》__宋
27	乃甘 [自] 破坏乎。		《禅林僧宝传卷第二十四》__宋
28	引云门赵州、以 [自] 较渠。		《禅林僧宝传卷第二十四》__宋
29	及南公 [自] 石门、而迁黄蘖积翠。		《禅林僧宝传卷第二十四》__宋
30	 [自] 积翠而迁黄龙。		《禅林僧宝传卷第二十四》__宋
31	宝觉举总 [自] 代。		《禅林僧宝传卷第二十四》__宋
32	聪明泉者、适 [自] 涸矣。		《禅林僧宝传卷第二十四》__宋
33	放参罢、喆 [自] 役作使。		《禅林僧宝传卷第二十五》__宋
34	喆曰、僧佛祖所 [自] 出。		《禅林僧宝传卷第二十五》__宋
35	 [自] 其分座接纳、至终未尝换机。		《禅林僧宝传卷第二十五》__宋
36	智辩 [自] 将、气出流辈。		《禅林僧宝传卷第二十五》__宋
37	佑 [自] 锄弃诸江曰。		《禅林僧宝传卷第二十五》__宋
38	雅 [自] 称王佑上座云。		《禅林僧宝传卷第二十五》__宋
39	所至 [自] 处、罕与人接。		《禅林僧宝传卷第二十五》__宋
40	闲 [自] 翠岩来上谒。		《禅林僧宝传卷第二十五》__宋
41	而沉伫想、 [自] 起现行。		《禅林僧宝传卷第二十五》__宋
42	百年终须 [自] 坏、一任天下卜度归。		《禅林僧宝传卷第二十五》__宋
43	佛法盛衰、 [自] 今日始也。		《禅林僧宝传卷第二十五》__宋
