语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：至
2022/11/6 15:38:20

序号	语句	书名	朝代
1	 [至] 中夜而化。		《禅林僧宝传卷第二十七》__宋
2	 [至] 石霜、谒慈明禅师。		《禅林僧宝传卷第二十七》__宋
3	遂大用 [至] 真拜。		《禅林僧宝传卷第二十七》__宋
4	元曰、 [至] 美不华、 [至] 言不烦。		《禅林僧宝传卷第二十七》__宋
5	舟 [至] 石头、夜造山拜坟。		《禅林僧宝传卷第二十七》__宋
6	 [至] 石门、谒聪禅师。		《禅林僧宝传卷第二十七》__宋
7	聪曰、借其妙 [至] 是。		《禅林僧宝传卷第二十七》__宋
8	 [至] 祖意、颖曰。		《禅林僧宝传卷第二十七》__宋
9	公 [至] 黄蘖四年、知有而机不发。		《禅林僧宝传卷第二十三》__宋
10	试阅传灯、 [至] 僧问多福禅师曰。		《禅林僧宝传卷第二十三》__宋
11	吾 [至] 江西、恨未识南公。		《禅林僧宝传卷第二十三》__宋
12	 [至] 论肇论会万物为自已者。		《禅林僧宝传卷第二十三》__宋
13	公 [至] 长沙、师直愿受法训。		《禅林僧宝传卷第二十三》__宋
14	幼孤、事後母 [至] 孝。		《禅林僧宝传卷第二十三》__宋
15	 [至] 复州北塔、闻耆宿广公说法。		《禅林僧宝传卷第二十三》__宋
16	所 [至] 辩论倾其坐。		《禅林僧宝传卷第二十三》__宋
17	熙宁五年、 [至] 高安。		《禅林僧宝传卷第二十三》__宋
18	谢事东游三吴、 [至] 金陵。		《禅林僧宝传卷第二十三》__宋
19	闻师 [至] 、倒屣出迎。		《禅林僧宝传卷第二十三》__宋
20	学者自远而 [至] 。		《禅林僧宝传卷第二十三》__宋
21	 [至] 献名于天子。		《禅林僧宝传卷第二十三》__宋
22	 [至] 淮上、所 [至] 禅林。		《禅林僧宝传卷第二十四》__宋
23	初 [至] 吉州禾山、依禅智材公。		《禅林僧宝传卷第二十四》__宋
24	闻南禅师之风、辞材 [至] 归宗。		《禅林僧宝传卷第二十四》__宋
25	 [至] 东林、总大钟横撞。		《禅林僧宝传卷第二十四》__宋
26	所 [至] 犯众怒、非笑之。		《禅林僧宝传卷第二十五》__宋
27	初犹浴、 [至] 老不浴者十馀年。		《禅林僧宝传卷第二十五》__宋
28	喆受诏欣然、俱数衲子 [至] 。		《禅林僧宝传卷第二十五》__宋
29	解包之日、倾都来观、 [至] 谓一佛出世。		《禅林僧宝传卷第二十五》__宋
30	自其分座接纳、 [至] 终未尝换机。		《禅林僧宝传卷第二十五》__宋
31	 [至] 於死生之际、奇瑞之验。		《禅林僧宝传卷第二十五》__宋
32	其亦乘愿力、而 [至] 者耶。		《禅林僧宝传卷第二十五》__宋
33	性纯 [至] 、无所嗜好。		《禅林僧宝传卷第二十五》__宋
34	所 [至] 自处、罕与人接。		《禅林僧宝传卷第二十五》__宋
35	南公尝以事 [至] 双岭。		《禅林僧宝传卷第二十五》__宋
36	烟气所 [至] 、东西南北、四十里。		《禅林僧宝传卷第二十五》__宋
37	初出岭、 [至] 豫章。		《禅林僧宝传卷第二十五》__宋
38	 [至] 双岭寺、寺屋多僧少、草棘满庭、山雪未消。		《禅林僧宝传卷第二十五》__宋
39	 [至] 老不衰、政和四年、年九十矣。		《禅林僧宝传卷第二十五》__宋
40	智登舆而 [至] 。		《禅林僧宝传卷第二十五》__宋
41	然忽绳墨、所 [至] 为老宿所呵。		《禅林僧宝传卷第二十一》__宋
42	露眠草宿、 [至] 龙州。		《禅林僧宝传卷第二十一》__宋
43	自 [至] 法席巳再夏。		《禅林僧宝传卷第二十一》__宋
44	闻道风远 [至] 。		《禅林僧宝传卷第二十一》__宋
45	 [至] 筠州、首众僧於洞山。		《禅林僧宝传卷第二十一》__宋
46	觉曰、近有一老衲 [至] 。		《禅林僧宝传卷第二十一》__宋
47	 [至] 京师、与李公会月馀。		《禅林僧宝传卷第二十一》__宋
48	遂以明年 [至] 兴化。		《禅林僧宝传卷第二十一》__宋
49	 [至] 临 济亦不契。		《禅林僧宝传卷第九》__宋
50	众 [至] 二千人、时号 慈氏下生。		《禅林僧宝传卷第九》__宋
