语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：节
2022/7/10 23:08:00

序号	语句	书名	朝代
1	人生八岁，则自王公以下，至于庶人之子弟，皆入小学，而教之以洒扫、应对、进退之 [节] ，礼乐、射御、书数之文；及其十有五年，则自天子之元子、众子，以至公、卿、大夫、元士之适子，与凡民之俊秀，皆入大学，而教之以穷理、正心、修己、治人之道。		《大学中庸》__春秋战国
2	此又学校之教、大小之 [节] 所以分也。		《大学中庸》__春秋战国
3	此结上文两 [节] 之意。		《大学中庸》__春秋战国
4	此两 [节] 结上文两 [节] 之意。		《大学中庸》__春秋战国
5	妇子嘻嘻”，失家 [节] 也。		《周易》__周
6	此两 [节] 咏叹淫泆，其味深长，当熟玩之。		《大学中庸》__春秋战国
7	是哀乐喜怒之 [节] 易也，何以导民？		《国语》__春秋战国
8	《象》曰：“大蹇，朋来”，以中 [节] 也。		《周易》__周
9	夫长国者，唯知哀乐喜怒之 [节] ，是以导民。		《国语》__春秋战国
10	信掺太守之 [节] 而使者。		《墨子》__春秋战国
11	古者圣王制为 [节] 葬之法。		《墨子》__春秋战国
12	诗云：“ [节] 彼南山，维石岩岩，赫赫师尹，民具尔瞻。”		《大学中庸》__春秋战国
13	 [节] ，读为截。		《大学中庸》__春秋战国
14	诗小雅 [节] 南山之篇。		《大学中庸》__春秋战国
15	 [节] ，截然高大貌。		《大学中庸》__春秋战国
16	引诗而言此，以结上文两 [节] 之意。		《大学中庸》__春秋战国
17	其 [节] ，天子以《驺虞》为 [节] ，诸侯以《狸首》为 [节] ，卿大夫以《采》 为 [节] ，士以《采繁》为 [节] 。		《礼记》__春秋战国
18	是故天子以备官为 [节] ， 诸侯以时会天子为 [节] ，卿大夫以循法为 [节] ，士以不失职为 [节] 。		《礼记》__春秋战国
19	故明乎其 [节] 之志， 以不失其事，则功成而德行立，德行立则无暴乱之祸矣。		《礼记》__春秋战国
20	此两 [节] 又明不外本而内末之意。		《大学中庸》__春秋战国
21	其容体比于礼， 其 [节] 比于乐，而中多者，得与于祭，其容体不比于礼，其 [节] 不比于乐，而中少者， 不得与于祭。		《礼记》__春秋战国
22	自秦誓至此，又皆以申言好恶公私之极，以明上文所引南山有台、 [节] 南山之意。		《大学中庸》__春秋战国
23	愚按：此因有土有财而言，以明足国之道在乎务本而 [节] b，非必外本内末而后财可聚也。		《大学中庸》__春秋战国
24	此一 [节] ，深明以利为利之害，而重言以结之，其丁宁之意切矣。		《大学中庸》__春秋战国
25	晋侯使行人问焉，曰：“子以君命镇抚弊邑，不腆先君之礼，以辱从者，不腆之乐以 [节] 之。		《国语》__春秋战国
26	其君用财 [节] 而易赡也。		《墨子》__春秋战国
27	下，至于庶人之子弟，皆入小学，而教之以洒扫、应对、进退之 [节] ，礼乐、射御、书数之		《大学中庸》__春秋战国
28	此又学校之教、大小之 [节] 所以分		《大学中庸》__春秋战国
29	终则讲于会，以正班爵之义，帅长幼之序，训上下之则，制采用之 [节] ，其间无由荒怠。		《国语》__春秋战国
30	夫祀，国之大 [节] 也；而 [节] ，政之所成也。		《国语》__春秋战国
31	吴伐越，堕会稽，获骨焉， [节] 专车。		《国语》__春秋战国
32	故当若天降寒势不 [节] 。		《墨子》__春秋战国
33	无君臣上下长幼之 [节] 。		《墨子》__春秋战国
34	“令夫工，群萃而州处，申其四时，辩其功苦，权 [节] 其用，论比协材，旦暮从事，施于四方，以饬其子弟，相语以事，相示以巧，相陈以功。		《国语》__春秋战国
35	“ [节] 彼南山，维石岩岩，赫赫师尹，民具尔瞻。”		《大学中庸》__春秋战国
36	“令夫农，群萃而州处，察其四时，权 [节] 其用，耒、耜、☆、芟，及寒，击☆除田，以待时耕；及耕，深改良而疾☆之，以待时雨。		《国语》__春秋战国
37	意者恭 [节] 而人犹战，任不在贵者矣。		《吕氏春秋》__春秋战国
38	故人虽时有自失者，犹无以易恭 [节] 。		《吕氏春秋》__春秋战国
39	持盈者与天，定倾者与人， [节] 事者与地。”		《国语》__春秋战国
40	对曰：“持盈者与天，定倾者与人， [节] 事者与地。		《国语》__春秋战国
41	越王句践即位三年而欲伐吴，范蠡建谏曰：“夫国家之事，有持盈，有持倾，有 [节] 事。”		《国语》__春秋战国
42	对曰：“ [节] 事者与地。		《国语》__春秋战国
43	归及至于国，王问于范蠡曰：“ [节] 事奈何？”		《国语》__春秋战国
44	国之父兄请曰：“昔者夫差耻吾君于诸侯之国，今越国亦 [节] 矣，请报之。”		《国语》__春秋战国
45	天 [节] 不远，五年复反，小凶则近，大凶则远。		《国语》__春秋战国
46	宜为人主，安徐而重固；阴 [节] 不尽，柔而不可迫。		《国语》__春秋战国
47	上非天刑，下非地德，中非民则，方非时动而作之者，必不 [节] 矣。		《国语》__春秋战国
48	尽其阳 [节] 、盈吾阴 [节] 而夺之，宜为人客，刚强而力疾；阳 [节] 不尽，轻而不可取。		《国语》__春秋战国
49	对曰：“逆 [节] 蒙萌生。		《国语》__春秋战国
50	刚强以御，阳 [节] 不尽，不死其野。		《国语》__春秋战国
51	天 [节] 固然，唯谋不迁。”		《国语》__春秋战国
52	曰：称情而立文，因以饰群，则亲疏贵贱之 [节] ，而弗可损益 也。		《礼记》__春秋战国
53	三年 之丧，二十五月而毕，哀痛未尽，思慕未忘，然而服以是断之者，岂不送死者有 已，复生有 [节] 哉？		《礼记》__春秋战国
54	故先王焉为之立中制 [节] ，一使足以成文理，则释之矣。		《礼记》__春秋战国
55	高 [节] 厉行，独乐其意，而物莫之害。		《吕氏春秋》__春秋战国
56	惟此四士者之 [节] 。		《吕氏春秋》__春秋战国
57	《象》曰：玉铉在上，刚柔 [节] 也。		《周易》__周
58	子囊之 [节] ，非独厉一世之人臣也。		《吕氏春秋》__春秋战国
59	故军士死 [节] ，而农民不偷也。		《商君书》__春秋战国
60	山 [节] 藻，复庙重檐，刮楹达乡。		《礼记》__春秋战国
61	五曰：先王之使其民，若御良马，轻任新 [节] ，欲走不得，故致千里。		《吕氏春秋》__春秋战国
62	彼民不归其力于耕，即食屈于内；不归其 [节] 于战，则兵弱于外。		《商君书》__春秋战国
63	破胜党任， [节] 去言谈，任法而治矣。		《商君书》__春秋战国
64	孟孙阳曰：“有断若一 [节] 得一国。		《列子》__春秋战国
65	孟孙阳曰：“一毛微于肌肤，肌肤微于一 [节] ，省矣。		《列子》__春秋战国
66	然 则积一毛以成肌肤，积肌肤以成一 [节] 。		《列子》__春秋战国
67	衣服有制，饮食有 [节] ，则出寡矣。		《商君书》__春秋战国
68	吾将死之，以丑後世人主之不知其臣者也，所以激君人者之行，而厉人主之 [节] 也。		《吕氏春秋》__春秋战国
69	行激 [节] 厉，忠臣幸於得察。		《吕氏春秋》__春秋战国
70	所说出于为名高者也，而说之以厚利，则见下 [节] 而遇卑贱，必弃远矣。		《韩非子》__春秋战国
71	女之片体将气 所不受，汝之一 [节] 将地所不载。		《列子》__春秋战国
72	白圭问於邹公子夏后启曰：“践绳之 [节] ，四上之志，三晋之事，此天下之豪英。		《吕氏春秋》__春秋战国
73	以处於晋，而迭闻晋事，未尝闻践绳之 [节] 、四上之志。		《吕氏春秋》__春秋战国
74	宋在三大万乘之间，子罕之时，无所相侵，边境四益，相平公、元公、景公以终其身，其唯仁且 [节] 与？		《吕氏春秋》__春秋战国
75	故仁 [节] 之为功大矣。		《吕氏春秋》__春秋战国
76	五曰：凡人三百六十 [节] ，九窍、五藏、六府。		《吕氏春秋》__春秋战国
77	 [节] ：亨，苦 [节] ，不可贞。		《周易》__周
78	 [节] ，有限而止也。		《周易》__周
79	为卦下兑上坎，泽上有水，其容有限，故为 [节] 。		《周易》__周
80	 [节] 固自有亨道		《周易》__周
81	《彖》曰：“ [节] ，亨”，刚柔分而刚得中。		《周易》__周
82	苦 [节] ，不可贞”，其道穷也。		《周易》__周
83	说以行险，当位以 [节] ，中正以通。		《周易》__周
84	地 [节] 而四时成， [节] 以制度，不伤财，不害民。		《周易》__周
85	极言 [节] 道。		《周易》__周
86	《象》曰：泽上有水， [节] ，君子以制数度，议德行。		《周易》__周
87	阳刚得正，居 [节] 之初，未可以行，能 [节] 而止者也。		《周易》__周
88	九二当可行之时，而失刚不正，上无应与，知 [节] 而不知通，故		《周易》__周
89	六三，不 [节] 若，则嗟若，无咎。		《周易》__周
90	阴柔而不中正，以当 [节] 时，非能 [节] 者，故其象占如此。		《周易》__周
91	《象》曰：不 [节] 之嗟，又谁咎也？		《周易》__周
92	六四，安 [节] ，亨。		《周易》__周
93	柔顺得正，上承九五，自然有 [节] 者也。		《周易》__周
94	《象》曰：安 [节] 之亨，承上道也。		《周易》__周
95	九五，甘 [节] ，吉。		《周易》__周
96	所谓当位以 [节] ，中正以通者也。		《周易》__周
97	《象》曰：甘 [节] 之吉，居位中也。		《周易》__周
98	上六，苦 [节] ，贞凶，悔亡。		《周易》__周
99	居 [节] 之极，故为苦 [节] 。		《周易》__周
100	《象》曰：“苦 [节] ，贞凶”，其道穷也。		《周易》__周
101	王先服殷御事，比介于我有周御事， [节] 性惟日其迈。		《尚书》__周
102	其所以相者不同，见马之一徵也，而知 [节] 之高卑，足之滑易，材之坚脆，能之长短。		《吕氏春秋》__春秋战国
103	饮食居处适，则九窍百 [节] 千脉皆通利矣。		《吕氏春秋》__春秋战国
104	矫氏谓季梁 曰：“汝寒温不 [节] ，虚实失度，病由饥饱色欲。		《列子》__春秋战国
