语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：若
2022/11/6 16:10:15

序号	语句	书名	朝代
1	那小姐年方十六，生得肌如白雪，脸似樱桃，鬃 [若] 堆鸦，眉横丹凤。		《初刻拍案惊奇》__元明
2	对着子文施个礼，说道：“家下有一小女，今年十六岁了， [若] 秀才官人不弃，愿纳为室。”		《初刻拍案惊奇》__元明
3	 [若] 略迟些，恐防就点了去。		《初刻拍案惊奇》__元明
4	我们夫妻两口儿，只生这个小女， [若] 远远的到北京去了，再无相会之期，如何割舍得下？		《初刻拍案惊奇》__元明
5	官人 [若] 肯俯从，便是救人一命。”		《初刻拍案惊奇》__元明
6	那朝奉是情急的，就对天设起誓来，道：“ [若] 有翻悔，就在台州府堂上受刑。”		《初刻拍案惊奇》__元明
7	金朝奉叹口气道：“便是呢，我女儿 [若] 把与内侄为妻，有甚不甘心处？		《初刻拍案惊奇》__元明
8	 [若] 不情愿时，只须用个计策，要官府断离，有何难处？”		《初刻拍案惊奇》__元明
9	 [若] 不经官府，那韩秀才如何又肯让与小人？		《初刻拍案惊奇》__元明
10	吾辈 [若] 有寸进，怕没有名门旧族来结丝萝？		《初刻拍案惊奇》__元明
11	有烦二兄去对他说，前日聘金原是五十两， [若] 肯加倍赔还，就退了婚也得。”		《初刻拍案惊奇》__元明
12	 [若] 预先知有今日，就是把女儿与他为妾也情愿了。		《初刻拍案惊奇》__元明
13	那亲动手的好徒， [若] 不明正其罪，被害冤魂何时暝目？		《初刻拍案惊奇》__元明
14	 [若] 无尸时，小人情愿认个诬告的罪。”		《初刻拍案惊奇》__元明
15	老爷 [若] 不信时，只须唤那四邻八舍到来，问去年某月日间，果然曾打死人否？		《初刻拍案惊奇》__元明
16	王生道：“ [若] 得贤妻如此用心，使我重见天日，我病体也就减几分了。		《初刻拍案惊奇》__元明
17	当时 [若] 果然将死，何不央船家寻个相识来见一见，托他报信复仇，却将来托与一个船家？		《初刻拍案惊奇》__元明
18	 [若] 查出被殴伤命，就该到府县告理。		《初刻拍案惊奇》__元明
19	 [若] 违我言，拿来重贵。”		《初刻拍案惊奇》__元明
