语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：虑
2023/1/20 16:06:33

序号	语句	书名	朝代
1	知止而后有定，定而后能静，静而后能安，安而后能 [虑] ， [虑] 而后能得。		《大学中庸》__春秋战国
2	 [虑] ，谓处事精详。		《大学中庸》__春秋战国
3	且夫玩好在耳目之前，而患在一国之后，此中知以上乃能 [虑] 之，臣料虞君中知以下也。”		《榖梁传》__春秋战国
4	若以偃之 [虑] ，其狄乎！		《国语》__春秋战国
5	益用凶事，欲其困心衡 [虑] 而固有之也。		《周易》__周
6	安，安而后能 [虑] ， [虑] 而后能得。		《大学中庸》__春秋战国
7	臣窃以 [虑] 诸候之不服者，其惟莒乎！		《吕氏春秋》__春秋战国
8	翟 [虑] 耕而食天下之人矣。		《墨子》__春秋战国
9	翟 [虑] 织而衣天下之人矣。		《墨子》__春秋战国
10	虽然，彼近其国，有迁；我绝 [虑] ，无迁。		《国语》__春秋战国
11	壮男壮女过老弱之军，则老使壮悲，弱使强怜；悲怜在心，则使勇民更 [虑] ，而怯民不战。		《商君书》__春秋战国
12	 [虑] 善以动，动惟厥时。		《尚书》__周
13	愿大王有以 [虑] 之也。		《韩非子》__春秋战国
14	弗 [虑] 胡获？		《尚书》__周
15	四十始仕，方物出谋发 [虑] ， 道合则服从，不可则去。		《礼记》__春秋战国
16	且夫世之愚学，皆不知乱之情，讘讠夹多诵先古之书，以乱当世之治；智 [虑] 不足以避阱井之陷，又妄非有术之士。		《韩非子》__春秋战国
17	骄则恣，恣则极物；罢则怨，怨则极 [虑] 。		《吕氏春秋》__春秋战国
18	量十数年之中，逌然而自得，亡介焉之 [虑] 者，亦亡一时之中 尔。		《列子》__春秋战国
19	爱小利而不 [虑] 其害。		《韩非子》__春秋战国
20	了产用邓析之言，因间以 谒其兄弟而告之曰：“人之所以贵于禽兽者，智 [虑] 。		《列子》__春秋战国
21	智 [虑] 之所将者，礼义。		《列子》__春秋战国
22	桀藉累世之资，居南面之尊， 智足以距群下，威足以震海内；恣耳目之所误，穷意 [虑] 之所为，熙熙然从至于死： 此天民之逸荡者也。		《列子》__春秋战国
23	夫曲主 [虑] 私，非国利也，而为之者，以其爵禄也；下卖权，非忠臣也，而为之者，以末货也。		《商君书》__春秋战国
24	是故进则曲主，退则 [虑] 私、所以实其私，然则下卖权矣。		《商君书》__春秋战国
25	亲戚交游合，则更 [虑] 矣。		《商君书》__春秋战国
26	圣人深见此患也，故为天下长 [虑] ，莫如置天子也；为一国长 [虑] ，莫如置君也。		《吕氏春秋》__春秋战国
27	二曰：天下之士也者， [虑] 天下之长利，而固处之以身若也。		《吕氏春秋》__春秋战国
28	民不可与 [虑] 始，而可与乐成。		《商君书》__春秋战国
29	 [虑] 世事之变，讨正法之本，求使民之道。		《商君书》__春秋战国
30	君亟定变法之 [虑] ，殆无顾天下之议之也。		《商君书》__春秋战国
