语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：虚
2022/7/10 23:16:43

序号	语句	书名	朝代
1	明德者，人之所得乎天，而 [虚] 灵不昧，以具众理而应万事者也。		《大学中庸》__春秋战国
2	引夫子之言，而言圣人能使无实之人不敢尽其 [虚] 诞之辞。		《大学中庸》__春秋战国
3	子盍尽国以赂外内，无爱 [虚] 以求入，既入而后图聚。”		《国语》__春秋战国
4	二簋应有时，损刚益柔有时，损益盈 [虚] ，与时偕		《周易》__周
5	柔顺 [虚] 中，以居尊位，当损之时，受天下之益者也。		《周易》__周
6	宵中，星 [虚] ，以殷仲秋。		《尚书》__周
7	六二，当益下之时， [虚] 中处下，故其象		《周易》__周
8	至治之世，其民不好空言 [虚] 辞，不好淫学流说。		《吕氏春秋》__春秋战国
9	故有道之主，因而不为，责而不诏，去想去意，静 [虚] 以待，不伐之言，不夺之事，督名审实，官使自司，以不知为道，以柰何为实。		《吕氏春秋》__春秋战国
10	足以增气充 [虚] 强体适腹而已矣。		《墨子》__春秋战国
11	执 [虚] 如执盈，入 [虚] 如有人。		《礼记》__春秋战国
12	老耽贵柔，孔子贵仁，墨翟贵廉，关尹贵清，子列子贵 [虚] ，陈骈贵齐，阳生贵己，孙膑贵势，王廖贵先，儿良贵後。		《吕氏春秋》__春秋战国
13	又二中正柔顺， [虚] 中以上应，九五刚健中正，诚实而下交。		《周易》__周
14	九三，升 [虚] 邑。		《周易》__周
15	《象》曰：“升 [虚] 邑”，无所疑也。		《周易》__周
16	以不正入 [虚] 国，故称嫌焉尔。		《榖梁传》__春秋战国
17	然而兵甲顿，士民病，蓄积索，田畴荒，囷仓 [虚] ，四邻诸候不 服，霸王之名不成。		《韩非子》__春秋战国
18	内者，吾甲兵顿，士民病，蓄积 索，田畴荒，囷仓 [虚] 。		《韩非子》__春秋战国
19	为巧文之言，流行之辞，示之以利势，惧之以患害，施属 [虚] 辞以坏其主，此之谓“流行”。		《韩非子》__春秋战国
20	为人臣者，重赋敛，尽府库， [虚] 其国以事大国，而用其威求诱其君；甚者举兵以聚边境而制敛于内，薄者数内大使以震其君，使之恐惧，此之谓“四方”。		《韩非子》__春秋战国
21	五 [虚] 中以应九二之坚刚，故其象如此，而其占则利在贞固而已。		《周易》__周
22	 [虚] 处则惊，若居湿地，著而不去，以极走，则发矣。		《韩非子》__春秋战国
23	秦越千里之险，入 [虚] 国，进不能守，退败其师徒，乱人子女之教，无男女之别，秦之为狄，自肴殳之战始也。		《榖梁传》__春秋战国
24	 [虚] 素以公，小民皆之，其之敌而不知其所以然，此之谓顺天。		《吕氏春秋》__春秋战国
25	臣非非难言孔，所以难言者：言顺比滑泽，洋洋纚々然，则见以为华而不实；敦祗恭厚，鲠固慎完，则见以为掘而不伦；多言繁称，连类比物，则见以为 [虚] 而无用；总微说约，径省而不饰，则见以为刿而不辩；激急亲近，探知人情，则见以为谮为不让；闳大广博，妙远不测，则见以为夸而无用；家计小谈，以具数言，则见以为陋；言而近世，辞不悖逆，则见以为贪生而谀上；言而远俗，诡躁人间，则见以为诞；捷敏辩给，繁于文采，则见以为史；殊释文学，以质信言，则见以为鄙；时称诗书，道法往古，则见以为诵。		《韩非子》__春秋战国
26	夫实圹什 [虚] ，出天宝，而百万事本，其所益多也，岂徒不失其所以攻乎？		《商君书》__春秋战国
27	《象》曰：上六“无实”，承 [虚] 筐也。		《周易》__周
28	天地盈 [虚] ，与时消息，而况于人乎，况于鬼神乎？		《周易》__周
29	 [虚] 中，有孚之象。		《周易》__周
30	是以勇强不敢为暴，圣知不敢为诈而 [虚] 用；兼天下之众，莫敢不为其所好而辟其所恶。		《商君书》__春秋战国
31	今民求官爵，皆不以农战，而以巧言 [虚] 道，此谓劳民。		《商君书》__春秋战国
32	乘空如履实，寝 [虚] 若处床。		《列子》__春秋战国
33	履 [虚] 乘风，其可几乎？”		《列子》__春秋战国
34	公家 [虚] 而大臣实， 正户贫而寄寓富，耕战之士困，末作之民利者，可亡也。		《韩非子》__春秋战国
35	 [虚] 而待之，彼自以之。		《韩非子》__春秋战国
36	 [虚] 以静后，未尝用己。		《韩非子》__春秋战国
37	国好生金于竟内，则金粟两死，仓府两 [虚] ，国弱；国好生粟于竟内，则金粟两生，仓府两实，国强。		《商君书》__春秋战国
