语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：虞
2022/7/10 23:10:07

序号	语句	书名	朝代
1	帝典，尧典， [虞] 书。		《大学中庸》__春秋战国
2	 [虞] 书·大禹谟		《尚书》__周
3	参国起案，以为三官，臣立三宰，工立三族，市立三乡，泽立三 [虞] ，山立三衡。		《国语》__春秋战国
4	儆戒无 [虞] ，罔失法度。		《尚书》__周
5	 [虞] 师、晋师灭夏阳。		《榖梁传》__春秋战国
6	 [虞] 无师，其曰师何也？		《榖梁传》__春秋战国
7	 [虞] 书·皋陶谟		《尚书》__周
8	夏阳者， [虞] 虢之塞邑也。		《榖梁传》__春秋战国
9	灭夏阳而 [虞] 虢举矣。		《榖梁传》__春秋战国
10	 [虞] 之为主乎灭夏阳何也？		《榖梁传》__春秋战国
11	晋献公欲伐虢，荀息曰：“君何不以屈产之乘、垂棘之璧而借道乎 [虞] 也？”		《榖梁传》__春秋战国
12	且夫玩好在耳目之前，而患在一国之后，此中知以上乃能虑之，臣料 [虞] 君中知以下也。”		《榖梁传》__春秋战国
13	宫之奇谏曰：“晋国之使者，其辞卑而币重，必不便于 [虞] 。”		《榖梁传》__春秋战国
14	 [虞] 公弗听，遂受其币而借之道。		《榖梁传》__春秋战国
15	献公亡虢，五年而后举 [虞] 。		《榖梁传》__春秋战国
16	 [虞] 书·舜典		《尚书》__周
17	 [虞] 舜侧微，尧闻之聪明，将使嗣位，历试诸难，作《舜典》。		《尚书》__周
18	以其孥适西山，三月， [虞] 乃亡。		《国语》__春秋战国
19	益，汝作朕 [虞] 。”		《尚书》__周
20	伐虢之役，师出于 [虞] 。		《国语》__春秋战国
21	宫之奇谏而不听，出，谓其子曰：“ [虞] 将亡矣！		《国语》__春秋战国
22	其节，天子以《驺 [虞] 》为节，诸侯以《狸首》为节，卿大夫以《采》 为节，士以《采繁》为节。		《礼记》__春秋战国
23	《驺 [虞] 》者，乐官备也；《狸首》者，乐会时也。		《礼记》__春秋战国
24	 [虞] 书·尧典		《尚书》__周
25	将逊于位，让于 [虞] 舜，作《尧典》。		《尚书》__周
26	宣公夏滥于泗渊，里革断其罟而弃之，曰：“古者大寒降，土蛰发，水 [虞] 于是乎讲☆☆，取名鱼，登川禽，而尝之寝庙，行诸国，助宣气也。		《国语》__春秋战国
27	鸟兽成，水虫孕，水 [虞] 于是禁☆罗，☆鱼鳖以为夏犒，助生阜也。		《国语》__春秋战国
28	鸟兽成，水窗口远，水 [虞] 使用禁☆☆☆，设阱鄂，以实庙庖，畜功用也。		《国语》__春秋战国
29	叔向退，召州 [虞] 与司马，曰：“夫苦匏不材于人，共济而已。		《国语》__春秋战国
30	师锡帝曰：“有鳏在下，曰 [虞] 舜。”		《尚书》__周
31	大桡作甲子，黔如作虏首，容成作历，羲和作占日，尚仪作占月，后益作占岁，胡曹作衣，夷羿作弓，祝融作市，仪狄作酒，高元作室， [虞] 姁作舟，伯益作井，赤冀作臼，乘雅作驾，寒哀作御，王冰作服牛，史皇作图，巫彭作医，巫咸作筮。		《吕氏春秋》__春秋战国
32	厘降二女于妫汭，嫔于 [虞] 。		《尚书》__周
33	 [虞] 书·益稷		《尚书》__周
34	祖考来格， [虞] 宾在位，群后德让。		《尚书》__周
35	既历三纪，世变风移，四方无 [虞] ，予一人以宁，道有升降，政由俗革，不臧厥臧，民罔攸劝。		《尚书》__周
36	军旅思险，隐情以 [虞] 。		《礼记》__春秋战国
37	先王欲昭其令德之致远也，以示后人，使永监焉，故铭其☆曰‘肃慎氏之贡矢’，以分大姬，配 [虞] 胡公而封诸陈。		《国语》__春秋战国
38	在 [虞] 、夏、商为汪芒氏，于周为长狄，今为大人。”		《国语》__春秋战国
39	朋友， [虞] 祔而已。		《礼记》__春秋战国
40	 [虞] ，杖不入于室；祔，杖不升于堂。		《礼记》__春秋战国
41	报葬者报 [虞] ，三月而后卒哭。		《礼记》__春秋战国
42	今 [虞] 、夏、殷、周无存者，皆不知反诸己也。		《吕氏春秋》__春秋战国
43	成王与唐叔 [虞] 燕居，援梧叶以为珪。		《吕氏春秋》__春秋战国
44	而授唐叔 [虞] 曰：“余以此封女。”		《吕氏春秋》__春秋战国
45	叔 [虞] 喜，以告周公。		《吕氏春秋》__春秋战国
46	周公以请曰：“天子其封 [虞] 邪？		《吕氏春秋》__春秋战国
47	”成王曰：“余一人与 [虞] 戏也。”		《吕氏春秋》__春秋战国
48	於是遂封叔 [虞] 于晋。		《吕氏春秋》__春秋战国
49	妇之丧， [虞] ，卒哭，其夫若子主之，祔		《礼记》__春秋战国
50	冬，晋人执 [虞] 公。		《榖梁传》__春秋战国
51	晋命行乎 [虞] 民矣。		《榖梁传》__春秋战国
52	 [虞] 虢之相救，非相为赐也，今日亡虢而明日亡 [虞] 矣。		《榖梁传》__春秋战国
53	缌小功， [虞] 卒哭则免。		《礼记》__春秋战国
54	既葬而不报 [虞] ，则虽主人皆冠，		《礼记》__春秋战国
55	及 [虞] 则皆免。		《礼记》__春秋战国
56	及其葬也，反服其服，报 [虞] 卒哭则免。		《礼记》__春秋战国
57	如不报 [虞] 		《礼记》__春秋战国
58	复，有林麓，则 [虞] 人设阶；无林麓，则狄人设阶。		《礼记》__春秋战国
59	子胡不尚考之乎商周 [虞] 夏之记。		《墨子》__春秋战国
