语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：行
2022/11/6 16:08:37

序号	语句	书名	朝代
1	公孙楚回家，与徐小姐抱头痛哭而 [行] 。		《初刻拍案惊奇》__元明
2	 [行] 香讲书己过，便张告示，先考府学及天台、临海两县。		《初刻拍案惊奇》__元明
3	二生就讨过笔砚，写了息词，同着原告、被告、中证一 [行] 人进府里来。		《初刻拍案惊奇》__元明
4	吴太守方坐晚堂，一 [行] 人就将息词呈上。		《初刻拍案惊奇》__元明
5	程元道：“六礼既 [行] ，便是凭据了。”		《初刻拍案惊奇》__元明
6	金声、程元、赵孝构衅无端，各 [行] 杖警！		《初刻拍案惊奇》__元明
7	须要慈悲为本，宽猛兼 [行] ，护正诛邪，不失为民父母之意。		《初刻拍案惊奇》__元明
8	邹老人便使用书房 [行] 文书抄招到长洲县知会。		《初刻拍案惊奇》__元明
9	所以有正经的，必然严 [行] 惩戒。		《初刻拍案惊奇》__元明
10	指着胡阿虎大骂道：“你这个狠心狗 [行] 的奴才！		《初刻拍案惊奇》__元明
11	合当重 [行] 责贵罚。”		《初刻拍案惊奇》__元明
12	两下商议停当，看着机会，还未及 [行] 。		《初刻拍案惊奇》__元明
13	疯瘫的毡裹臀 [行] ，暗哑的铃当口说。		《初刻拍案惊奇》__元明
14	引孙道：“侄儿只会看几 [行] 书，不会做什么营生。		《初刻拍案惊奇》__元明
15	赛儿道：“说得极是，就劳你一 [行] 。		《初刻拍案惊奇》__元明
16	收拾些小 [行] 李盘缠，带了遗书，饥餐渴饮，夜宿晓 [行] ，取路投洛阳县来。		《初刻拍案惊奇》__元明
17	心生一计，只说舟重 [行] 迟，赶路不上，要船家上去帮扯纤。		《初刻拍案惊奇》__元明
18	每见贪酷小人，惟利是图，不过使这几家治下百姓卖儿贴妇，充其囊橐，此真狼心狗 [行] 之徒！		《初刻拍案惊奇》__元明
19	出入常乘一个白驴，日 [行] 数万里。		《初刻拍案惊奇》__元明
20	玄宗命人验看，在左角下果得铜牌，有二寸长短，两 [行] 小字，已模糊黑暗，辨不出了。		《初刻拍案惊奇》__元明
21	狄氏道：“他是个酒色 [行] 中人。		《初刻拍案惊奇》__元明
22	须臾胡生果来，铁生又与尽欢，商量的只是 [行] 院门中说话，有时醉了，又挑着门氏的话。		《初刻拍案惊奇》__元明
23	又何须终日去乱走胡 [行] ，反把个贴肉的人儿，送别人还债？		《初刻拍案惊奇》__元明
24	去时歌曲尚未终篇，已 [行] 千里有余。		《初刻拍案惊奇》__元明
25	卧师道：“贫僧初 [行] ，见本宅土地，恰遇宅上先祖绣衣公在那里诉冤，道其孙为胡生所害。		《初刻拍案惊奇》__元明
26	就请御驾启 [行] 。”		《初刻拍案惊奇》__元明
27	此皆有个真传授，可以 [行] 得去做得来的，不是荒唐。		《初刻拍案惊奇》__元明
28	道言未了，只听得外面鼓乐喧天，卢生来 [行] 纳采礼，正在堂前拜跪。		《初刻拍案惊奇》__元明
29	若不然时又被他胡 [行] 了。		《初刻拍案惊奇》__元明
30	供养着五湖四梅 [行] 雨龙王，急迫煞八口一家喝风狗命。		《初刻拍案惊奇》__元明
31	一面减膳羞，禁屠宰，日日 [行] 香，夜夜露祷。		《初刻拍案惊奇》__元明
32	又感上天佑庇，一发修桥砌路，广 [行] 阴德。		《初刻拍案惊奇》__元明
33	我等奉天 [行] 道，怎肯违了天心替你们祈雨？”		《初刻拍案惊奇》__元明
34	食供三套，酒 [行] 数巡。		《初刻拍案惊奇》__元明
35	还是县宰相公再 [行] 敦请，是必要他一来便好。”		《初刻拍案惊奇》__元明
36	州将见县间如此勤恳，只得自去拜望天师，求他一 [行] 。		《初刻拍案惊奇》__元明
37	众人见天师肯 [行] ，欢声动地，恨不得连身子都许下他来。		《初刻拍案惊奇》__元明
38	卷三十 王大使威 [行] 部下　李参军冤报生前		《初刻拍案惊奇》__元明
39	明日我若有所指挥，你等须要一一依我而 [行] ，不管有甚好歹是非，我身自当之，你们不可迟疑落后了。”		《初刻拍案惊奇》__元明
40	 [行] 了多日，已是二月尽边，皆因船只狼逾， [行] 李沉重，一日 [行] 不上百来里路，还有搁着浅处，弄了几日才弄得动的，还差定州三百里远近。		《初刻拍案惊奇》__元明
41	一面舟 [行] ，一面打发一个家人，在岸路驿中讨了一匹快马，先到定州报信。		《初刻拍案惊奇》__元明
42	遂叩首神前虔祷道：“诬妄奸徒，身 [行] 秽事，口出诬言，玷污神德，谨已诛讫。		《初刻拍案惊奇》__元明
43	若要 [行] 得快，除非上了些岸，等船轻了好 [行] 。”		《初刻拍案惊奇》__元明
44	那船好转动，不比先前，自在江中相傍着 [行] 。		《初刻拍案惊奇》__元明
45	未到数里，暴风打船，船 [行] 不得，暂泊在福善王庙下。		《初刻拍案惊奇》__元明
46	 [行] 得四五里，天色将晚。		《初刻拍案惊奇》__元明
47	船 [行] 了半响，越客叫点起火来看。		《初刻拍案惊奇》__元明
48	这本话，却在唐贞元年间，有一个河朔李生，从少时膂力过人，恃气好侠，不拘细 [行] 。		《初刻拍案惊奇》__元明
49	养娘道：“我们正是裴官人家的船，正为来赴小姐佳期，船 [行] 的迟，怕赶日子不迭，所以官人只得上岸 [行] 走，谁知却救了小姐上船，也是天缘分定。”		《初刻拍案惊奇》__元明
50	那小姐方才放下了心，便说：“花园遇虎，一路上如腾云驾雾，不知 [行] 了多少路，自拼必死，被虎放下地时，已自魂不附体了。		《初刻拍案惊奇》__元明
51	如今若等尊舟到州城，水路难 [行] ，定不能勾。		《初刻拍案惊奇》__元明
