语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：要
2022/7/10 23:03:00

序号	语句	书名	朝代
1	盖举一篇之 [要] 而约言之，		《大学中庸》__春秋战国
2	慎厥丽，乃劝；厥民刑，用劝；以至于帝乙，罔不明德慎罚，亦克用劝； [要] 囚殄戮多罪，亦克用劝；开释无辜，亦克用劝。		《尚书》__周
3	使其君子不幸而不得闻大道之 [要] ，其小人不幸而不得蒙至治之泽，晦盲否塞，反复沈痼，以及五季之衰，而坏乱极矣！		《大学中庸》__春秋战国
4	我惟时其教告之，我惟时其战 [要] 囚之，至于再，至于三。		《尚书》__周
5	先友曰：“衣躬之偏，握兵之 [要] ，在此行也，勉之而已矣。		《国语》__春秋战国
6	偏躬无慝，兵 [要] 远灾，亲以无灾，又何患焉？”		《国语》__春秋战国
7	五百里 [要] 服：三百里夷，二百里蔡。		《尚书》__周
8	续衽，钅句边， [要] 缝半下。		《礼记》__春秋战国
9	怀之以典言，薄其 [要] 结而厚德之，以示之信。		《国语》__春秋战国
10	其第五章乃明善之 [要] ，第六章乃诚身之本，在初学尤为当务之急，读者不可以其近而忽之也。		《大学中庸》__春秋战国
11	凡君也者，处平静，任德化，以听其 [要] 。		《吕氏春秋》__春秋战国
12	有术之主者，非一自行之也，知百官之 [要] 也。		《吕氏春秋》__春秋战国
13	知百官之 [要] ，故事省而国治也。		《吕氏春秋》__春秋战国
14	使其君子不幸而不得闻大道之 [要] ，其小人不幸而不得蒙至治之		《大学中庸》__春秋战国
15	故治天下之 [要] ，存乎除奸；除奸之 [要] ，存乎治官；治官之 [要] ，存乎治道；治道之 [要] ，存乎知性命。		《吕氏春秋》__春秋战国
16	政贵有恒，辞尚体 [要] ，不惟好异。		《尚书》__周
17	其第五章乃明善之 [要] ，第六章		《大学中庸》__春秋战国
18	子服惠伯见韩宣子，曰：“夫盟，信之 [要] 也。		《国语》__春秋战国
19	人唱我和，人先我随，以其出为之入，以其言为之名，取其实以责其名，则说者不敢妄言，而人主之所执其 [要] 矣。		《吕氏春秋》__春秋战国
20	练，筮日、筮尸、视濯，皆 [要] 绖杖绳屦。		《礼记》__春秋战国
21	五岁而言其 [要] 。”		《吕氏春秋》__春秋战国
22	飞兔、 [要] 褭，古之骏马也，材犹有短。		《吕氏春秋》__春秋战国
23	晋人与姜戎 [要] 而击之肴殳，匹马倚轮无反者。		《榖梁传》__春秋战国
24	当涂之人擅事 [要] ，则外内为之用矣。		《韩非子》__春秋战国
25	然富贵之门， [要] 存战而已矣。		《商君书》__春秋战国
26	圣人非能通，知万物之 [要] 也。		《商君书》__春秋战国
27	是故豪杰皆可变业，务学《诗》、《书》，随从外权，上可以得显，下可以求官爵； [要] 靡事商贾，为技艺，皆以避农战。		《商君书》__春秋战国
28	矜一时之毁誉， 以焦苦其神形， [要] 死后数百年中余名，岂足润枯骨？		《列子》__春秋战国
29	豪杰务学《诗》、《书》，随从外权； [要] 靡事商贾，为技艺，皆以避农战。		《商君书》__春秋战国
30	故圣人明君者，非能尽其万物也，知万物之 [要] 也。		《商君书》__春秋战国
31	故其治国也，察 [要] 而已矣。		《商君书》__春秋战国
32	塞私道以穷其志，启一门以致其欲，使民必先行其所 [要] ，然后致其所欲，故力多。		《商君书》__春秋战国
33	省刑， [要] 保，赏不可倍也。		《商君书》__春秋战国
34	数者，臣主之数，而国之 [要] 也。		《商君书》__春秋战国
35	刑罚世轻世重，惟齐非齐，有伦有 [要] 。		《尚书》__周
36	事在四方， [要] 在中央。		《韩非子》__春秋战国
37	圣人执 [要] ，四方来效。		《韩非子》__春秋战国
38	谨修所事，待命于天，毋失其 [要] ，乃为圣人。		《韩非子》__春秋战国
39	先王之所守 [要] ，故法省而不侵。		《韩非子》__春秋战国
40	凡治氣養心之術，莫徑由禮，莫 [要] 得師，莫神一好。		《荀子》__春秋战国
41	推禮義之統，分是非之分，總天下之 [要] ，治海內之眾，若使一人。		《荀子》__春秋战国
42	不贵其师、不爱其资，虽智大迷，是谓 [要] 		《老子》__春秋战国
43	又曰：“ [要] 囚，服念五、六日至于旬时，丕蔽 [要] 囚。”		《尚书》__周
44	立功名亦然， [要] 在得贤。		《吕氏春秋》__春秋战国
45	执其 [要] 而已矣。		《吕氏春秋》__春秋战国
46	冠，所以饰首也，衣，所以饰身也，杀所饰 [要] 所以饰，则不知所为矣。		《吕氏春秋》__春秋战国
47	其心明白而人易知，如坤之简，则其事 [要] 约而人易从。		《周易》__周
48	贤人之不远海内之路，而时往来乎王公之朝，非以 [要] 利也，以民为务故也。		《吕氏春秋》__春秋战国
49	反者， [要] 之于后。		《周易》__周
50	修百王之法，若辨白黑；應當時之變，若數一二；行禮 [要] 節而安之，若生四枝； [要] 時立功之巧，若詔四時；平正和民之善，億萬之眾而摶若一人∶如是，則可謂聖人矣。		《荀子》__春秋战国
51	欲如此，上 [要] 当知信道。“		《老子想尔注》__春秋战国
52	阴孔为门，死生之官也，最 [要] 故名根。		《老子想尔注》__春秋战国
53	而非贤者也，将以 [要] 利矣； [要] 利之人，犯危何益？		《吕氏春秋》__春秋战国
54	故無分者，人之大害也；有分者，天下之本利也；而人君者，所以管分之樞 [要] 也。		《荀子》__春秋战国
55	大禹曰：“六合之间，四海之内，照之以日月，经之以星辰，纪之以四时，  [要] 之以太岁。		《列子》__春秋战国
56	德雖未至也，義雖未濟也，然而天下之理略奏矣， 刑賞已諾信乎天下矣，臣下曉然皆知其可 [要] 也。		《荀子》__春秋战国
57	内自清明，不欲於俗，清静大 [要] ，道微所乐。		《老子想尔注》__春秋战国
58	师设晨暮，清静为大 [要] 。		《老子想尔注》__春秋战国
59	制度以陳，政令以挾，官人失 [要] 則死，公侯失禮則幽，四方之國，有侈離之德則必滅，名聲若日月，功績如天地，天下之人應之如景向，是又人情之所同欲也，而王者兼而有是者也。		《荀子》__春秋战国
60	 [要] 之襋之，好人服之。		《诗经》__周
61	是百王之所同也，而禮法之樞 [要] 也。		《荀子》__春秋战国
