语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：覆
2023/1/20 16:10:02

序号	语句	书名	朝代
1	孔子曰：“天无私 [覆] ， 地无私载，日月无私照。		《礼记》__春秋战国
2	偾， [覆] 败也。		《大学中庸》__春秋战国
3	此 [覆] 解上文絜矩二字之义。		《大学中庸》__春秋战国
4	泽，晦盲否塞，反 [覆] 沈痼，以及五季之衰，而坏乱极矣！		《大学中庸》__春秋战国
5	殖有礼， [覆] 昏暴。		《尚书》__周
6	 [覆] 酒于地而地贲。		《榖梁传》__春秋战国
7	幕，蔽 [覆] 也。		《周易》__周
8	九四，鼎折足， [覆] 公饣束，其形渥，凶。		《周易》__周
9	 [覆] ，方服反。		《周易》__周
10	《象》曰：“ [覆] 公饣束”，信如何也！		《周易》__周
11	若夫舜、汤，则苞裹 [覆] 容，缘不得已而动，因时而为，以爱利为本，以万民为义。		《吕氏春秋》__春秋战国
12	荒坠厥绪， [覆] 宗绝祀！”		《尚书》__周
13	天 [覆] 地载，爱恶不臧。		《吕氏春秋》__春秋战国
14	帝求俊彦，启迪后人，无越厥命以自 [覆] 。		《尚书》__周
15	夫争行义乐用与争为不义竞不用，此其为祸福也，天不能 [覆] ，地不能载。		《吕氏春秋》__春秋战国
16	昔者黄帝合鬼神于泰山之上，驾象车而六蛟龙，毕方并鎋，蚩尤居前，风伯进扫，雨师洒道，虎狼在前，鬼神在后，腾蛇伏地，凤皇 [覆] 上，大合鬼神，作为清角。		《韩非子》__春秋战国
17	战必 [覆] 人之军，攻必凌人之城，尽城而有之，尽宾而致之，虽厚庆赏，何费匮之有矣？		《商君书》__春秋战国
18	万乘之国，若有苏其兵中原者，战将 [覆] 其军；千乘之国，若有捍城者，攻将凌其城。		《商君书》__春秋战国
19	民兴胥渐，泯泯棼棼，罔中于信，以 [覆] 诅盟。		《尚书》__周
20	乃若夫没人之未尝见舟也而谡操之也，彼视渊若陵，视舟之 [覆] 犹 其车郤也。		《列子》__春秋战国
21	 [覆] 郤万物方陈乎前而不得入其舍。		《列子》__春秋战国
22	养之 [覆] 之。		《老子》__春秋战国
23	五疾，上收而養之，材而事之，官施而衣食之，兼 [覆] 無遺。		《荀子》__春秋战国
24	入不可以守，出不可以戰，則傾 [覆] 滅亡可立而待也。		《荀子》__春秋战国
25	故天之所 [覆] ，地之所載，莫不盡其美，致其用，上以飾賢良，下以養百姓而安樂之。		《荀子》__春秋战国
