语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：见
2022/11/6 16:19:18

序号	语句	书名	朝代
1	如今世人一肚皮势利念头， [见] 一个人新中了举人、进士，生得女儿，便有人抢来定他为媳，生得男儿，便有人捱来许他为婿。		《初刻拍案惊奇》__元明
2	外人看 [见] ，都懊怅徐小姐不嫁得他，就是徐大夫也未免世俗之 [见] 。		《初刻拍案惊奇》__元明
3	那王媒婆接着， [见] 他是个穷鬼，也不十分动火他的。		《初刻拍案惊奇》__元明
4	一住数日，只 [见] 王婆走进门来，叫道：“官人在家么？”		《初刻拍案惊奇》__元明
5	十日后发出案来，只 [见] 公子富翁都占前列了。		《初刻拍案惊奇》__元明
6	发落已毕，只得萧萧条条，仍旧去处馆， [见] 了主人家及学生，都是面红耳热的，自觉没趣。		《初刻拍案惊奇》__元明
7	那韩子文恰好归家， [见] 民间如此慌张，便闲步出门来玩景。		《初刻拍案惊奇》__元明
8	只 [见] 背后一个人，将子文忙忙的扯一把。		《初刻拍案惊奇》__元明
9	先请令爱一 [见] ，就求朝奉写一纸婚约，待敝友们都押了花字，一同做个证 [见] 。		《初刻拍案惊奇》__元明
10	子文 [见] 了女子的姿客，已自欢喜。		《初刻拍案惊奇》__元明
11	这也是子文 [见] 自己贫困，作此不得已之防，不想他日果有负约之事，这是后话。		《初刻拍案惊奇》__元明
12	那金朝奉是个大富之家，与妈妈程氏， [见] 他礼不丰厚，虽然不甚喜欢，为是点绣女头里，只得收了，回盘甚是整齐。		《初刻拍案惊奇》__元明
13	金氏夫妻 [见] 安平无事，不舍得把女儿嫁与穷儒，渐渐的懊悔起来。		《初刻拍案惊奇》__元明
14	一日，金朝奉正在当中算帐，只 [见] 一个客人跟着个十六八岁孩子走进铺来，叫道：“妹夫姊姊在家么？”		《初刻拍案惊奇》__元明
15	太守 [见] 他说得有些根据，就将状子当堂批准。		《初刻拍案惊奇》__元明
16	我们动了三学朋友去 [见] 上司，怕不打断你这老驴的腿！		《初刻拍案惊奇》__元明
17	又定了一会，张、李二人只是气愤愤的要拉了子文，合起学中朋友 [见] 官。		《初刻拍案惊奇》__元明
18	受聘之后，又回却青丝发一缕，小生至今藏在身边，朝夕把玩，就如 [见] 我妻子一般。		《初刻拍案惊奇》__元明
19	程氏结姻，从来不曾 [见] 说。		《初刻拍案惊奇》__元明
20	太守 [见] 他言词反复，已自怒形于色。		《初刻拍案惊奇》__元明
21	原来他三人 [见] 投了息词，便道不消费得气力，把那答应官府的说话都不曾打得照会。		《初刻拍案惊奇》__元明
22	金朝奉 [见] 太守为他，不敢怠慢；欲待与舅子到上司做些手脚，又少不得经由府县的，正所谓敢怒而不敢言，只得一一听从。		《初刻拍案惊奇》__元明
23	花烛之后，朝霞 [见] 韩生气宇轩昂，丰神俊朗，才貌甚是相当，那里管他家贫。		《初刻拍案惊奇》__元明
24	只 [见] 十余个强人，将红朱黑墨搽了脸，一拥的打将入来。		《初刻拍案惊奇》__元明
25	只 [见] 一个长须大面的，把李乙的头发揪住，一刀砍死，竟不抢东西，登时散了。		《初刻拍案惊奇》__元明
26	知县看了状子，问了来历， [见] 是人命盗情重事，即时批准。		《初刻拍案惊奇》__元明
27	老人道：“你不要管我，只交银子与我了，日后便 [见] 手段，而今不好先说得。”		《初刻拍案惊奇》__元明
28	徐公接 [见] 了， [见] 他会说会笑，颇觉相得。		《初刻拍案惊奇》__元明
29	彼此频频去 [见] ，渐厮熟来。		《初刻拍案惊奇》__元明
30	正要取监犯查放，忽 [见] 王小二进来叫喊诉冤。		《初刻拍案惊奇》__元明
31	只 [见] 两个家童正和一个人门首喧嚷。		《初刻拍案惊奇》__元明
32	却说王生当日 [见] 客人闷倒，吃了一大惊，把酒意都惊散了。		《初刻拍案惊奇》__元明
33	那王生 [见] 客人已去，心头尚自跳一个不住。		《初刻拍案惊奇》__元明
34	周四 [见] 有许多东西，便自口软了，道：“罢了，罢了。		《初刻拍案惊奇》__元明
35	过了数日，王生 [见] 事体平静，又买些三牲福物之类，拜献了神明、祖宗。		《初刻拍案惊奇》__元明
36	天明以后，到得午牌时分，只 [见] 胡阿虎转来回复道：“冯先生不在家里，又守了大半日，故此到今日方回。”		《初刻拍案惊奇》__元明
37	忽一日，正在厅前闲步，只 [见] 一班了应捕拥将进来，带了麻绳铁索，不管三七二十一，望王生颈上便套。		《初刻拍案惊奇》__元明
38	那胡阿虎道是私恨已泄，甚是得意，不敢回王家 [见] 主母，自搬在别处住了。		《初刻拍案惊奇》__元明
39	离了数步，下了轿，走到狱门首，与王生相 [见] 了，泪如涌泉，自不必说。		《初刻拍案惊奇》__元明
40	今病势有增无减了，得 [见] 贤妻一面，死也甘心。		《初刻拍案惊奇》__元明
41	僮仆们自在厅前斗牌耍子，只 [见] 一个半老的人桃了两个盒子，竟进王家里来。		《初刻拍案惊奇》__元明
42	那些家僮 [见] 了那人，仔细看了一看，大叫道：“有鬼！		《初刻拍案惊奇》__元明
43	去年别去，下得渡船，那船家 [见] 我的白绢，问及来由，我不合将相公打我垂危、留酒赠绢的事情，备细说了一番。		《初刻拍案惊奇》__元明
44	他就要买我白绢，我 [见] 价钱相应，即时卖了。		《初刻拍案惊奇》__元明
45	前日正在船中说这事时节，只 [见] 水面上一个尸骸浮在岸边。		《初刻拍案惊奇》__元明
46	我 [见] 他注目而视，也只道出于无心，谁知因尸就生奸计了。		《初刻拍案惊奇》__元明
47	当时若果然将死，何不央船家寻个相识来 [见] 一 [见] ，托他报信复仇，却将来托与一个船家？		《初刻拍案惊奇》__元明
48	身死之后，难道湖州再没有个骨肉亲戚， [见] 是久出不归，也该有人来问个消息。		《初刻拍案惊奇》__元明
49	小人今日才到此地， [见] 有此一场屈事。		《初刻拍案惊奇》__元明
50	只 [见] 那相识的四人，远远地望 [见] 吕大，便一齐道：“这是湖州吕大哥，如何在这里？		《初刻拍案惊奇》__元明
51	刘氏引吕大到监门前 [见] 了王生，把上项事情尽说了。		《初刻拍案惊奇》__元明
52	雪隐鹭鸶飞始 [见] ，柳藏鹦鹉语方知。		《初刻拍案惊奇》__元明
53	不多时，只 [见] 两个应捕将周四带到。		《初刻拍案惊奇》__元明
54	也是天理合当败露，不意之中，猛抬头 [见] 了吕大，不觉两耳通红。		《初刻拍案惊奇》__元明
55	是夜二更天气，只 [见] 周四撑尸到门，又有白绢、竹篮为证，合家人都信了。		《初刻拍案惊奇》__元明
56	前日因 [见] 流尸，故此生出买绢篮的计策。		《初刻拍案惊奇》__元明
57	’小人欺得王生一来是虚心病的，二来与吕大只 [见] 得一面，况且当日天色昏了，灯光之下，一般的死尸，谁能细辨明白？		《初刻拍案惊奇》__元明
58	知县 [见] 二人死了，贵令尸亲前来领尸。		《初刻拍案惊奇》__元明
59	又到厅前与吕客人重新 [见] 札。		《初刻拍案惊奇》__元明
60	那吕大 [见] 王生为他受屈，王生 [见] 吕大为他辨诬，俱各致个不安，互相感激，这教做不打不成相识，以后遂不绝往来。		《初刻拍案惊奇》__元明
61	只 [见] 总管沉吟了好一会，拍手道：“是了，是了。		《初刻拍案惊奇》__元明
62	只 [见] 适间同在座上问命的一个千户，也姓李，邀总管入茶坊坐下，说道：“适间闻公与算命的所说之话，小子有一件疑心，敢问个明白。”		《初刻拍案惊奇》__元明
63	总管归来对妻说知其事，妻当日悍妒，做了这事，而今 [见] 夫无嗣，也有些惭悔哀怜，巴不得是真。		《初刻拍案惊奇》__元明
64	因命二子出拜，只 [见] 两个十五六的小官人，一齐走出来，一样打扮，气度也差不多。		《初刻拍案惊奇》__元明
65	怎当得李氏妈妈，一心只护着女儿女婿，又且念他母亲存日，妯娌不和，到底结怨在他身上， [见] 了一似眼中之钉。		《初刻拍案惊奇》__元明
66	二来员外有个丫头，叫做小悔，妈妈 [见] 他精细，叫他近身伏侍。		《初刻拍案惊奇》__元明
67	况 [见] 父亲十分指望，他也要安慰父亲的心，这个念头是真。		《初刻拍案惊奇》__元明
68	却是丈夫 [见] 我，不肯做一路，怕他每背地自做出来，不若将机就计，暗地周全罢了。”		《初刻拍案惊奇》__元明
69	引姐道：“我也只为不忍 [见] 员外无后，恐怕你遭了别人毒手，没奈何背了母亲与丈夫，私下和你计较。		《初刻拍案惊奇》__元明
70	妈妈 [见] 如此说，也应道：“我晓得，你说的是，我觑着他便了。		《初刻拍案惊奇》__元明
71	引姐 [见] 事休已急了，他日前已与东庄姑娘说知就里，当下指点了小梅，径叫他到那里藏过，来哄丈夫道：“小梅这丫头看 [见] 我每意思不善，今早叫他配绒线去，不 [见] 回来。		《初刻拍案惊奇》__元明
72	妈妈道：“你两个说来没半句，员外偌大年纪， [见] 有这些儿指望，喜欢不尽，在庄儿上专等报喜哩。		《初刻拍案惊奇》__元明
73	员外 [见] 他每齐来，只道是报他生儿喜信，心下鹘突。		《初刻拍案惊奇》__元明
74	 [见] 说出这话来，惊得木呆。		《初刻拍案惊奇》__元明
75	张郎好生心里不舍得，只为 [见] 丈人心下烦恼，不敢拗他。		《初刻拍案惊奇》__元明
76	散罢，只 [见] 一个人落后走来，望着员外，妈妈施礼。		《初刻拍案惊奇》__元明
77	员外 [见] 没了人，才叫他一声：“引孙！”		《初刻拍案惊奇》__元明
78	张郎 [见] 丈人散了许多钱钞，虽也心疼，却道是自今已后，家财再没处走动，尽勾着他了。		《初刻拍案惊奇》__元明
79	到得坟前，只 [见] 静悄悄地绝无影响。		《初刻拍案惊奇》__元明
80	正说间，只 [见] 引孙来坟头收拾铁锹，看 [见] 伯父伯娘便拜。		《初刻拍案惊奇》__元明
81	他们还不 [见] 到。”		《初刻拍案惊奇》__元明
82	妈妈道：“我起初是错 [见] 了，从今以后，侄儿只在我家里住。		《初刻拍案惊奇》__元明
83	妈妈 [见] 这几句话，恰恰对着适间所言的，气得目睁口呆，变了色道：“你既是张家的儿子媳妇，怎生掌把着刘家的家私？”		《初刻拍案惊奇》__元明
84	引姐只不肯说，但道是：“做出便 [见] ，不必细问！”		《初刻拍案惊奇》__元明
85	只 [见] 女儿走去，叫小梅领了儿子到堂前，对爹妈说道：“这可不是亲似引孙的来了？”		《初刻拍案惊奇》__元明
86	员外，妈妈 [见] 是小梅，大惊道：“你在那里来？		《初刻拍案惊奇》__元明
87	却说刘元普一日正在书斋闲玩古典，只 [见] 门上人报道：“外有母子二人，口称西粤人氏，是老爷至交亲戚，有书拜谒。”		《初刻拍案惊奇》__元明
88	小梅道：“只问姑娘，便 [见] 明白。”		《初刻拍案惊奇》__元明
89	周经历 [见] 众人都是为赛儿的，不必疑了。		《初刻拍案惊奇》__元明
90	一行径入县里来 [见] 何正寅。		《初刻拍案惊奇》__元明
91	今 [见] 父亲认道只有引孙是亲人，故此请了他来家。		《初刻拍案惊奇》__元明
92	王宪 [见] 不是头，紧紧的帮着周经历，走近前说：“息怒消停，取个长便。		《初刻拍案惊奇》__元明
93	张氏母子 [见] 他沉吟，只道不肯容纳，岂知他却是天大一场美意！		《初刻拍案惊奇》__元明
