语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：规
2022/7/10 23:07:31

序号	语句	书名	朝代
1	告于众曰：“嗟予有众，圣有谟训，明征定保，先王克谨天戒，臣人克有常宪，百官修辅，厥后惟明明，每岁孟春，遒人以木铎徇于路，官师相 [规] ，工执艺事以谏，其或不恭，邦有常刑。”		《尚书》__周
2	古者深衣盖有制度，以应 [规] 、矩、绳、权、衡。		《礼记》__春秋战国
3	制十有二幅以应十有二月，袂圜以应 [规] ，曲袷如矩以应方，负绳及踝以应直， 下齐如权衡以应平。		《礼记》__春秋战国
4	故 [规] 者，行举手以为容；负绳抱方者，以直其政，方其义也。		《礼记》__春秋战国
5	其 [规] 为有如此者。		《礼记》__春秋战国
6	辩说属辞，饰非诈谋，以钓利于秦，而以韩利 [规] 陛下。		《韩非子》__春秋战国
7	是以明君之使其民也，使必尽力以 [规] 其功，功立而富贵随之，无私德也，故教流成。		《商君书》__春秋战国
8	东野稷以御见庄公，进退中绳，左右旋中 [规] 。		《吕氏春秋》__春秋战国
9	乃复为刑赏之所禁劝，名法之所进退；遑遑尔竞一时之虚誉，  [规] 死后之余荣；偊々尔慎耳目之观听，惜身意之是非；徒失当年之至乐，不能 自肆于一时。		《列子》__春秋战国
10	颜阖对曰：“夫进退中绳，左右旋中 [规] ，造父之御，无以过焉。		《吕氏春秋》__春秋战国
11	智过曰：“魏宣子谋臣曰赵葭，韩康子之谋臣曰段 [规] ，此皆能移其君之计。		《韩非子》__春秋战国
12	誉异人与同行者， [规] 异事与同计者。		《韩非子》__春秋战国
13	合而复者，善也；别而 [规] 者，奸也。		《商君书》__春秋战国
14	是故天子听政，使公卿列士正谏，好学博闻献诗，矇箴，师诵，庶人传语，近臣尽 [规] ，亲戚补察，而後王斟酌焉。		《吕氏春秋》__春秋战国
15	心者， [规] 也，中有吉凶善恶。		《老子想尔注》__春秋战国
16	情欲思虑，怒熹恶事；道不所欲，心欲 [规] 之，便即制止解散，令如冰见日散汋。“		《老子想尔注》__春秋战国
17	大臣假于女之能以 [规] 主情，		《管子》__春秋战国
18	或嘘或吹，嘘温吹寒，善恶同 [规] ，祸福同根，虽得嘘温，慎复吹寒，得福慎祸来。“		《老子想尔注》__春秋战国
19	巧匠为宫室，为圆必以 [规] ，为方必以矩，为平直必以准绳。		《吕氏春秋》__春秋战国
20	善恶同 [规] ，祸福同根，其先张者後必翕。“		《老子想尔注》__春秋战国
21	是非有必交来苟信是必有不可先 [规] 之必有不可识虑之将卒然不戒而至，		《管子》__春秋战国
22	晏子曰：“今夫车轮，山之直木也，良匠揉之，其圆中 [规] ，虽有槁暴，不复嬴矣。		《晏子春秋》__春秋战国
23	古之君子必佩玉，右徵角，左宫羽，趋以采齐，行以肆夏，周还中 [规] ，折还 中矩，进则揖之，退则扬之，然后玉锵鸣也。		《礼记》__春秋战国
24	既得以为辅，又恐其荒失遗忘，故使朝夕 [规] 诲箴谏，曰：‘必交修余，无余弃也。		《国语》__春秋战国
25	’在舆有旅贲之 [规] ，位宁有官师之典，倚几有诵训之谏，居娶有亵御之箴，临事有瞽史之导，宴居有师工之诵。		《国语》__春秋战国
26	不然，巴浦之犀、☆、兕、象，其可尽乎，其又以 [规] 为☆也？”		《国语》__春秋战国
27	君若欲避其难，其速 [规] 所矣，时至而求用，恐无及也！”		《国语》__春秋战国
28	实谗败楚，使不 [规] 东夏，则析公之为也。		《国语》__春秋战国
