语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：视
2022/7/10 23:05:13

序号	语句	书名	朝代
1	而札书得必谨案 [视] 参食者。		《墨子》__春秋战国
2	人之 [视] 己，如见其肺肝然，则何益矣。		《大学中庸》__春秋战国
3	是故，正明目而 [视] 之，不可得而见也；倾耳而听之，不可得而闻 也；志气塞乎天地，此之谓五至。”		《礼记》__春秋战国
4	多少 [视] 其坐。		《礼记》__春秋战国
5	监， [视] 也。		《大学中庸》__春秋战国
6	君臣不定，耳虽闻不可以听，目虽见不可以 [视] ，心虽知不可以举，势使之也。		《吕氏春秋》__春秋战国
7	韩昭厘侯 [视] 所以祠庙之牲，其豕小，昭厘侯令官更之。		《吕氏春秋》__春秋战国
8	故曰去听无以闻则聪，去 [视] 无以见则明，去智无以知则公。		《吕氏春秋》__春秋战国
9	人之 [视] 己，如见其肺肝		《大学中庸》__春秋战国
10	练，筮日、筮尸、 [视] 濯，皆要绖杖绳屦。		《礼记》__春秋战国
11	’寡人请死，余何面目以 [视] 于天下乎！”		《国语》__春秋战国
12	日之役者，有执蹠■而上 [视] 者，意者其是邪！”		《吕氏春秋》__春秋战国
13	招白与 [视] 丽与夫与履。		《墨子》__春秋战国
14	故圣人听於无声， [视] 於无形。		《吕氏春秋》__春秋战国
15	二、五事：一曰貌，二曰言，三曰 [视] ，四曰听，五曰思。		《尚书》__周
16	貌曰恭，言曰従， [视] 曰明，听曰聪，思曰睿。		《尚书》__周
17	则是世欲之君子之 [视] 义士也。		《墨子》__春秋战国
18	荆柱国庄伯令其父 [视] 曰，日“在天”； [视] 其奚如，曰“正圆”； [视] 其时，日“当今”。		《吕氏春秋》__春秋战国
19	君称言， [视] 祝而踊，主人踊。		《礼记》__春秋战国
20	夫人 [视] 世子而踊。		《礼记》__春秋战国
21	惠子出，白圭告人曰：“人有新取妇者，妇至，宜安矜烟 [视] 媚行。		《吕氏春秋》__春秋战国
22	若使我皆 [视] 岂不缪哉。		《墨子》__春秋战国
23	七曰：白圭谓魏王曰：“市丘之鼎以烹鸡，多洎之则淡而不可食，少洎之则焦而不熟，然而 [视] 之蝺焉美，无所可用。		《吕氏春秋》__春秋战国
24	夫差辞曰：“天既降祸于吴国，不在前后，当孤之身，实失宗庙社稷，凡吴土地人民，越既有之矣，孤何以 [视] 于天下！”		《国语》__春秋战国
25	且王令三将军为臣先，曰‘ [视] 卬如身’，是重臣也。		《吕氏春秋》__春秋战国
